"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"何以致朝暮","保密","无IP","220298575","5","良辰美景·不问天","10000","18886","6","今天有个上海的电话，我一看16个标记着送餐外卖…接电话发现是芽衣给我打的[辣眼睛],你们在干什么啊！！！？"
"-Flaming-","保密","无IP","299866941","6","","10000","646","6","emm我捋一下吧，希望大家能转,黑渊白花被人抵制的原因并不是什么数值膨胀，毕竟不是人均寂灭(),1.永寂池过后的黑渊白花，黑渊白花出了以后，意味着但丁套过气，但丁套本身的强烈专属体现在三点: 长时间的伤害buff+长时间的脆弱+弹反减cd，而脆弱用识律能做的更好，而且还有其他buff，时间也长，黑渊白花自带弹反减cd(还有加快启动sp)，这一切都意味着，只要拿一个数值比但丁套强的圣痕，就能打出更高的分数。,2.黑渊白花指定“当辉骑士·月魄装备时怎么怎么样”的描述可能恶心到了一些剧情党(?),那么黑渊白花的好处是什么呢？好处在于对有月魄没但丁的来说，只要黑渊白花+识律就能毕业月魄(毕竟普遍来说一个角色的花费小于一套圣痕[脱单doge]),现实是，目前红莲黑渊持有率低，月魄没黑渊会被识律抢地藏，(毕竟月魄一年多了)用识律就能保级，对大多数玩家无影响。,综上，我们抵制的是但丁池后让但丁瞬间过气的ex操作。,星锚问题。,1.专属boss。在测试服时，冰律一改再改，从数值盾变为额定火伤频率盾，冰律各阶段非常肉，同时期的盐巴和玫瑰根本处理不了。在正式服上线后，连续的冰律深渊，告诉有你星锚才能玩。,2.强推。周年庆版本之后立即推出数值倍率怪星锚+专属boss，而反观春节版本的识律，同样的高强度，因为无专属和持有率高而深受大家欢迎。,综上，我们抵制的是专属boss的专属机制的出现和ch硬逼强度玩家抽角色的ex态度。,(我倒宁愿数值膨胀也不要专属机制),此外，还有挺多的boss暗改问题，这里就不一一列举，相信大家都有体会。,题外话，超弦空间和加杯机制的出现，注定了ch想一个boss一个或2个解的想法，毕竟如果打不了反正也能用杯子补偿嘛"
"开__摆__","保密","河南","3493088097994889","4","明日方舟","10000","9","","薪炎之律者，降临两周年纪念。,唯一一首，无电音，纯管弦乐的pv的bgm。,个人心目中的top1的pv的bgm。[崩坏3·终焉归始_燃起来了]"
"秦心Shin","男","无IP","15602744","6","","10000","2546","","mzr:,可是我们输给了什么呢？,输给了正义？输给了热爱？还是说……单纯的输给了控评……？,舰长:,你不会明白的,mzr:,但我们想去明白，舰长,舰长，我们真羡慕你……为什么你每次都能赢？,舰长:,我从来不是一个人,mzr:,可我们也不是一个人……我们明明……有成百上千个机械同伴,舰长:,将你们联系起来的，不是游戏、不是角色、更不是彼此信任的心,你们只是为了共同的目的聚集在一起，宣泄同一种极化的情绪"
"圆圆画的圈套","保密","北京","97195349","6","","10000","8","","果然还是最喜欢这版本pv的bgm啊，燃烧的希望如此炽烈"
"大小柒","保密","湖北","2140240636","5","崩坏：星穹铁道","10000","6","","这个PV的音乐感觉和以往不同，史诗感确实很强，相信inherit这首音乐在制作组和各位老舰长心中都有重要的地位吧[崩坏3·光辉矢愿_比心]"
"弈轩若华","保密","无IP","287199184","5","","10000","61","","如果说崩三pv的bgm分成封神，史诗的级别来讲，不灭星锚和逐暗星辉pv因为承载着幽兰的骑士之心，不灭之志绝对是封神级别的存在，而真红之剑和薪炎永燃的pv因为展现了主线终于从无边黯夜走向了黎明初现也可以成为封神的存在；所有的pvbgm都听过，还是最爱薪炎永燃，5.0pv可以说是代表了琪亚娜的凤凰涅槃，浴火重生，而琪亚娜能够彻底蜕变新生的背后的最大力量支持就是她所深爱着的生死之交们对世间一切美好的信仰和他们对琪亚娜永不动摇的信任和鼓励始终支撑着琪亚娜绝不放弃，在那背后曾经有过姬子的以身为炬，英魂永存；曾经有过布洛妮娅的真理之智，破除虚妄；曾经有过符华的万年守护，渡尘渡己；曾经有过德莉莎的誓约圣歌，虔诚祝福；曾经有过芽衣的破晓雷光，诀别往昔；薪炎永燃这个pv是2.7真红之剑pv最好的悄然铭记和既往开来，更是对她们还有所有人坚持信仰着这个世界所有的美好和希望最好的承载和升华；感染力和情感爆发还有动人程度确实是登封造极一样的存在，在所有pv里面2.7真红之剑，3.9逐暗星辉，4.4不灭星锚，5.0薪炎永燃这些是封神级别如同传承使命，神圣颂歌一样的存在；4.2失落迷迭，5.1往生乐土也是封神级别是如同优雅灵动，美轮美奂一样的存在，而说实话其他pv的质量也都是经典史诗一般的存在回味无穷令人浮想联翩。尽管如此还是要挺一下2.7 ，3.9，4.2，4.4，5.0，5.1pvYYDS。"
"墨橘十载","保密","广东","36734534","6","","10000","16","","崩坏3这么多ov，这个pv在我心中永远第一"
"月光中心_official","保密","无IP","25289147","6","","10000","287","","这次pv的bgm像是战场归来的凯歌"
"Loeat","男","无IP","233675411","6","","10000","14","12","这次的bgm，真的太强了！,一个词：格局,这次音乐表现出来的格局感是以往无法媲美的,从刚开始的压抑，沉闷。到神陨剑的出现开始转变，代表新生与过往的交接的琪亚娜出现。,BGM以一种极其震撼人心的方式将琪亚娜的形象，薪炎之律者的形象展现在我们的面前。,此时的她仿佛不是一位少女，而是一位久经沙场战士，一位只要出现就代表希望的到来，一出现就让人无比安心，心潮澎湃的,救世主！,那份史诗感真的无与伦比！"
"AkuokxE","保密","无IP","27701255","6","","10000","68","","现在看。。节奏最大的那几个月，侧滑与其说探求出了对抗反对者的方法，不如说乘机摸清了部分玩家的底线。这条线就划在那里，以此可以更好的指导这个游戏日后盈利的基准。一方面反对者可以有效筛掉，另一方面也有更大的发展主线、吸引新玩家的空间。5.0绝对是传奇版本之一，代表着崩坏3强势归来，异己皆散，社区环境重归和谐。"
"是露法斯哦","女","无IP","366597895","5","","10000","28","","琪亚纳娜越来越有阿姆罗（不过是一块石头而已，看我用牛高达推回去），真嗣（把绫波丽，还给我），哈萨维，罗兰，巴纳吉这些人融合在一起的感觉了—不放弃希望，意志坚定，相信人类的可能性，为了同伴拼尽全力……从天穹流星到薪炎永燃，琪亚娜变得无比坚强了。[打call]"
"舰长A872","男","无IP","125879348","6","双生视界·花嫁","10000","41","","当时原神最黑暗的时候是一群崩坏三玩家在默默支持，现在当崩三还是反过来伤害玩家时部分玩家又被称之为千人律者，真是够讽刺的，对了，我觉得千人律者挺可爱的"
"蒙下阿吴","男","山东","1379397537","4","","10000","27","","这BGM真的封神了，米忽悠的音乐一直很好的，崩崩崩要是说BGM这首lnherit肯定排名很高，不想之前BGM那种活跃(或者说是音调高？不是很懂音乐)这种史诗感也象征琪亚娜在经历这一事件的成长，她变得沉稳，像BGM一样，语气充满坚定，就不像白练那样有点幼稚气，lnherit翻译过来就是“继承”，扣题加分，拿着红色的「疾疫」宝石，她哭，悔恨自己，在流浪时，她意识自己是“空之律者”的容器，是实验体K423……但最后她也明白了姬子想让她怎么做，她是齐格飞的女儿，呆鹅的妹妹，姬子的学生，芽衣,布洛妮娅,符华等人的朋友，凯文的后人以及最后的「卡斯兰娜」"
"山乱临冰","男","无IP","20180163","6","","10000","119","","我也是1743天的老玩家了。有一说一最近还挺有当年那味的，动画也是难得的让我体会到了当年最后一课那会的感慨。但这ch还是一如既往的不当人啊。9600加律者我饱经风霜这么多年也是头一次见。你这小机灵鬼总能给我整点新花样。一晃也快五年了，崩坏3我还能继续，这些人我依然愿意陪着她们。但对于《崩坏3》我确实不抱什么期待了。"
"夜来伴君望星辰","保密","无IP","382713187","5","","10000","16","","本来不打算抽奶希的（主要是没钱），结果被米忽悠骗了小几千砸下去把奶希毕业了。从那时起就下定决心不再充钱，为世界上所有的白嫖而战。直到我看到了荧火虫[大哭]"
"繁星影","保密","无IP","436235049","4","","10000","349","","我为我以前的魔怔感到后悔"
"迷いの形相","保密","吉林","490468876","5","琉晶之礼","10000","22","","她没有选择捡起姬子的剑，而是留下了自己的剑。她已经不再需要追逐别人的光芒，而是自身也会化作万千星尘，为后来者照亮前进的道路。(复制)"
"硬币很贵滴","男","无IP","357047806","5","","10000","26","","我服了，从原神十几天前刚来崩坏三，之前一直很喜欢剧情但怕氪金没敢入只看同人等二创，打了这十几天了最纠结的就是体力不够剧情，新手每日我都放弃了还不够[大哭]，今天打到剧情一半了睡不着好奇想沿着看PV，音乐节奏真的神了，结果评论区越看越气，到这一个刚回暖才敢说话，感觉很乱，从前几个评论区吵架双方自己发的视频都能挑起我对对方的愤怒，我一个刚入坑的没有亲身经历也不说什么，就一晚上郁闷在这缓一下（不是故意影响你们观感，如果有，我很抱歉）"
"追茫","保密","无IP","446396157","5","","10000","180","","其他无所谓，但白嫖夏装少一件真的太难受了，明年会不会又少一件?[笑哭]"
"phyG","男","无IP","17829851","6","崩坏3·天穹流星","10000","715","9","求求别纵容千律了，要么学学隔壁把直播效果搞好，要么就整录播，正常玩家不是重点关注新版本的新信息么，只有千律整出个不尊重的罪名[捂脸]"
"奥托主教单推人","男","无IP","445012705","5","","10000","2632","","原神内测，国内百万塞尔达玩家怒砸ps,幻塔内测，国内百万塞尔达玩家竟一天消失,崩3外服兔女郎活动，国内百万玩家怒吼国内玩家的尊严呢？,腾讯的白夜极光内测仅限外服，国内百万玩家却不要尊严了？[吃瓜]"
"不太腼腆的替身","保密","无IP","98631145","6","","10000","326","11","评论区哪有我3号房间有意思？[脱单doge]"
"秦心Shin","男","无IP","15602744","6","","10000","2546","","mzr:,可是我们输给了什么呢？,输给了正义？输给了热爱？还是说……单纯的输给了控评……？,舰长:,你不会明白的,mzr:,但我们想去明白，舰长,舰长，我们真羡慕你……为什么你每次都能赢？,舰长:,我从来不是一个人,mzr:,可我们也不是一个人……我们明明……有成百上千个机械同伴,舰长:,将你们联系起来的，不是游戏、不是角色、更不是彼此信任的心,你们只是为了共同的目的聚集在一起，宣泄同一种极化的情绪"
"子夜予歌","女","无IP","2867096","6","良辰美景·不问天","10000","732","","看了那么多批评发言，一个个让我们记住伤疤巴拉巴拉的[藏狐]，崩坏3不玩可以，你帮我找一个比它更好玩的动作手游我直接不玩[藏狐]。要求不高，角色吸引我，动作流畅，剧情丰富。如果找不到，那没办法，只能赖在崩坏3了，只能拿着ch的 “施舍”苦中作乐，要不你们去让其他游戏厂家努力努力，救救我们？[大哭][大哭][大哭]"
"月下空归","男","无IP","109287579","5","","10000","993","7","其实看着玩家吵9600我还有点怀念，这样的氛围不错了，相比这几个月"
"月光中心_official","保密","无IP","25289147","6","","10000","287","","这次pv的bgm像是战场归来的凯歌"
"五分糖不加冰淇淋","男","无IP","356806246","6","良辰美景·不问天","10000","910","","退坑了多少啊 十万份周边稳不稳啊[doge]"
"不对线怼我算你对","保密","无IP","504828482","5","","10000","536","","米哈游你们处理一下那些带节奏的人，我说的不是那些为了游戏而冲的，是那些为了冲而冲的，自己不玩别恶心别人，要冲就冲，别tm的yygq"
"水煮明湖鸭","男","无IP","70721874","6","","10000","1857","10","我活这么大，都没有见过有老太太天天站在超市门口骂超市鸡蛋涨价，一般都是扭头去菜市场。某些玩家连老太太都不如。"
"阎玄心","保密","无IP","10812783","6","三周年恋曲","10000","457","10","回复一个尚且理性的言论但没了的评论：,,你说的很对，但是现在述说需求发出正确声音的言论的比例现在才多起来。,为什么呢？当初节奏开始的时候很快就发展成了玩家攻击玩家，尤其是绿文玩家恶心普通玩家，你认为这时候普通玩家会怎么样？,当时言论最大的比例就是污染社区，恶心玩家。你们直到现在才突破了那些恶意恶心玩家的人的言论。,我们从来没觉得mhy一点错都没有，但是相比较于开始的玩家攻击哪个恶心？维护mhy的真的这么多孝子吗？哪有这么多给游戏当xz的人，除了少部分脑子不正常的，也觉得mhy的操作阴间，但是在更阴间的mzr（不是指发出诉求的玩家面前，当然是先声讨mzr。,然后呢？mzr少了，现在述说正常需求的人多了。但是呢？你们在述说需求与提出错误的同时又要带上其他玩家，你们觉得暗戳戳阴阳怪气很有意思吗？,最近的评论区对于正常述说需求的玩家真的那么排斥吗，如果是真情实意的述说又有多少人会去喷？,然而现在还有一部分人，依然分化玩家，依然阴阳怪气其他的玩家。我也觉得只有机器人会怎么做，而普通玩家会述说需求，而不是阴阳怪气。,,当然，你的话很对，我只是说一下【为什么】会有人维护，以及为什么会有人讨厌“述说”需求的群体"
"全自动小坑","男","无IP","9441273","6","崩坏3·天穹流星","10000","1495","","乐了,某些mzr见对线不过，直接人身攻击主持了是吧,你演讲全程手不动是吧？,人家手在动:“多动症啊？喜欢乱动？”,如果人家手不动呢？那是不是:“渐冻症是吧？恩背台词是吧？”,属实是蚌埠住了[给心心]"
"最爱糟糕物","保密","无IP","679571906","5","","10000","292","","好不容易直播一次炸麦了[喜极而泣]"
"牛马大君","男","无IP","201519261","6","","10000","872","","“任何生物受到攻击都会感觉 疼痛 害怕，或是露出破绽，但是千人律者不会有这种感觉”"
"泠檬ovo","保密","无IP","174559922","6","","10000","830","7","别纵容乌合之众了，真玩家谁在乎你是直播还是录播，大伙只想开开心心看完版本内容，直播和录屏有啥区别？又没有和玩家互动，干脆直接录播也不会出事故，反正那帮人录播也会骂，直播也会骂[原神_躺平]"
"神又不急","保密","无IP","362613007","5","原神","10000","774","","猎魔人在这报个到,   ↓"
"唯爱小萌宝","男","无IP","441287808","5","","10000","376","","退！赶紧退！崩坏三这么ex，还玩什么？继续被ex？继续看ch阴间操作？继续吃刀子？赶快退了我好抢周边[doge]"
"潍子惟7","保密","无IP","396110188","5","","10000","2580","","每当有人说我们没有尊严时，我都会告诉自己：,1，我没有到处强调自己和所有其他玩家都被绿了,2，我没有因为不喜欢外服的一个活动去犯z,3，我没有把一个媚宅活动曲解成媚外甚至rh,4，我没有打着为二创着想的幌子，去拿着一些谣言去到处带节奏，让大量的二创被下架,5，我没有把一件不大不小的事上升到民族对立试图挑起平台的敌视,6，我没有在公众平台公开侮辱角色侮辱cv，搞臭网络环境,7，我没有打着打击低俗这么正义的名号，去行着骚扰女配音这种下流的事,8，我没有对任何还在玩游戏的人进行任何人身攻击和对人格的侮辱,9，我没有拿着恶意剪辑过的视频去试图把一个媚宅向的视频曲解成低俗sq和充满x暗示的短篇并大肆宣扬,10，我没有恶心到任何一个路人和普通玩家,我知道什么是不道德的事，我也知道什么是令人反感的行为，这应该就是我不愿意去下场攻击崩3的原因。,相比起来我可能确实没有“尊严”，但是我知道还有“人性”。我不会打着“正义，正确”的幌子去做那么多恶心的事。"
"逝尘时水","男","无IP","364796019","5","鹿乃","10000","185","4","来和你说吧！,我还有2抽保底，但我想送给你欧气。来吧把我所有欧气送给屏幕前的你。"
"CODENAME-DELTA","保密","无IP","407048313","5","","10000","456","","4.3热情的节奏【狂热蓝调Δ】,4.4宏伟与辉煌【不灭星锚】,5.0希望之史诗【薪炎之律者】,这是我映象比较深的几个PV了。,再说一遍——米哈游美术人员永远的神！策划你得给他们供起来。"
"睿智少女Teriri","女","无IP","486029036","5","","10000","177","7","我今天收到了一个上海的电话  我条件反射地直接挂了!!挂了!!啊啊啊我觉得那个肯定是姬子阿姐的电话!!因为拨回去它说已关机!!我的阿姐啊啊啊啊[大哭][大哭][大哭][大哭]"
"里见光鑽","保密","无IP","378491392","6","泠鸢yousa登门喜鹊","10000","555","9","听不见根本听不见，我88级舰长说听不见就是听不见。（所以说到时候发录播的视频声音能正常一点吗？）[doge][脱单doge]"
"星轨第一偶像三月七","男","无IP","22573117","6","崩坏3·天穹流星","10000","294","7","三崩子你还是录播吧[藏狐][藏狐][藏狐]"
"不了热豆腐","男","无IP","146042457","6","","10000","703","5","9600和168的性质完全不一样，9600可以攒到，168意味着月卡党和零充拿不到。"
"伯乐狂喜","男","无IP","242062794","6","","10000","179","","千劫的屁股真的太棒了"
"夜归夜","男","无IP","98725071","6","双生视界·花嫁","10000","526","","据说千律只要还有一个就能复活，所以我这就提两把刀去直播间杀千律,,你问我带两把刀干嘛，当然要留一把砍策划啊[doge]"
"沐丿辰灬","保密","无IP","86946787","5","2021拜年纪","10000","175","","点赞出萤火虫，不出我倒立洗头。"
"-Flaming-","保密","无IP","299866941","6","","10000","646","6","emm我捋一下吧，希望大家能转,黑渊白花被人抵制的原因并不是什么数值膨胀，毕竟不是人均寂灭(),1.永寂池过后的黑渊白花，黑渊白花出了以后，意味着但丁套过气，但丁套本身的强烈专属体现在三点: 长时间的伤害buff+长时间的脆弱+弹反减cd，而脆弱用识律能做的更好，而且还有其他buff，时间也长，黑渊白花自带弹反减cd(还有加快启动sp)，这一切都意味着，只要拿一个数值比但丁套强的圣痕，就能打出更高的分数。,2.黑渊白花指定“当辉骑士·月魄装备时怎么怎么样”的描述可能恶心到了一些剧情党(?),那么黑渊白花的好处是什么呢？好处在于对有月魄没但丁的来说，只要黑渊白花+识律就能毕业月魄(毕竟普遍来说一个角色的花费小于一套圣痕[脱单doge]),现实是，目前红莲黑渊持有率低，月魄没黑渊会被识律抢地藏，(毕竟月魄一年多了)用识律就能保级，对大多数玩家无影响。,综上，我们抵制的是但丁池后让但丁瞬间过气的ex操作。,星锚问题。,1.专属boss。在测试服时，冰律一改再改，从数值盾变为额定火伤频率盾，冰律各阶段非常肉，同时期的盐巴和玫瑰根本处理不了。在正式服上线后，连续的冰律深渊，告诉有你星锚才能玩。,2.强推。周年庆版本之后立即推出数值倍率怪星锚+专属boss，而反观春节版本的识律，同样的高强度，因为无专属和持有率高而深受大家欢迎。,综上，我们抵制的是专属boss的专属机制的出现和ch硬逼强度玩家抽角色的ex态度。,(我倒宁愿数值膨胀也不要专属机制),此外，还有挺多的boss暗改问题，这里就不一一列举，相信大家都有体会。,题外话，超弦空间和加杯机制的出现，注定了ch想一个boss一个或2个解的想法，毕竟如果打不了反正也能用杯子补偿嘛"
"陌心澪璃","男","无IP","26926885","6","","10000","487","","千人律者是吧？我老猎魔人了，9600嫌贵是吧？你要真想要你为啥不存水晶啊？你想要你为啥不氪金啊？我半个月一个小月卡我能攒6000水，你抽不起是吧？啥都想要，还不氪金，你隔着做什么白日梦呢？真好笑啊，既然不氪金，那就想好自己那点水晶到底要什么，而不是在这哗众取宠，说到底，你们就是为黑而黑嘛，懂，真就是乌合之众，跳梁小丑啊，真好笑。"
"逐梦的白狼","保密","无IP","382638776","6","","10000","616","","大家并不讨厌崩坏,大家讨厌的只会是策划的阴间操作"
"皮蛋但是白色","女","无IP","322250579","5","","10000","210","5","直播事故300氵就当无事发生"
"夜归夜","男","无IP","98725071","6","双生视界·花嫁","10000","844","","今天我来干嘛的,1.杀千律,2.杀千律,3.为了世界上所以美好而战"
"追茫","保密","无IP","446396157","5","","10000","180","","其他无所谓，但白嫖夏装少一件真的太难受了，明年会不会又少一件?[笑哭]"
