"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"疏罅","男","陕西","3461574813551309","4","天官赐福动画","10000","102","","回来吧崩三UI,我最喜欢的美术,历历在目的回忆,依稀记得出击键,深深刻在最上方,和完美的装备键,一点直接就出击,崩三日常半小时"
"芽衣子","保密","安徽","44834790","6","","10000","202","7","改UI或者加UI切换[微笑]"
"黄金的光泽","保密","辽宁","1724554811","5","","10000","93","","羡慕其他游戏的社区环境"
"夏天风扇吹不凉","男","广西","12957681","6","崩坏3·天穹流星","10000","725","","能不能加个新老ui切换功能"
"Op吃瓜群众","男","上海","22682624","6","","10000","25","","新ui其实和第二部的适配度很高"
"豪德寺三花の千万兩","保密","河南","348593574","6","拜年祭粉丝专鼠","10000","27","","萌新不懂就问，角色一般过多久复刻？大月下没出但好想要"
"电音之汪","男","广东","13905073","6","","10000","18","","少女坠入了夜的国度。,黯淡的参天之树上，漆黑的羽叶簌簌而落。,跳动，跳动，,一颗染上玄色的心。,,少女为永夜撷来拂晓。,云破天青，孤单的晓歌唤醒了孪生的应和。,向上，向上！,两对掠过晨风的翼。,,两位希儿的服装简介是一首诗喔[打call]"
"雨霏zzz","保密","湖北","1719823124","4","","10000","4","","原那边长草了，刚入坑崩，请问死生之律者要搭配什么玩"
"鸭c啦","保密","河北","482487216","5","","10000","14","","设计一个自由切换UI的选项吧 求求了"
"这一别或许永别","男","福建","406937475","5","","10000","28","","从某方面来说崩坏三的成功靠得又不是另外两个游戏，这UI可是陪伴玩家五六年了呀！至于崩铁和原神一开始就那样，哪怕老玩家也好，现在入坑的玩家也好并不会感觉有什么不好难受的地方！可是崩坏三那个界面真的，我每次得点错好几次才能找到我想找到的[辣眼睛][辣眼睛]"
"Amadeus0017","男","江西","502625506","5","","10000","19","","死生亦大矣。——王羲之《兰亭集序》[脱单doge]"
"流光忆庭-格陵兰岛","男","广东","383797630","6","","10000","8","","求你了，我想要以前的UI"
"终年有缘","保密","广东","199327225","6","","10000","11","","希望新UI可以自定义按键位置还有活动和日常的切换能不能左右滑动也能切换总是要按上面很麻烦"
"中国I电信","保密","湖北","179915270","6","","10000","5","9","回来吧崩三UI,我最喜欢的美术,历历在目的回忆,依稀记得出击键,深深刻在最上方,和完美的装备键,一点直接就出击,崩三日常半小时"
"梦力龙","保密","山西","51584219","6","公主连结佩可莉姆","10000","3","","我只想知道，后崩坏三什么时候上线！"
"特蘭克斯trunks","男","重庆","98751436","6","","10000","3","","在今后《崩坏3》的运营中，我们一定会更加重视和舰长的沟通交流。"
"超大码眼罩","男","广东","306152406","6","良辰美景·不问天","10000","2","","新希儿刚出来，我感觉脸有些苍白，并且带点红润，像扎纸人，死生之律者，我突然理解了。这角色够细节[打call]"
"桜满集Cc","男","安徽","171888878","6","原神","10000","2","","你好，UI切换，谢谢"
"漠北_名尧不为瑶","保密","贵州","1827110724","3","","10000","1","","求背景音乐能不能找渠道下载，刚刚去抽皮肤歪了"
"彦叶_","保密","浙江","583219190","5","","10000","0","","需要老ui求求了"
"夢糀火","保密","广东","52515570","6","星座系列：水瓶座","10000","111","","ui什么时候出新旧切换[微笑][微笑]"
"彬斌哥","保密","广西","10995809","6","","10000","37","","为了崩落符，只能等复刻了"
"4321辰泽","保密","湖南","1618422394","5","原神","10000","9","","早上好，各位[墨镜][墨镜][墨镜]"
"Daydream_Warrior","女","安徽","2503105","6","卡拉彼丘","10000","168","6","下周一深渊统御巡航审判团预定"
"祁醉焓嵐","保密","山东","1402633377","4","","10000","50","","崩符好好做[跪了]，看了这ui之后，真怕你游做崩了(°°)"
"十火白","男","广东","8185455","6","","10000","250","10","拒绝半成品的新UI，割裂感极其严重，还回旧UI"
"这一别或许永别","男","福建","406937475","5","","10000","28","","从某方面来说崩坏三的成功靠得又不是另外两个游戏，这UI可是陪伴玩家五六年了呀！至于崩铁和原神一开始就那样，哪怕老玩家也好，现在入坑的玩家也好并不会感觉有什么不好难受的地方！可是崩坏三那个界面真的，我每次得点错好几次才能找到我想找到的[辣眼睛][辣眼睛]"
"无心坠阳","男","山东","626969293","5","","10000","133","","现在还有人在用彼岸双生么[墨镜]"
"芽衣子","保密","安徽","44834790","6","","10000","202","7","改UI或者加UI切换[微笑]"
"人间最美古河渚","男","重庆","288565989","6","","10000","7","","双生这个版本应该能3s，死律过年冲一冲，冰希是真没办法，全皮肤我来了[吃瓜]"
"亚里鲨耶","保密","四川","31819196","6","2233幻星集","10000","21","","四年半希厨表示等不及辣，急急急！(一看水晶7000)[doge]"
"卖导弹的小柴火","保密","浙江","179635827","6","","10000","23","","皮肤不错，可惜新ui已经修好了我还在玩崩三的bug_(:3」∠ )_你崩美工是不是内部打架了，明明什么在线咋做出来那种页游都不用的ui的。"
"miki瞳光","保密","辽宁","57020405","6","","10000","62","4","能不能让玩家自选ui我还是喜欢以前的"
"b站不允许balabalabu","保密","湖北","397081319","5","","10000","30","","问一下各位哈，为啥米哈游产能很足，质量很高，价格也贵些，然后别的厂家没学到高质量还有二次元设计，以及充足的产能，只学到了配不上质量的价格，反而很多人骂是米哈游抬高了价格呢"
"疏罅","男","陕西","3461574813551309","4","天官赐福动画","10000","102","","回来吧崩三UI,我最喜欢的美术,历历在目的回忆,依稀记得出击键,深深刻在最上方,和完美的装备键,一点直接就出击,崩三日常半小时"
"呜噜托拉鳗","保密","江苏","1505675","6","","10000","16","","能不能把UI改回来，出个切换选择也行啊。。"
"天元狂霸","男","湖南","4805944","6","良辰美景·不问天","10000","90","","ui到底改不改?"
"Amadeus0017","男","江西","502625506","5","","10000","19","","死生亦大矣。——王羲之《兰亭集序》[脱单doge]"
"黄金的光泽","保密","辽宁","1724554811","5","","10000","93","","羡慕其他游戏的社区环境"
