"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"桐未羽","男","无IP","65045138","6","","10000","28064","","1.兄弟们我学会瞬大了,2.兄弟们我学不会瞬大,3.兄弟们我不想学瞬大,4.上面的别凹了.jpg,经典永流传[歪嘴]"
"来一份蛋炒饭谢谢","保密","无IP","164730091","5","嘉然今天吃什么","10000","20298","","原神900万粉丝,崩三300万粉丝,这意味着，过几天，海灯节会和新春活动碰面，平均一个舰长要打三个旅行者,优势在我[傲娇]"
"不太腼腆的替身","保密","无IP","98631145","6","","10000","30977","11","崩坏3真不是一般人 能玩的。如果你想玩，你需要具备以下条件：,,(1)极高的心理素质,,(2)极强的自制力,,(3)较强的明辨是非的能力,,(4)较强的未来规划能力,,(5)较高的身体素质,,(6)较高的观察能力,,(7) 比一般稍强的手速,,(8 )极强的钻研问题能力,,(9)极高的手机配置,,如果你不符合以上条件，就需要家里有矿或咸鱼的佛系思想,,如果你不符合以上条件，个人不建议碰[doge]"
"小光焰","女","无IP","325323162","6","还有醒着的么","10000","16961","","在公交车接的电话，习惯性得开成免提，结果希儿声音一出来前面一个男人就转头看着我，我当时都懵了，然后那个男人就说原来你也喜欢希儿，我听到后茫然了一会然后说：你也玩崩坏三，然后我俩就互相秀了半天的角色皮肤，结果我俩都做过站了，不过这是真的很开心啊[笑哭]"
"坚谷邦","保密","无IP","10076522","6","","10000","4817","6","我刚刚在医院做核酸排队缴费的时候接到的，,你们知道当着那么多人的面，说出幽兰戴尔和天命总部这几个字有多尴尬吗[崩坏3_无辜],关键呆鹅问我地点的时候那个缴费机还说话把我的声音盖过去了，天命总部我说了两遍[崩坏3_吃瓜]"
"_-Nagisa-_","男","无IP","346400292","6","初音未来13周年","10000","5058","4","好家伙，现在深渊一打开名字全是李建昌[崩坏3_叹气][崩坏3_叹气]"
"PP榴莲君","保密","无IP","7459041","6","原神","10000","804","","上次坐地铁的时候，看见一个大哥在玩崩三，我就默默地走到他前面露出我的七七挂件，但是他玩的太认真了[藏狐][藏狐]"
"深夜食堂主厨","保密","无IP","1634126140","4","","10000","2901","","我高中班主任也玩崩坏3 不过我是在漫展上看见班主任买崩坏周边发现他玩崩坏的 ,还有不要和班主任加游戏好友 因为你被没收手机可能是因为你晚自习下深渊可能刚好和老师遇上"
"雪羽yukiwa","保密","无IP","36179495","6","赏樱大会欧皇","10000","2750","","别人的舍友，兄弟们我学会瞬大了，今晚来打深渊。,我的舍友，兄弟们上王者吃鸡，整个宿舍就我一个打崩三不打王者和吃鸡。[笑哭]"
"暮筱沐","男","无IP","347851324","5","","10000","11420","","我打到第八章了[doge],他在笑，因为她不知道后面会发生什么！,我也在笑，因为我知道后面会发生什么！"
"赫萝老师","男","无IP","1351379","6","","10000","1371","22","小莓草哥你在干什么！"
"暴躁的固拉多","男","无IP","73322543","6","","10000","3392","","当你看到这个视频的时候，直播的水晶兑换码已经过期了[doge]"
"雪落昆仑","保密","无IP","429959734","6","","10000","6274","","《剧情可甜了》"
