"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"九十六度乌龙茶","保密","无IP","8951081","6","崩坏3·天穹流星","10000","11184","","黑鸭:新三年旧三年缝缝补补又三年。[崩坏3_点赞]"
"shinano信浓","男","无IP","3095471","6","原神","10000","10222","","芽衣：老娘会跳了[doge]什么叫后崩角色啊（战术后仰）"
"鲮鲤麟","保密","无IP","237447169","6","","10000","9902","6","芽衣，抬起头，不要自说无用，你不是找到了琪亚娜吗？  愿你闪耀一切，划破长空。"
"诗亦白","保密","无IP","165414009","6","","10000","4663","","芽衣并不想和你说话，但还是向你发出了一发超电磁炮[doge]"
"EX小成","男","无IP","398055743","4","","10000","3353","","空律叫你人类，理律叫你舰长，那雷律直接叫你杂碎吧[doge]"
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","2814","12","当雷鸣划破长空！当美好不再遥远！当星星已然消逝！当前路昭然若揭！,芽衣！抬起头！让我们再次为了世界上所有的美好而战[崩坏3_哭哭]"
"布拉格寒鸦","男","无IP","81653859","6","大理寺日志","10000","2301","","芽衣：@迅雷@雷八@月轮,迅雷雷八月轮：？,芽衣：等4.1给你们抬棺8"
"平信织田","男","无IP","295378606","6","","10000","1786","","卧槽！时空构造体成精了[惊讶]"
"vega--","男","无IP","293606187","5","","10000","1522","","观星 我来的不是时候,舰长（抱着月下） 不，你来的正是时候,[doge]"
"丿纨绔彡","保密","无IP","37018993","6","","10000","1355","","我什么也做不到（） .jpg   贝贝龙版"
"风信゛","保密","无IP","23161032","6","希儿","10000","851","5","西琳：希望龙没事"
"达芬贺","男","无IP","446837758","5","","10000","1464","","直播体验极好，一群想水晶想疯了的说无聊，让赶紧发码，要码去群里等着不行？非要上弹幕里找存在感？好好的直播整成要水晶大会了？还有一群人刷泳装复刻，怎么下架的心里没数？不开等级屏蔽根本看不了，这就是官方直播的弹幕素质吗，爱了爱了。[无语]"
"不吃橙子__","男","无IP","351335052","5","","10000","1076","","芽衣帅炸！(希望芽衣没事)"
"泉奈VI","男","无IP","32266005","6","","10000","677","","雷电女王时隔三十多个版本，要重新回到巅峰了，律化娜是女王降临，雷律则是女王归来。"
"木上烟云","男","无IP","50048587","5","","10000","565","","米哈游已经不掩饰自己经费的充足了。从以前动态PPT到现在动画cg过场，从以前慢动态漫画＋游戏实景的pv感觉，到现在几乎可以当作动漫的pv。,既然克制不住想做动漫了，那我出个主意。像隔壁fgo那样选取章节动画化吧[吃瓜],首先我提议先把第二次崩坏给动画化了。[吃瓜],不然逆熵起源也行，幽兰戴尔也可以。我们很大度的[doge][doge][doge]"
"氯化tao","男","无IP","439783530","5","","10000","566","","这次pv米忽悠显然尝试了新的方式，也就是实时演示，前几次尝试未免会有些不适，不过代入感依旧很强，希望米忽悠越来越强！"
"都是凤凰湖","男","无IP","36949958","5","","10000","573","2","我看了直播，居然看到说泳装不复刻就举报的，然后打开动态和崩坏一点关系都没有，还有好几个乱刷的，我看看居然动态都是空的，反正截图了，uid也记着了，看看以后会不会碰到。"
"木位二","男","无IP","397335151","5","","10000","633","9","弹幕有水军，几万个弹幕，代表不了这100w玩家的素质，大多数玩家还是可以的。官方不要因为这些冰山一角而失望。"
"stmas简单","保密","无IP","24770440","6","","10000","351","","地载，云垂，天覆，风扬,相传为诸葛亮所创设之阵法—八阵图,谨慎堂《诸葛氏宗谱》就载有“八阵功高妙用藏与名成八阵图”的诗词赞歌。,天覆阵赞：天阵十六，外方内圆，四为风扬，其形象天，为阵之主，为兵之先。善用三军，其形不偏。,地载阵赞：地阵十二，其形正方，云主四角，冲敌难当，其体莫测，动用无穷，独立不可，配之於阳。,风扬阵赞：风无正形，附之於天，变而为蛇，其意渐玄，风能鼓物，万物绕焉，蛇能为绕，三军惧焉。,云垂阵赞：云附於地，始则无形，变为翔鸟，其状乃成，鸟能突出，云能晦异，千变万化，金革之声。,龙飞阵赞：天地后冲，龙变其中，有爪有足，有背有胸。潜则不测，动则无穷，阵形赫然，名象为龙。,虎翼阵赞：天地前冲，变为虎翼，伏虎将搏，盛其威力。淮阴用之，变为无极，垓下之会，鲁公莫测。,鸟翔阵赞：鸷鸟将搏，必先翱翔，势临霄汉，飞禽伏藏。审之而下，必有中伤，一夫突击，三军莫当。,蛇蟠阵赞：风为蛇蟠，附天成形，势能围绕，性能屈伸。四奇之中，与虎为邻，后变常山，首尾相困。,                          ———节选自百度百科“八阵图”词条"
"界内凡人","男","无IP","15671688","6","","10000","247","","编剧：今年我们要出一个新角色,芽衣：！,编剧：她曾经是站在崩坏侧的自机。,芽衣：！,编剧：她能够使用雷电元素。,芽衣：！！,编剧：她之前的剧情一直在挨打。,芽衣：！！！,编剧：她和琪亚娜关系密切，形影不离，后来突生变故，导致各自离散。,芽衣：！！！！,编剧：这次我们为其准备再次高光的机会。,芽衣：放下了围裙。,编剧：让我们恭喜贝纳勒斯的人形化——贝拉小姐。,芽衣：？？？"
"取名字真的不烦","保密","无IP","146857101","6","","10000","99","","懂了，新版本芽衣律者化后会跳了，为后崩坏做铺垫[崩坏3_危险][崩坏3_危险]"
"未烬的硝烟","男","无IP","56727841","6","崩坏：星穹铁道","10000","319","5","别搞这种幸存者偏差啊，那些都是水军，根本不玩游戏的，我玩了四年，加了这么多个群，有这么多好友，一个脑瘫都没碰到，而且我根本不看直播，大部分玩家都不看直播的。游戏内崩坏三玩家的素质是真的好，游戏外的谁知道他们是不是水军。"
"月哥ex","男","无IP","95976809","6","","10000","114","","那些骂米忽悠直播兑换码那么快过期的，都不知道米忽悠次次直播的兑换码不都是仅限于直播期间使用的吗。没赶上就是没赶上，错过了就是错过了。别人限时送礼自己错过没得领怪送礼的人干嘛，怪他不等你？"
"艰苦干枯","保密","无IP","9341138","6","","10000","442","","氪金记,日常方完，闲来无事，打开图鉴，一片哗然。万点收藏，分数刚刚过千；粗算比例，不过百分之十。放下手机，窥镜自视，只见光头一个；仔细观之，亦不得毛发半根。不觉悲从中来，自惭形秽，恐伤肝帝之名。于是重开游戏，咬紧牙关，648下，又是数发十连。然非洲血统，岂肯作罢？正所谓汉娜压舰舰欲摧，蓝光遍地紫光歪。见此情景，舰长悲愤交加，更不肯善罢甘休！殊不知，百连保底，那是成千RMB，欲图毕业，又要上万水晶！终至保底，方才恍然顿悟，贤者模式，一并开启。钱包空空，余额归零；潸然泪下，后悔莫及。发誓戒氪，直至真香之再来。（虽破万氪，未得云墨。怨甚至哉，歌以咏志）"
