"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"画饼充饥的小麒麟","男","山西","251101194","5","hanser","10000","452","","@蹦蹦草莓 ,今天的崩坏三是无敌的"
"大番茄小聪明","女","北京","561972173","5","","10000","338","","还没有入坑，有点好奇，这游戏真的很虐吗？我之前只玩过原神未定，没有玩过这一系列的。听说很虐不太敢入坑，但是好喜欢里面的角色[星星眼]"
"归来的福尔摩斯","保密","湖北","229843198","6","","10000","807","10","本次解锁了一个新的重要角色——任务设计，一个把编剧的台本和美术的资源整合成我们玩到的流程的一个重要角色[脱单doge][脱单doge]"
"拟舟27-咸鱼炖蘑菇","女","陕西","38035702","6","EveOneCat2","10000","8","","艹，昨天看到版本pv和前瞻直播录像的时候还没反应过来我错过了什么，寻思可以看回放，刚刚点进来回看才发现，我错过了兑换码！！！！！[保卫萝卜_哭哭]"
"抽象男人","保密","湖北","453632484","5","","10000","66","","原神玩家想入坑，可是铁道又快要来了，，，这这这这，精力有限呀，"
"彼岸锹甲王者--Seele","男","浙江","456485814","5","","10000","348","","你们要的普罗米修斯[脱单doge]"
"天命前任主教奥托","男","陕西","226267376","6","","10000","52","","42:25 《我们这个餐厅，只卖糖》，《包菜嘲笑表情包真人出处》以及名菜《珍珠翡翠白玉汤》[doge]"
"账号已注销","保密","江苏","696072827","0","","5000","166","","新活动是舰长线好诶，希望有生之年能看到摆渡人和舰长的建模和官方形象"
"刻桑图斯","男","江苏","12596829","6","崩坏：星穹铁道","10000","483","","崩豆人，崩可梦，崩富翁，崩坏横版射击，崩坏自走棋，崩坏消消乐，回合制崩坏，下一个会是什么类型的呢[doge]"
"高槻泉と","男","山东","36300580","6","","10000","7","","老玩家回归想问问现在抽什么角色比较好 刚回归抽了个天元 有薪炎还有冰希儿和双生还有梅比乌斯"
"没肉的橘子","保密","广东","2166034","6","","10000","767","","明牌暴露肯定不是刀。而且之前的健康阳光积极向上实现了，这次轻喜剧总不能骗人吧[崩坏3·终焉归始_咀嚼][崩坏3·终焉归始_燃起来了]"
"橘了里个橘","保密","福建","1614175843","5","2233白色情人节","10000","110","","普罗米修斯为人类带来火种，今天我就要让普罗米修斯和我一起创造未来的薪火[doge]"
"忖度过","男","辽宁","518852811","5","","10000","259","","很巧的事情记录一下"
"我想要歪刻晴","保密","福建","514307869","5","","10000","327","","你可以在崩坏三里玩到崩坏三以外的所有游戏[脱单doge]"
"爱莉爱莉我想你","保密","云南","1086677691","3","","10000","746","","前两天在外面玩崩豆人，被我朋友看见了，她问我这是什么游戏画风好可爱，我说叫崩坏三，结果过了几分钟我开始凹分她又来问我这是什么游戏，我说崩坏三啊；现在已经把朋友拉入坑了，随时准备怅人[歪嘴]"
"w叶石ことり","女","黑龙江","54361446","5","","10000","236","","让我猜猜，奶希去到了一个陌生的世界泡，为了再次打开量子之海通道，她需要收集散落在这个世界的七枚棋子[雪花][原神_哼][原神_哼]"
"纱布钟","男","广东","456313","6","","10000","77","11","编剧准备食谱,美术准备食材,特效、UI负责添糖加刀,关卡设计开始烹饪,宣发上菜,三蹦子：你的珍珠翡翠白玉汤。,玩家：珍珠呢？,三蹦子：IP老师说你先吃，后面就有了。"
"神威CLANNAD","男","江苏","11940054","6","国民老公带回家","10000","42","","我已经为羽兔屯了两万二水晶，要是还像上次那样92发保底出我就不想玩了[呆]"
"断殇已毁喔","男","甘肃","395987210","5","","10000","43","","符华崩落什么时候出"
"老板娘雷电芽衣","男","福建","321984851","5","","10000","0","","希望能整点好活[妙啊]"
"神秘王冠","保密","北京","18294208","6","少前小剧场","10000","17","","呆鹅是不是这么叉人的[崩坏3·终焉归始_骑马][崩坏3·终焉归始_克利希娜][崩坏3·光辉矢愿_策划][崩坏3·光辉矢愿_编剧][崩坏3·光辉矢愿_up主][崩坏3·光辉矢愿_大伟哥]"
"无落之言","保密","安徽","383133357","6","","10000","278","5","ZAN8B9W4L99X"
"下辈子超脱轮回","保密","江苏","398757298","5","崩坏3·天穹流星","10000","19","","凯文没了，各种小卡拉米就都开始跳出来群魔乱舞了"
"橘了里个橘","保密","福建","1614175843","5","2233白色情人节","10000","110","","普罗米修斯为人类带来火种，今天我就要让普罗米修斯和我一起创造未来的薪火[doge]"
"再见宣言p","保密","浙江","512177875","5","黑白无双","10000","13","","4月20号新版本 第五四月20号新赛季 星穹26号出,我觉得我的肝可能有点不妙,o|▅▅▅▅▅▅▆▆▇◤        ［策划］"
"取名字跟解了个谜似的","保密","山东","593722486","5","","10000","40","","这号怎么样"
"爱门一夜龙凌","男","广东","34482763","6","碧蓝之海","10000","12","8","ZAN8B9W4L99X,直播水晶明天中午12点结束"
"VVJTa","男","广东","488905628","5","崩坏3·天穹流星","10000","173","","很明显帆船老师又很旺盛的表达欲可惜没戏份[崩坏3·终焉归始_嘲笑]"
"我是安可安","保密","浙江","122957975","5","异常生物","10000","14","","羽兔服装上德意志的斯拉修加法国的旗子有点微妙了,今日乳法"
"星曦破晓","男","山东","1548676218","4","","10000","14","","当我看到PV结尾时，我就知道编剧又要出手了[doge]"
"橘了里个橘","保密","福建","1614175843","5","2233白色情人节","10000","80","","那个娘化苏好像是个乐子人吧[吃瓜]而且实力不弱，听说精神力足够控制整颗星球，甚至覆盖到量子之海。"
"纱布钟","男","广东","456313","6","","10000","77","11","编剧准备食谱,美术准备食材,特效、UI负责添糖加刀,关卡设计开始烹饪,宣发上菜,三蹦子：你的珍珠翡翠白玉汤。,玩家：珍珠呢？,三蹦子：IP老师说你先吃，后面就有了。"
"JiyoeShin","保密","山东","1504316","6","","10000","65","","拿你熟悉的东西来说，按照编剧是最开始，也就是菜单,。,用游戏中的锻造系统来说。大致上来讲，编剧是你看到各种各样的图纸。,合成它们需要燃素和晶块而这一部分就是动作设计师和建模设计师以及周边职业。 ,角色设计是圣痕数值以及圣痕立绘的圣痕本身。,关键的开了，所谓的任务设计，就是你看到的合成界面ui以及弹出的合成确定按钮。只要按下 你就可以获得“圣痕”（玩家实际看到的）"
"DestinyDive","男","浙江","220991036","5","","10000","11","","《珍珠翡翠白玉汤》"
"無灵ELAINE","保密","辽宁","316815823","6","","10000","11","","趁没人把崩崩崩撅了[崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_比心]"
"嘎嘎猛炫花火玉竹","男","北京","93780181","6","崩坏：星穹铁道","10000","67","11","三消是吧，米哈怎么你了"
"星野家的小宝贝","保密","广东","33654656","5","公主连结佩可莉姆","10000","10","","普罗米修斯：我穿着你女人的圣痕还给了你一个大比兜！凯文：mmb"
"背负着德莉傻的犹大","保密","山东","277403833","6","","10000","45","","喜儿，对ch使用炎拳吧！[墨镜]"
"夜下的星空1","保密","苏丹","678058141","5","至尊戒","10000","14","","https://b23.tv/BV1iM411L7Rr 让大伙看看雷雨的嘴脸"
"断殇已毁喔","男","甘肃","395987210","5","","10000","43","","符华崩落什么时候出"
"背负着德莉傻的犹大","保密","山东","277403833","6","","10000","11","","在新篇章，我们保留了一点崩坏三原本的味道，这样你才知道这是崩坏三[doge]"
"神威CLANNAD","男","江苏","11940054","6","国民老公带回家","10000","42","","我已经为羽兔屯了两万二水晶，要是还像上次那样92发保底出我就不想玩了[呆]"
"木轻一","保密","福建","230080470","6","赏樱大会欧皇","10000","10","2","下个版本有可以成为麻麻的人,下下个版本有可以成为姐姐的人,下下下个版本是不是就可以有成为女鹅的人了[崩坏3·终焉归始_优雅]"
"归来的福尔摩斯","保密","湖北","229843198","6","","10000","56","10","旭光老师：“不要再提啦” [tv_偷笑][tv_偷笑][tv_偷笑][崩坏3·终焉归始_嘲笑][崩坏3·终焉归始_嘲笑]"
"拟舟27-咸鱼炖蘑菇","女","陕西","38035702","6","EveOneCat2","10000","8","","艹，昨天看到版本pv和前瞻直播录像的时候还没反应过来我错过了什么，寻思可以看回放，刚刚点进来回看才发现，我错过了兑换码！！！！！[保卫萝卜_哭哭]"
"抽象男人","保密","湖北","453632484","5","","10000","66","","原神玩家想入坑，可是铁道又快要来了，，，这这这这，精力有限呀，"
"爱玩卡的神张飞","保密","四川","506981708","5","","10000","8","","牛高达 牛高达 牛高达 牛高达 牛高达,始源是无限正义 真理是强袭自由 终焉是命运"
"天命前任主教奥托","男","陕西","226267376","6","","10000","52","","42:25 《我们这个餐厅，只卖糖》，《包菜嘲笑表情包真人出处》以及名菜《珍珠翡翠白玉汤》[doge]"
"恶化的很好的","男","安徽","1415242790","5","","10000","7","","西琳厨疯狂狂喜啊啊啊啊啊啊啊啊啊啊啊啊啊[给心心][给心心][给心心][委屈]"
"Bronya-世界第一可爱","男","辽宁","490592134","5","hanser","10000","79","11","你们不攻击@雷雨Lyy 我可要攻击你们了"
"麻濑红莉栖","保密","山西","227506668","6","崩坏3·天穹流星","10000","7","10","最后的15分钟是好东西嗷[崩坏3·终焉归始_优雅]"
"神说要有你","保密","天津","1652525","6","三周年恋曲","10000","51","","桌子上摆的全是希儿谷子，在暗示什么[崩坏学园2_绷不住了]"
"高槻泉と","男","山东","36300580","6","","10000","7","","老玩家回归想问问现在抽什么角色比较好 刚回归抽了个天元 有薪炎还有冰希儿和双生还有梅比乌斯"
"世界蛇の老大爷","保密","四川","582240971","5","","10000","27","","？？？,我错过了什么！前瞻不是明天吗？（凹分凹到记错时间的屑[笑哭]）"
"嘎嘎炫爱莉的玉竹","女","辽宁","1228454834","4","","10000","5","","出息了[doge]"
"那里不可以弄","女","湖南","3461574469617977","4","","10000","27","","翡翠珍珠白玉甜汤 怎么你了[笑哭]"
"此生永爱二次元","男","山东","179385309","6","国民老公带回家","10000","6","","轻喜剧，希望你不要让玩家们失望啊（拔刀）"
"果冻可以啃哦","保密","福建","91447756","5","崩坏：星穹铁道","10000","23","","米哈游别刀黑希！！！！！[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]"
"良好武鹏","男","吉林","586668552","5","","10000","5","","你最好是轻喜剧[阴险]"
"氧化钙绫人","男","河北","454767447","5","","10000","21","","今天的崩坏三是无敌的（带墨镜）[doge]"
"江涵秋月","保密","上海","4274146","6","新月冰冰","10000","4","","兑换码过期了, 麻...."
"永生牵你手","保密","新疆","87384262","6","碧蓝航线","10000","4","","如果你看到我了，那么恭喜你，兑换码已经过期了[脱单doge]"
"丨夜楓","男","日本","43658203","6","","10000","4","7","《轻喜剧》,《清洗剧》[崩坏3·终焉归始_cool]"
"这个世界需要更多的英雄","保密","湖北","34090692","6","2021拜年纪","10000","4","","【置顶】ZAN8B9W4L99X "
"路过的一只小阿尔","保密","广东","398067359","5","","10000","4","","时雨绮罗应该要上舰了，这6.7我是一刻也等不了了[doge]"
"客观来讲","男","吉林","1346026007","4","","10000","3","","养成了"
"爱莉并没消失","保密","河北","391456340","5","","10000","4","","我就想说是不是万物起源王者荣耀？？看啥都王者？？你是王者生的？没玩过dnf？？光暗枪不知道？建议卸载崩坏三回去玩王者"
"幼刀如此美好","保密","内蒙古","669820357","5","","10000","4","","当你看到我的时候兑换码已经过期了[脱单doge]"
"堇丝纺梦ly","保密","山东","1017444603","4","","10000","4","","那是你们导播在笑吧，把你们导播都说笑了[doge]"
"迭卡拉比安","保密","湖南","433282992","5","","10000","5","","看到这个评论数我以为我以为是哪个冷门博主的视频"
"沿着脚下足迹","男","中国澳门","194212452","6","","10000","3","","很喜欢羽兔设计的点，感觉很有意思[微笑]"
"不能ゆきえ変色の416","男","辽宁","1922428336","4","","10000","3","","许愿祖宗鸭和小姨[tv_色][tv_色][tv_色]"
"禹步玦","男","江苏","22821820","6","初音未来13周年","10000","3","","不知道为什么，家园打工s＋好久没成功过了，条件更本凑不齐[崩坏3·光辉矢愿_瞄准][崩坏3·光辉矢愿_策划]"
"三无毛蛋","保密","广东","20906982","6","泠鸢yousa登门喜鹊","10000","3","9","如果黑希被刀了，那是不是就能接上舰长线了？希儿在无限的世界泡中寻找黑希[tv_doge][tv_doge]"
"利斯特果哥","保密","广西","47760955","5","崩坏3·天穹流星","10000","10","","长话短说。,你也知道给测试服资格给做攻略的up主。她一不诋毁游戏，二不带节奏，只是做个攻略还能被奇奇怪怪的理由攻击，就停更了。你说你管不住社区，无所谓。你甚至不想去给那些好up翻个牌。,不知道事儿的兄弟也别问了，不如少份糟心事儿。"
"毒-斑","保密","四川","319468894","6","","10000","1","","普罗米修斯[吃瓜]"
"航行的梦","保密","陕西","294507234","5","","10000","1","","648人正在看"
"芋某不是笙","女","陕西","111244551","5","","10000","1","","怎么办...[大哭]"
"JiyoeShin","保密","山东","1504316","6","","10000","2","","任务设计这边觉得编剧表达的东西不够合理、关卡设计的流程和剧情叙事的流程是否割裂、角色性格本身在当前该如何行动以及故事发展。,这都是由任务设计（大概）充当润滑剂让各方不同领域的事物组合在一起。, 不然你会看到8个脚5个胳膊都长在不同地方的一个“人”站在你面前。,,我觉得我想表达的已经相对清晰了（自我怀疑）"
"永远喜欢三月七ovo","保密","广东","265502312","6","","10000","2","","今天的崩坏三又凉了嘛[崩坏3·终焉归始_咀嚼]"
