"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小柠丶","男","无IP","6736655","6","","10000","3203","","我已经没有钱拯救崩坏世界了( _ゝ｀)"
"qzkaiiii","保密","无IP","22811012","6","崩坏3·天穹流星","10000","3200","","是时候写一首小诗了,,大伟大伟真滴强，,崩三爆率赛阴阳(师)，,三人直播送福利，,基情满满是狗粮。,,单抽奇迹不存在，,阔气十连保底王，,跪求大伟出奇迹，,大伟:“呵呵你别想！”"
"秦始皇派蒙恬赛博遛狗","女","无IP","8848233","6","崩坏：星穹铁道","10000","500","","“对不起，我已经……没钱没时间没精力拯救崩坏世界了……”,“炎八要实装啦！”,“……我看看还能不能从bgo的预算里扣点钱出来”"
"我自高处不胜寒","男","无IP","12653252","6","琉晶之礼","10000","299","6","回顾pv的时候感叹一下神恩和炎八，前者成为最强辅助，宇宙队等核心之一，彻底拉开巨佬和平民(欧洲人与非洲人)差距的本源，继勿忘之后第一个新手抽到了可以安稳经历过渡期的s。后者则是自a8出战后，历经四个版本以来第二个平民战神，容易养手感好有残心值后更是所向披靡，你游难得的良心a，两者很大程度上增进了玩家对辅助的认识和无s萌新对近战元素角色的认知，如同1.4时期a8s8的加入刷新了我们对伤害的理解一样，可以说是米忽悠最成功的两个版本了，1.8对开放世界的拓展更是成为了点睛之笔，真的很希望崩崩崩还能做出如此富有影响力的版本(_`)"
"Tolocat","男","无IP","13397801","6","","10000","297","","转自网易云音乐山下智博的评论：你知道女武神的角色碎片是怎么来的吗？    ——某不愿透露姓名的泰坦.."
"潮汕老男人ccp","男","无IP","26011424","6","良辰美景·不问天","10000","89","","策划：你们别老是说我骗氪喂屎了，我都有这样的美工帮我了，你们还有什么不满足？玩家：你别以为有这样的美工就可以为所欲为。策划：sorry,有这样的美工，当然可以为所欲为(=ω=)(=ω=)"
"桃源孕馨香","保密","无IP","23421003","6","","10000","72","","崩坏3向手机测评越走越远"
"bysATT","保密","无IP","1523132","6","洛天依9th生日纪念","10000","62","","壮哉我崩崩崩(=ω=)"
"美如梦婧","保密","无IP","15195763","6","","10000","56","","个人认为1.4和1.8是崩坏3最好的两个版本，在玩法上有外传开放世界的加入，在角色上有两大a8火八两大平民战神，冰八最高爆发元素输出神恩t0辅助，真是两个经典的版本啊，感觉后来的1.9 2.0 2.1都不及之"
"RoyalGuardT","男","无IP","862185","6","","10000","42","","这个PV做的是真机八的燃，音乐，剪辑都特别到位，“是时候履行承诺了”和1.4的“八重樱，请求出击”都有一种颤动灵魂的感觉，特别然"
"茯茶い","男","无IP","20385818","6","明日方舟音律系列","10000","35","","希望1.8pv神恩出场时的bgm和1.7pv的周年庆bgm上传到网易云，一定会过去打call的[小电视_哭泣]"
"天妒嘤才丶丶","保密","无IP","23191767","6","","10000","32","","求你看看鬼凯吧，狗策划( _ゝ｀)"
"Answerせつな","男","无IP","31135093","6","","10000","26","1","说真的，这游戏不知道比王者荣耀强多少倍"
"翛游叶","男","无IP","23162914","6","","10000","25","6","玩了这么久的崩坏三，最大的收获就是感觉吼姆、汉娜爱的是我…T﹏T"
"人菜瘾大马枪怪","男","无IP","4606591","6","hanser","10000","21","","八重樱相关的两个pv都贼jb燃，不愧亲女儿"
"冬天不下雪的北方","保密","无IP","39930127","6","","10000","20","1","SS炎八已完成，神恩还是S，逆神是美，冰八是强，炎八是帅，强不强是版本的事，帅是一辈子的事（￣▽￣）"
"Facetal","男","无IP","34076377","6","","10000","19","","在崩崩崩一周年之际，我准备了一份礼物给大家，礼物已经放在了定量补给里面，大家连着两百发一定能抽到，你说什么礼物？对了，就是那顶帽子，喜欢吗？"
"萌萌哒的月色","保密","无IP","224636508","6","","10000","19","4","那个女人，改变了深渊。。。直到现在"
"79-Lawyer","男","无IP","32756937","6","","10000","16","","此游戏对底氪，中氪玩家十分不友好！建议玩家要么零氪，要么氪个十万八万的。"
"再无人有此殊荣","保密","无IP","430191465","5","","10000","14","","神恩现在还能和识宝，观星组一队就离谱"
"Olty","男","无IP","2686158","6","","10000","14","","我知道现在的这一切,身下的这位少女,这片天空,主教头上的这片草地,都是真实的"
"来颗大眼珠子","保密","无IP","71301690","6","","10000","13","10","在这样下去，手机迟早烧为灰烬( _ゝ｀)"
"账号已注销","保密","无IP","94621874","0","","5000","13","","世界知名动画公司米哈游（滑稽）,世界知名音乐公司拳头（滑稽）,世界知名军火库三星电子（滑稽）,世界知名暖手宝小米（滑稽）,世界知名CG公司暴雪（滑稽）,世界知名同**友网站bilibili（没错）"
"亓倚","女","无IP","371700097","5","","10000","12","10","至今没有神恩[捂脸][辣眼睛]"
"一紫梦语","保密","无IP","1520468758","4","","10000","11","","曾经的炎八，现在的刮痧，明明有超限，时代的眼泪[辣眼睛]"
"身高143厘米的逢坂大河","保密","无IP","28557631","6","#EveOneCat!","10000","11","","1.4和1.8宣传pv的BGM超好听的啊"
"旷野恶鬼","保密","无IP","8197877","6","","10000","11","10","神恩是当时最让我感到惊艳的装甲，像新娘一样，爱得不行"
"切尔茜棒棒糖","男","无IP","29547120","6","","10000","10","","1.8入坑的老舰长，神恩到现在依然有很高的使用率，算是最保值的一个角色了吧"
"永恒の弹幕","保密","无IP","36217455","5","","10000","10","","来吧，一起为大伟的别墅添砖加瓦吧(；ω；`)"
"雪王成都分王","男","无IP","17786972","6","hanser","10000","9","","1.4和1.8最好，果然只能说明樱大姐的确是官方亲女儿[2233娘_喝水]"
"转星龙辰","男","无IP","1625668","6","","10000","9","","那一声樱  我仿佛听到了奥拓大人心碎的声音"
"灵梦の供奉箱","男","无IP","9620821","6","","10000","9","","神秘代码大接力      EVUFHE2W7P,wmyh9a4x5x,emwrcuvskf,wlyhha2n3x              （￣▽￣）许愿神恩 许愿神恩"
"名字就叫大梦亿场","女","无IP","11097829","6","拜年祭粉丝专鼠","10000","8","","献祭女票50年寿命换真炎幸魂23333"
"スーパー咸鱼闲","保密","无IP","19955580","6","","10000","8","","好了，琪亚娜看来已经彻底被抛弃了，可以删游戏了"
"当归铃","男","无IP","5157985","6","","10000","8","","我承认，我就是为了八重樱和德莉莎玩的崩崩崩，现在我已经氪不动了，我还是写我的同人小说YY吧( _ゝ｀)"
"欺负狼的小羊","保密","无IP","12264256","6","","10000","8","","神恩强势了22个版本。神恩，永远滴神！"
"真新镇的可达鸭","保密","无IP","26957723","5","","10000","8","","那个女人   改变了深渊"
"天_境","男","无IP","77121276","6","三周年恋曲","10000","7","","就我真炎幸魂是靠樱色轮回攒了一个月换的吗"
"我真的好鈡意你","男","无IP","20576684","5","","10000","7","","这个CG是我看过最好的啦，真滴燃，求bgm啊[小电视_我好兴奋]"
"碧蓝航线测试号1","女","无IP","31049818","4","","10000","7","","这个版本的pv感觉是做的最好的一个"
"暴走的罗罗","男","无IP","4867023","6","","10000","7","","高中生手机被老师跳了，现在只能看着流泪，现在疯狂攒钱，等考试完了弄个全班第一去找他要，然后一口气冲N发635，妈的我要补回全部活动落下的遗憾！！！！！！！"
"未来的脚步2020","保密","无IP","15328229","6","","10000","7","","每次八重樱的就这么燃，果然亲女儿"
"罗伊Roy华威","男","无IP","516838","6","","10000","7","","感觉人妻8从人设风格上更像鹦鹉啊,都是日本战国风,配西洋风强袭略违和"
"爱听小曲儿的han大人","男","无IP","7699854","6","","10000","7","","哦哦，我懂了，精准半价一波清光我的库存水晶，接下来新人一出我又得氪氪氪了，我还是继续攒s8的骨灰盒吧"
"百里留香","男","无IP","11025219","5","","10000","7","","时隔一年再看这个pv还是一样燃"
"亚德安黛","女","无IP","99179741","6","","10000","6","7","看来看去，还是1.8pv最好看。"
"devil-cosmos","保密","无IP","3840404","6","","10000","6","","普通八出了，冰八出了，炎八如今也出了，彩虹八什么时候才出呢（笑），那王八和贴八呢？（滑稽）"
"地瓜为什么这么甜","保密","无IP","166271018","4","","10000","6","","看到老婆们被日本猥琐男玩弄，我就伤心"
"FunctionX","保密","无IP","627213","6","","10000","6","","爱酱我跟你讲，1.8我要拿你的头锤崩坏兽（滑稽）"
"西行寺_幽幽子_","保密","无IP","12835737","6","","10000","6","","只有我错过了350水晶么(；ω；`)"
"balāBLA岚","男","无IP","27226661","6","","10000","6","6","即使有了黄金叉烧鹅，还是喜欢用盐巴。独特的输出方式，超爽的大招，我愿称之为最强女武神！没有什么比打追击残心值更舒服的攻击方式了！[热词系列_泪目]"
"Moe_Creeper","保密","无IP","5717323","6","","10000","6","","最燃PV，不接受反驳。"
"Der_ewige_","保密","无IP","40706613","6","","10000","6","4","看了那么多版本宣传pv，还是感觉这个最燃"
"天心玄","男","无IP","12361012","6","","10000","5","","刚入坑就是这个版本，一发抽出了神恩和真炎，我曾以为我是欧洲人，将近一年过去了，我不过是用了一生之运罢了，前段时间的神恩扩充，又是一发入魂，嗯,,,真香,德莉莎世界第一可爱"
"空城寂灵","保密","无IP","37222680","6","","10000","5","","看完2.2pv梦回1.8，最喜欢的pv没有之一，真的，太精良了。不只是cp粉的原因，真的，当初1.8就是，看一次哭一次，天天刷，看的死去活来（虽然到现在也还没有神恩）到现在都还是真的太喜欢这个版本的pv了。希望2.3能好好做啊(╥﹏╥)毕竟真的是除了小失望也没啥别的了，因为她们实在是太可爱了，没有办法"
"两把多兰布甲孩啥成分","保密","无IP","570169","6","","10000","5","","许愿神恩颂歌，我舍友说今晚十二点我没出的话他就生吞他的包皮，大伟你看着办吧"
"桐生吔马","男","无IP","3070117","6","","10000","5","","果然还是这个1.8的看着最过瘾(｀ω)"
"神乐天和乐乐乐","男","无IP","455877302","5","","10000","5","","五周年5.2版本过来复习"
"low_kun","男","无IP","175854485","6","贝拉kira","10000","5","","亲爱的up主，很抱歉做了这个决定，希望我们有缘再见吧。因为遇到了一些意料之外的突**况，对我的影响和打击比较大，所以不打算玩B站了。和大家正式道个别吧。真的挺舍不得你们的，这么久了认识了很多朋友。虽然我们互相都不认识，但能够看见你们发的视频真的很开心。谢谢你们带给了我许多的欢乐和感动，谢谢你们一直陪伴在我的身边。这次退B站，主要原因是因为我手机快没电了，我要去充下电，等下充满了，我就回来了。(=ω=)"
"去幼儿园的车司机","保密","无IP","23710729","6","","10000","5","","我的愿望是   让所有人都抽不到（滑稽）"
