"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Antakls狂龙","男","无IP","196213939","6","","10000","1038","","你们见过凌晨四点的洛杉矶吗？没事，我也没有，不过我见过凌晨四点的B站和崩崩崩，那里有一群不要命的大佬们[2233娘_喝水]"
"小柠丶","男","无IP","6736655","6","","10000","495","","只有符华才能击败符华[小电视_笑]"
"Antakls狂龙","男","无IP","196213939","6","","10000","324","","EVYW4YTS7F,ELYYCUDK**,GLUECYBS9X,WUE69REJTH,不用谢我，我叫雷锋[2233娘_喝水]"
"清姬党无所畏惧","保密","无IP","16583566","6","","10000","82","","王司徒:来着可是德莉莎·观星？,德莉莎·观星:…,德莉莎·观星:没错，正是在下"
"心逸゛","男","无IP","4952929","6","","10000","73","","“我们的彩笔的话，是一个比较稳的选手...哎呀哎呀哎呀。。直接被秒掉了”。毒奶天下第一[小电视_赞]"
"月光中心_official","保密","无IP","25289147","6","","10000","60","","大家好我是最后一场左边的解说，跟大家说一下因为【需要给大家展示比赛画面】，因而需要接入信号的原因，【中间座位】和【打单机关】的设备，会被占用相当一部分【设备内存】，操作时会非常非常卡所以不得不选择最低画质。这是当下所有移动游戏赛事的通用连接方式，而其他游戏会通过【连接OB设备】取代【连接选手设备】的方式来缓解这个问题。所以下次尽量出OB系统吧，不然选手真的次次卡爆，有战术都打不出来"
"紫妹芳龄一十七","男","无IP","549256","6","","10000","36","","老言：彩笔单挑没输过[小电视_笑]"
"clannad潮鸣-团子","男","无IP","15892388","6","公主连结凯露","10000","30","","大胆的点这里，送我上热评(=ω=),  ╱,  ╱,  ╱,  ╱,  ╱,  ↙"
"提灯守夜","男","无IP","33919247","6","","10000","27","","昨天晚上睡不着觉，突然想到如果蹦蹦蹦有春节庆典的话会是什么样子。,脑补了一张图，可惜本人并不会画画，只能看能不能为大佬提供一点思路，完成昨晚未完成的梦。,庆典中间放着一排长桌，琪亚娜正兴高采烈地拉着岳父岳母去见芽衣，而芽衣似乎有些紧张，双手背在身后。布洛妮娅正和希尔开心的说笑着，一旁的杏把腿翘在桌子上，一脸不爽的看着她们。姬子拉着浮华的胳膊像是喝醉了一样，浮华闭着眼纹丝不动。一旁的勿忘跟奥拓眼神中擦着火花，一旁的绯狱丸和德莉莎拉着他们，中间站着不知所措的卡莲。,站在舞台上的特斯拉、薛定谔和正弹着吉他，敲着架子鼓，主唱爱因斯坦正卖力地唱着歌。而下一队将要演奏的牛顿、爱迪生好像有些慌乱，同样是即将演奏的普朗克不慌不乱，一身正装的西琳正在安慰慌乱不已的牛顿、爱迪生。,左边临近的另一桌气氛好像也有些不对，坐在姬轩辕跟黑·姬轩辕被个抱一个胳膊的神农一脸尴尬，试图向身旁的两位解释，但是两位好像并未听见他说话一样，眼神犀利的对视着，轩辕剑跟黑·轩辕剑在空中激烈地比拼着，而在沙发后面的精卫试图分辨那个是自己的主人。但是这还算气氛比较和平的，一旁的李耳跟李耳红正在激烈的决斗着，一旁的女娲跟伏羲好像要拉开二人但还是不敢。,在长桌右侧，可可利亚喝醉了一般红着脸向舞台上嚷嚷着什么，好像是在评论她们的歌曲。而一旁的沙皇跟艳后则优雅的多，小口的呡着红酒谈论着谈笑着。靠近大厅右边墙壁上突兀地挂着一张“天命最新武器，五金一件”的广告，长光正在整理桌子上的各种武器，一旁的莎士比亚正卖力地向真田幸村推销，而真田幸村也饶有兴趣地挑选着。在大厅的另一旁，毕加索好像要把这场庆典用画笔记录下来。米开朗琪罗正聚精会神地雕刻着一尊塑像，看着大概的轮廓似乎是琪亚娜·歌姬。德古拉伯爵对着塑像指指点点，好像有些不满意，但米开朗琪罗好像并不在意她的评价。,整个庆典还是一如既往的核平啊（笑）"
"永遠中的一瞬間","男","无IP","7905738","6","","10000","24","","AA操作28分52秒,虽然该是输了，但是面临鸡子不给面子的双雷电+剑阵提前开也毫不畏惧，全程无失误[小电视_赞]"
