"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"黎明前兆","男","湖北","21939609","6","","10000","8063","10","IP老师说：“奥托使用天命的技术冻结了她的时间。”,你天命不会还藏着一手，第五神之键——万物休眠吧[微笑]"
"楚楚初初处处","保密","日本","1522330099","4","","10000","854","","她和符华没有深仇大恨，弑师的不是她，甚至她妈妈还是唯一一个对符华心存不忍的。她五岁就远离家门学武，十五岁出去历练。,而且她和奥托的交集都很拉好感，开头有点“风陵渡口初相遇”那种意思，但后来的感觉比郭襄更淡，得知卡莲存在之后就“止乎礼”了。最多算少女情怀，并没有发展出爱情好吗[辣眼睛],整个线目前看下来还挺细腻且流畅的，虽然想要高呼mhy别坑了干点人事儿吧。,有些极端厨不要给她罗织罪名了"
"弈轩若华","保密","福建","287199184","5","","10000","132","","神州终于有个心胸宽广，气吞山河的角色了，泪目[doge][脱单doge][妙啊]"
"欧阳乐玄","男","湖北","28126249","6","崩坏：星穹铁道","10000","7","","“有道是：「匣中三尺水，吴潭斩龙子，命格为剑，亦贵亦险」。川中有一女，其名唤作李素裳，正应此谶。”,,全新S级角色李素裳「玉骑士·月痕」即将于6.1版本与舰长相会，今天就请舰长跟随本视频，对这位新角色进行初步的探索吧！,,配音演员：,李素裳——陈婷婷"
"孙明樱雪","男","黑龙江","3115110","5","","10000","13","","怎么感觉崩坏3自从今年开始量产s级人物，感觉人少了吗，我刚抽完爱莉，接着又一个s，感觉律者版本之子已经无所谓了一样。"
"宵暗之露米娅","保密","海南","39374538","6","","10000","318","","说到底，符厨讨厌的不是李素裳的人设，毕竟她在剧情里本来就没怎么出现过，没什么人设可言。更何况，真要较真剧情的话，作为敌人，李苏裳已经足够仁慈了。,符厨讨厌的只是李苏裳曾为敌人的立场。,这点我不反对，毕竟直到现在，我对奥托也只是欣赏，远达不到喜欢，究其原因也是曾为敌人的立场。,但如果你非要说李素裳欺师灭祖，哪里做的不对，我就不是很认可了。,有人会指责奥托哪里做的不对吗？不会。因为奥托从始至终，就一直是敌人和反派。,不，主角团不是奥托的敌人，甚至仅仅只是他的工具和棋子罢了。,同样的，当时李苏裳与符华的立场就是敌人。也不要跟我扯什么拯救世界的大义。,如果奥托为了拯救世界放弃卡莲，奥托就不是奥托了。,同样，如果为了大义李素裳放弃了报恩，李素裳也不再是李素裳了。所谓侠客，本质上就是出于自身欲望枉顾世俗规则的人。更不用说她根本不知道发生了什么，她的思想回路仅仅只是报恩罢了。,战斗中，符华也骗了大，互相算计，所谓兵者诡道。,而作为敌人，李素裳已经足够仁慈了。,如果按照这个逻辑，符厨应该对奥托恨之入骨才对。毕竟奥托可亲手杀了符华，只是把她当做棋子，不比李素裳严重多了？,所以，如果不能接受敌方立场时敌方行为的合理性和敌方我方立场的转变，不喜欢她很正常。,毕竟，从小我们接受到的教育，就不包含换位思考，而是胜利。,年轻人非黑即白，太正常不过了。"
"艺术家蔡俆坤","保密","山东","274754607","6","","10000","442","","真红骑士.月蚀 - 无量塔.姬子,影骑士.月轮 - 华,血骑士.月煌 - 德莉莎.阿波卡利斯,白骑士.月光 - 琪亚娜.卡斯兰娜,辉骑士.月魄 - 比安卡·琪亚娜·幽兰戴尔·阿塔吉娜·沙尼亚特·卡斯兰娜,苍骑士.月魂 - 丽塔.洛斯威瑟,玉骑士.月痕 - 李素裳,,狱骑士.月烬,极骑士.月天,夜骑士.月骸,战骑士.月兔,[doge]"
"RX0丶Banshee","男","广西","19061004","6","","10000","7","","[脱单doge]看这架势，李素裳不会也是一个什么都做得到的辅助型角色吧。,冰伤版识律？"
"怎么取得名称都有人了","女","广东","40641203","6","原神","10000","307","","其实我个人是觉得李素裳的角色本身没什么问题,很多符厨主要是因为太虚剑神是符华创出来的招式，但是却是李素裳的大招，而在此之前，符华都没有在大招用过太虚剑神，可能有人会说炽翎不是吗？你自己进游戏看看技能描述就知道了。,,所以导致很多符厨觉得不爽，但是你要说解释起来也不是说就不合理，毕竟李素裳的设定上是一个对武功很认真的人，而且视频也很详细的讲述了，对于任何人她都会拿出自己的杀招来对待。,说白了，对于李素裳来说用太虚剑神是对对手的尊重，但是对于符华来说太虚剑神是只在必要的时候才能使用，所以其实也说的过去。,解释完大招的问题，我就想说李素裳的人设问题。,李素裳本身的人设问题其实是没有问题的，但是问题就在于，没有更多的地方去展现她的人设，以至于李素裳的人设看起来就非常的“单薄”。,在游戏里，唯一能体现李素裳人设的地方就是克洛斯滕镇和符华对峙那里，但是就我个人感觉而言，这里的剧情，除了表现出奥托的算计以外，其他什么都没表现。,为什么让李素裳去阻止符华就是担心符华来了直接一个太虚剑神给他带走了，根本连碰树的机会都没有。除此以外，不光没有把李素裳的人设给立好，还把符华写的特别吃瘪，给人的感觉就是“符华已经非常虚弱了，她已经没有那么强大了”。虽然符华在剧情里本来就挺虚弱的，但是这段剧情写的就好像李素裳是在欺负人一样。,按李素裳的性格，她就是那种对武功认真对待的人设，所以一定会倾尽全力去对付，可是剧情里的描写就好像李素裳想要趁符华没有那么强大打败她一样。,这段剧情属于是符华厨看了难受，然后去说李素裳，李素裳厨看了也难受，然后两边就掐起架来了。而我是属于那种两边看了都难受，本来没什么好掐的，但是问题是剧情就是写的有问题，本来如果折剑录还更新的话，李素裳的人设问题或许就不会那么单薄也不会感觉那么奇怪，但问题就是折剑录现在停更了，而且还有可能不会再更了。,现在不光不知道当时到底发生了什么，让符华和李素裳打了一架，而且还让李素裳的一些行为和心理描写看起来怪怪的。,总之我觉得让两厨掐起来只有可能是编剧和ch没处理好这个问题，我还是希望有个好的游戏环境的。"
"竍朮","保密","广西","351762465","5","","10000","41","10","一个自己门派的后生能和自己战平，就算自己不是全胜时期，祖师应该是感到欣慰才对。再说后来者打败前人也并不是什么值得奇怪的事，这有什么好争的。"
