"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"夏孤临丶","男","无IP","30886618","6","琉晶之礼","10000","4580","","崩崩崩大型纪录片   煌帝国灭国:再放送"
"together吃蝙蝠","保密","无IP","210208024","4","","10000","2211","","规则规定，玩家在两期活动中不会被分配到相同的阵营，也就是说第二期煌帝国的玩家不会再有第一期煌帝国的玩家。为了避免这次把以前煌帝国的友军误伤了，所以这次我建议第一期煌帝国的玩家在第二期还是进攻煌帝国。[滑稽]"
"八雲緋龍","男","无IP","15736071","6","","10000","1976","9","我永远喜欢丽塔洛丝薇瑟"
"爱茵斯碳","男","无IP","86822501","5","","10000","1827","","恶心的不是活动，是人"
"半颗花生丶","保密","无IP","2063215","6","","10000","981","","前排顶上，煌国永不灭"
"一只孤独的狼（gou）","男","无IP","27163303","5","","10000","908","","希望某些地图炮的人能在二期分到自己喷过的国家"
"百草园的迷幻人生","男","无IP","561401","6","","10000","634","","为什么我们要灭煌？应为她们在开演唱会，我们不过抢个城墙看表演有错吗。"
"Polo桑子","女","无IP","276297067","5","","10000","581","7","冲鸭！我要三分结晶！（发出了疯子一般的叫声）"
"逆音★雪","男","无IP","3236640","6","雪未来","10000","393","","二期不会分到和一期一样的国家，也就是煌一半海盗一半天命，然后原煌国就会展开复仇行动，然后。。。煌国又完了[2233娘_无言](我已经看到剧本了"
"柚恩今天也很努力","男","无IP","37792559","6","请吃红小豆","10000","391","","别什么锅都推给策划 活动做得不好就骂ch恶心人 要是明知道ch会恶心你 你还能打起来 这真正愚蠢的人是谁 自己心里面明白，真是瞎让别人看笑话 自己心里没点数[傲娇]"
"某放弃治疗的取名癌","保密","无IP","85951982","6","","10000","66","","丽塔刚刚跟百万清洁工表白，没两天全叛变了。,为了不辜负丽塔的心意，我决定了，第二期打煌，把丽塔老婆抢过来"
"竹窥月","保密","无IP","19179922","6","希萝Hiiro","10000","46","","有那么一群人，他们默默的翻着评论区却不写下评语,把自己的故事藏在心里，一个人承受着喜怒哀乐。你好!路过的陌生人，我顶你个肺"
