"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"三千界___切那","女","陕西","240787975","6","","10000","171","","第二部也别整别的，来个后日谈+第一部的高清重制版吧。崩坏3真的是米哈游笔下最完整、最二次元、最优秀的剧情了。现在一堆原友还没接触过，这是一个大好的引流机会，顺便让崩坏这个IP走得更远。,星穹铁道即使挂着崩坏的名字，但剧情也没有崩3这种感觉了。"
"-Adark轨迹-","保密","广东","6433983","6","天依游学记·歌行","10000","102","","舰长的作用在最后用上了，目前评价也是好评更多，平平稳稳才是真。接下来第二部的主线也该把摆渡人那边线提上来了，铺垫了那么久，而且不停切换身份游走在各个世界泡开后宫(大雾)。。各个世界泡寻找某样东西，有那种热血冒险动画的既视感。而且舰长作用更大更有存在感互动感也更好。不过不管第二部会怎么发展吧，某些人说的第一部结束就可以直接脱坑了，我暂时选择继续观望和玩下去。期待第二部的剧情。最后，琪宝晚安。"
"海上神秘人","男","福建","454726305","5","","10000","33","","突然想到，这款游戏的结局，有没有可能是现实的一个映照？,毕竟现实当中的生离死别，大部分都是平平淡淡的。,或许平平淡淡的结局，能联想到现实的我们，但我们所要做的，就是要将这种精神薪火相传，为自己创造出属于自己的美好世界，难道不是吗？"
"识鸢Yo","男","贵州","418168795","5","","10000","290","","带入不了剧情的就4种人,①带过节奏或跟过节奏的，尤其是近期,②入坑时间不长的，对这个故事没有情感积累,③断断续续退坑的，偶尔在剧情爆发的时候回来一下,④总是看剧情不认真，抓不到重点的,当然不是说你有这些情况就一定代入不了剧情，而是说你代入不了剧情是因为这些因素,欢迎补充，欢迎代号入座[崩坏3_吃咸鱼]"
"是书斋啊","男","广西","28962005","6","","10000","14","","哈哈，猜对了，我就知道崩三的结局，果然是《终》结局，不是《真心为你》结局。身为eva信徒和崩坏8年老粉，我单看剧情就知道，崩三选的是好结局"
"识智plus","保密","江苏","703072629","3","","10000","29","","这次节奏怎么说呢，说真的自己被带偏了。很害怕，很害怕再一次对琪亚娜产生不信任[大哭]琪宝我错了只有真正过完剧情才知道终焉这样设计的含义是什么，谁说终焉不能打棒球伸懒腰？现在看来那真是太行了！谁说终焉一定要灭世？守护才琪宝会做的事！"
"蒜香大闸蟹","保密","福建","1381688165","5","","10000","30","","预告了，又仿佛什么都没预告，都是以前短片的画面，,你是懂预告的"
"天天好心情鸭","保密","北京","496312848","5","崩坏3·天穹流星","10000","15","","疯狂刷新的你真的很,。,。,。,。,。,帅[脱单doge]"
"嘉然今天吃包菜","男","广东","205036559","6","乃琳Queen","10000","8","5","这首歌的高度大概有Moon Halo一样高"
"X刃X","保密","江苏","2010305883","4","","10000","9","","不是，我老祖短片呢？"
"世界之大X","保密","湖北","3461577258830046","3","","10000","16","","漫长的成长，最终还是结尾了。,在场的崩三玩家交个朋友吧"
"鲨勒霓獁","男","云南","56137324","6","斯莱特林","10000","9","","那天我生日，最好的生日礼物[脱单doge][脱单doge][脱单doge]"
"鲸念唸","女","江苏","687968283","5","","10000","11","","看着崩坏三完结。。。。玛德怎么讲呢。。。。看女儿出嫁的感觉"
"想了好久才取的名","男","河北","523278209","5","","10000","9","","还有最后半个小时[打call]"
"难受的路人","保密","江苏","243230852","5","","10000","16","","6年前，我来了，6年后，你走了，现在我该去往何处呢"
