"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"exp_nero","男","无IP","28170763","6","EveOneCat2","10000","12185","","看见了吗，这就是大家用水晶堆起来的动画"
"掉线狂魔☆火星","保密","无IP","520492","6","","10000","4651","10","[芮小凸小凹_震撼]哇啊啊啊啊帅爆"
"谁家的猫咕咕呀","女","无IP","16379092","6","少女前线","10000","5838","","米哈游这动漫公司我挺喜欢的，就是有些喜欢不务正业搞什么游戏发展。"
"死亡人鱼","男","无IP","5725190","6","","10000","1067","","我看到神抛弃了这个世界，战争，牺牲，孤独，毁灭，绝望，但这一切都已过去，因为今天，神！也会加入补充补给，然后臣服于我[2233娘_耶]"
"焦糖西瓜ix","男","无IP","2549638","6","","10000","791","","tx:听说国漫要崛起，那岂不是......,mihoyo:没错，正是在下"
"ATLAS-阿斯塔特","保密","无IP","563120","6","少前小剧场","10000","384","","这是一部我能理直气壮的告诉大家我有投资的动画"
"晚风追星丶","男","无IP","27743952","6","","10000","320","","(=ω=)报告   由于战争期间休伯利安号要动用主炮，介时将停止其他无关设施的供能，请舰长自行爬楼梯上来   电梯停用"
"灰暗的神父","男","无IP","181281","6","","10000","206","","几张画面中能猜出，天命岛基本被炸完了。,西琳的能力空间也已经展现出来，这个的确不是终焉律者。作为目前最具有BOSS气场的西琳漫画中正面和二代瓦尔特对上，这部里更是控制了大量崩坏兽，如果说在对瓦尔特时身边只有龙和阿湿波还被二代瓦和齐格飞干掉了导致当时只身对上塞西莉亚，那么这里的确是作为女王身份登场的。,对于后续剧情猜想，奥托所说已经将神踩在脚下就表示对于西琳觉醒他完全保留了能够控制其的后手，但是计划不可能成功的原因也体现出来了。,一，符华的叛变。,这里的叛变很有可能直接对上幽兰黛尔，西琳和出现和奥托对于符华的约定完全作废，因为律者是以灭世为行动前提的，奥托和约定矛盾符华也就没有必要听命于他。,二，齐格飞的死活。,由于各种情报不明确，但是漫画中的确是出现过少了一只手的齐格飞，老色鬼活着的可能性比死了要大，那么这种时候再不出来就显得跟不上剧情了，有可能已经潜入到天命内部时和奥托边上那个真草履虫相见后发现双方立场已经完全对立而放弃救出亲生女儿而是转变现有格局去和德莉莎会合。,三，女武神犹大觉醒,这次剧情到结局的篇幅估计会相当大，可能会花掉从第一章到现在目前更新为止的所有时间甚至更长的篇幅来更新，其中发生的事也会相当多。,如果说奥托的败是剧情上一定会出现的，芽衣和艾茵的战场是正面对抗西琳，姬子和红毛双马尾是面对丽塔和天命残部，那么会站在奥托面前的人选中最有可能性的就是自己的孙女德莉莎了。,犹大的觉醒可能会和卡莲的灵魂有关，因为这是奥托目前为止无法用科学解释的东西，这会导致奥托在最后做出什么对战局形成改变。"
"ナイチンゲール丶","女","无IP","17253873","6","","10000","172","","mei关系 还能樱 布要怕 我们打德过 别符输[小电视_笑]"
"白玉兰罐装饼干","保密","无IP","208897624","6","","10000","120","2","能不能做个24:00的短片让我过把瘾"
