"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"黑域炎龙使","保密","无IP","34167345","6","至尊戒","10000","11189","","搏一搏，小兔变摩托（来自某烤箱的感想）"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","5487","","这太短了，我觉得不行！！！"
"无量塔姬子真红的凯旋","保密","无IP","33427674","6","","10000","6356","7","女王《女王降临》,真红《最后一课》,板鸭《天使重构》,月光《Rebrun》"
"柚叶梓","男","无IP","23466839","6","","10000","3293","","战骑士月兔？"
"圈圈交叉","保密","无IP","184437200","6","","10000","2880","","鬼火一响，可可利亚白养"
"ぶたたぁQAQ","保密","无IP","23561742","6","","10000","2758","","头发长了，可是长不了的终究还是没有长[蛆音娘_滑稽]"
"截雨扬荷","女","无IP","22120269","6","hanser","10000","2442","6","板鸭主场来了，别又像去年一样，明明是板鸭过生日，结果分最低，领地最少[委屈][委屈][委屈]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","1694","","希儿特别想念舰长,。,。,。,舰上的布洛妮娅姐姐呢"
"叶洛西风","保密","无IP","5779601","6","","10000","1616","10","天使重构x,小兔重构√"
"Sreed_Kira自闭中","保密","无IP","289375941","6","崩坏3·天穹流星","10000","1276","","110？这里有一群萝.莉控"
"我的Z","男","无IP","11024616","6","","10000","1136","","板鸭迷失在量子之海中，郁闷了很久明明我的重装小兔是红莲螺旋机怎么会莫名消失。此时希儿说姐姐：我之前看到一个人骑着小兔走了拦都拦不住，只能听到一个渐行渐远的声音“打工是不可能打工的～”"
"二分之一定律","男","无IP","24806919","6","年度打卡挑战","10000","889","5","板鸭变天鹅了？？？[2233娘_吃惊]"
"カセイ-Kasei","男","无IP","4069050","6","","10000","705","10","布洛妮娅：“说出来你可能不信，我是路过的女武神、世界的破坏者、大逆熵的圣女。拥有穿越世界的能力，并且能和别人结谛羁绊后再现其他人的力量。”,[2233娘_耶]"
"萌控黑长直","保密","无IP","328887","6","","10000","438","","希儿：让我来看看是谁又来插队我的S级装甲了！[生气][生气],布洛尼亚：正是在下！,希儿：哦，是布洛尼亚姐姐啊， 那没事了.[微笑][微笑]"
"夏侯靖轩","男","无IP","5424669","6","","10000","573","","我来辣！！！！！我的布洛尼亚！！！"
"带着宇宙队偷电瓶车","男","无IP","155551185","6","崩坏：星穹铁道","10000","403","","布洛尼亚，你的双涡轮增压呢？？？"
"二分之一定律","男","无IP","24806919","6","年度打卡挑战","10000","470","5","不愧是米忽悠，能同时做cg，做动漫，做游戏[doge]"
"燕青色","保密","无IP","347825452","5","","10000","463","","庆贺吧,继承全女武神的力量,超越空间,链接量子与现实的空间天使,其名为天使重构,此刻正是其诞生的瞬间"
"纹输菩萨米哈游","保密","无IP","32832617","6","三周年恋曲","10000","153","","崩坏三散发人均天使颜值"
"Epicornis","保密","无IP","165605410","6","","10000","289","","hanser世界第一可爱！"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","52","6","hhhhh官方居然比玩家慢~爱酱你偷懒了！"
"KAZEHANAO","保密","无IP","47493821","6","","10000","148","","说但丁的估计是也是云玩家才干的出来，我TM都一时没反应过来，怎么就但丁了，板鸭难道还手撕摩托？我真的是服了，别扣什么米卫兵的帽子，玩网络的无非就是扣帽子，玩孤立，到处婊嘛，看不出来嘛，要是这样啊，emmm行啊，假面骑士全部骑摩托，婊他们去，不止这个，不知道的还以为鬼泣是辆摩托不是游戏[嫌弃][嫌弃]"
"伊德亚","保密","无IP","20740776","6","物述有栖","10000","31","","那么问题来了当板鸭实装后我能在八重村骑着摩托飙车吗"
"shinano信浓","男","无IP","3095471","6","原神","10000","230","","鸭鸭冲鸭！[小电视_我好兴奋]"
"Taylah","男","无IP","31278344","6","嘉然今天吃什么","10000","30","","bronya骑竟车[画风突变]"
"顶级死法_","保密","无IP","2064320","6","","10000","163","","量子之海=镜世界,律者核心=契约兽,女武神板鸭=假面骑士板鸭,小兔=摩托,崩坏3龙骑说"
"暮雨闪光","保密","无IP","162652055","6","希萝Hiiro","10000","28","","事实证明，平板实力占据了崩坏的半臂江山"
"焦了的煎蛋","保密","无IP","211905792","6","","10000","149","11","Reburn       4.39,女王降临    6.24,最后一课    7.07 ,我仿佛知道了什么，不要停下来啊啊！！"
"LostIn天依","男","无IP","37479941","6","洛天依8th生日纪念","10000","32","3","我越来越发现我是一个没有立场的人。女王刚出的时候我喜欢女王，看最后一课的时候又喜欢姬子，现在，我只喜欢板鸭..."
"我是潘塔罗涅的修狗","女","无IP","11404086","6","","10000","76","","这个板鸭头上的尖尖角，冰塔头上的尖尖角，冬之公主头上的尖尖角，凛冬女帝头上的尖尖角——这个尖尖角是崩坏的化身"
"隔壁の欧皇","男","无IP","21916286","6","","10000","25","","从感性分析的话，官方说过会有和量子相互克制的迷之新属性，这个新属性个人猜测大概率是虚数属性，正好对应从量子之海获得量子属性的希儿，姬子从虚数空间出来后也获得了虚数属性，那么这里开局的虚数空间特效就有可能是姬子在虚数空间搭了把手，而且参考符华和希儿都是苦等一年才实装，姬子应该也快捞出来了,然而理性分析的话那个特效应该就是团本boss特拉洛克出来搞事，考虑到团本的地图是海渊城本身就在量子之海门口，那特拉洛克出现在量子之海也是理所当然,但是我是真的希望姬子阿姐能早点回来[大哭][大哭][大哭]"
"幻影月星","保密","无IP","1478355","6","","10000","66","","看了一圈评论区和弹幕,假面骑士观众：玩梗，原作石森章太郎,游戏王5ds观众：玩梗，riding duel，acceleration！,鬼泣玩家（部分）：抄袭，骑摩托就是抄,骑摩托不是万物起源，求求你们等布洛妮娅把摩托分两半打人的时候再来喷抄袭吧,现在就是开个摩托，我觉得“和人争辩这不是抄”的行为，就已经中了某些人的计了"
"你对组织很忠诚","保密","无IP","342808646","6","泠鸢yousa","10000","57","7","知道重装小兔有几种用法吗？(=ω=)"
"zj2009","保密","无IP","7829854","6","","10000","183","5","别看到摩托车就但丁但丁的，只会暴露无知，骑摩托车的角色多了去了。"
"板上青诗","保密","无IP","192367084","6","泠鸢yousa","10000","20","","一年前的草履虫觉醒成为女王；半年前的姬子以凡人之躯成功弑神；现在板鸭也开始了自己的故事；芽衣真的好惨啊，御三家只有你被吊打╮(￣▽￣)╭"
"香蕉番茄长颈鹿","保密","无IP","2679414","6","hanser","10000","132","","布洛妮娅战兔说,1战兔使用R&T进行战斗，布洛妮娅使用重装小兔也是rabbit;,2战兔的老鹰加特林的主武器是机枪，重装小兔也可以装备机枪；,3战兔喜欢说“胜利的法则已经决定了”，布洛妮娅说“S级战术”，战术也是法则；,4战兔身边有一个老实人，草履虫经常考不及格也是老实人（暴论）,5战兔身边有一个职业搏击手，符华班长也是格斗达人；,6战兔身边有一个土豆佬喜欢燃烧心火，圣芙蕾雅的学园长是个苦瓜佬也喜欢发射犹大（迫真）,7战兔是工具人，布洛妮娅在乌拉尔银狼时期也是工具人；,8喜欢战兔的美空是火星工具人，而喜欢布洛妮娅的希儿在量子实验中也被当成逆熵工具人,Q.E.D."
"真酸","保密","无IP","287961056","6","EveOneCat2","10000","42","","为啥这个封面，这个视频总给我一种可以偷电的感jio…咋回事呢？,,哎，爱酱等等我，今天咱要去哪里偷电呢？[洛天依_吃包群众]"
"灼烂之星","男","无IP","259853","6","明日方舟","10000","133","","布洛妮娅，henshin！,是光~是光~  圣芙蕾雅的希望~,西伯利亚的银色之狼~~,卡面来打，fufufu（摩托车油门声） 莱比透！（rabbit）,莱莱莱莱比透~,,(°°)"
"账号已注销","保密","无IP","399656690","0","崩坏3·天穹流星","5000","28","","忙猜评论区打架[嫌弃]骑个摩托成了鬼泣专利了"
"无畏绅士","保密","无IP","16893394","6","","10000","50","","疑似律者碎片的加成；,能够变成摩托的重装小兔；,飞满天的浮游炮；,,这些，都不是布洛妮娅变强最重要的原因，在看到宣传图时我注意到了，布洛妮娅，她双腿的外骨骼被替换成了——大腿袜!!!，而且还是白色的大腿袜，如果是看过崩坏教室的各位，一定会记得，大腿袜在崩坏世界观中是强者的象征。一双大腿袜的战力就约等于一百瓦，有了它才有了在崩坏世界称雄的资格，一直以来布洛妮娅都因为腿部外骨骼装甲无法获得这种装备，而现在布洛妮娅也终于拥有这份力量了!"
"Dr_六月雲","男","无IP","35909322","6","","10000","18","","玩了舟游后：这游戏真好玩，垃圾崩崩崩退坑不玩了,看了原神宣传cg后：米哈游还是nb，坐等原神，崩崩崩靠边吧,看了这个视频：。。。。把老子手机拿来，老子要更新崩崩崩！[2233娘_吐魂]"
"四季银杏","男","无IP","37683103","6","星座系列：天秤座","10000","50","","我跟你说，下个版本要是小兔不能变摩托我就告你欺诈(=ω=)"
"Unknown引信","保密","无IP","95739573","5","星座特典","10000","18","","短片开头，那个背景像是板鸭和父母的合影，但在二崩漫画中板鸭的父亲是在板鸭出生前去世的，板鸭母亲被可可利亚带走，那这个照片。。。不会是又一个世界的伏笔吧。。。[小电视_发愁]"
"Alinris","保密","无IP","7566022","6","","10000","57","","别再有人带节奏了 在很早姬轩辕就是骑摩托了"
"语乱中","男","无IP","27578581","6","乐正绫五周年生日","10000","17","","有重火力的机甲少女,随时随地召唤小兔的替身使者,有众多青梅竹马的后宫王,骑着机车的假面骑士,白丝银发双马尾萝莉,你说，这哪一个不是男人的梦想？"
"LXL无关风月","保密","无IP","123171874","5","","10000","117","","@hanser 您好，您的婴儿车到了，请签收[滑稽]"
"kallen是我老婆","保密","无IP","301083486","3","","10000","16","","没有钻头的鸭子是莫得灵魂的 同意的顶我上去"
"四联装380mmMle1935","男","无IP","18044611","6","","10000","108","","【自闭女王】已进入直播间,【下版本假面骑士是我板鸭哒】已进入直播间,【为什么我的戏份这么少啊我真的是女二号吗】已进入直播间,芽衣：啊终于有我的戏份了,（瓦尔特杨反叛，炮轰天命）BOOOOOOMMMMMMM,琪亚娜：芽——衣——,【为什么我的戏份这么少啊我真的是女二号吗】已退出直播间,板鸭：这谁？有点眼熟，还没想起来就退场了可还行   算了不管了，继续我鸭鸭的奇妙冒险"
"游吟诗人老桑","保密","无IP","298798779","6","","10000","15","","布洛尼亚天下第一!"
"傀儡的夜晚","女","无IP","6014199","6","","10000","43","8","Rabbit，Duck，Best Match！鸭头骑士，henxin！"
"至尊童话","保密","无IP","6602438","6","","10000","29","1","原作 石ノ森章太郎[滑稽]"
"洛安生无忧","保密","无IP","15055732","6","EveOneCat2","10000","65","","懂了，我存水晶。"
"一抹青荷盛南塘","保密","无IP","7071237","6","","10000","14","","某日，大伟正在思考下一版本如何让玩家给自己的别墅添砖加瓦，这时，一策划兴冲冲的闯了进来，大伟很是生气，问他，你有什么高兴的，策划激动的说婴儿车婴儿车！！我想到下个版本如何让玩家648了，大伟很生气，什么婴儿车，你脑子烧糊涂了把，策划说，伟哥， 你看看这个，只见策划拿出某鱼一婴儿车的主播正在飙车视频，大伟看后，一拍桌子了，有了!!就是这个，马上给我做出来，下个月给你涨工资，策划走后，大伟哥对着窗户笑起来，我真是个天才。"
"我爱吃蛋挞7","保密","无IP","166392231","5","","10000","41","","庆贺吧！继承了第一律者的力量，超越时空，通晓过去与未来的理之王者。其名为律者板鸭。此刻正是诞生的瞬间！[小电视_我好兴奋]"
"风尘未晞","保密","无IP","401866598","5","全职高手","10000","13","8","还有人看吗[2021]"
"deathdts","男","无IP","35157711","6","","10000","32","4","女王降临符华凉了，最后一课女王和鸡子一起凉了，天使重构……我觉得你们又要迫害希儿"
"喝水感觉像喝了水一样","保密","无IP","321593211","5","hanser","10000","35","","全毕业大佬:,您说的这个布狼牙，她厉害吗？,咸鱼舰长:她不是厉不厉害的问题啊，她真的是那种，笑起来很看的那种。她的车很帅，开车的样子也很帅，仿佛已经开车十年了。她开车的样子，很可爱。遗憾的是我一个毕业布狼牙都没有。,（噗嗤）,咸鱼舰长:你在笑什么？,布狼牙全收集大佬:我想起高兴的事情。,咸鱼舰长:什么高兴的事情？,板鸭全收集大佬:我布狼牙毕业了。,（噗嗤）,咸鱼舰长:你又在笑什么？,全毕业大佬:我布狼牙也毕业了。,咸鱼舰长:你们，毕业同一个布狼牙？,全毕业大佬:对对，不是，是毕业全部布狼牙了。[doge][滑稽]"
"云鬼云爱","保密","无IP","20721651","6","异常生物","10000","13","","希儿和板鸭的剧情太好看了[小电视_赞]"
"咸鱼升华","保密","无IP","416295911","3","","10000","13","","搏一搏，单车变摩托,伊甸之星超强核心,双涡轮增压,流畅线条,电光孔雀蓝,简约而不简单,你值得拥有[微笑]"
"天罗地区","男","无IP","100923565","5","","10000","32","","崩崩崩就芽衣没有新角色了，太惨了,崩崩芽衣也好惨啊，琪亚娜有终焉圣女挂，九霄有天启终焉挂，板鸭有古文明兵神挂，就芽衣只有个第三律者，真的太惨了"
