"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"KIRA_砂糖鸭","女","无IP","361423961","5","2021拜年纪","10000","1171","6","请各位舰长开始答题,2在波动值380的红莲深渊中，遇到3个精英大盾，正确的处理办法应是 （）,A.放弃战斗关闭游戏，去米游社绑架米游姬。,,B.放下武器坐在一旁喊666并 与崩坏势力狼狈为奸。,,C.放弃战斗，去八重村飙车放松心情。,,D.去攻略站查看推荐阵容。,,3. 世界第一 -可爱的人是 ( ),,A.奥托,,B.德丽莎,,C.大伟哥,,D.迦尼萨,,4.符华在布洛妮娅梦境中的名字是( ),A. 流石贤者,B.赤鸢仙人,C. 神州boy,D.魔鬼筋肉人,,5.樱桃炸弹在使用QTE技能时的台词是( ),,A.光翼展开,B.樱花散,C.超级头槌! ,D. 扭转万象,,6.武装人偶赤鸢之翼在使用大招时会( ),A.恢复当前女武神的生命值。,,B.对所有人使用精神攻击。,,C. 自爆。,,D.被校长扣工资。"
"ウォーリアオブライト","男","无IP","170669123","5","","10000","7104","6","识之律者:从今天起，人偶学园一天一更。"
"时间之类","保密","无IP","86123717","6","","10000","4976","","我：崩坏3新出的人偶动画看了吗,朋友：什么？千人律者出动画了？！,我：[疑惑],朋友：[疑惑]"
"我你疯哥","男","无IP","21219349","6","","10000","28","","那么接下来就由爱酱来为大家介绍一下《崩坏3》中最著名的哎呀！！！！,哈哈哈哈哈哈哈～～～,━━━━━┒,┓┏┓┏┓┃是小N啊！！！！,┛┗┛┗┛┃＼o／,┓┏┓┏┓┃　/,┛┗┛┗┛┃ノ),┓┏┓┏┓┃,┛┗┛┗┛┃,┓┏┓┏┓┃,┛┗┛┗┛┃,┓┏┓┏┓┃,┛┗┛┗┛┃,┓┏┓┏┓┃,┃┃┃┃┃┃,┻┻┻┻┻┻      是小N啊！！！"
"传说中的檀黎斗神","保密","无IP","79584999","6","hanser","10000","1","","0:22的正确答案是,1.B 2.D 3.B 4.A 5.C 6.A,这像极了写暑假作业的我（）"
"HilFinis","保密","无IP","374324541","5","","10000","121","","2，我，就是崩坏,3，魔法少女迦尼萨世界第一可爱，bui～,4，河南符壮实,5，我这个名字里带樱的，qte也带樱，很正常吧？,6，你补给又保底了。氵抽完了还没出货。深渊又要掉级了……,[滑稽]"
"伊仪以逸","保密","无IP","496646974","5","异常生物","10000","2058","","世界第一可爱的人是（  ）[doge],A.奥托    B.德丽莎   C.大伟哥   D.迦尼萨"
"逐火之蛾MSA-209","男","无IP","471013561","5","","10000","341","","1. AI娘的代表物是（）, A西瓜, B.包菜, C菠禁, D芹菜, 2在波动值380的红莲深渊中，遇到3个精英大盾，正确的处理办法应是(), A 放弃战斗关闭游戏，去米游社绑架米游姬。, B 放下武器坐在一旁喊66并与崩环势力狼狈为奸。, C 放弃战斗，去八重村飙车放松心情。, D 去攻路站查看推荐阵容。, 3世界第一可爱的人是(), A奥托, B德丽莎, C大伟哥, D.迦尼萨, 4.符华在布洛妮娅梦境中的名字是(), A流石贤者,B赤鸢仙人,C神州boy, D.魔鬼筋肉人, 5樱桃炸弹在使用QTE技能时的台词是（）, A光翼展开,B.樱花敞,C超级头槌!,D扭转万象, 6武装人偶赤鸢之翼在使用大招时会（）, A恢复当前女武神的生命值。, B.对所有人使用精神攻击。, C自爆。"
"芙蕾O卡琳娜","保密","无IP","382766689","5","泠鸢yousa登门喜鹊","10000","4498","","我成功见证了这个番剧从10分到9.8分，不乏一些恶意刷一星的[doge]"
"月下终别","保密","无IP","628869502","5","","10000","27","","我十连出萤火虫[doge]"
"月影心殇","保密","无IP","503382801","5","","10000","80","","世界第一可爱的是奥托[doge]"
"老喵一只独秀","保密","无IP","37053700","6","","10000","110","11","作业：,第一道看不清,应该选的：dbaca,想选的：2.abc,3.d,4.d,5.d,6.cd"
"银隼_","保密","无IP","162142800","5","崩坏：星穹铁道","10000","6","8","今天舰长不在家[doge]"
"真理之律者-布洛尼娅","保密","无IP","95723538","6","","10000","22","","七天……我等了整整七天！[崩坏3_哭哭]你倒好！一次性给我放出俩！加大力度啊！[崩坏3_吃]"
"剑鎮人生","保密","无IP","482067136","5","","10000","25","","00:22时选择题答案应该是BDBBCA"
"二分之七变战士毒气弹","保密","无IP","30386541","5","向晚大魔王","10000","267","","分解的时候带了一个崩坏结晶，少了什么应该不用多说了[doge]"
"芙芙保护协会_白朝溟","男","无IP","352835636","6","贝拉kira","10000","2032","","好家伙一次两集"
"夜零寒","保密","无IP","13256883","6","","10000","18","","课代表来了，正确答案是,1 D,2 D,3 D,4 D,5 D,6 D"
