"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"埃琉德尼尔biu","男","无IP","314589805","6","崩坏3·天穹流星","10000","3644","8","直播摘要：,,等级上限要提升,我吹爆的新地图,出现了新的人物,来瓜分一亿水晶,就要冬活的编剧,把武器神格觉醒,插入武侠风小说,队伍阵营战开启,的确只有一百水,都在说要出希儿,杀死策划祭天吧,了解真相两行泪"
"沐九Muj","女","无IP","22750093","6","","10000","1882","2","养肝护肝崩坏三[芮小凸小凹_发现]"
"白织天下第一","女","无IP","375153023","6","明日方舟音律系列","10000","1244","","这里是全国广播: 在过去的三十六小时里，中学生经历了有史以来最大的生存危机。 在全国各省一百五十多万教师的不懈催促下，71%的初中生和100%的高中生被全功率重启。 但遗憾的是，目前的寒假作业量，已经超过了全部学生的总输出功率。 中学生，失去了最后的写完作业的机会。 在最后这的几天里，大家回家吧，抱抱自己的父母，尽情享受剩下的日子。 播报完毕。 ,,“作业的90%的物质都是纸”, “我们就差一根火柴” ,“我们还有最后的希望”, “点燃作业”"
"data353","保密","无IP","346136665","6","","10000","1103","","一笔一夜一肝一奇迹"
"迷途鹿茸茸","保密","无IP","87372639","6","","10000","111","","说一下关于这事的个人理解吧,首先大家现在开始使劲攒钻吧，暂时别抽东西了。原因下边说。,这个设计目的可以看出来，米哈游的目的,其一，是优化70+的玩家的游戏体验。原玩家到70级只是时间问题，而刚到70级时游戏体验极差，这是个老问题。现在推出自主选择升到80+，尽量吸引原来的老玩家进入80+区域，划分新分区。但是可想而知80+分区的竞争必然是地狱级的，所以80+的新玩法和各种奖励必须让玩家觉得值得，否则会有相当多玩家仍停留在80级不进行升级。,其二，崩3已经2年多了，此时必须进行一次较大的版本改动，来吸引玩家继续玩下去，同时也吸引玩家继续付费。老玩家已经拥有足够的BOX来应付各种情况，米哈游又不敢真出一个只有新女武神能玩的玩法（这样吃相太难看，反弹很大，最多也就是真红至于氯化钠），可操作空间已经很低，已经很难从老玩家身上骗氪。同时老玩家对现有玩法也早已腻烦，很多只是出于惯性进行游戏。所以此时进行此种较大程度的变革势在必行。,而提升玩家等级上限，增添新玩法与养成正是方式之一。尤其随等级上限的提升和数值的增加，难度必然会随之增加，环境也会随之变化，必然会进行新一轮的装备和女武神的洗牌，迭代掉部分老装备和女武神推出对应新环境的新装备和女武神以骗氪。不过我相信不会一下全淘汰掉，应和原来类似，是个渐进的过程。而一般来说这种和数值相关的洗牌可能会优先影响固伤类的角色和道具。,同时新的玩法和养成，增加了新鲜感和养成线，可以提升老玩家的游戏意愿，防止玩家流失。,如果完美执行的情况下，此次变革对米哈游来说,1、可优化萌新游戏环境,2、可靠新增的玩法与养成线延长游戏寿命,3、可迭代女武神，拓展养成宽度，吸引老玩家继续付（pian）费（ke）,但米哈游需要注意的是迭代速度，若过快则必然会变成一波劝退。且如何吸引玩家主动升级至80+也是需要仔细把握的。,这个过程也和直播中所说会在后续版本陆续加入，整个过程必然是渐进、并进行反复验证的。恐怕需要到3.5版本左右才能将大体框架搭好。,可以说3.0版本比起2.0版本，才是崩坏3真正的资料片，若能全部完成，可以说是崩坏3的《燃烧的远征》。但做不好则会立刻变为一波劝退，且流失的均为质量较高的核心老玩家，后果也是非常严重的。,而作为玩家能做的，就是从现在起当好仓鼠，待新的框架大体形成后，再去抽卡。"
"-中二の少年-","保密","无IP","396056221","5","","10000","107","","从大伟哥不管崩三的第一天起，就再也出不来了,,希儿，错失了最后的被她姐捞出来的机会,,受策划犯二持续增强影响，希儿将于3.0版本更新时丢进废稿箱,这是一场注定徒劳的声援,,MAYDAY MAYDAY MAYDAY,,官方水晶太多无法维持玩家呼声，官方水晶太多太多无法维持玩家呼声！,,看来，粉丝们只能靠信仰了,,多久以来玩家和粉丝从来没有如此大量的热爱一个角色,,这不是简单的声援计划,,我们摊上大事了,,warning,,出希儿投票system falling,,correction,,反对达到两亿,,correction,,反对达到五亿,,correction,,correction,,correction,,correction,,correction,,嘟嘟嘟嘟————————,,为了我们的希儿,,我们已经没有什么不能失去的了,,这是要上封神榜的，你疯了吗,,这么做等于同归于尽啊,,是不能再氪金了,,仓库里几百圣痕,,我女王鬼凯全TM白氪了!,,你要想好,,这是我们唯一可以让希儿出的机会了,,快啊,,快啊,,快啊,,我原以为米忽悠一塌糊涂,,现在才知道,,希儿不好出"
"MK七君","男","无IP","203263405","6","黄绿合战5th","10000","92","","这一天希儿又来到了文具店,老板：你怎么天天来买小本本啊，记什么这么多？,希尔哭着说：不够啊QAQ"
"绯红辣椒油","保密","无IP","107853207","6","","10000","86","","策划：我们要出新角色了，跟量子之海有关,玩家：难道是……,策划：没错，就是武器娘化！,玩家：……,,策划：我们要出新角色了，跟布洛妮娅有关,玩家：难道是……,策划：没错！是山吹的增幅核心！,玩家：……,,策划：我们要出新角色了，该崩坏2有关,玩家：终于出了啊，这次一定是……,策划：没错，就是杏玛尔！"
"imo君","保密","无IP","88162844","6","","10000","82","","希尔：你们这个是什么直播啊，你们害人不浅啊你们这个直播，真是太过分了，你们搞这个直播干什么？我都拖了16个版本了，你叫布洛妮娅怎么办啊？我都当了这么久卫星好不好？你们这是什么直播啊？谁是策划？快点出来，再不出来我就把你们全都杀了！（纯手打）"
"独言善断","保密","无IP","46036735","5","","10000","51","","布诺妮亚打出了一张无中生友，获得了两个朋友"
