"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"月华华华华华华子","保密","无IP","316319966","5","崩坏3·天穹流星","10000","8658","5","一小时内音乐区登顶，舰长们做得到吗"
"殇璃伤痕","保密","无IP","274246927","5","少女前线","10000","819","","幻塔：你们就屏幕放个动画怎么那么多人？？？,崩坏3:干翻原神！崩坏永存！,幻塔：那个……,原神：崩坏已死！原神当立！,幻塔：我说……,当崩坏3和原神对视两秒过后……,崩坏3＆原神：干翻内存！崩坏原神！"
"泪-晶","男","无IP","501028801","5","良辰美景·不问天","10000","974","","三蹦子，隔壁旅行者让我给你带个话。,。,。,。,。,。,。,现在你赢了，我们晚上走着瞧[doge]"
"岚七灯","男","无IP","44925972","6","2021拜年纪","10000","1720","5","粗略扒了下谱，这三句的旋律也是几乎一样的，细节拉满，如果拿简谱写一下：,《Nightglow》never let you go   35232,《Moon Halo》I will never go      35232,《Rubia》to find the way back home         27521,《Moon Halo》Theres a way back home    21721   ,《Starfall》I want no tomorrow or yesterday                  3-623545323,《Moon Halo》Brighter than tomorrow and yesterday  3--2354-323"
"点击变成杂鱼","保密","无IP","496698144","5","","10000","125","","今天我同学把手机给我看,上面正在放《薪炎永燃》,他想劝我回归，我笑着说了一句：,“滚”,·,·,·,·,·,·,·,·毕竟,,从未离开，一直都在，怎么回归[doge]"
"鲤霂乾","男","无IP","358771439","5","","10000","3500","","旅长来泪崩了,所以,。,。,。,。,。,。,。,。,。,。,。,人家旅行者也要听歌[委屈],人家也要看动画片儿[委屈]"
"煜之LORA","女","无IP","31992729","6","大航海嘉然","10000","13436","","茶理理是崩坏三第一个动画短片《Reburn》的歌手,TetraCalyx是《崩坏学园2》芽衣的配音，也是这次的作词和作曲,Hanser一直是布洛妮娅的配音，也唱过动画短片《天使重构》的印象曲《Cyberangel》,这次的歌约等于御三家唱的了,[原神_哭哭][原神_哭哭][原神_哭哭]"
"斷虹霁雨","男","无IP","563634","6","公主连结凯露","10000","158","","lz今天就是mwb，高强度巡逻走起！"
"执小缘","保密","无IP","35748562","6","","10000","22194","","听说了吗，草履虫和千人律者打起来了！, -那鸭鸭呢？,鸭鸭在挨揍。,-……,还被揍得很惨。,-……,还要被迫营业唱背景音乐[脱单doge]"
"亲亲果果么么哒","保密","无IP","17820076","6","","10000","9169","","《Moon Halo》这首歌最绝的是，从2分10秒开始的一小段背景吟唱，四句歌词或者旋律都对应了之前的四首歌，第一句歌词的旋律最明显，能很容易听出来是nightglow的“never let you go”，正好对应如今琪亚娜的回应“I will never go”，最后一课上姬子的宣言“绝不会放弃你”到天穹时期的琪亚娜曾有一段时间的自我放弃，到现在的薪炎之律者“我绝不会逃避”；第二句歌词“There’s way back home”对应rubia的“to find the way back home”，旋律上不太明显但歌词是对应的，琪亚娜承诺要带所有人回家，芽衣，大家都在等你回来；第三句歌词“Brighter than tomorrow and yesterday”对应starfall的“I want no tomorrow or yesterday” ，我不需要过去和未来，我就活在当下，珍惜现在身边的一切，要活的比未来和过去的每一时刻都更加耀眼；最后一句“May all the beauty be blessed ” 是对她们故事的致敬，是对整个崩坏世界的主题“为世界上一切美好而战！”也是我们每一位舰长的初心，从第四句开始，渐入的旋律变为电音，这段电音对应Cyberangle最后那一段的旋律，完全一致。,本来我没觉这首歌有之前几首好听和震撼，但是听到这一小段时突然发现背后的深意赶紧去找之前的歌又听了一遍，串联在一起，感情突然共鸣，我真的哭死"
