"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"我们村通网啦","男","无IP","21010309","6","","10000","319","","威信P3传送门[小电视_笑],第三场第一局为联机关“噩梦深处”，Gungnir队阵容影舞战车真炎，阿狸Van游戏队阵容玫瑰雪地战车，阿狸Van游戏队以3分的微弱优势胜出。第二场面对“教父军团”，两队选用了相同的鬼铠战车玫瑰阵容，最后阿狸Van游戏队仍是以1份的优势险胜。,,,第三局联机关“梦靥”，Gungnir队很遗憾发生严重失误导致团灭，阿狸Van游戏队为大家展示了物理流玫瑰阵容的套路，最终胜出。第三场比赛，阿狸Van游戏队以3:0晋级。"
"原村夜","男","无IP","5103047","6","","10000","232","2","浮华VS浮华,4p23：10。,赞我上去。"
"我们村通网啦","男","无IP","21010309","6","","10000","162","","威信P4传送门[小电视_笑],第四场比赛十分胶着，也同样十分亮眼。第一局“教父军团”，两队均选择了常用的异能队出战，橘子队玫瑰主C更重爆发，以小比分胜出。第二局“梦靥”，神选者队用三长光（中）圣痕的成功套路率先击杀，而橘子队则为我们展示了吼姆上中、毕加索上中这类平民圣痕的潜力，同样打出了很高的伤害。,,,第三局面对“影骑士·月轮”，神选者队用影舞（带地藏御魂）战车圣女阵容通关，而橘子队选用了最新推出的符华角色出战，展示了女武神·迅羽出色的破盾、输出和续航能力，最终获胜。（在比赛中被打了一下午的符华终于站了出来……然后打死了对面的自己！）,,,第四局联机关“虚空之匣”，两队分别选用了战车和神恩的聚怪阵容。最后一局的地图是今天比赛全程唯一一次出现的“飞机x符华”（可能真的很棘手所以一直被禁用……但是符华又要被打了！），两队阵容相同，均为影舞次元鬼铠，影舞装备雨后誓言。神选者队选择保留次元团队技能，先干掉飞机后再凭借爆发秒杀符华。橘子队开场就释放次元团队技能，但很可惜随后的输出没能跟上，导致耽误了时间。最终，神选者队以3:2晋级明日的半决赛！"
"我们村通网啦","男","无IP","21010309","6","","10000","143","","威信传送门 P1,第一场第一局地图“被诅咒的英魂”，水晶填海队选择机械队主QTE流输出，绯嘤动物园队则选择了鬼铠玫瑰真炎的元素输出阵容。第二局单机地图“影骑士·月轮”，水晶填海队影舞浮空输出、战车闪避百手输出、山吹防御辅助；绯嘤动物园队上阵三板……布洛妮娅阵容，银狼小兔吸引仇恨，战车、雪地兼顾输出辅助。,,,接下来的三局地图“梦靥”、“虚空之匣”和“卡莲x教父”，水晶填海队均选用了月光、神恩和异度黑核侵蚀的生物阵容（夭寿啦，宇宙队逆属性压制揍泰坦啦），发挥稳定扳回三局。绯嘤动物园队很遗憾在第四局发生失误，接下来在第五局中为大家献上了「天火圣裁」x3的阵容，嗯……为我们的比赛增添了不少乐趣！,,总之，第一场比赛水晶填海队以3:2获胜！,,[小电视_笑]"
"乌萨斯之春","保密","无IP","32636406","6","良辰美景·不问天","10000","72","","友谊第一 彩笔第二"
"一盏青灯吖丶","保密","无IP","42470959","5","","10000","51","","今天我生日，  我想上一次热评。。。。。。。( _ゝ｀)"
"绘梨衣永远喜欢路明非","男","无IP","66021863","6","","10000","46","","心疼一波沐戮，旁边那个解说真的全程划水，全靠沐戮从1点多讲到6点"
"じじはおやん","保密","无IP","22575036","6","","10000","36","","劳模龙一到测试服，关卡所有的boss都看着他笑，有的叫道，“劳模龙，你脸上又添上新伤疤了！他不回答，对柜里说，“温一块崩坏结晶。”便排出九个崩坏能。他们又故意高声嚷道，“你一定又被人当伤害测试靶了！劳模龙睁大眼睛说，“你怎么这样凭空污龙清白……”“什么清白？我前天亲眼见你在符华新角色体验关卡里，吊着打。”劳模龙便涨红了脸，额上的青筋条条绽出，争辩道，“测试不能算打……称托！……律者眷属的事，能算打么？”接连便是难懂的话，什么“阿符揍扁了成龙”，什么“崩坏白烈拳”之类，引得众boss都哄笑起来：店内外充满了快活的空气。"
"我们村通网啦","男","无IP","21010309","6","","10000","34","","威信传送门 P2,第二场比赛在晚星的两支队伍之间展开，两队的操作都十分稳定流畅，在爱酱的直播间里收获了无数“666”的弹幕>.<,,第一局地图“地藏御魂”，喵喵屋队影舞主C，3rd圣遗物搭配圣痕西琳上下，打出了很高的伤害，嘤嘤屋队选用异度黑核侵蚀绕后输出，两队选手均凭借精彩的操作，在没有断开连击的情况下结束战斗。,,,接下来的两局联机关卡“虚空之匣”和“噩梦深处”非常考验团队的聚怪和爆发能力，两队虽然阵容各不相同，但都打出了成功的套路。第四局单机关对抗“影骑士·月轮”，喵喵屋上阵紫苑次元影舞的机械队，精准把控了紫苑“正义的落井下石”技能的触发时间，而嘤嘤屋队采用了玫瑰次元神恩的队伍，对玫瑰爆发和控血的把握也十分精湛，最后玫瑰丝血打爆敌人。,,第二场比赛两队势均力敌，操作十分精彩，最终晚星嘤嘤屋队以3:1获胜晋级。"
"yangzl","男","无IP","7542148","6","","10000","32","3","有多少人是来重看记忆战场浮华打浮华的（￣▽￣）"
"葫芦藤上挂着藕","男","无IP","42450887","6","","10000","31","2","真浮华，全程符空敌人+华丽连招=浮华"
"滑个稽没问题","男","无IP","21100040","6","","10000","22","9","鲁迅说过“要用符华打败符华”（滑稽）[小电视_笑]"
"七恰一金棒","保密","无IP","11130547","6","","10000","20","","有个萌新问我 百合学院哪个角色最厉害,我说犹大 第二天 他说我骗他 我说没有啊 ,                              .,                              .,                         ..............,                              .,就长这样 还有个专属武器 德莉莎"
"林写_","保密","无IP","2758257","6","崩坏：星穹铁道","10000","19","","不愧叫崩坏3，直播全程崩坏，等待半小时，比赛3分钟"
"_ZROE_","男","无IP","52970712","6","崩坏3·天穹流星","10000","18","","八重樱：你再怎么厉害你定位也是辅助(=ω=),符华：我打的过月轮(°°),月轮：我打的过月光(°°),月光：我我我我我……………,emmmmm,          月光已退出群聊"
"mindcy","保密","无IP","21331832","6","hanser","10000","16","","4P回复 23分15秒 阿福手撕阿福精彩时刻"
"过眼云烟烟烟烟烟烟烟","保密","无IP","39975123","6","","10000","16","","辣鸡彩笔，我压了你八票，争点气！"
"SayoT2","男","无IP","10416768","5","","10000","16","","就这都不处理这个绯团的两个队？你要直接内定，就直接送就行了，强行演满5局，你觉得观众吃屎不够吗是？你没为你投票的人负责，你也没为看你比赛的观众负责，纯属来恶心人玩的，非演满5局。就第4局强行不救人送死，强行开第5局，然后又表演。这种素质玩家不该被禁赛？第二局7宫内战人家打的好好的，后面每个人都有努力，就你们特么这么特殊，非恶心人？我特么看直播都特么看恶心了，崩3还有你们这种辣鸡玩家？"
"沉默潜航","男","无IP","7812142","6","","10000","12","","4P 23:10迅羽单挑月轮"
"星茶_冻","保密","无IP","11870924","6","茶啊二中","10000","11","","其实解说一唱一随也挺好的，至少比两个人一起讲乱好"
"AIive22","保密","无IP","1767743","6","","10000","11","","感觉最精彩的还应该是天火自杀小队的精彩表演[小电视_太太喜欢]"
"Mei汁衣想要光辉mm抱抱","保密","无IP","87451559","6","公主连结可可萝","10000","11","","清真分子游侠琪亚娜、自爆卡车月光琪亚娜、自爆吉普车圣女琪亚娜()"
"ネ缠三流笠子","保密","无IP","68114542","6","","10000","10","","手游阴阳师都要出动漫了，崩崩崩啥时候也出啊？泡面也好啊(￣3￣)"
"花無十日紅","保密","无IP","881203","5","","10000","10","","感觉这里迅羽选择的招式还是比较容易循环的，开场乱雷+云岚，破盾了就一直在打云岚（而不是开天）攒sp，盾回复了就用极霹雳+云岚再破盾，然后再云岚攒sp。期间穿插闪避后的重击。标准教学。,感觉剩下的就是配装的问题了，比赛用的这算是打月轮或是单体人形boss的专用套装了。不过肯定不能说这个就是毕业套。,还有SS是不是也有很大关系？我迅羽才S，拳拳才几百，伤害差距真的很大。"
"Notclear_","保密","无IP","21443246","6","","10000","10","","B站最近怎么了，一群人在那发假兑换码，b站的素质到此为止了？"
"飞翔的枣泥维他奶","男","无IP","2138577","6","","10000","10","","绯团公然打假赛是真的辣 鸡，这团一生黑了"
"柒染悦儿","女","无IP","26951521","6","","10000","10","1","直奔浮华去的还有谁吗？"
"目标是成为大国手","保密","无IP","88789608","6","乃琳Queen","10000","10","","浮华打浮华那把。坐标4P23：20秒。"
"墨绿盛夏","保密","无IP","11382348","6","","10000","9","","不就不能摸了嘛，宿舍什么的还在啊。大惊小怪的，反正我最开始喜欢崩3就是因为它的动作和画面，又不是因为能摸"
"MMMMiO--","女","无IP","37482574","6","","10000","9","","橘子队符华打符华23.21，不用谢我(=ω=)"
"星茶_冻","保密","无IP","11870924","6","茶啊二中","10000","8","","哪来那么多弹幕大神（ーー；）你那么厉害怎么没请你参加线下赛？"
"默彷是我啊","保密","无IP","34880652","6","","10000","8","","左边解说可以更自信一点的"
"平安网恋","保密","无IP","25010392","5","","10000","8","","ELYYCUDK**   GLUECYBS9X 今天的码，赶快领，直播结束就领不了了"
"Lesslie_","男","无IP","34717288","6","希萝Hiiro","10000","8","","爱酱爱酱。他们比赛用的 手机是什么手机啊"
"wdnmd真就中奖绝缘","男","无IP","128736114","6","","10000","8","","看过直播的和我一起喊：2800就当无事发生"
"北原沐雪","男","无IP","14987272","6","原神","10000","7","","认识工作人员“大魔王”的举手"
"ATXY-SU","男","无IP","11134295","6","","10000","7","","我只想知道那天直播为什么一直都是大伟哥吃蛋糕的视频，而且还一直在重复[小电视_嘟嘴]"
"团子","保密","无IP","13632342","6","","10000","7","","苹果手机在充电状态下，屏幕会短路，尤其是联机，触屏错误尤其严重，导致雪地频频失误"
"酱酱喜欢吃拉面","保密","无IP","141512255","6","","10000","7","","看了几场比赛后开始抽补给。。。。,我是不是把稽子的窝同烂了？,矿场疾风×3,凯旋×1,熔核×4,玫瑰。。。。。×0(￣△￣)"
"群群","男","无IP","2853","6","","10000","7","","大家看了橘子的浮华后表示纷纷入坑，然后纷纷表示我擦哦。"
"合法G44","男","无IP","3379472","6","","10000","7","","这符华真是绝了！什么是大佬！见到了"
"白音梦见子","保密","无IP","16362825","6","异常生物","10000","7","","万年老二彩笔，不是自杀[2233娘_耶]"
"云端之上的守望者","男","无IP","2519447","6","","10000","7","","我还在肝符华碎片升到s ，早跟群友说这符华不弱的就不信[小电视_嘟嘴]"
"笛子菌33","保密","无IP","15972446","6","","10000","7","","这尼玛浮华太帅了，都忘了原来他们队输了，昨天的主角[小电视_赞]"
"7gugu","男","无IP","2093092","6","","10000","6","","这游戏居然还能比赛Σ（□；）"
"構本海大魔王","保密","无IP","31300757","6","","10000","6","","都没人看( _ゝ｀)"
"枞茨封神","男","无IP","12293417","6","","10000","6","","求求你们请个弹幕大神去解说吧(｀ω)"
"BK其名黑杰克","保密","无IP","14860392","6","明日方舟音律系列","10000","6","","三天火自杀小队笑死我，哈哈哈[小电视_赞]"
"每条鱼都爱你","保密","无IP","573319","6","","10000","6","","左边解说：你有没有发现怪物血掉得特别快。 嗯我瞎我发现不了"
"BismarckDrei","女","无IP","3135040","5","","10000","6","","难道人家买个冰箱吐槽冰箱辣鸡你还要去反问他你有本事自己去制冷么[2233娘_大笑]"
"AIive22","保密","无IP","1767743","6","","10000","6","","我就想看看昨天的直播黑屏大伟是不是依旧不打算给点啥补偿"
"可口兑百世","保密","无IP","257364878","6","雪未来","10000","5","","建议关弹幕观看"
"冶心","保密","无IP","5550536","6","","10000","5","","爱酱，你们以后请解说可以不要那么省钱吗。至少找几个玩的多的来解说好吧。我一个刚到80级的萌新看这解说瞎说何止辣眼睛。"
"羽生田梦野","男","无IP","10885162","6","","10000","5","","打假赛，呵呵"
"雲凝","保密","无IP","187845","6","","10000","5","","浮华最蛋疼的感觉是开着免伤被破盾了。。。"
"总是想熬夜_","男","无IP","45814617","6","","10000","5","","为了哲学   8票全给van队。。.."
"钱途迷茫sss","男","无IP","8347086","6","向晚大魔王","10000","5","","我只想说手残的浮华别想了。。。。。。。"
"桃花坞里的桃花仙","男","无IP","3982465","6","","10000","5","","我想特意跳到 符华 solo的人不少吧[小电视_笑]"
"女警猹","男","无IP","5672648","6","","10000","5","","绯团演的。。真的是尴尬而且还不尊重观众"
"西条和单推人","男","无IP","33177340","6","良辰美景·不问天","10000","5","","支持哲♂学队，我把8张票全投了[小电视_发愁]"
"喵le个兔子的","男","无IP","3225526","6","","10000","5","","打假赛是真的恶心，这样的话直接内定得了？省的浪费玩家票，赛场来恶心人？"
