"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"执手唤青衣","男","无IP","30946987","5","","10000","719","","我承认我玩过崩坏3rd,但只玩了5分钟 游戏太喧嚣了 ,没有书 并不适合我,我喜欢学习 学习使我快乐 优秀是一种习惯,我徜徉在知识的海洋里 吮吸着知识的雨露,妈妈叫我吃饭 我充耳不闻,爸爸喊我喝水 我无动于衷,奶奶让我睡觉 我百般推辞 ,世界上只有一种稳赚不赔的投资 那就是学习,我只想告诉你们,烟可以抽 酒可以喝 架可以打 容可以整 逼可以装,但你要是不爱学习,对不起我们做不了朋友 我爱读书,我爱学习 学习使我快乐,假期才刚刚开始,我想买一套模拟题做一做,只要168块,请好心人资助,绝对不是什么德莉莎泳装,没有的话我等一会再来问"
"想一个可以通过的昵称","男","无IP","6066206","6","初音未来13周年","10000","650","","yvyfgwbx37。,GMYHHSSJKP。,WVUZ9SBP7X。,elyx9wbnm7。,不知道还能不能换……尽量快点吧"
"゛污言以怼゛","保密","无IP","33630675","6","","10000","214","","我猜我100？"
"一叶浮生万年秋","男","无IP","30226850","6","","10000","89","","兄弟们 目标八重樱小姐姐泳装阵营的举爪"
"休伯利安扛把子","保密","无IP","23626911","6","","10000","77","7","我要跳槽逆熵，爱茵！爱茵！爱茵！,「被爱酱强行拖回天命_(:3」∠)_」"
"那年被风席卷走的夏","保密","无IP","38483070","6","","10000","54","","为什么我的身体感觉越来越热了呢，真是奇怪的泳装呢(=ω=)"
"拿狗鼻吹泡泡","保密","无IP","171684977","6","","10000","35","","介绍泳装的部分被扣了"
"Anborly","保密","无IP","40786077","4","","10000","28","1","三个德丽莎普攻都是转圈圈。。。。。一点特色都没有……像崩二那样抡犹大砸多好...( _ゝ｀)希望神恩颂歌不要也是扔圈圈……漫画里面明明是枪兵的说……( _ゝ｀)"
"-AAaaaa-111","保密","无IP","100479319","6","","10000","25","","av11939078,pv未和谐版[小电视_赞]"
"珠穆朗玛奇玛","男","无IP","8799976","6","","10000","21","","我也曾经喜欢米忽悠直到两发648没有一个勿忘(；ω；`)"
"空0冥","男","无IP","86005496","6","湊-阿库娅","10000","14","7","我抽补给一直都是不看画面只听声音，有几响就代表两个加一起是几星，刚刚抽的时候只听见三响，还挺激动的，结果没想到是战场疾风"
"画风挚爱卡比","男","无IP","11637210","6","","10000","12","","假装自己是热评(｀ω),,,共233条回复＞"
"轉舜揤逝","保密","无IP","12099547","6","","10000","10","","如果有脑子的话请百科bgm，别一个劲的吹泽野"
"Nekooooooom","保密","无IP","40117380","6","泠鸢yousa","10000","9","1","试问崩坏3rd最赚砖石的是什么，那当然是bug和直播啦！！"
"すろぉもぉしょん","保密","无IP","10409824","6","","10000","9","","这次策划直播挺有趣的，比大伟话都说不清楚挤牙膏那种棒多了"
"abcde-aiueo","保密","无IP","200277169","5","","10000","8","","崩坏三一直没有变，变的只有扩大的玩家群体和被搅浑的社区环境"
"鳗形刁手","保密","无IP","1515494","6","","10000","8","","不仅没有感到一阵清凉，反而感到全身一阵燥热"
"黑垣白花","保密","无IP","14835395","6","良辰美景·不问天","10000","7","1","你们说傻娜这性格随了她妈多好，偏偏像了齐格飞(￣△￣)"
"圆鸽","保密","无IP","10953353","6","","10000","7","","你们谁刷八重樱是老婆，我只想说，你老婆真棒( ω )"
"6硬币爽三天","男","无IP","27115104","6","星座系列：巨蟹座","10000","6","","现在是2018年1月6号20:18，我还是没拿到符华下[2233娘_大哭]"
"abcde-aiueo","保密","无IP","200277169","5","","10000","6","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"仙仙仙仙仙仙逸","男","无IP","9620498","5","","10000","6","","这次直播是我看着最不尴尬的一次。。。"
"真理的喀秋莎","保密","无IP","16096513","6","","10000","5","","崩坏3这种高品质的游戏，在国内算是少见的了。"
"装完逼就跑真次姬0v0","保密","无IP","10898796","6","","10000","5","4","是多了俩超级大的开放世界吗，主线雪地场景一个，泳装海滩场景一个，，，我手机内存要不够了呀qwq。。。。"
"Genpussy","男","无IP","13564875","6","","10000","5","","我们一起给齐格飞戴顶帽子吧（原谅绿）23333"
"想一个可以通过的昵称","男","无IP","6066206","6","初音未来13周年","10000","5","","第一次上热评第一，截个图纪念一下"
"德丽傻-阿波卡利斯","保密","无IP","20569574","6","见习爱神头像框","10000","5","10","塞西莉娅，我一定会拯救你的"
"智典","保密","无IP","284426","6","","10000","4","","视频改过了？后半段泳装内容被和谐了？"
"琪亚娜-芽衣-姬子","保密","无IP","24113192","6","崩坏3·天穹流星","10000","4","","错过这个夏活泳装就没有了。唉唉。太可惜了"
"珉珉没钱","女","无IP","274721285","6","","10000","4","","我也是1.6入坑，现在73级，退坑n次"
"绮风过_远花火","男","无IP","101263436","6","崩坏3·天穹流星","10000","4","8","入坑版本，不间断连续登陆1323天，从傻乎乎的萌新变成了常驻二挡 寂灭升降机[笑哭]"
"Mei汁衣想要光辉mm抱抱","保密","无IP","87451559","6","公主连结可可萝","10000","4","","已出S火傻和樱犹，前来还愿(=ω=)"
"探机骑脸怎么输","男","无IP","12126489","6","崩坏3·天穹流星","10000","4","12","版本重点开泰坦居然没上宣传片?药丸"
"千葉の黒猫","男","无IP","6175546","6","","10000","4","","不要说自己非洲人，抽不到就充钱。冲八万会这样？"
"西門フブキ","男","无IP","23188673","6","","10000","4","","这期毒池……我抽了二十发，一个女娲下，一个牛顿中……这要是我年轻点可能直接就弃坑了……(●￣()￣●),此处一句怒那啥大伟"
"国际暗中观察局保洁员","男","无IP","3235714","6","","10000","4","","死或生3：崩坏"
"长者坐飞机","男","无IP","35273898","4","","10000","4","","看的我越来越热，哪有什么凉快的感觉"
"URlovely","男","无IP","14082652","6","","10000","4","","没有大伟的官方直播就不是官方直播了"
"提米为了击败你而来","男","无IP","8231593","6","","10000","4","","崩坏三真好玩，不用肝，不用氪，真是休闲娱乐！（五毛一条，括号删掉）"
"逆熵拉屎","男","无IP","50227429","5","","10000","4","","崩坏三真好玩，不用肝，不用氪，真是休闲娱乐！（五毛一条，括号删掉）"
"清明欲上河图","男","无IP","19836397","6","","10000","4","","游泳派对？一点都不清凉啊~我还感觉有点燥热呢( _ゝ｀)"
"O7FE0","保密","无IP","80694310","6","","10000","4","3","你游这次挺良心的，除了大姨妈的泳装，剩下几个都可以肝(｀ω)"
"冬--星","男","无IP","25357255","6","崩坏：星穹铁道","10000","4","1","还有说泽野的歌的…………你们只认识泽野吗………………,直播说了，是自己团队的编曲………………"
"凌晨一点的夜空","男","无IP","33175915","6","","10000","4","","改屎的米忽悠，又骗氪，我是不会充98亿以上的"
"園崎法子","保密","无IP","17547820","6","阿梓从小就很可爱","10000","4","","求求你们给我放个假吧。。。美工疯狂加班已经要死了"
"星霄霄想睡觉","男","无IP","10961710","6","崩坏3·天穹流星","10000","4","9","为什么我没有感到清凉，反而有点燥热？"
"爽爽爽了","保密","无IP","16530338","6","","10000","4","","为了泳装，放弃碧蓝航线(°°)"
"安吉拉-巴尔扎克","男","无IP","39860790","6","BW2020","10000","3","","八重樱泳装prprprprprprprprprprpr"
"鸡年小受","保密","无IP","86982393","5","","10000","3","","多的我就不说了,假装自己上了热评(),,共3258条回复 >"
"银杏树很通人性","男","无IP","73727240","6","","10000","3","","谁知道塞西丽亚抢走了什么"
"逆熵拉屎","男","无IP","50227429","5","","10000","3","","崩坏三真好玩，不用肝，不用氪，真是休闲娱乐！（五毛一条，括号删掉）"
"亚空的征服者","男","无IP","914283","6","崩坏：星穹铁道","10000","3","12","希望神恩颂歌这套是枪兵，不想德丽莎老是老是耍圈圈（俯视视角），没手感"
"沃玆基-索得","保密","无IP","9276561","6","至尊戒","10000","3","","BGM是小林未郁唱的Gril Inside"
"西柠瓜檬茶","保密","无IP","22072823","6","","10000","3","","所以 策划是不是忘了件事？  你们是不是把跳槽逆熵忘了？"
"混沌-恶","保密","无IP","20827189","6","三周年恋曲","10000","3","8","深渊打泰坦时加个正义执行bgm吧，这样比较应景(°°)"
"wuli若月月月","保密","无IP","35497279","6","hanser","10000","3","","给编剧和粉白策划加工资(｀ω)"
"Taro7","保密","无IP","28170735","6","","10000","3","","泳装越看越热的肯定不止我一个→_→"
"夜子的夜","保密","无IP","12351090","6","2021拜年纪","10000","3","5","ヽ(°°)没有大伟哥的直播想他"
"花洛兮丶洛天依","保密","无IP","37713275","6","洛天依8th生日纪念","10000","3","","入坑版本"
"DARK_LAO","男","无IP","296857213","6","崩坏：星穹铁道","10000","2","","同样的1.6海岛版本前来考古"
"玄幻天凡","男","无IP","297628786","6","","10000","2","4","这是我登上战舰那一天看到的宣传视频, 就是这一跃而下的镜头深深吸引着我的眼睛. 现在他变了变得陌生而又疏远, 没有，当时我在所有游戏中看到他那种感觉了。但是我不知道该说些什么, 人都是会变的，何况是一个游戏"
"ACLmw","男","无IP","7383480","6","","10000","2","","入坑版本 每年都回归一段时间 不知不觉已经三年了"
"青青达","保密","无IP","5272061","6","RNG战队","10000","2","","求BGM原声!!!"
"霜月秋华","男","无IP","24497721","6","小主安康","10000","2","","这次的剧情不会开始拯救岳母行动吧！？"
"小寅狼星","保密","无IP","468560","6","","10000","2","","这个场景，，，，我玩过一个叫奶排的体育竞技类游戏。,说，你们是不是有借鉴过←_←"
"桜瓣三千翻舞之间","女","无IP","8200580","6","","10000","2","3","我好像脑补get到了如果我誓约傻配樱犹大的圣痕配了。。沙比上+八重樱中，不过亚洲咸鱼一只不知道有没有这个运气了"
"今天听话了吗","保密","无IP","12570126","6","","10000","2","","那啥，妖刀姬可以带心眼收尾刀，真的稳(°°)"
"随风野狼","男","无IP","14024317","6","","10000","2","","骗氪，算了吧。非洲人已经感觉玩不下去了。当初为什么要从崩2再入崩3，现在变成玩两个。好累"
"KPRaat","保密","无IP","3285673","6","","10000","2","10","线下比赛录像怎么没了Σ(д;)"
"修吧唧","保密","无IP","2014047","6","","10000","2","","好好反思下为什么火不过某某师"
"少女歌剧天外飞仙","男","无IP","15136442","6","不吉波普不笑","10000","2","","直播领的钻石出了艳后下，月光毕业了，赞美米忽悠(ω)"
"穷困潦倒乐乐酱","男","无IP","14610906","6","良辰美景·不问天","10000","2","","为啥没看到评论区的偷电狂魔受酱………"
"反复去世的瓦尔特","男","无IP","42979151","6","明日方舟","10000","2","","这视屏开头为什么给我一个使命召唤的错觉()"
"翩然之境","保密","无IP","23283629","5","","10000","2","","许愿樱傻！噢噢噢还有樱犹(°°)"
"七七今天不吃饭","保密","无IP","44651655","5","hanser","10000","2","","伟哥再爱我一次"
"猫爷爱吃秋刀鱼","保密","无IP","8231813","6","#EveOneCat","10000","2","","250"
"Eugeneneo尤金","男","无IP","7805459","6","","10000","2","","米忽悠又忽悠我们榨肝了_(：3 」∠ )_晚安"
"koyuki_sama","保密","无IP","10096122","5","","10000","2","","本视频由米哈游制片厂制作播出，看pv玩游戏"
"小咸鱼菲诗","保密","无IP","19828265","6","","10000","2","","别看了，要氪的_(:3」∠)_"
"VerzenOWO","男","无IP","34104648","4","","10000","2","","你们说穿泳衣在雪地里会不会冷啊（滑稽）"
"Rua猫太屑了","保密","无IP","7559858","6","","10000","2","","今晚兑换码① gmyhhssjkp （100水晶）, 兑换码② yvyfgwbx37（100水晶）,兑换码③ wvuz9sbp7x（150水晶） 兑换码④elyx9wbnm7（10w金币）"
"鸟太太","女","无IP","4971531","6","","10000","2","","所以说芽衣多久和咱家kiana结婚"
"はざまゆうや","男","无IP","18182324","6","L.dart 极乐幻奇谭","10000","2","","粉白和发哥是自己人啊，要婊婊大伟吧（滑稽）"
"空0冥","男","无IP","86005496","6","湊-阿库娅","10000","2","7","送的水晶抽了个战场疾风"
"布拉尔银牙","保密","无IP","13117103","6","","10000","2","","别让大伟出柜了。这俩就挺好"
"万事俱备只欠时间","男","无IP","15907312","6","","10000","2","5","我 我 我要上热评"
"血羽夕颜","女","无IP","6157566","5","","10000","2","","月煌免费送，爽"
"wkwbj","男","无IP","89913550","6","阿梓从小就很可爱","10000","2","","girl inside"
"月之森真白","保密","无IP","23566179","6","","10000","2","1","大伟：敢偷懒，看我不扣光你工资ヽ(`Д)"
"暗箱Ver","男","无IP","23531892","6","","10000","2","","肝硬化，爽(  )"
"蓝色彗星宇宙","男","无IP","11457847","6","少前小剧场","10000","2","","BGM是小林未郁的歌曲girl inside,网易云已经收录get√，帮我顶上去，大佬们"
"琉琦君","男","无IP","21517272","6","三周年恋曲","10000","2","","从直播间过来的举个爪(°°)"
"r_b_q","男","无IP","9998232","6","","10000","2","","干脆利落，大伟以后别出来丢人了"
"忆流","保密","无IP","11184747","6","良辰美景·不问天","10000","2","","第一期泳装觉得太肝了只领来板鸭的泳装，亏爆了啊现在"
"月色浅如梦ヾ","男","无IP","322022978","5","实验品家庭","10000","2","","入坑版本，记起当年得到泳装的喜悦还有互动....."
"JuneBarcarolle","男","无IP","28687081","5","","10000","2","3","2020年来考古，这个版本入的坑，很遗憾没有第一套泳装[崩坏3_哭哭]"
"符华派蒙","女","无IP","104378935","6","原神","10000","2","7","回来怀念一下"
"椿譜","保密","无IP","7174847","6","琉晶之礼","10000","2","","樱犹要觉醒了··在上周刚分解了"
"柯白丶","男","无IP","32982058","6","","10000","2","5","泳装在pv里剪掉了"
"地载云垂天覆风扬","保密","海南","348036121","5","","10000","2","13","[崩坏3·光辉矢愿_吃西瓜冰]"
"糸川冰芽","男","无IP","30269117","6","","10000","1","9","人气的顶峰"
"尼克没有羽毛","女","无IP","29651882","2","","10000","1","","永远支持大伟哥"
"千夏珑洱","保密","无IP","19983532","6","2233幻星集","10000","1","","妖精剑，妖精之弓，当时感觉颜值贼高"
"翊绝出尘","保密","无IP","405832052","5","","10000","1","11","考古"
"黑祁爱衣","女","无IP","87431597","6","","10000","1","1","求BGM……总感觉在哪听过……"
"柠檬MR-LEMON","男","无IP","327314003","5","EveOneCat2","10000","1","","我来考古了[doge]"
"デブマン","保密","无IP","37989645","6","","10000","1","","入坑版本，这辣鸡游戏我断断续续玩了三年"
"樱夜病女","保密","无IP","105318397","6","","10000","1","3","崩2到崩3，里面的bgm每一个都很喜欢，莫名带感"
"Mei汁衣想要光辉mm抱抱","保密","无IP","87451559","6","公主连结可可萝","10000","1","","许愿鬼铠"
"花间遥","保密","无IP","15270084","6","","10000","1","","没钱有什么用！！（/TДT)/"
"紫月小风","男","无IP","40168116","6","碧蓝航线","10000","1","","德莉莎泳装已经入手，没办法世界第一可爱，没有抵抗力。。"
"90wowa","保密","无IP","17392463","5","","10000","1","","满脑子泽野，这曲子是mihayo自家音乐团队写的好伐……"
"蓝月芮冰","男","无IP","33054000","6","","10000","1","","游戏越来越大。。。"
"Detlas_Legacy","男","无IP","35494613","5","","10000","1","","强行打破666评论！！"
"苏打冰沙","男","无IP","6415828","6","","10000","1","","崩坏3:奶排??"
"锡的下一个元素","保密","无IP","11237570","5","","10000","1","","谁告诉我逆熵的小说哪去了ヽ(`Д)区区天命满足不了我"
"bruack","保密","无IP","37432044","4","","10000","1","","开机甲怎么开的？（⌒▽⌒）"
"Sfefa","保密","无IP","13065703","6","","10000","1","","上次德莉莎a傻直接抽到可以晋升到s，这次继续许愿(｀ω)"
"AmamiyaMemories","男","无IP","2691704","6","","10000","1","","(=ω=)后排"
"Cyuli","保密","无IP","13160662","6","","10000","1","","应该要提升等级上限了吧"
"心逸゛","男","无IP","4952929","6","","10000","1","","泳装我不要了，把那把虚无，樱犹大，樱吹雪给我好吧。"
"1嗅二视彡动眼","保密","无IP","6374358","6","","10000","1","","封面钦定虚无？等等，好像看到了苗枪→_→"
"不能蒲公英","保密","无IP","2382909","6","崩坏3·天穹流星","10000","1","10","正好碧蓝摩耶也出了，毕业了回休伯利安给老婆们肝泳装(=ω=)"
