"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小柠丶","男","无IP","6736655","6","","10000","3206","","粉白的和谐对八重樱来说无疑是一次巨大的削弱—  —"
"鹦鹉会成群结队","保密","无IP","35223707","6","","10000","882","","前五名啊！不容易！看的我一身鸡皮疙瘩"
"H丨king","男","无IP","12309295","6","","10000","788","","四年前，这个村子到底发生过什么事？这个世界上怎么可能存在这样的生命（神秘？）？这完完全全就是邪神，不行，绝不能让她一个人....（舰长，请传送下一行动坐标）（觉醒，就是我的自由）（火控系统，激活确认）（这一次，不会再放过他们了）（因为我就是，琪亚娜卡斯兰娜）（Gungnir Fire）！,这混声太棒了！,最后短暂的停留积蓄，音墙重重叠叠。,“八重樱，请求出击”,厚积薄发，音墙彻底崩塌，金属声浪爆发开，感觉燃爆了！,耳朵听炸了，给个赞(ω)"
"紙上談冰","男","无IP","28329309","6","","10000","621","","1.0版本 刚刚开服，百废待兴。琪亚娜，芽衣，布洛尼亚3个女武神和12款女武神装甲，无限深渊。半成品游戏,1.1版本 姬子加入休伯利安女武神队列，B级疾风和A级深红女武神装甲，新的外传系统-轩辕篇，新的武器和圣痕等。半成品游戏,1.2版本 A级凯旋和S级玫瑰女武神装甲加入队列，新的外传系统-蚩尤篇，皮肤系统加入，新的武器和圣痕，本成品游戏,1.3版本 舰团系统上线，新的舰团BOSS-八重樱和黑化姬轩辕加入，家园增加社交系统，新的武器、圣痕和皮肤。半成品游戏,1.4版本 联机模式和组队模式上线，八重樱加入休伯利安女武神队列，冰樱和绯樱加入队伍，圣痕词缀大幅度改变增加分解圣痕选项，更多新的武器、圣痕和皮肤，还有未知的新内容。。。半成品游戏。,1.5版本 符华加入休伯利安女武神队列？更多新的武器、圣痕和皮肤？和。。。未知无数的新内容？。。半成品游戏,1.6版本？。。半成品游戏,1.9版本？。。半成品游戏,2.0版本？。。半成品游戏,.,.,4.0版本？。。半成品游戏,.,10.0版本？。。还是。。半成品游戏,再然后？。。崩坏4th？,永远的半成品，意味着制作不完美，同时也意味着无限进步的可能。,永远的半成品游戏，但是我就是喜欢这种看着一个游戏慢慢从最初始的走向越来越丰富的过程。,诸君，我愿意继续为这个国产游戏等下去，因为我知道，哪怕我不想玩了，弃坑了。然后过了2年我突然想玩了，重新搜索这个游戏的时候，这个游戏还不温不火的活着。,因为崩坏系列一直都是这样的不是吗？崩坏2nd已经续了3年了，我相信崩坏3rd还会继续延续这条路。,（刚刚看完1.**v和 最新的测试服的新内容，再加上刚刚上线的日服。突然有感而发，有些太煽情了。虽然一直说着药丸药丸，但是更新新的内容还是有些忍不住的高兴啊（笑））(=ω=)"
"迪邱No_3","男","无IP","26070808","6","","10000","317","5","别再说什么安全裤粉白啦，被和谐还不是自己作的啊，boss八重樱的时候就就传来了专拍八重樱裙底，贴吧老司机都神p图，越传越广，这下好啦，都没得欣赏艺术了，以后吧，要懂得闷声发大财，要双赢，低调(￣△￣)"
"吃包子不带馅","男","无IP","1672467","6","","10000","202","","芽衣:觉醒，就是我的自由ヽ(`Д),八重樱:喵喵喵？(Д≡д)!?"
"bkblife","男","无IP","72302403","4","","10000","96","","贴吧都婊着药丸，找清净回来重刷视频，看到一堆女武神战斗的配音叠加在一起，然后戛然而止：八重樱，请求出击。  又起了一身鸡皮疙瘩，崩坏3，真好"
"Vistina","保密","无IP","2315542","6","崩坏3·天穹流星","10000","31","","曾经最成功的版本，如今随着1.8的到来让出了宝座[小电视_嘟嘴]"
"万物皆空Nev","保密","无IP","21672779","5","","10000","125","","说什么抄袭鬼泣的，守望先锋这么多元素来自于军团要塞和枪火游侠，不还是一代佳作，借鉴不是抄袭，别让无知毁了一款好游戏的口碑（实话非黑）"
"倾吾之思","保密","无IP","56395332","6","一号","10000","60","","怒雷响，惊天贯日 ,操剑起，目光如炽 ,大雨临，泪洒遍地 ,伟陌离，相思谁知 ,出远行，真心不替 ,八百里，追寻不止 ,重重难，不变我志 ,樱花舞，纷飞永世"
"冇节操の八云Yukari","男","无IP","5879990","6","洛天依·最美的夜","10000","43","6","八重樱，请求氪金,这一氪，分出胜负吧,今天的天气，非常适合氪金呢～(￣▽￣～)"
"KniM07","男","无IP","13134086","6","EveOneCat2","10000","58","","真正的真爱党告诉你，安全裤才是一设( _ゝ｀)你们这些除了胖次什么都不认的家伙，居然还敢自称绅士！"
"-音啸","男","无IP","16042480","6","崩坏3·天穹流星","10000","52","","我在不断的提醒自己,我在玩手游不是玩鬼泣我在玩手游不是玩单机我在玩单机不是在玩手游我在玩鬼泣不是在玩手游(°°)"
