"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Rosato","保密","黑龙江","12823698","6","","10000","4364","","这做的nb滴很。,火队内战珍贵场景，真荔枝:我冰属性的我不掺和。,俩男主做成活动圣痕了，蛮好。,本来还以为会出一套异画版新火可肝放卡池里呢，省钱了这下。"
"筱橘织","保密","贵州","396603063","5","2233幻星集","10000","7168","","萌新记住，联动不一定是最强的，但一定是可以让你在以后成为咸鱼之时大笑着说“哈哈我有你没有你也不可能有”的东西（EVA联动后遗症）"
"梧桐子和杰园党主","女","广西","493722787","5","","10000","15486","","说皮肤廉价、画质低的，建议去补一下普罗米亚原片，本身就是这种风格，做成这样是为了贴近原作。,看不惯完全可以理解，毕竟扳机社的风格确实不是谁都可以接受，但不要搁着拉踩，你不喜欢不代表就是差，跟上次明日香似的[tv_白眼],（补）扳机社是一家非常优秀的动画制作公司，2077、斩服少女、天元突破都是他们的作品，其中的基干成员都曾参与过eva的制作，和庵野秀明同根同源了属于是"
"大威小威加V","保密","广东","20500980","6","","10000","6486","","我还以为会是终焉的皮结果还是炎律的，虽说火的这个主题，确实炎律会比终焉更合适一点，但既然终焉也是火伤，我觉得也没问题"
"休闲裤思考思考","男","湖南","418397780","5","","10000","4056","","做混剪的大佬务必用《Inferno》做BGM把整个崩坏三第一章剪一下[脱单doge][脱单doge]"
"不羡bocchi","保密","福建","85812483","6","hanser","10000","2756","","好好好，pv里的战斗部分风格好像更像绝区零；电影真的很好看，顶级音画体验，在b站就可以看，狠狠地安利捏"
"语核","保密","上海","3493130724706733","4","","10000","1885","","好耶！！两年前看了普罗米亚的电影就觉得很带感，没想到现在联动了"
"肝疼的WarseT-T","男","内蒙古","289324042","6","原神","10000","1718","","包菜这个设计我是震惊的[脱单doge]"
"我只是个路过的捷德","男","上海","224723034","6","","10000","1550","10","下次联动一下古力特好不好？我超想看古力特打侵蚀的[doge]"
"粥粥的奇妙冒险","男","浙江","6768352","6","BW2021","10000","1275","","预感大量Inferno的mad即将来袭[崩坏3·终焉归始_咀嚼],可恶啊，我第一次用这个曲子做的手书给隔壁万叶了草……"
"睦月浅歌","保密","福建","423584551","4","","10000","1182","","Galo，Lio两口子真甜[妙啊]"
"焕风中的叶","保密","广西","1749008441","4","","10000","961","10","好有大姐大的感觉，一脸拽样[大笑]"
"LoveElysia1314","男","天津","1500422610","5","","10000","841","","最后爱衣和琪亚娜是不是要……[崩坏3·光辉矢愿_瞄准][崩坏3·光辉矢愿_编剧]"
"一只芽衣厨","男","河南","549754464","5","","10000","821","","01:31 这联动圣痕只有一个，应该是白送的吧。[崩坏3_你好]"
"小西琳是天使","保密","湖北","523346953","5","","10000","553","","薪炎琪亚娜的经典镜头(｀ω)"
"卧云观","男","广东","1421136750","5","","10000","397","","喔噢噢，我的消防之魂已经在熊熊燃烧了！"
"whitE霞罚","保密","广东","35061733","6","三周年恋曲","10000","249","","这下不得不冲了"
"13伪大神","男","宁夏","29189782","6","","10000","205","6","00:48 我靠，大包菜你咋这么帅[喜欢][喜欢][喜欢]"
"穿越神使","保密","广西","409111680","5","","10000","203","","我好像不小心截到了奇怪的东西？"
"柴某永远喜欢爱莉希雅","女","广东","521396332","5","","10000","135","6","00:13 这个包菜 00:55 这个虫虫太帅啦！！！！！！！"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","353","","给各位萌新和某些人科普一下,联动图的就是收藏，因为联动会绝版，所以注定联动不会太强，在强也只有两个可能，要么他就是暂时的版本之子，要么就是当谁的平替品，否则很容易出现强度方面的节奏和后面的区别对待，有的就注定比没有的强或者可以一直吃版本红利等争议性问题，阴阳师就是一个例子，当年的陆生，弥豆子，夜刀神这三个就是在斗技妖魔鬼怪的一段时间，后面也被ch火速下位和被代替或者克制，但是联动确实有收藏价值，你卖号的时候可以靠联动收藏，你后面可以给那些没有的人炫耀，就是属于我可以放仓库吃灰但不能没有，所以有能力和有心的以及正好是双厨的缺你能考虑,而且老米联动方面一直做的挺好的，联动的都是和自己差不多的，或者就是联动那些比较好说话的，几乎没有为联动而联动的强行联动，或者越级联动（指明明自己的体量不如那人却还要因为某些原因联动），可能因为老米现在也不用联动赚热度，都是为爱发电对吧哈哈，所以现在看阴阳师当年因为鬼灭和咒术联动真心觉得是阴阳师活该，跟鬼灭联动我能理解，还能说得过去，起码还能符合点，他正好吃点热度，但是为了热度属实是冲昏头脑了，连咒术这种和阴阳师各个方面就是八竿子打不着除了为热度就是没有什么可联动性的在那强行联动，鬼灭也是为热度强行联动，现在看阴阳师只能说纯活该，我也完全不用担心米会这样子，起码他联动某种意义上来说是真正意义上的自己给别人为爱发电（没有踩一捧一的意思，就是觉得崩坏三和阴阳师都是我自己的儿女，但现在某人不争气）"
"离然丶Lyr","保密","云南","1913773084","5","","10000","322","","你这样我9600和三百氵怎么办[大哭][大哭]"
"天华SRSH_","男","山东","1113890768","6","少女前线","10000","57","","啊？"
"疏影斜携","男","湖北","472979829","5","","10000","38","","虫的特效细节感觉有点少 锐评就是换色 我这是抛去建模谈特效 单说特效（有细节和联动特点，但是我慢放看出来实在少）,包菜还好 大招可以看出来那一下爆炸的细节,扳机社嘛 特效就是那种我不知道怎么形容 类似于方块儿还是说像素还是说那种抑扬顿挫感觉的特效 也可说是张力,结论 虫的皮特效不值9600 包菜也差点意思 二者应该就是直购或者上次联动水晶买一个打折再买的那种感觉 ,虫的火焰披风好评,差感觉 真差点感觉 觉得我说的不对的随便拉个游戏里9600皮来对比就知道了 应该加一些明显的特点细节 看得出来的那种 比如去年的eva那个鸭鸭【警告】就加的很好 到了联动应有的水平"
"空灵LML","保密","安徽","128154158","6","","10000","985","11","潮酷风[脱单doge]"
"问肯局长是不是基","保密","北京","23618219","6","崩坏：星穹铁道","10000","32","25","我超，这龙还原[崩坏：星穹铁道_冲鸭][崩坏：星穹铁道_冲鸭][崩坏：星穹铁道_冲鸭][崩坏：星穹铁道_冲鸭]"
"极限张让","保密","重庆","173847882","6","","10000","91","","帅"
"永恒归一的粉红毛毛兔","保密","山东","291896126","6","","10000","699","","单从风格上来说，我觉得更适合绝区零，不知道以后绝区零出来了之后会不会在联动一波"
"Roselia-凑友希那","保密","中国香港","22789894","6","崩坏：星穹铁道","10000","27","","[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_电力充足][崩坏3·终焉归始_电力充足][崩坏3·终焉归始_电力充足][崩坏3·终焉归始_咕蛹者][崩坏3·终焉归始_咕蛹者][崩坏3·终焉归始_咕蛹者][崩坏3·终焉归始_优雅][崩坏3·终焉归始_优雅][崩坏3·终焉归始_优雅]"
"TAT猫猫侠代购","保密","河南","456207589","5","","10000","1311","","原画集一星期还没发货，请问各位有什么头绪吗"
"狼戢","保密","河南","66879681","5","","10000","102","","有些人不理解为什么不是终焉而是炎律，在我看来，炎律算是崩坏三一个很牛逼的具有标志性的角色了不论cg还是人物的塑造，我觉得堪称琪亚娜巅峰也不为过，战士的输出方式，稳重成熟的性格，我觉得都很厉害，当时看cg的时候哭的稀里哗啦的，终焉没出就节奏不断，人物塑造已经不需要了（因为炎律已经完全把控好了），甚至还需要加入一些以前的比如“本小姐出手，胜利就是必然的嘛”这种风格[原神_嗯]"
"天龙三天","保密","安徽","514642670","5","","10000","404","6","很喜欢崩三玩家的一句话,（话说你们的原画集都发货了没）"
"你是KK吧","男","福建","454261730","5","","10000","133","","有没有大佬说说是单向联动还是双向联动[星星眼]"
"时鸟不似鸟","女","广东","4686757","6","","10000","38","","刚刚做了道题，22年重庆森林火灾，除用了传统水枪扑火，还使用了“以火灭火”的方法，其科学原理是由人工点燃火线与林火对接，使接合处突然缺氧灭火，笑死好应景,所以galo和rio是具有科学依据的好基友"
"等待mhy道歉的米游伥","男","山西","10896289","6","七濑胡桃","10000","94","8","感兴趣的崩坏3玩家可以去看看《普罗米亚》的动画电影，基本上可以不用带脑子去看，因为这个片子真的单纯爽就完事了。,这是一部绝对的爽片和燃片"
"ヨアソび","保密","江西","1473535209","5","hanser","10000","234","","我以为是普罗米修斯[笑哭]"
"我在这儿看你发呆","保密","上海","24900644","6","","10000","418","","感觉炎律火焰还可以再贴联动一点，现在只是单纯换色，完全可以做成联动效果嘛，毕竟德尔塔就做过"
"-某光君-","保密","山东","15164973","6","","10000","580","","联动普罗米亚德尔塔没个新皮我是不认可的[崩坏3·光辉矢愿_彩虹水枪]"
"欧阳乐玄","男","湖北","28126249","6","崩坏：星穹铁道","10000","134","","《崩坏3》×《普罗米亚》联动活动将于6.9版本期间开启！,,薪炎之律者联动服装「诞自炎焰」、时帆旅人联动服装「灭火之魂」，以及联动圣痕「普罗米亚·炽焰（下）」即将登场，获取方式与更多内容待后续揭晓，敬请期待！"
"经验值-ExP","男","北京","8366184","6","崩坏3·天穹流星","10000","106","13","居然不是整点发布，你到底是谁[崩坏3·终焉归始_指点]"
"-Adark轨迹-","保密","广东","6433983","6","天依游学记·歌行","10000","73","","朋友还是敌人？选吧.jpg 00:59"
"何处勿忘冰昙天","男","辽宁","67975663","6","原神","10000","85","","[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了]"
"游络碎空","保密","山东","242538240","6","","10000","71","","你太懂了米哈游，风格还原的超棒啊！"
"滴水后湛蓝的涟漪","保密","陕西","38054189","6","崩坏：星穹铁道","10000","27","","00:10 虫虫G社立，太帅了[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了]"
"爱你的的希儿","保密","广东","3493077335411339","3","","10000","33","","那个，炎律没开凭证可以抽奖得，（抱歉打扰大家，问一下）"
"憨鸟三缘","男","浙江","86511609","6","崩坏：星穹铁道","10000","40","10","温馨提示，明天晚上崩三演唱会，大家不要忘记哦[崩坏3·光辉矢愿_比心]"
"唐鈺小宝丶","女","广东","11636696","6","","10000","37","","哈？啊！啊啊！！！！！"
"安妮丝菲亚酱","保密","广东","33539851","6","","10000","36","","好好好眼熟!是不是有个电影啊？我和我朋友一起看的[思考]"
"沼江鵺","保密","河南","367213574","5","偶像梦幻祭2","10000","52","","本来感觉崩三和普罗米亚美术方面还是区别很大的，但是这个特效几乎原作，特别特别酷[初音未来_大笑]"
"无聊中___","保密","湖南","1264742364","4","","10000","33","","求求求，崩崩崩策划炎律皮肤能不能免费，太爱了，但已经送给女王了"
"磁爆步兵54","男","浙江","3443416","6","","10000","1115","","这饼烙熟的挺快哈[藏狐]"
"范德宏","保密","贵州","43756670","5","","10000","36","","生命力汲取"
"_侵蚀之律者","保密","河北","336409097","5","崩坏3·天穹流星","10000","4580","","给大家表演个绝活,, , , ,光翼 ~, , ,, , , , , ,舰长在期待什么？崩坏三的意义不是只有角色的死亡，而是形形色色的人和伟大之人的意志[崩坏3·光辉矢愿_比心]"
"-不灵-","保密","广东","22683350","6","","10000","34","","起猛了！居然看到起猛了！居然是起猛了！"
"天云碧海","保密","内蒙古","1275764696","4","","10000","61","","获得方式是什么，有没有省流侠[大笑]"
"Mu-鸡","男","福建","195275377","6","崩坏3·天穹流星","10000","49","","正在为您播放: Inferno[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了]"
"油物扇","男","福建","488286594","5","","10000","16","","这一幕不论画风还有滤镜都超级像《绝区0 》[初音未来_大笑][初音未来_大笑][初音未来_大笑][初音未来_大笑]"
"御坂19097号","保密","中国澳门","345883969","5","神乐七奈","10000","121","","这个风格不让德尔塔出个皮肤吗[微笑]"
"叱咤月海鱼喵猫","男","浙江","33683047","6","崩坏3·天穹流星","10000","29","11","点燃辅助当消防员这一设定是真没绷住[崩坏3·终焉归始_cool]"
"会劈叉地清洁工","男","广西","106269221","6","","10000","12","","琪宝和爱衣也来啵一个？[崩坏：星穹铁道_吃瓜ing]"
"出口成章科斯魔","男","湖南","335876686","6","","10000","20","","看到这个，想起之前Eva联动，还剩了一张卡忘记抽，现在躺在我的仓库里成绝版补给卡了[笑哭]"
"娜维娅の深栗猎犬","女","四川","1586792855","5","","10000","17","","好好好[崩坏3_特效][崩坏3_唢呐][崩坏3_琵琶][崩坏3_二胡][崩坏3_笛子][崩坏3_镲]"
