"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"划破的299","保密","无IP","207205034","5","","10000","3783","","我的天哪，[doge]                                                              白嫖她非常好看。                                                            付费她不好看"
"别致的童心","男","无IP","256020533","6","","10000","3419","","椿和黑檀都是长寿的意思，大伙儿来吃糖（玻璃渣）[doge]"
"该名称没有违法","保密","无IP","272802766","5","","10000","1841","","姬子阿姨！"
"爷怕死所以全点韧性","保密","无IP","34420636","6","hanser","10000","1440","","黑鸭骂骂咧咧关闭了视频"
"ARSelf","男","无IP","6044993","6","","10000","709","7","崩三加油!干翻原神!"
"Vanish-Zero","保密","无IP","36205407","5","","10000","691","","没有真红，又省下了"
"夏名残","男","无IP","19941402","6","珈乐Carol","10000","553","2","不买"
"坂道花开","保密","无IP","295625164","5","citrus","10000","409","","煮饭婆：舰长，我不香吗[打call][打call][打call]"
"坎上离下既济侠","保密","无IP","256460532","6","","10000","311","","这鞋子？？？,别问，问就是崩坏能[doge]"
"死淋淋的血鼠","女","无IP","81627182","6","","10000","273","","“舰长，今晚要不要喝一杯呢？”,,似乎有人拍了拍我的肩膀。,,我猛地从甲板惊醒，环顾四周，空无一物。,,可是为什么呢？,,我的心里空空的。,,好像，破碎了一般。"
"极度缺答案","保密","无IP","386791751","6","明日方舟","10000","249","","姬～子～阿～姨,。,。,。,。,。,。,。,。,。,。,惨  黑鸭  惨[doge][doge]"
"Rua猫太屑了","保密","无IP","7559858","6","","10000","158","","用的卡莲皮肤的bgm，这个挺好听的。,不过竟然用重复的bgm，听不到新音乐了[doge]"
"风之度丶宏一","男","无IP","86056299","6","良辰美景·不问天","10000","139","","那阿姐以后的剧情还会不会回归呢？"
"心若远","保密","无IP","435898647","5","崩坏3·天穹流星","10000","129","","没水晶[吃瓜]"
"守望长夜","男","无IP","283862876","6","hanser","10000","73","8","没真红，没神陨，没劫灭（立省100%）,雷律之前别想骗我一分氵[崩坏3_危险]"
"心若远","保密","无IP","435898647","5","崩坏3·天穹流星","10000","63","","没水晶，没真红[吃瓜]"
"寿司加包子ii","保密","无IP","4471508","6","","10000","58","10","姬子阿姨，回来吃生日蛋糕吧[崩坏3_幸福]"
"CLだんご大家族","男","无IP","22273553","6","","10000","51","","没得真红，所以和我无瓜"
"TPF-FPF","保密","无IP","304713435","6","","10000","48","10","建议给每位舰长送上真红，这样才会有买衣服的动力[doge]"
"伏见稻荷神","保密","无IP","53317194","6","","10000","30","","这次活动让我明白了，为什么主线里舰长没出现？因为这是个世界泡，真正的舰长和真正的休伯利安还在量子之海飘着呢"
"碗碗都是红烧肉","男","无IP","237224827","6","","10000","19","","捏着嫖来的500张特殊服装券等返场，氪金，这辈子都不可能氪金的[滑稽]"
"我忘记了很多事情","男","无IP","87404039","6","幻星集·命运的选择","10000","19","","皮肤还是好看的（卢姥爷脸）,我？@#+》的把姬子还给"
"Skyline_R","保密","无IP","25417698","6","","10000","16","","BGM：《千本桜》,演唱：初音未来,p主：黑うさP,PV：三重の人,,……我走错了"
"星宇箜","男","无IP","27133459","6","三周年恋曲","10000","14","","莫得钱   下一个[吃瓜]"
"73赶着过清明呢","保密","无IP","13112340","6","","10000","13","","预言一波：根据姬子生日活动居然送金钥匙，推测这皮肤可能是钥匙开箱子[doge][滑稽]，白嫖使我快乐"
"憨憨是天","男","无IP","36118112","6","hanser","10000","13","","求求了，大伟哥，赶快出理律皮肤吧，这都快一年了，连个新衣服都没有[热词系列_泪目]（黑鸭骂骂咧咧的退出直播间）"
"Strangelove_Dr","男","无IP","110901420","6","橘猫挂件","10000","11","","呜呜呜将近20天的等待，终于来了[大哭]"
"御坂15250号","保密","无IP","125398114","6","2021拜年纪","10000","11","2","没水晶，但皮肤很好看"
"四点一火","保密","无IP","176499757","6","","10000","9","","姬子阿姐!我爱了，劫灭准备好了，圣痕先给小八装上了，衣服这次也给你买，咱别一直待在保底不出来好吗？[OK][OK]"
"许一世佳话","保密","无IP","326704831","5","","10000","8","","舰长补给全保底，,舰长副本零掉落；,舰长深渊要掉级，,舰长战场没暴击；,舰长补给抽不起，,舰长副本打不过；,舰长深渊打不过，,舰长战场没积分；,舰长委托没体力，,舰长补给没水晶；,舰长身材像符华，,舰长智商琪亚娜；,舰长身高德丽莎，,舰长童年似板鸭；,舰长爱情像奥托，,帽子长戴不用脱；,舰长补给全汉娜，,只有中上没有下；,舰长远征没体力，,联机队友全挂机！[doge][妙啊]"
"中二火腿王","女","无IP","397158597","5","","10000","8","","回不来也没关系，我会等你的姬子，大家都在等你，没有生日我也能理解，上一次就是留下的唯一讯息了吗，嗯，我能理解，姬子，我想你了姬子，为了让世界变得更美好，您迈出了一大步，我爱你姬子"
"木樨湫月","保密","无IP","33936893","6","一周年纪念装扮","10000","7","","前排"
"Ninn-shou","女","无IP","317795679","6","少女前线","10000","6","","说实话，这次的生日看的很不舒服，从她聊起琪亚娜到每个人都不太愉快的过往，再到对于“长大”这个概念的见解，最后只是化为梦幻泡影，似乎余温还在身边，但是终了却只能由酒杯旁的玫瑰来以物生情。说着这是最喜欢的居酒屋，最喜欢其中的酒单，今年却只有舰长一人孤单的背影在借酒浇愁……,那个一头红发，热情高涨的微醺玫瑰，难道不会再回来了吗？,真的很想你，无量塔·姬子"
