"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"提瓦特冰雕大师","保密","无IP","177201029","6","崩坏：星穹铁道","10000","7086","10","00:19,WHAT IF YOU ARE THE ONLY SAVIOR,如果你是唯一的救世主，你会怎么做,,00:23,BUT YOU CAN SAVE NOBODY'S LIFE?,但你可以拯救谁?,,00:27(黄色右眼),WILL YOU SAVE THEM KIANA,你会拯救他们吗,kiana,,00:34,SAVIOR 拯救者,TRAITOR 叛徒,,00:45(蓝色左眼),AND ALLOW HER TO CONSUME YOU?,让她吞噬你?,,00:47,WHAT IF YOU ARE THE ONLY SAVIOR,如果你是唯一的救世主，你会怎么做"
"狸仙II","男","无IP","431333716","5","","10000","6071","5","以前的草履虫:,这么简单的任务，以后就不要叫我了,,现在的草履虫:,只是一场胜利而已，接下来的路还很漫长。"
"二分之一定律","男","无IP","24806919","6","年度打卡挑战","10000","2673","5","GUURCGSX37    体力+材料,WUU7DGUTMX    金币+材料,EUU9DGCJPF      100氵,YVUPCGCX57       150氵,GVYP5CCX5X        10w金币"
"想啊很像啊","保密","无IP","261791045","5","","10000","1909","","她真的越来越像她的妈妈了"
"我的哥哥哪有这么变态","保密","无IP","34536641","6","","10000","1140","","增幅角色全体隆胸,...,除了板鸭"
"清玄镜","保密","无IP","9186964","6","崩坏3·天穹流星","10000","894","6","女儿长大的感觉，草履虫的成熟让人心酸[委屈]可是这种成长是必经之路，心疼姬子阿姐"
"咔咖42","男","无IP","81662418","6","","10000","646","","官方玩梗：崩坏3最黑暗的120天[doge]"
"ミイ","保密","无IP","2627943","6","","10000","572","","琪亚娜其实一直在逃避，不管是看起来盲目乐观，大大咧咧的性格；还是谈及过去的时候毫无避讳的表现，只不过是掩饰自己深藏的痛苦和寂寞而已。只能说编剧选择让她去扮这个猪八戒的角色，现在看来确实是很成功的。我们仔细想想，结合琪亚娜自身的经历，她就应该是一副苦大仇深的样子。搞笑角色看多了，猛然给你一巴掌，你却发现她变成这样根本就不突兀，这才是最让人心疼的。"
"神前之月","男","无IP","2881744","6","","10000","439","","想了想，写了写，改了改。,便出了这首诗,第一句写的是游侠增幅核心，天穹游侠。,第二句写的是次元觉醒，理之律者。,天穹律令,天穹莫语我无情，游曳如鹰侠客行。,理应替身掌神力，律令寒冰世安宁。"
"514的塞壬","保密","无IP","279766851","5","","10000","377","","即使双翼早已溅上无法摆脱的血污，,为了梦中彼岸，我要全力飞翔。,这唱的不仅仅是Bronya，也是苏醒后的Kiana."
"屯在家的废宅","保密","无IP","49308372","6","","10000","488","","所以觉得必出理鸭的集合"
"五彩斑斓の嘿","男","无IP","22647935","6","多多poi","10000","243","9","崩三服务器很流畅，卡顿是我手机的问题。体力设置合理，觉得不够是我脑子的问题。水晶机制完美，觉得不好是我不会持家管理经济。米忽悠永远是我大哥!崩崩崩是一个很好的游戏，所有玩家都有很好的游戏体验，服务器稳定，前几次断线是因为我手机不好，米忽悠还给我们发补偿，活动频繁，内容丰富， cv豪华，立绘精美，关卡设计有趣耐玩，是游戏中的豪杰。(夏日活动限定）"
"晚安春夏秋冬","男","无IP","7624363","6","","10000","236","4","只是一场胜利而已，接下来的路，还很漫长！,姬子老师，未来的道路，我们一起去开拓！"
"limaeight","男","无IP","37797709","6","","10000","228","","我不知道什么真·琪亚娜，也不清楚什么K423，我只明白她是舰长我登舰邂逅的第一个女武神，是陪伴我一直走来的伙伴，是姬子不顾一切用生命换回的希望"
"我们都是打工人","男","无IP","130823099","6","","10000","180","","PV是真的牛逼。注意琪亚娜背后衣服天命的标志被划了一刀，再去看几年前那个特别牛的地铁PV琪亚娜也是一样。最早的pv就是时间线最晚故事，几年前就想好了，真的，我TM吹爆(°°)。"
"白岁子丷","保密","无IP","151513599","5","","10000","171","","所以游侠核心毕业武器与女王同用嘛[抠鼻][抠鼻][抠鼻]"
"尘言空","男","无IP","13928355","6","","10000","156","6","这么认真的琪亚娜...看来真的长大了,活动负责搞笑，主线负责插刀...,唔...第二把空无貌似不该分...(；ω；`)"
"-流云随风","保密","无IP","48889652","6","","10000","154","","姬子阿姐 因为崩坏能抗性的问题，在游戏早期就表示生命所剩不多，但她也完全不放在心上，该喝酒喝酒，该战斗战斗。,后来为了姬子的圣痕，一群人去找天然圣痕，引出来一堆事情。,再后来到了攻打天命，对抗律者的时候，可以看到姬子是很拼命的。因为她很清楚，反正生命所剩无几，与其在崩坏侵蚀中死亡，不如轰轰烈烈的战斗。为了心爱的人们。,所幸的事，琪亚娜她们都成长起来了。。。。,姬子这个角色确实很好，我写不下去了[大哭]"
"夏天的风ly","保密","无IP","153460205","6","","10000","127","1","本该有的热评:引起共鸣的观后感；个人剧情向解说；带文学家现场创作；提出能承包观众笑点的地方,现在的热评:赞我的都出律者；赞我的出新板鸭；赞我的都出新装备,不觉得很烦吗？还是说我觉得烦我就不要看评论了？我希望我看到的热评能带给我思考带给我娱乐带给我感动带给我继续走下去的动力而不是赞你我出货，真的希望大家不要再评论这种内容了，我所能做到的只是把这些热评点一个踩"
"四联装380mmMle1935","男","无IP","18044611","6","","10000","91","","琪亚娜还是有牌面，一个a级增幅能在新版本pv中抢s级觉醒的风头[2233娘_大笑]"
