"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"南宫尘缘","保密","无IP","389628585","5","","10000","790","","现在中国市场游戏现在分为两大块一个是腾讯一个是网易，剩下的都是些中小企业，你们发现没有自从米哈游拒绝了腾讯的投资后，世上哪个中小型游戏拒绝过腾讯或网易的投资，只有比哈游拒绝过，然后呢？终于被腾讯抓住了缺点吧，兔女郎事件米哈游确实做的不够好被抓住了把柄一顿打压，但你不能否定的是米哈游确实游戏做的不错，不管是原神还是崩坏三都非常好，现在市面上的游戏多少有腾讯和网易的投资，米哈游是唯一一个没有两个股市投资的吧，被打压很正常的给点机会给人家吧，做的不好的该骂还是骂，但要给点机会给人家吧，不然你只能去玩腾讯的粗之乱造的游戏，或者去玩网易的游戏，这个评价只是我个人的看法，还请多多各位担待。[doge]"
"巴卡喇","保密","无IP","401772943","6","崩坏3·天穹流星","10000","496","8","说真的，律者版本加9600，确实不厚道，但更离谱的是，一边在这洗，一边想把这个当成跳板，继续带节奏[笑哭]这个两极分化的状况到底是什么鬼？(д｀)"
"黎明前兆","男","无IP","21939609","6","","10000","22","10","这次的直播其实是剧情党狂喜，我觉得咱们评论区的兄弟们也可以收一收力了，维护良好的评论区是好的，但这种形式应该过渡到新的游戏内容和形式上。比如讨论新玩法、新角色、新剧情，作为剧情党我就抓剧情这边吧。这次直播的大饼对剧情党可以说前面十个版本都比不上，不仅增加了十三英桀的新设定，而且还深入到崩坏根源，他们究竟是怎样来共同抵制崩坏意志对后世代人类的蛊惑和降临的？每个人都有怎样的过去和特殊能力？这些无疑都是更值得讨论的东西，当咱们在做正事良性讨论的时候，mzr也是不配也没能力插话进来的。,另外我觉得咱们崩坏3剧情圈子有部分人有一股子执念，就是喜欢把崩坏3的主线剧情跟原神链接起来，每一次出了新东西就千方百计跟原神的剧情和角色沾边。这不是什么好现象，它会导致我们思考方向的单一化，影响对崩坏3这一个体宇宙的判断。原神至此都是一个全新的IP，与崩坏IP本就应该大相径庭，现在其实没有任何证据表明他们之间存在正传剧情的相互关联，很大程度上来自于咬文嚼字的脑补和奥托，比如提瓦特=方舟，比如风魔龙被奥托观测。照这样来说乐土=伊甸，看来伊甸小姐姐才应该是往世乐土的守门人，爱莉希雅是篡位者，你觉得合理吗？,事实上仙剑也出现过轩辕剑，算是致敬或者彩蛋，可从来没有人说把仙剑剧情天天跟轩辕剑扯在一起。这是不正确的，也是影响剧情生态发展的。如果崩3每次有新剧情大家先想原神，原神有新剧情第一时间先联想崩3，那就出大问题了。我一向主张先根据本游戏或者本IP自身进行合理的推测，不要盲目扩展到其他领域，强行给事物之间建立目前而言根本不够客观的联系，最终有可能与真正的剧情解析渐行渐远。"
"大叔快500岁了","保密","无IP","515808270","5","","10000","962","","2:00 5.0版本pv,5:00 为什么选择支配律者,8:48 千人律者的配音要求,10:00 千人律者的“以弱胜强”,12:30 琪亚娜的成长的设计（自我补完计划）,15:21 陶典对琪亚娜的配音的设计（这是虫虫还是游侠）,16:20 烧焦的吐司披萨、不辣的咖喱、三人份的咖啡、最后一课（所有人都在流眼泪）,1:03:00 为什么要给千人律者起一千个名字？到底真的有一千个吗？,1:05:00 炎律琪亚娜的火焰蓝色的考量（团队合作的美妙之处）,1:08:00 谈琪亚娜与姬子告别的场景构思（最后一课的时候就决定了）,1:11:00 创作者的心态如何调整（美工永远的神！）,1:16:40 千人律者的配音如何完成的（李沐霏<千律CV>小姐姐：这个角色怎么能把这种阴阳怪气！）,1:18:45 编剧组是不是有什么大病（点名浮夸哥）,1:22:00 玩家、工作人员双重身份的彭导会损失娱乐感觉吗？"
"陌心澪璃","男","无IP","26926885","6","","10000","64","","我想问个问题，最近市面上火的作品，谁家游戏皮肤不要钱啊？我想去玩。"
"又一个小盒子","保密","无IP","21727807","6","雪未来","10000","64","","知不道为什么都在为ch考虑……,既然如此的话，也希望ch能为玩家考虑考虑……,希望加强一下老角色，或者放慢一下游戏节奏，别弄的萌新如此紧张……,不是剧情党，萤火虫一出……,萌新只担心自己的姬子会不会过气……,深渊的温度会不会再添一把火……"
"Akie修远","男","无IP","31915432","6","","10000","445","","这次直播我听的最认真的就是陶典配音的时候问是配虫虫还是游侠那段，听到陶典被编剧刀哭的时候心情有点复杂，鹏导后面的声音也有些哽咽，能看出制作团队对琪亚娜她们也是抱有感情的。                                                              这次直播我很满意但是还是有一些遗憾的，你们放人偶学园片段的时候为什么不把ed放出来[doge]"
"翼轸Crown","男","无IP","4101591","6","","10000","14","","首先，恭喜草履虫重新成长了起来。剧情其实还是挺满意的，各种动画啊，建模啊，也看得出崩坏三现在在用心做游戏，这样就够了。别提啥送什么东西，也别纠结夏装，这些都是游戏之外的附属品。崩坏三之前确实干了不当人的事，这个也是没得洗的，所以少氪金就好啦。像我之前是月卡党，现在就变成白嫖党了，因为我怕他下一次还会这样。不过至少现在是好的，那就足够了。也甭拿腾讯游戏啥的对比了，像王者荣耀，那个不是游戏，那个是社交软件，本身性质就不一样。最后祝大家早日出货，等级不够的活动前全部88级[OK]"
"topmongolia","男","无IP","345876541","6","崩坏：星穹铁道","10000","51","","楼里有很多复制粘贴车轱辘话说什么9600的，当中也有一些反串的人，话说大家很多说的不在点子上啊，并不是觉得这个皮不值9600水晶，而是出的时间比较尴尬，除非是氪佬，对于普通微氪玩家一般只能在炎律和皮肤之间二选一，这个才是主要矛盾[笑哭][笑哭]"
"一个没有感情的","男","无IP","39731718","6","","10000","114","","就说一下皮肤的问题，这次夏活四个皮送了三个，就一个9600，但活动已经说了能有3-4k水晶的进账，再加上版本零散给的，就往少了说5k，那这9k6还能被喷[辣眼睛]？这不是基本白给？不至于每个人都天天保底吧？（虽然我就一次没保底[笑哭]）更何况这次还有一个s自选蛋。还要喷这个[疑惑]能不能说点有道理的喷啊？[藏狐]"
