"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"通辽汗国汗王","保密","新疆","407025644","6","","10000","2568","","编剧使劲在那圆了，美工尽量画了，音乐也是使劲在c，就这也带不动策划的操作[呆][呆]"
"找个病友发病","男","江苏","440739063","5","碧蓝航线","10000","650","","其时已致是指崩三凉了吗？？[吃瓜][doge][脱单doge]"
"新来的不懂规矩","男","天津","559919555","5","","10000","95","","萌新现在有3000多水真的很喜欢鸭鸭 可以抽吗 我多打打剧情什么的攒攒[脸红]"
"蝶殇花璃","男","广东","282854193","6","","10000","101","","快进到过两个版本新手就送[星星眼][星星眼][星星眼]"
"品茗侯月","保密","江西","349148590","5","","10000","79","","280元能做些什么？,,给自己买身新衣服,,与好友开黑一整天,,请父母去做一次全身按摩,,给家中长辈买些礼物,,亦或是,,帮助一位贫困老人,,帮助贫困儿童完成学业,,捐款参与救助一条生命,,或是温暖一下身边人,,但若你氪金给了mihoyo,,你甚至连一点点快乐都得不到,,你只能得到,,失望失望，还是失望,,比起被充给mihoyo，你的钱还有更有价值的去处-----请让人世间充满爱。"
"不打招呼就咬我的蚊子","保密","广东","1929494674","4","","10000","144","","无论你们怎么说新手池有毒的，氪金出爱莉的还是很难受的，背刺的感受，你们无法体会可以，但是别跳脸，让人无语"
"KearDawn","保密","重庆","258889688","5","","10000","20","","一条友善的建议：既然愿意做PV，为何不试试做类似原神的那种角色演示呢？（不是版本PV那种20秒可能都不到的简单演示，是有各种特写的那种）真的有时候觉得PV那一丁点的演示真是白瞎了新角色的人设和动作设计。好笑的是，崩3迄今为止并非没有类似原神那种“角色演示”，但仅有的两个，猫猫和爱莉的，都是日服官方做的…………,  真忍不住想吐槽一下，制作组那边究竟怎么想的……有那么多好的东西都不去发扬光大。有些这么好的动作设计和人设一直只用简单的20秒左右的演示，活动里出现的带皮肤的小人却既不能在宿舍里换也不能在新年聊天室用，一些本来优秀的东西最近也变得有点不如以前了。好事情不做，非要整一些惹得大家都不开心的事。以往还能看到有人说制作组不会放弃崩三，现在这个样子，崩三真的在9年的时候还能活的比崩2好么……"
"-山野云海-","女","广东","416055971","5","不思议之旅","10000","61","3","剧情党别说风凉话，没人在意你的玩法，不是同一类玩家不要参战找骂"
"だいどうじ無心","男","安徽","176604816","5","2021拜年纪","10000","37","","策划可以骂，狠狠的骂，最好族谱都不放过，但是不要喷玩家和角色，不懂的也不用乱跟节奏或者质疑，大家都是玩家都是，没必要互相膈应"
"光头-强无氪","男","福建","172441453","6","","10000","9","","有没有人和我一样觉得鸭鸭设计的很赶?[思考],像是建模正脸不好看，交互动作少而且别扭，还有大招动画，让我觉得想不出东西了，但又要显得很牛啤的，只能硬塞一个黑白闪进去。这次的配音也欠佳，感觉很生硬，并不是说鸭鸭不适合这种活力的形象，如骇兔，痞痞的，也很可爱，但真理鸭让我感觉完全没去雕琢过配音。"
"黄油煎蛋","保密","广东","2991080","6","","10000","11","","怎么感觉主角团越来越套路了，挨揍，觉悟，新装甲，挨揍，觉悟，新装甲… 民工漫（x）"
"Gaussian","保密","辽宁","523407346","5","","10000","7","","视频中鸭子说的两句英语[doge],All system is nommal=所有系统都是正常的,ride on=乘骑"
