"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"奥托主教单推人","男","无IP","445012705","5","","10000","3491","","兄弟们，我宣布个事，其实我是, , , , , , , , , , , ,  ,, ,“立雪，只能陪您到这里了”,符华:我经历过的背叛太多，信任我的人也都被殃及，无论怎么样都挡不住岁月的流逝(上仙的记忆在岁月的冲刷下已记不清曾经友人的模样，友人丹朱苍玄因无法继续陪伴赤鸢而所赠予的苍玄之书也在陪伴上仙千年后睡去……自始至终终是孤身一人),克莱因:她是纯粹的存在，纯粹的探求者，纯粹的……恶 但也许正是因为在末世之中，这样的【恶】才是可以存在吧 博士并不想要理解者，她想要的只有答案,梅比乌斯:一份曾经的存在，催生出了新的生命 而她又将以这份存在为基石，在这个世界上继续前行 这或许就是人类称之为【进化】的旅途又未尝不是一种【答案】呢，克莱因?再见了……我的【理解者】 ,姬子:琪亚娜，我已经没有什么可以教你的了。因为不管前方遇见了怎样的困难，你都能战胜它们。你都能做出正确的选择。我永远相信你。 ,姬子温柔的注视着你，不再言语 , [原神_欸嘿][阴险][阴险][阴险]"
"id无了","保密","无IP","333502322","6","","10000","24554","","其他游戏：实际画质体验以游戏实际为准,崩坏三：实际画质体验请以手机配置为准"
"知觉沸腾","保密","无IP","36943177","6","乐正绫五周年生日","10000","1236","","虚数之树：“奥托超人，睁开眼睛，我是虚数之树，是崩坏意志的上级，和我去虚数空间吧，奥托！”,奥托：“不，虚数之树。我的生命现在不只属于我自己，如果我和你走了，卡莲就活不下去了。”,虚数之树：“奥托超人，你已经为复活卡莲做得够多了，纯爱党们会理解你的。”,奥托：“卡莲是个好人，不可以牺牲她，我要留在实数空间中。”,虚数之树：“卡莲的生命要随历史顺其自然才好，你不必一直待在实数空间。”,奥托：“这样的话，我把我的生命给了卡莲再离开。”,虚数之树：“哦？你对自己的生命不可惜吗？”,奥托：“没有关系，我用黑渊白花和魂钢改造自己已经很长时间了，卡莲的生命是非常短暂的，她还很年轻，不能牺牲她。”,虚数之树：“你就这么喜欢卡莲吗，奥托超人？……好吧，我带来两份权能，多出来的那个就给卡莲吧！”,奥托：“谢谢你，虚数之树。然后……永别了，所有的女武神战士！”"
"hzj-wolf","保密","无IP","52498034","6","碧蓝航线2020","10000","8000","","看pv:犹大我的老朋友，再帮我一次吧,看后崩二:德莉莎大主教,得出结论:刀的是犹大[藏狐]"
"Gary夜羽","男","无IP","2696292","6","原神","10000","1132","","不玩崩三，就是过来点个赞"
"羽渡世尘","保密","无IP","470099854","5","","10000","220","","为啥评论一堆说剧情和pv不行的啊？是我见识太少了吗？新主线感觉把奥托塑造的更立体更深入人心了感觉很好啊。pv里的电音个人感觉和布洛妮娅现在的科技感很契合啊。,是我跟不上时代了吗？[藏狐][藏狐][藏狐]"
"狗豆一号","保密","无IP","207566648","6","EveOneCat2","10000","11185","","布洛妮娅：我要把你，做进游戏里！[藏狐]"
"磁爆步兵54","男","无IP","3443416","6","","10000","42","","""童年""""博弈""""谎言""""故友""""自由""""延续""""羁绊""""启示""""审判"",“虚空万藏！”,“以神之名，命令你退场！”"
"咸鱼-躺","保密","无IP","431320675","5","","10000","128","","水晶奖励虽然有点剧本杀，但是这种方式挺不错的，挺好的。"
"问肯局长是不是基","保密","无IP","23618219","6","崩坏：星穹铁道","10000","48","25","___________万岁！"
"pragmatist99","保密","无IP","32472694","6","","10000","27","","之前5000+人的时候没热门，现在200+就有热门，蚌埠住了[喜极而泣]"
"辰号机不止是好看而已","男","无IP","22932792","6","","10000","165","","笑死了，想起之前在群里跟别人争的一件事,好像是说崩三已经下坡路了，到了数值膨胀的后期，用户开始流失了，大部分抽卡手游都走向这种末路,我说虽然数值膨胀用户流失这些问题依旧存在，但是崩三还可以再战一百年，为什么呢，就拿最近的说崩三做出了后崩系列，别的厂做不到拿出这种东西,后来今天看到群里有人说想玩后崩了,哈哈哈哈哈哈，总之崩三加油！"
"凯文の夙愿","保密","无IP","599253439","5","","10000","4","","鸭鸭，怎么回事啊鸭鸭，崩三这么多年不长身高，怎么崩坏封印后的后崩就长这么高，连平板也长起来了?（活了无数年的符华震怒[doge]）"
"柒夏绮霞","女","无IP","446152606","5","hanser","10000","71","","好想玩崩三啊，有没有大佬指引一下萌新该怎么玩啊？[哭泣]"
"我惠凌绝顶","男","无IP","507125126","5","","10000","9","","这后崩坏书属实屠杀所有动作手游了，我是不懂咋有人敢拉踩后崩坏书的[嗑瓜子]"
"星穹铁道第一人气偶像","男","无IP","306473415","6","","10000","36","13","放码过来！[脱单doge]"
"曦月不愿忘却","保密","无IP","325013578","6","","10000","6","","我在看同人的时候发现了一个问题？一直以来，我们都以为是琪亚娜将地球99%的崩坏能封印在了月球。但现实的问题是，现在的琪亚娜是做不到的，无论是那庞大的崩坏能还是律者核心的虚数奇点，一直以来，我们都忽略了一个bug级别的人物，“幽兰黛尔”。一个天赋看不到顶的人，一个崩坏能适应性会随着接触的崩坏能而增加的人。"
"林簌儿梦","女","无IP","330131734","5","星座系列：巨蟹座","10000","8","","感觉米游创新力差点，原神比我期望的低了点，实力有了。感觉原神就跟当初玩蹦蹦蹦一样，过了那段上头的时间，热情就降了好一截[巨蟹座_好热]然后剧情地图过完只剩刷刷刷的内容"
"Dr-Falls","保密","江苏","343404842","5","","10000","11","","第二次见崩三角色PV的音乐……上次还是识之律者……各位请让我冷静亿下……这这这什么神仙音乐………………"
"ー只小团雀","保密","无IP","38832798","6","星座特典","10000","70","4","奥托：犹大的第零额定功率不分敌我，只要在结界内就都会受到影响。普通人会直接死亡。用崩坏能作战的女武神身体机能会发生混乱，失去行动能力。尤其是你德莉傻。你的身体内有崩坏兽的DNA，在犹大的结界中你会受到更多的伤害。就算是我，也没法在结界中行动自如。所以我一直没有教你犹大的第零额定功率。使用这种力量会害死你。"
