"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"轻凛划水摸鱼","女","贵州","45165197","6","崩坏3·天穹流星","10000","5041","","你小子，我还以为你又更新了"
"不干正事某风神","保密","天津","677934772","5","","10000","540","","不只有我一个人认为更新了啊 那没事了"
"分工的小狗","保密","甘肃","3493130418522225","3","","10000","11","","你们好，虽然我不玩崩坏，但大致也了解一些是这个宇宙的设定。有一个虚无之树′，这宇宙中的人类文明好向达到一定的等级会引来崩坏。那些崩坏好像是人的形状非常的强大，会毁灭这个文明，但是呢，我觉得这样一点都不残忍，我觉得还可以加入一些向《三体》一样的东西，比如三日凌空，超新星爆发，高等文明入侵再加上非常强大的生物而且每个长得跟那个异形，然后人类还发生叛变，我觉得这样才能展现出末日的感觉。可能还会有人觉得这个想法还是太仁慈了。请大佬在下面评论。还有不喜勿喷。[微笑][微笑][微笑][微笑]"
"程语啊","保密","河北","3461567641291424","4","","10000","1615","","冬天要走了，春天要来里。。。,是不是说视频里13个英桀小雪人要融化消失了[辣眼睛]"
"听说改完名就能中奖","保密","广东","360222848","5","","10000","322","","我现在就要看绘世老师的著作：《新来的转校生很危险》"
"掉线狂魔☆火星","保密","上海","520492","6","","10000","42","10","[崩坏3·终焉归始_优雅]雪人刨冰！！"
"Wendy-wind","保密","河南","1484956333","4","hanser","10000","88","","我希望明年有《黄金庭院：夏日里的沙滩派对》"
"星野爱あい","保密","河北","1180738145","5","美月もも","10000","256","","爱门！[崩坏3·光辉矢愿_比心]"
"D忆往昔","保密","河南","1524581614","5","","10000","98","","我劝你赶紧做出来凯文和梅的糖 还有劫哥和樱的 伊甸和爱莉的 科斯魔和黛丝多比亚的，要不然我就哭给你看[doge]"
"摸鱼的泰迪","保密","江苏","88169231","6","萌妻食神","10000","8","","如果不发生崩坏，为什么ed里会有逐火之蛾标志的旗帜呢[思考]所以，最后真的是一场梦吗....[灵魂出窍]"
"行云E","男","浙江","1225207935","4","","10000","20","","更新了！黄金庭院更新了……片尾曲[辣眼睛]"
"拿AK的御坂10777","男","山西","176805527","6","","10000","37","","热知识，当你看到这个视频的时候，你的寒假已经快结束了[崩坏3_乆]"
"暂无真名","保密","陕西","1543917033","5","","10000","11","","这种时候就应该洒非常易碎的粉色水晶花啊[微笑]"
"慕斯滚滚","保密","浙江","3493109029669273","3","","10000","7","","哪有什么黄金庭院，只是猫猫决战终焉前的幻想而已。。"
"HopfRinow","保密","北京","2965888","6","2233幻星集","10000","23","","最后太阳升起，所有英桀融化后可以永远在一起，事糖[崩坏3·光辉矢愿_惊]"
"我沐志啊","男","河北","378895693","4","","10000","12","","话说咱封面的打雪仗环节呢[崩坏3·终焉归始_渡人]"
