"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"黎明前兆","男","无IP","21939609","6","","10000","2636","10","科普：梅比乌斯融合了审判级崩坏兽舍沙的因子，舍沙是第三律者伴生崩坏兽，具备一定程度上死而复生和操控雷电的能力，在第三律者被消灭后它依然存活，最终被梅比乌斯回收并以此进行超变手术。舍沙也是目前已透露的所有融合崩坏兽中仅次于爱莉希雅的一位。,爱莉希雅：不如我的大自在天[嗑瓜子]"
"约定成书","男","无IP","338352846","5","","10000","588","3","是我落后了吗？奥拓呢？我亲爱的老朋友[大哭]"
"月光中心_official","保密","无IP","25289147","6","","10000","8749","","梅比乌斯拒绝了爱莉希雅，但爱莉希雅没有拒绝梅比乌斯"
"crazymaxhero","保密","无IP","18319564","6","","10000","3","","博世的操作手感还是要再优化一下。,嗯，怎么说呢？,嗯，这么说吧。   分支的手感感觉要“目押”一样    无法做到提前按。可能是普攻亮起来的时间慢了一两秒,（就是那种按了分支之后，一定要等普攻亮起来。。。[笑哭][笑哭][笑哭],然后才能触发强化普攻，就导致习惯了,提前输入指令的玩家没有成功触发强化普攻,就又打出了分支亏了一个种子,而且某些场景中敌人特别多，博士又比较脆。 在等待“普攻”亮起来的时候，还要同时注意敌人的攻击。然后你懂的。太过在意普攻强化收益,被集火暴毙。[滑稽][滑稽][滑稽],,可能是我个人习惯吧，不知道大家怎么想。[藏狐]"
"青山渚的自由红薯协会","保密","无IP","34892786","6","","10000","4795","","奥托阿波卡利斯解锁天赋「奥托不用工作啦」后，奥托可以把工作转交给「诸世界的大慈善家」「很坏很粉的大精灵王」「前文明的守护者」「往世乐土游览指南作者」「逐火之蛾英桀的宗家」「大名鼎鼎的凯文卡斯兰娜老爷的供货商」「最可爱的舰长的女朋友」爱莉希雅女士"
"花洲绘世","男","无IP","22405580","6","","10000","10","","我觉得炎八真的是崩3角色技能设计和动作设计的顶峰，技能特效好看不瞎眼，动作设计很扎实打击感和手感很好而且不浮夸，操作起来动作要素也十足，不像现在的角色表现这么强。"
"璐卡利欧","男","无IP","139271219","6","公主连结凯露","10000","4018","","珍惜奥托讲堂吧，问卷调查都问奥托讲堂的取舍[大哭][大哭][大哭]"
"影之侍","男","无IP","14075464","6","三周年恋曲","10000","1251","3","梅比乌斯：此即，诞生之刻,阿贝多：此即为，登神之刻"
"阿咻可以吗","保密","无IP","6790508","6","","10000","276","","我渡鸦毕业了，却没有渡鸦[笑哭]"
"素食女士导致的","男","无IP","36756660","6","","10000","82","","一个10连,1个亚丝拉琪上,2个亚丝拉琪下,起大飞[脱单doge][脱单doge][脱单doge]"
"你的标点符号很贵吧","男","无IP","37079866","6","","10000","64","","还差27发就出了，谢谢你，米哈游，每次都会让我吃保底[呲牙]"
"执溯酱","女","无IP","30158229","6","至尊戒","10000","216","","大家真的不觉得梅比乌斯很光污染吗[笑哭]打了乐土，梅比乌斯快把我闪瞎了，眼前一片绿油油也找不着人[辣眼睛]"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","138","6","奥托讲堂可以换成爱莉希雅[doge][支持]"
"泷歆昭","女","无IP","381579445","6","绯赤艾莉欧","10000","3169","","奥托讲堂不能没有奥托，就像梅比乌斯不能没有克莱因！"
"Bronya待机中","女","无IP","286572407","6","珈乐Carol","10000","10","1","有没有一种可能，只是可能，我是说这个奥托讲堂，其实不是真的奥托在讲，只是一种猜测"
"账号已注销","保密","无IP","232580234","0","","5000","4","","说实话，为了这角色我买了个小号玩，玩了几天后发现这角色真的太离谱了，是真的离谱……太离谱了"
"空美町","保密","无IP","168687092","6","","10000","1253","","托哥拍了短片，不想加班了，罢工了[藏狐]"
"nann_P","保密","无IP","24457600","6","","10000","958","","你这奥托讲堂里有奥托我肯定看啊[脱单doge]"
"沙发游戏快评_蔡羽","保密","无IP","347841395","5","","10000","1","","不知道为啥，最近看到符华总会脑补到这些：,丽塔在冰面上换换醒来，眼前的暴风眼里站着一个熟悉的身影,“你，你是？”,“怎么？不认识我了吗？艾琳酱，我是你的粉丝啊！”【hanser_问号】"
"琉璃ア血泪","男","无IP","106706545","5","三周年恋曲","10000","15","","16000水没抽到，悲伤了-_-||"
"琉璃ア血泪","男","无IP","106706545","5","三周年恋曲","10000","15","","16000水没抽到，悲伤了-_-||"
"素食女士导致的","男","无IP","36756660","6","","10000","82","","一个10连,1个亚丝拉琪上,2个亚丝拉琪下,起大飞[脱单doge][脱单doge][脱单doge]"
"巨可愛的琪亞娜","男","无IP","233948819","5","崩坏3·天穹流星","10000","14","","奥托真的消失了[大哭]，兄弟们。"
"梅露齐娜超可爱","男","无IP","522023158","5","洛天依9th生日纪念","10000","56","","机械 雷电 绿色，懂了，是机械丽塔[doge]"
"屿盺依旧请假中","男","无IP","277048189","5","","10000","14","","梅比乌斯！我的梅比乌斯！啊啊啊啊啊啊啊呜呜呜呜呜呜，你不要离开我啊啊啊啊啊啊！！！我把水晶都给你了，求求来我舰上吧啊啊啊啊啊啊，淦！沉了！沉了！沉的不是水晶，是我喜欢梅比乌斯的心啊啊啊啊，呵呵哈哈哈哈哈啊哈哈哈哈哈哈哈，不可能，我不可能沉，不！！！！！！"
"一只月堇呀","保密","无IP","351963735","4","","10000","49","","今天接到了琪亚娜的电话，有点小破防,不只是因为感动,主要是她要给我做饭吃，我好慌啊"
"约伊兹的杨小桃","男","无IP","113573820","6","洛天依9th生日纪念","10000","17","","奥拓讲堂×,梅比乌斯讲堂,奥拓倒了（[doge]）"
"账号已注销","保密","无IP","111220485","0","","5000","70","7","众所周知，奥托讲堂里没有奥托[doge],[笑哭][大哭][大哭][大哭][大哭],奥托大人啊啊啊啊啊啊啊"
"我永远单推陈阿姨","保密","无IP","676093495","5","崩坏3·天穹流星","10000","52","","又是这样，用奥托换来所谓的讲堂，我不接受，把奥托——还给我！"
"冰雨交加GaMing","男","无IP","6687136","6","崩坏3·天穹流星","10000","13","10","解说奥托失业现场[笑哭]"
"SyuKateki","女","无IP","169554233","6","山海异志","10000","13","","[2233娘_大笑]"
