"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"爱自由泳的企鹅","保密","无IP","8161469","6","","10000","5332","","里面捡垃圾是捡包菜吗"
"一番的祝福","保密","无IP","13334019","6","","10000","6143","","此时一个长着狐耳打着吼姆结隐着身知晓世界本质会空中劈叉兼职甲板清洁工是个好人的魔法小精灵见习义警挂名舰长路过(°°)"
"这里是上北","保密","无IP","36271800","6","","10000","892","3","崩崩崩从一个动作游戏变成了集动作格斗养成策略角色扮演射击塔防休闲模拟经营冒险街机合作闯关卷抽闯关恋爱模拟视觉小说为一体的小游戏合集。[小电视_笑]"
"伊卡的西瓜","男","无IP","11712804","6","崩坏3·天穹流星","10000","2662","","劈叉着看视频(:3_ヽ)_"
"游戏彩笔","男","无IP","1320581","6","","10000","533","25","爱酱自吹还行"
"多多理财部长莫妮卡","女","无IP","12518147","6","","10000","468","","欢迎观看新版手游《逆熵3》，在这里，你将不会再被一群机甲大汉按在地上摩擦，在这里，你将对抗世界上最邪恶的第一绿者，你将是逆熵的主角而非空中劈叉的洗地工，《逆熵3》，你值得拥有"
"黑色管弦乐队","男","无IP","269254716","6","洛天依9th生日纪念","10000","331","","根据官方统计每位休伯利安舰长至少有一个卡莲和两个德莉莎，同时约有上千万的玩家，所以奥托大人的帽子至少有5，6千万顶，所以得出结论天命的资金都是主教大人卖帽子换的"
"老龙同志","保密","无IP","29833431","6","","10000","319","","奥拓；我将定期组织军队夺回据点，收复属于我的阵地，各位入侵者，做好准备用性命支付冒犯我的代价了吗，天命常存，而汝等必将灭亡。,舰长，卡莲，这个地方交给你来进攻了。,奥拓；停火，都TND给老子停火(╯°口°)╯(┴—┴"
"登月失败的月亮树","保密","无IP","9009817","6","","10000","178","","作为漂浮在在云上的天空城，天命总部永远有着变幻多姿的气象与景色，让我深深沉醉。,每一种高空天气都会给手机带来不同的影响，比如落雷比如被雷击中会进入短暂的**状态，不过你手机的耗电量也会比平时更高,而在高温天气中，火焰伤害会得到强化，当然了，你手机的温度也会急剧增高。,另外值得一提的是这座岛上的极光，更秒的是极光还会改变你手机的屏幕亮度。,,好了接下来的我编不下去了。。。。"
"邪龙塔斯拉克","男","无IP","21237607","6","汉化日记","10000","177","","后来，奥拓抓住了爱酱把她研♂究了一番后，给自己造了个包菜版的帽子。"
"Sky-empty","保密","无IP","153351236","4","","10000","127","","主教大人，您在意爱酱确定不是因为她的颜色与您的颜色重了(=^▽^=)"
"だいすき黑YAN","男","无IP","28026098","6","崩坏3·天穹流星","10000","107","","飞鱼丸:大姐你回来啦～,爱酱:大妈你回来啦～"
"2-氧代丁二酸","保密","无IP","39240974","6","","10000","108","","是不是卡莲在这个总部会获得全伤害免疫+全攻击秒杀23333[小电视_害羞]"
"持家老宅男","男","无IP","32780569","6","三周年恋曲","10000","106","","这游戏让我们免费玩真是亏了"
"平板赛高","保密","无IP","234114738","5","","10000","73","","奥托：在高温天气时，舰长的手机受到的火焰伤害会得到加强。"
"大龄钱叔叔","保密","无IP","97702435","6","提摩西小队","10000","72","","我们现在是从八重村偷到天命总部了吗？(｀ω)"
"忆丶尘隐","保密","无IP","29180821","6","碧蓝航线","10000","64","","崩三的每一次更新都是对我手机配置的一次巨大考验……而这次我不觉得我的手机能够继续战斗下去[蛆音娘_哭泣]"
