"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"看不到名字","保密","无IP","11943108","6","少前小剧场","10000","4395","","天父:谢谢兄弟，已经100％"
"不能蒲公英","保密","无IP","2382909","6","崩坏3·天穹流星","10000","3964","10","eva厨泪目[大哭],,如果是小时候电视看eva的，我估计现在大多都已经工作了。,看到米哈游大佬追梦成功，我自己想起小时候半懂半不懂看eva，给我的冲击。,机器人竟然像活物。,主角温柔却懦弱，我当时看不起他,怎么会有明日香这么飒爽的女孩子，,还有绫波丽的笑容,那一枪阳电子炮,那沉下来的使徒,最后完全看不懂甚至让我做噩梦的几集。,太多太多的东西。,,看到他们能追梦成功，工作了接触到自己儿时或者少年时的爱好，看着编剧提到eva就如数家珍。,,我在加班的地方一个人看着直播，,突然也乐了起来，我想起了很多，又忘了很多,就记得那时候在那个大盒子电视机看动画片不是悲伤，也没什么落寞，就，我也说不出来。,,可能只是人到中年会想小时候的正常生理现象吧。"
"の尼桑","男","无IP","39788079","6","","10000","4526","13","[热词系列_知识增加]:我是 老玩家 给萌新多送点东西 这是肯定要有的，多照顾一下新玩家,,[热词系列_知识增加]:就是 别 复刻 一期泳装和绝版徽章 毕竟我已经没有什么可以炫耀的东西了[doge],,以前2-3月 肝出来一个SSS雪地什么的，现在新玩家 一个月就能换出几个吧？"
"血染洞房一片红","男","无IP","3457676","6","实验品家庭","10000","1258","","目前可以公开的情报：,琪亚娜天穹游侠有一套明日香联动皮肤，外观是新剧场版Q的明日香作战服,冰鸭有一套联动皮肤，外观原创，重装小兔拥有初号机和二号机两种配色,明日香作为可操作的联动角色加入，并且有一套哥特服皮肤，武器是朗基鲁斯枪（贞本义行的那张插画）,玩家可以操作天父与使徒战斗，明确有水天使和雷天使,舰桥UI大改，变成EVA风格，可以参考夏普联动手机的UI,可期待内容：,目前没有凌波丽的信息，但是EVA只联动明日香是不可能的，所以大伟哥是丽党无疑，他肯定要放大炸弹,男性角色如何联动？,新的CP，葛城X姬子 碇源堂X舰长,最后作为香党，不奢望痞子对她好，只希望在联动剧情能不能给咱家香香一个好结局。。。。。。。[委屈]"
"悦音226声工坊","保密","无IP","437545244","6","赏樱大会·初级","10000","1237","4","好耶！另外问一下鸭子皮肤是免费获取嘛！"
"浅语乱诗","男","无IP","3060418","6","","10000","679","","3：35   明日香"
"白首笑暮迟","保密","无IP","334554781","5","2233白色情人节","10000","666","","在？减负延期？[微笑]"
"干劲满山竹_","保密","无IP","39476988","6","","10000","997","","今年的可肝神之键计划呢？,计划赶不上变化，被吃了？,cv6367336"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","341","","欧吼！别拦着我我要回去玩三蹦子"
"果蝇轰","男","无IP","8469526","6","","10000","666","11","天穹游侠这联动皮肤，我好了，我好的彻彻底底完完全全明明白白[tv_流鼻血]"
"_シロバナ","女","无IP","397004434","6","","10000","865","","新玩家4.5福利：送百连,老玩家4.5福利：送白练[呲牙]"
"诗乃家的小可爱","男","无IP","244185892","5","绯赤艾莉欧","10000","346","","相关推荐  天使重构"
"琪芽今天接吻了几次","男","无IP","28201947","6","崩坏3·天穹流星","10000","538","","为什么要女人，初号机才是男人的浪漫"
"裂天法向量","保密","无IP","343540388","5","","10000","261","","蔡老板追梦成功也不演讲演讲？"
"铄金之洛","女","无IP","85982185","6","还有醒着的么","10000","369","2","四年的时间说散了就散了……到今天退坑的老玩家也不会如何伤感，只是感慨罢了，该伤感的早伤感完了。,最后氪一次，就当是对四年的回忆最后的告别了。,以后不会再回头了。,曾经的一腔热情和一往无前的执着，现在看来也不过如此罢了。,谢谢你曾带给我的欢喜，忧伤和触动。,再见啦，三崩子……原神！好耶！"
"黎明lv1","男","无IP","28354112","6","","10000","395","6","表面上：mhy分化玩家,实际上：某些人打着mhy分化玩家的借口在分化玩家,[呲牙][呲牙][呲牙]"
"西红柿操鸡蛋蛋","保密","无IP","2961581","6","","10000","141","","我老婆呢，那么大个绫波丽呢？没了？"
"宇萌-祈","男","无IP","8927111","6","BML2020暗黑版","10000","109","","如果这波联动是在半年前我可能会兴奋到爆炸，可是到现在真的有些提不起劲了。手游骗氪正常，但是如果非要做得太极端了那真没意思了，从出雷律那个版本到现在，新的主线剧情索然无味，每出一个新角色就强推到没有这个角色就几乎打不了深渊的程度，四周年庆也完全没有内味了，而且还非要去学别的手游整什么赛季积分和深渊段位，本来自己独特的东西却不去保持了。游戏内容越来越复杂，现在再玩崩坏三已经没有休闲的心情而只有心累。当初第一次打开崩坏三的时候，白练流畅的动作和时空闪避确实是惊艳到我了，从16年10月到19年的三周年庆，几乎每次活动和新版本直播我都不会错过，而且对游戏内容也一直保持着期待，氪了两个母猪章了但也觉得值得，因为这个游戏确实带给了我欢乐。可是从今年开始，我越来越难以从这个游戏中获得快乐了，如今即便是打开游戏等待电梯打开的这点时间都让我觉得漫长。如果米忽悠已经不想再认真经营崩坏三了，已经把她当成了一个榨取最后一点价值的工具，那我也没有什么办法，只是感到悲哀，作为一个曾经喜爱这款游戏的玩家。"
"平行的交点","男","无IP","198542436","6","","10000","199","","曾经的曾经，大伟哥会把玩家们提出的建议和意见全都看一遍，当运营有大失误的时候会亲自下场道歉。时过境迁，当初的创业者成为了大老板，大伟哥也逐渐成为了mhy的精神象征。运营开始无视玩家们的意见、为了流水不惜无视用户们的抗议。,一个游戏制作人曾说过这样一段话:,“如果你到医院去看病，医生不仅不给你治疗，反而故意让病情恶化，接着再不断给你推销药品，真有这种人的话恐怕是会进监狱的吧？,而游戏设计者的本职工作应该是为玩家提供,快乐，故意把游戏做得让玩家感到焦躁、不,快，然后再向其兜售用钱解决这种不快的手,段，这样的设计者是不是也该被送进监狱？,看到这样的游戏大行其道，我真的非常愤,怒”,我相信当初mhy的创始者，也是因为热爱游戏才投身这一行的，那你们也应该玩过足够多的游戏，当你看到运营肆意妄为不顾玩家体验的时候，心中应该也是愤慨和不快的，因为在游戏里贩卖焦虑是一件很讽刺的事情，为什么到最后却成为了自己所讨厌的人了呢？,我记得好像大伟哥您曾说过:市面上没有我们想玩的游戏。诚然，崩坏3的质量放在现在的手游圈依旧是次世代体验——一份近乎满分的答卷。我记得小学语文老师说过的一句话:人的外表美不是真的美，内心的美才是真正的美丽！可惜啊，崩3好看的皮囊之下配的却不是有趣的灵魂，甚至称之为势利都不为过。,我真的不愿意承认，每一个游戏创业者成功后都会被物质抹去了初心、利益磨平了棱角、金钱蒙蔽了双眼，因不满足于现有的财富积累而疯狂压榨玩家，这样对官方对玩家都太可悲了。,运营为所欲为的部分原因是市场缺乏竞争，硬核动作手游等细分市场暂时做到了垄断，玩家缺乏选择。但就算这次节奏能做到俯视玩家，不听不听，王八念经，甚至下次下下次，下下下次都能如此，但我不相信mhy能一直这么从容下去，因为未来是无限延伸的，一旦出现了能真正威胁到mhy的竞品，那么先前一点点累计下来，积少成多的积怨就会被真正点燃，勿谓言之不预也！"
"Roseweisse-","保密","无IP","4965427","6","原神","10000","105","3","反正我觉得挺香的 我现在屯了3w多氵应该也够了 [doge]"
"莲子ls","保密","无IP","432043754","5","良辰美景·不问天","10000","27","10","我大天父终于站起来了啊[热词系列_爷青回]"
"北原沐雪","男","无IP","14987272","6","原神","10000","113","","新版本福利：,明日香【联动角色】免费领取,明日香【皮肤】免费领取,葛城美里【圣痕】免费领取,限定装备补给卡*10免费领取"
"雾切是这样的","保密","无IP","17628408","6","","10000","31","10","目前在所有圈钱战士的联动里，做的最用心的一个了"
"我想做巴尔将军的刀","保密","无IP","315178147","6","","10000","99","","能不能让我考完研再更新"
"Mk23的指挥官","保密","无IP","41814695","6","","10000","34","4","米忽悠家游戏相关底下评论总是那么精彩，哪怕是同类型游戏同类型瓜其他厂游戏相关底下都不可能有那么精彩的pvp现场"
"羡秋musix","保密","无IP","348995717","5","战双帕弥什","10000","131","","别失忆的太早嗷 仔细看看里边的东西 大多还是要氪 下版本就是过年了 这版本想拿东西还是得氪[傲娇]"
"云波谲诡","保密","无IP","12612066","5","","10000","25","","eva是真的好看，老实说崩崩崩的设定和世界观就一股子eva味，比如量子态和狄拉克之海，舰长看会有发现蛮多的梗，入坑不亏(ω)"
"弦虞非咸鱼","男","无IP","11937199","6","","10000","94","","狗策划快给美工音乐磕头，要崩崩崩的那种[tv_doge]"
