"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"青衣长剑浊酒清茶","保密","无IP","14547258","6","","10000","1884","","只想问  姬子寿命还几天（/TДT)/"
"水野愛Official","保密","无IP","28214634","6","花园Serena","10000","1562","","考虑一下角色的平衡**！   还有你们提意见可以   能不能嘴巴干净点？     昨晚直播还有说策划死吗之类的，你是没母亲么！？    昨晚大伟也说了，策划直播完都要面临很大的压力！提意见也要换个方式！毕竟你们都觉得网上骂人不犯法？ 能不能有点素养，姬子的生日，被一些带节奏的整成骂人的战场！    最后很多人都在刷生日快乐，吾辈表示很感动的说！   希望大家都理性看待，骂人不能解决问题的！（￣▽￣）"
"吹笛型イリア","男","无IP","1537467","6","","10000","575","","素质低就是素质低，没什么好洗的，好好的一个姬子直播刷策划母螺旋上天的弹幕，动不动就问候亲人，b站有你们这种用户，崩3有你们这种玩家，真是丢脸。"
"DissiParrot","保密","无IP","48159672","6","","10000","743","","直播有点无聊，但支持崩坏3"
"迪奥-布兰你度哥","男","无IP","7686051","6","","10000","381","6","恕我直言，在姬子生日会上骂人和女生邀请你去过生日你却当场*奔的有什么区别。"
"食神Burger","男","无IP","27205095","6","EveOneCat2","10000","229","","说实话各位舰长都留点口德好吧，就算游戏有什么不足，也别这样说别人。原来我以为米忽悠的玩家和其他的游戏玩家不同，现在看来。。果然是我想多了吗。。"
"白井黑子QvQ","女","无IP","36832590","6","hanser","10000","113","","爱酱，其实崩3还有很多很爱这款游戏的玩家的（比如我！）请忽略直播中那些没素质的玩家。。。虽然我们都会提意见但不会这样子的，游戏里的爱酱邮箱我经常都有用的！（虽然只是渠道服Q.Q）希望崩坏3越做越好啦~当然是选择原谅大伟啦~"
"下地浴霸","女","无IP","21157128","6","","10000","43","","身为女舰长很喜欢姬子啊，感觉剧情对姬子的安排有点水，刻画的不够讨喜。后续版本也在捧小八卡莲和阿符，什么时候加强姬子啊(；ω；`)"
"玉玉症海豹","保密","无IP","11909519","6","实验品家庭","10000","74","","总有一天我要在碧蓝航线里捞出休伯利安"
"二次元托哥","男","无IP","2206618","6","珈乐Carol","10000","81","","78级7000氪玩家讲一下现在的崩3，,深渊，虽然加了动态难度，但是领奖人数没变啊，以前非要打到33，还要互刷，最后还怕被炸下来，半个小时挂一次滑稽，现在打个20几就放那了，打的时间反而变少了，难度升高，但是玩家也超强了，这样才有挑战性。,另外说到肝度，还有人说什么外传难啊之类的。我只能这么说，你玩网游该不会也把所有职业玩成满级极品装备吧。理性对待关卡，打不过就打不过咯，游戏设计一个关卡又不是为了所有玩家都能过，肯定有人打不过，要么放弃，要么变强(技术，氪金，或者换个套路),而且前几天出的矩阵空间，我个人认为很好玩，我们一个团互相帮助，而且我通关也会用我的浓姬勿忘去带萌新打6图大飞机，这个游戏真的很好玩，但是策划肯定在想怎么坑钱。我只能说理性消费，根据自己的收入和零花钱来决定是否氪金，别玩个游戏搞得月月吃土。,最后祝大家游戏愉快(⌒▽⌒)"
"此刻繁华","男","无IP","10827377","6","三周年恋曲","10000","55","2","表示看大伟穿的这身衣服特别不习惯，女装都比这个强"
"小柠丶","男","无IP","6736655","6","","10000","50","","好好的生日开成了追悼会，心疼过气姬子"
"世界不在美好","男","无IP","87065007","5","","10000","35","","至我手机上的崩坏3世界中的姬子大姐姐的一封表白信：姬子小姐，在向你表白之前我先祝你生日快乐哦！想让你在对抗崩坏兽的同时不要太累了，多少也要放松自己一下比如和琪亚娜他们一起玩玩，当然啦还有我我是什么时候都会欢迎姬子小姐您的大驾光临的。因为是第一次写情书不太会不要怪我太啰嗦了啊！！！那么就接下来的表白啦！姬子小姐实话告诉你在与你相遇之前一直以为你是个阿姨的说（不要怪我????）因为成天被琪亚娜他们三个给污染了，但我还是希望遇见你以至于我疯狂的出击轩辕篇，在知道你之后就一直在为你的武器着想，不知道你还记得在情人节那天芽依和琪亚娜互送戒指那时有个活动在活动兑换里我一眼就看中了一把融核动力剑～改当时我就是个萌新舰长没有那么多工资（水晶）只能帮你买个这把武器，竟然还觉得不错我真是傻啊哈哈????。至于喜欢上你的心情是怎样产生的呢？那就是与你在舰桥上的互动以及家园里的交谈还有你在战斗中的魅力四射都吸引了我。如果你要问我喜欢你的什么？那就是你的性格、你的为人从你的言谈中你的行为举止中我读懂了你。你是个战斗中高傲不屈的人、生活中高雅 风趣 善良 爱开玩笑…的人。但人无完人嘛！你也有些小缺点的：偷偷的一个人喝酒（还跑到**里调戏我????）做事有点冲动（在蚩尤篇差点了触动机关）别的还不知道呢！有的话请告诉我一声吧，因为这也是你的魅力。姬子小姐这就是我想和你说的话的冰山一角，所以我不想当你的同事你的舰长！姬子小姐我喜欢你！我喜欢你！我喜欢你！（重要的事要…你懂的）请问你是否愿意与我交往呢？我等着你的答复战舰我们再见。    （这是我想和我家姬子说的话各位舰长你们加油咯！不要喷我????谢谢啦）"
"大才少年锐雯","男","无IP","8247951","6","","10000","47","","感觉很无语，看了这次直播，我觉得就tm是一群死海豹在xjba乱闹，当初谁喊的加强深渊，谁说的我零氪肝道红莲无压力，现在深渊改版了，就开始说好难，就开始骂狗策划，真的，我感觉就像在伺候一些少爷一样，不服他们的意就开始骂，非得崩3满大街的神器，你们才满意，什么都想白嫖，你们才满意，对于这样的人只想说，滚吧！玩你的扫雷，连连看"
"箜珍惜","保密","无IP","33326894","6","","10000","40","","新活动：姬子姐姐夜观星象发现自己命不久矣，对抗崩坏崩坏大业未了，姐心有不甘。现点起水晶xu命灯，望各位舰长鼎力相助贡献灯油，大业可成矣！╮(￣▽￣)╭具体内容：舰长大人可以点击右下角水晶灯每次贡献60水晶，捐献可获**芯片、圣痕经验等丰厚大礼！为响应剧情，还原真实，全服累计水晶不足200w姬子角色将被永久删除。米忽悠全体员工祝各位舰长游戏愉快～科科"
"不想加班的阿蓝","男","无IP","5863424","6","","10000","38","","完全顺着玩家的意见改就是死路一条，300就是个例子，你看看那平衡，幸好后来300意识到了"
"Re-awake","保密","无IP","24286714","6","","10000","38","","姬子生日，大伟哥为什么要穿新郎装啊"
"樱夜病女","保密","无IP","105318397","6","","10000","27","3","更喜欢大伟哥一个人尬聊(=ω=)"
"独赏卡芙卡睡颜","保密","无IP","18756790","6","citrus","10000","34","","原来17年的时候还有不少玩家反感口嗨策划，那个时候b站还是在维持和尽量遵守道德秩序，现在口嗨米忽悠策划已经成为玩家们的日常了[藏狐]大家都清楚狗策划的嘴脸了[妙啊]。除此之外b站大环境也是每况愈下了[藏狐]"
"蓬月","保密","无IP","647179117","4","","10000","15","4","不愧是大伟哥，轻易就说出了牢饭真香的话[笑哭]"
"三水离","男","无IP","10053614","6","","10000","13","","1.出游戏到现在不更新主线，外传出了4个，一个半月割一波草。2.能肝出来的武器都是结晶。3.老角色各种限制，鬼铠直接砍，强袭上不得矩阵，玫瑰又下不得深渊了，割草不仅频率高，简直抢劫。4.bug满天飞，崩坏兽出场隐身的bug我10级就碰到了78级还没修。5.玫瑰零点酒吧业界标杆从此一生黑，坑你的钱以后补偿是什么？开个380继续骗钱。6.装备越来越没有可自主搭配性，指明了套装拿钱来。7.蛋池什么样抽得多得心里清楚。综上所述被骂是自作自受。"
"红柳烤肉","保密","无IP","10105509","6","","10000","13","1","总有人把素质低当幽默，还一堆人给这种人洗地，看的真让人恶心。"
"罐头香吾嘶溜嘶溜","保密","无IP","456188501","5","","10000","34","","“欧派大姐姐”大伟哥现在还能这么说出口吗[doge]"
"喵lilig","保密","无IP","16332851","6","","10000","25","","讲真，这次直播，弹幕怨气满天，米忽悠是该反省下了，经历各种测试，据说测试服大佬也提出了很多改进的地方，然而新版本各种bug不说了，本命毕业武器照样穿模，德莉莎强度不足，外传刚开的时候不仅bug多，还完成条件苛刻。太多地方的仿佛就一拍脑袋就推出来，玩家忍耐反馈多了没有得到改进是会有不满的。但是弹幕问候家人是过分了。。。有意见好好提，不然米忽悠还以为是故意带节奏乱黑"
"KurashinaAsukaAK","男","无IP","31295781","6","花园Serena第二弹","10000","10","2","看到崩三的公告没，从崩二到崩三终究逃不过保护智！障修女的命运啊（￣▽￣）"
"你所热爱的-","男","无IP","29131528","6","","10000","10","","说姬子寿命还有多少的，别忘了姬子登场的地方，可是香港啊。。。"
"咔古拉Mea","保密","无IP","5911906","6","湊-阿库娅","10000","21","","好好的生日，活活被弄成婚礼(￣△￣)"
"按1剑魔","保密","无IP","2991911","6","","10000","10","","深渊别改了 叫改的都是白嫖吧"
"yinikko","保密","无IP","20016945","6","","10000","10","","为什么一个除了联机就是完全单机的游戏一天到晚喜欢暗改角色呢，怎么想的(;_)"
"PB白衣少侠","男","无IP","7679753","6","","10000","18","","真的真的很喜欢这个游戏，可是这个版本的游戏体验确实…太差了。不是说不能玩，是实在玩得太累...也挺心疼大伟，不停地背锅还要忍着一堆毒舌。希望后续版本能越做越好，bug能尽快修复吧！(°°)月光简直要成枪斗术的耻辱了，闪避反向放电磁炮以示嘲讽？( _ゝ｀)"
"沉默寡言知冬冬","男","无IP","28659593","6","","10000","14","","作为一名咸鱼红莲玩家，深渊是变难了没错，但是我本来也没有想着上无限啊，红莲咸鱼就行了，缺那么点钻石？月光毕业，鹦鹉毕业，山吹ss，还是玩的开开心心？每2天开放捡垃圾，肝肝碎片，开开心心，刷完体力，不是dalao也有咸鱼的玩法，不用那么累，当不了dalao要去强行当dalao，我就氪了2000，虽然鬼铠被削我也不开心，但是我还是把鬼铠的装备拔给了a8，但是不得不说现在s8是真的强啊。划水咸鱼也想要s8啊"
"冰雨家の猫","女","无IP","33569607","5","","10000","23","","我来总结一下良心公司忽悠你，不对，mihoyo的直播状况。,1.开场就是兑换码（99.99%冲这个来。）,2.直播翻车（其实还好每一次直播也就断个麦，漏个电，大伟哥裤链没拉等等……）,3.然后就是演示女武神了，话说回来，在这里的哪个不是自己打上60、70、80级的，你演示就算了，还玩普通！来个深渊感受下我们的痛苦啊！,4.八重樱和大姨妈的日语cv，对于很多因为钉宫、美雪这种声优党来说，还不如玩白练绯红呢！,5.加强“鬼凯”“挖矿鸡”“德利傻”“A八”，说真的除了s八以外没毕业是真的难受。,6.策划良心不会痛吗？？？（策划别走夜路）,7.大家再次关心泳装的事情（只求只氪了3000不到的我能拿到！）,8.拆大伟哥1w平方米的黄金别墅的墙。,9.机子啥时候死？？？（小心刀片拆了你们mihoyo。）,10.再来就是每次兑换码水晶都是100+150==兄弟们好好想想啥意思！！！"
"高级日料烧烤技师MEI","男","广东","197751807","5","碧蓝航线","10000","10","","刚从星穹铁道直播过来，大伟哥，你还是那么爱她啊[大哭]"
