"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"派司毛虫","保密","海南","50162643","5","","10000","998","","琪亚娜（飞扑）,爷:HP-16,芽衣（飞扑）,爷:HP-12,布洛尼亚（飞扑）,爷:HP-32,小李子（飞扑）,爷:HP-3,符华（飞扑）,爷:HP-31415926"
"南心晨","保密","贵州","330847983","5","","10000","917","","二次元游戏中:10个拿M4A1步枪兵vs李素殇  ,       李素殇:无上自在门大弟子李素殇请赐教，刷刷刷两剑，步枪兵敌人全死[OK],,现实中:10个拿M4A1步枪兵vs李素殇,         李素殇:无上…… 步枪兵:击毙一个忘带武器的敌人[doge]"
"瑞特曼","男","广西","291044202","5","圣诞节快乐","10000","18309","","出门旅游穿着女武神装甲好比希儿去购物带着大镰刀[笑哭]"
"Sin斩击皇帝","男","天津","23216317","6","","10000","33","","起码 起码给我奥托讲堂吧 一定让赵路老师讲这一期啊 [大哭]"
"千律0002","保密","河南","397007282","5","","10000","4","10","太虚七剑,「轻尘柳」轻尘剑·林朝雨,「无双」无双剑·苏湄,「风清扬」江婉兮,「落无着」江婉如,自在剑·程凌霜（未修练剑意，持有应为未觉醒「支配之键」）,「赤绝影」逐驹剑·马非马（马彦卿）,「墨染香」染香剑·秦素衣,,这是我仅知道的一点，有没有哪个大佬可以雷普以下素裳和上面几位的关系？还有江氏姐妹是什么剑？,欢迎各位崩学家指正补充[脱单doge]"
"时崎狂三0fficiaI","保密","湖北","174425744","6","湊-阿库娅","10000","7","","哈瓦那行动——李素裳特别篇[崩坏3·光辉矢愿_彩虹水枪]有没有觉得那个机械士兵很像黑爪士兵23333"
"梦刺槐","男","四川","56746267","6","横扫全场","10000","23","","所以素裳为啥喜欢奥托，没看懂[思考]"
"崩坏3动画","男","广西","403289846","5","","10000","61","","崩三服务器很流畅，卡顿是我手机的问题。体力设置合理，觉得不够是我脑子的问题。水晶机制完美，觉得不好是我不会持家管理经济。米忽悠永远是我大哥!崩崩崩是一个很好的游戏，所有玩家都有很好的游戏体验，服务器稳定，前几次断线是因为我手机不好，米忽悠还给我们发补偿，活动频繁，内容丰富，cv豪华，立绘精美，关卡设计有趣耐玩，是游戏中的豪杰。（"
"达里希望","保密","四川","22070372","5","","10000","1","","隔壁剑圣背上背五把剑，磨练极致剑术为队友增加34%暴伤，李素裳就更牛逼了，五把不够，要万剑归宗才为队友增加伤害[滑稽]"
"时间之类","保密","江西","86123717","6","","10000","131","","（掏出抢）：大人，时代变了,（挥出漫天剑气）：变个锤子"
"磁爆步兵54","男","浙江","3443416","6","","10000","834","","无尽仙剑，出来！"
"她本是一世无双","保密","湖北","11522949","6","","10000","16","","感觉这个试剑不仅仅是李素裳的试剑，也是制作组对2d动画制作的一次试剑，再结合最近米哈游和飞碟社的合作，可能性很大哦[脱单doge]"
"Hesitational","男","陕西","8993870","6","","10000","3176","","这标题起的好啊，素裳卷入关于崩坏的事件就是源于五百年前的一次试剑，而这又何尝不是她来到现代的一次试剑呢？一个全新的环境，人生的第二次试炼。说明编剧组内部很重视折剑录的剧情啊，那么问题来了，我那么大一个折剑录呢？看着我干什么，更新啊！"
"绽夏风华","保密","广东","437635045","5","","10000","34","","能一个短片，片中剧情体现科技都市与崩坏病的矛盾也从台词中展现李素裳的精神内核米哈游确实在做动画方面，得心应手了,“就算剑已经不再被需要，它也必须存在”,米哈游太懂武侠的浪漫了坏了，肝崩坏的激情又回来了！[海伊_打call]"
"萧黎笙","男","山东","355811342","5","","10000","27","","所以打个小兵直接开剑神？？？[吃瓜],这有些不讲武德吧[doge][doge]"
"小鞠姐姐的大舔狗","女","江苏","269968004","5","","10000","38","","我要成为爱莉和李素裳的单推人啦[hanser动物套装_哎呀别]"
"EvilMorty-","保密","福建","149142705","5","","10000","47","","昨天的直播是有多捞，都没看到有人发兑换码，我都给忘了[囧]"
"咖啡好苦请不要加糖","女","山东","252972714","6","","10000","2","","感觉帧率有点低了好像，其他还好，不过有另一个预告我也满足了，这种加点帧率出个番就算是圆梦了"
"向阳ow","男","四川","38556537","6","","10000","70","","各位，看到我的时候，兑换码就过期了，别问我怎么知道的，问就是悲伤的故事。[热][热][热]"
"背锅达人王霸霸","男","辽宁","4424422","6","","10000","6998","","“现在的人，在抓住自己想要的东西时，不再是打打杀杀。”,“而是人情世故”"
"DJDengmo","男","未知","607487884","5","","10000","437","","为什么说是好剧情？只是希望逆熵把崩坏的东西打出来，为天命扫除一些障碍，当然赢了更好。假如逆熵输了, 天命赢了，并且解决崩坏,那么这波,有逆熵三分之一的功劳。至于世界蛇，2个字,随缘。我是天命粉丝，理智粉[滑稽]"
"萤火虫的黎明","保密","贵州","131316296","5","","10000","32","","不至于吧，我的素裳姐姐，揍几个仿生人还要开剑神是要闹哪样。虽然给你了天命金卡也不要这样用啊喂。[笑哭][笑哭][笑哭]"
"丛林若雪","男","江苏","28376210","6","","10000","32","","这个画风感觉特别像2077。。。尤其是最后那个仰角画面，特别有那种一把刀砍翻荒版塔的味[笑哭]"
"神前之月","男","广东","2881744","6","","10000","290","","李素裳·太虚剑神,【神前之月】,恣意纵横开天门，,鞘里乾坤蕴灵根。,我与剑神如一体，,风霜雷雨一剑分。"
"织梦の陶指","男","广东","524701","6","","10000","36","","不可能的 怎么会有人仅仅500年就修炼出这种胸部[doge]"
"zwpqwe","保密","贵州","19389087","6","至尊戒","10000","152","","李素裳：上回书说到，彼时的神洲，海中有蚩尤侵扰，山间有绯玉丸盘踞，赤鸢师祖召集众弟子要还天下一个朗朗乾坤，传说，赤鸢师祖出征时，曾言道……诶？说的什么来着？,识宝：不能把主c优化出去的辅助不是好输出。,李素裳：啊对！我记得也是这句！,符华：？我不是，我没有！你别瞎说啊！"
"-摆烂猫猫","保密","江苏","36177594","6","","10000","31","","尝试完了拿去崩铁成片了是吧[滑稽]"
"南心晨","保密","贵州","330847983","5","","10000","917","","二次元游戏中:10个拿M4A1步枪兵vs李素殇  ,       李素殇:无上自在门大弟子李素殇请赐教，刷刷刷两剑，步枪兵敌人全死[OK],,现实中:10个拿M4A1步枪兵vs李素殇,         李素殇:无上…… 步枪兵:击毙一个忘带武器的敌人[doge]"
"疾风剑豪亚丝娜","保密","安徽","340402220","6","","10000","90","5","我超这三渲二！蹦蹦蹦我的大电影呢！你看看隔壁原神[傲娇]"
"时间之类","保密","江西","86123717","6","","10000","131","","（掏出抢）：大人，时代变了,（挥出漫天剑气）：变个锤子"
"快去study","保密","吉林","24780120","6","原神","10000","38","9","手中无剑，和手中有剑不用是两码事[大哭]"
"娃娃机琦琦子","保密","河南","381281955","6","","10000","138","","你怎么可以能把娃娃抓起来的，教教我呗[热]"
"萧黎笙","男","山东","355811342","5","","10000","27","","所以打个小兵直接开剑神？？？[吃瓜],这有些不讲武德吧[doge][doge]"
"IM_9527","男","湖北","437794965","5","","10000","223","","趁没人，我是李素裳的狗！（要脸别赞）"
"再见路过蜻蜓","保密","山东","101498273","6","原神","10000","25","","充了个648还是抽不到阿波尼亚，放弃了"
"株式会社mhy","保密","云南","391143240","5","","10000","25","","这次的币我请了，大家不用投了。看完就走吧"
"非猷","男","中国香港","833029","6","","10000","83","","识律：时代变了，我们可以做自己了！,李素裳：世道变了？本姑娘看未必！,你俩打一架吧"
"关仁关仁","保密","江苏","33921862","6","登乐V计划","10000","73","","你好，我是终焉律者，现在我马上醒了，V我50侍我重启世界，到时我把律者们全送给你[崩坏3_无辜]"
"繁花遮眼-Z","男","广东","476047583","5","崩坏3·天穹流星","10000","24","","打个小兵都要用剑神的李素裳是屑[妙啊]"
"氯化亚硫酰","保密","云南","395200479","6","2233幻星集","10000","72","","好可爱！！！也好帅！！！[崩坏3_星星眼][崩坏3_星星眼][崩坏3_星星眼]"
"最可爱的茉子","男","广东","40624569","6","","10000","27","","一晚上时间，昨晚的节奏仿佛就像做梦一样[热]"
"向阳ow","男","四川","38556537","6","","10000","70","","各位，看到我的时候，兑换码就过期了，别问我怎么知道的，问就是悲伤的故事。[热][热][热]"
"梦刺槐","男","四川","56746267","6","横扫全场","10000","23","","所以素裳为啥喜欢奥托，没看懂[思考]"
"娱乐detective","男","美国","472354179","5","","10000","86","","https://t.bilibili.com/709333318198362199?spm_id_from=444.41.0.0"
"残血浪全图","保密","海南","405343670","5","","10000","49","","额，你们的动画退步了~,之前，琪亚娜和识宝打架那里多流畅呀！到了李素裳这怎么一卡一卡的？~[哦呼]"
"崩坏3动画","男","广西","403289846","5","","10000","61","","崩三服务器很流畅，卡顿是我手机的问题。体力设置合理，觉得不够是我脑子的问题。水晶机制完美，觉得不好是我不会持家管理经济。米忽悠永远是我大哥!崩崩崩是一个很好的游戏，所有玩家都有很好的游戏体验，服务器稳定，前几次断线是因为我手机不好，米忽悠还给我们发补偿，活动频繁，内容丰富，cv豪华，立绘精美，关卡设计有趣耐玩，是游戏中的豪杰。（"
"千束头子","男","陕西","268611540","5","精灵王","10000","21","","李素裳还没出的人都有动画短片，身为主角团德莉莎和丽塔都没有过短篇[大哭][大哭][大哭]"
"夜闯秋名山_","保密","河南","358344728","5","","10000","41","","帅的呀，看到李奶奶看赛博都市那一幕不知道为什么脑海里闪过了Cytus2里lvy与全人类为敌，xp爆炸了"
"账号已注销","保密","河北","1119030553","0","","5000","24","","快甜蜜起来了，素裳。,（摘眼镜）,让我们把这座天穹城，烧成灰"
"闲闲星人四号","男","广东","14476152","6","原神","10000","36","","请快点把李素裳的剧情完善一下，特别是神州折剑录的剧情"
"葬花与心","男","安徽","30853864","6","崩坏：星穹铁道","10000","20","","大人时代变了，但没有完全变"
"绽夏风华","保密","广东","437635045","5","","10000","34","","能一个短片，片中剧情体现科技都市与崩坏病的矛盾也从台词中展现李素裳的精神内核米哈游确实在做动画方面，得心应手了,“就算剑已经不再被需要，它也必须存在”,米哈游太懂武侠的浪漫了坏了，肝崩坏的激情又回来了！[海伊_打call]"
"__-_---_-_--__--","保密","广西","34789505","6","","10000","18","","赛博修仙，小子"
"EvilMorty-","保密","福建","149142705","5","","10000","47","","昨天的直播是有多捞，都没看到有人发兑换码，我都给忘了[囧]"
"桌子上有糖","保密","辽宁","25629518","5","","10000","23","","李素裳，你没有你太师傅大，可是你真比你太师傅大"
"小鞠姐姐的大舔狗","女","江苏","269968004","5","","10000","38","","我要成为爱莉和李素裳的单推人啦[hanser动物套装_哎呀别]"
"千幻天尊","男","辽宁","193604166","6","","10000","16","","德莉莎，你说现在谁还没有短片啊[吃瓜]"
"Sin斩击皇帝","男","天津","23216317","6","","10000","33","","起码 起码给我奥托讲堂吧 一定让赵路老师讲这一期啊 [大哭]"
"TrAn_尘封","男","福建","301854413","6","约战：精灵再临","10000","16","","剑不是用来砍的,挥一下妖魔地面连环爆炸，要么湖面悄然升起巨浪,比现代科技好用多了[doge]"
"没筷子的咕咕","男","山东","130987196","6","","10000","32","","七步之内，剑快又准！,七步之外，太虚剑神！"
"有点汗流浃背了","保密","江西","23548376","6","","10000","20","1","？在车厢里放太虚剑神[尴尬]"
"樱婷晴海","保密","陕西","22333982","6","","10000","28","","可恶啊，昨天保研了太激动了，直播兑换码的啥都忘了[笑哭][捂脸][大哭]"
"时与时然","男","四川","473383866","5","洛天依·最美的夜","10000","25","12","你的预告不会指的是这个吧[疑惑]"
"胡言乱语一级能力者","保密","河南","1143384579","4","","10000","13","","看到女孩脖子上的崩坏侵蚀印记，我又闻到了刀子的味道"
"悄悄从世界路过","女","广东","97485857","6","","10000","16","3","这个无上自在门，门主是识之律者吗？毕竟这个门派听着就很符合识宝[惊讶]"
"某国家一级退堂鼓选手","保密","四川","4587532","6","崩坏：星穹铁道","10000","12","","崩铁看到没，我要这个！我要这个！！！"
"I-am-Ayaka-s-dog","保密","浙江","107753661","5","","10000","12","","李素裳：我身穿天命最高科技结晶第四代女武神装甲，手拿逐火之蛾规则级科技武器神之键，你带把小步枪就敢跟我说时代变了[嗑瓜子][滑稽]"
"氵陌尘","男","河北","48726055","6","崩坏：星穹铁道","10000","12","","感觉会不会等米哈游的各个游戏剧情都结束了   最后出个基于树海理论的mmorpg   然后是所有游戏的续集  整个米哈游游戏剧情的整合到一起    然后初始角色设计多一点  有各个作品的主角  但是也不用都设计比如崩坏3每个角色这么多装甲每个人就复刻御三家最后一个到新游戏就行    原神就主角    甚至可以后面带个格蕾修    然后每个游戏打通了剧情后玩新游戏都能直接带着角色和装备开局（这样就省的抽几个角色和装备了  一起带过来还比较有纪念意义）   不同游戏的账号通关打新游戏都有不同的开局初始剧情  但是初始剧情完了后主线是一样的   然后是个大型联机游戏   把各个游戏就交织在一起"
"我真的不是兽人控","男","四川","32799504","6","","10000","12","","你间章里面的动画不错，什么时候做成电影动漫也行"
"乆九零","保密","新疆","172515118","5","","10000","12","","大人，时代变了,小李子：gun，还没变[妙啊]"
"混沌邪曜","男","河南","497094516","5","","10000","17","","这个版本更新甚至没更新家园商店"
"名乃的万层套路","男","马来西亚","52727254","6","夏诺雅","10000","14","","天穹市地方不大事情可不少啊[笑哭][笑哭]"
"晚风渐息丶","保密","广西","386349220","6","崩坏3·天穹流星","10000","14","12","emmm，你的五个*的视频预告应该不是这个吧？"
"她本是一世无双","保密","湖北","11522949","6","","10000","16","","感觉这个试剑不仅仅是李素裳的试剑，也是制作组对2d动画制作的一次试剑，再结合最近米哈游和飞碟社的合作，可能性很大哦[脱单doge]"
"历史记录官","保密","宁夏","393240246","5","","10000","11","","照着李素裳技能中那开大的架势，那场面，要是不直接一下子倒个几栋楼，我都不是很满意。不过要是直接把城市拆掉，那我就太满意了"
"猫猫凯露酱","保密","河北","30553692","5","2233幻星集","10000","11","","啊～刀子的味道～[doge][doge][doge][doge][滑稽][滑稽][滑稽][滑稽]"
"反应仓库","男","山东","351455898","5","","10000","13","","此时吃面少年的月球旅行刚刚开始15小时[吃瓜][吃瓜][吃瓜][吃瓜]"
"庭里有葉","保密","福建","289403489","5","","10000","18","","啊啊啊素裳，咱出息了有沙发了[热词系列_三连]"
"观星の人","男","江苏","349755584","5","","10000","10","8","早上好，天穹城！今天的死人大乐透又是满打满算的30个！多亏了那群黑帮火并，光太虚门就挂了二十个，还有一位警察也挂了，我看你们都得赔钱！因为神城医药肯定咽不下这口气……"
"海海明","男","重庆","249507667","5","","10000","10","","小李子额头上发光怎么跟上仙识律一样啊"
"无防114514","男","河南","1893956547","4","","10000","15","","科学认为直径十公里的陨石，便能毁灭上古时期的恐龙，其冲击波能掀翻周围数十公里的地表，掀起数十亿吨物质尘埃，巨量的尘埃将掩埋一切，全球都将陷入寒冷时期。 但是有一样东西就连陨石也无法掀翻，连物质尘埃也无法掩埋，在寒冷时期依旧散发灼热。 那就是我对李素裳的真心[脱单doge][脱单doge]"
"巡海游侠半雪","男","江苏","146518252","6","三周年恋曲","10000","12","","五个字的那个呢"
"可爱的碧蒂","女","甘肃","1718339356","4","救赎","10000","16","","大家要退赶紧退，我终极区连红莲都没上过呢！"
"牛杂粉暖人心脾","保密","福建","604225391","5","","10000","14","","将军：让我试试刀吧！,小李子：让我试试剑吧!"
"jaodxnxiienndn","男","吉林","11233026","6","","10000","9","","从《神州折剑录》她初入江湖之时，就看着她逐渐成长，如今再见已是这般模样，真的好喜欢她啊"
"这里のkk","男","四川","343874741","6","星座系列：金牛座","10000","9","","李素裳单刷荒坂塔(bushi[doge][doge]"
"bronya_2014","男","安徽","17695316","6","hanser","10000","9","6","试剑（×）,试刀（）"
"波赛月","男","新疆","93468026","5","原神","10000","15","","自从千人律者主线、奥拓讲堂没有奥托以后，就没什么意思了"
"Abandonメ魑魅","男","云南","138874292","6","双生视界·花嫁","10000","8","","还以为角色pv被吞了，结果还是好好放出来了，真就垂死病中惊坐起"
"-松石-","保密","福建","151372858","6","","10000","8","7","七步之内，剑快！"
"小老弟yf","男","山东","432328336","5","崩坏3·天穹流星","10000","8","","好的现在视角转向官方，现在压力来到了二创这边！[吃瓜]"
"耀若繁星","男","贵州","6835594","6","","10000","10","","尊严只在剑锋之上！,【啪！】,真理只在大炮射程之内！"
"时崎狂三0fficiaI","保密","湖北","174425744","6","湊-阿库娅","10000","7","","哈瓦那行动——李素裳特别篇[崩坏3·光辉矢愿_彩虹水枪]有没有觉得那个机械士兵很像黑爪士兵23333"
"变态型柑橘凤蝶","保密","海南","2328491","6","","10000","7","13","无上自在门大弟子李素裳，请赐教[崩坏3·光辉矢愿_比心]"
"mika只吃瑞士卷","男","湖南","354496893","5","","10000","7","8","让我看看是哪个新角色卡池只有半个月的，哦，原来是你小子啊，李素裳[哦呼]"
"_归终离_","男","河南","241326329","5","","10000","7","","内小闺女儿应该是天生觉醒嘞圣痕被逮走了"
"秉烛醉千秋","保密","吉林","27451897","6","","10000","7","","作画和音乐依旧稳定输出[打call][打call]"
"野生的奇奇兽","男","江苏","269483333","6","泠鸢yousa","10000","7","","试剑…吃我一剑！"
"愛环黎","男","四川","449496893","5","","10000","7","","「世道变了」？要让本姑娘来说，可还未必呢。,人们当然已经不再需要剑了，可是……它也非得存在不可。"
"麻花煎鸡蛋","保密","四川","3442426","6","","10000","9","","这部短片怎么感觉明显比其他崩三短片穷？"
"不择手段报复复仇还击","保密","四川","28017038","6","","10000","6","","摸鱼划水门李狗蛋，还请手下留情[doge][抱拳]"
"长草摸鱼真君","保密","广东","88920326","5","","10000","6","","让我试试刀吧！,这招，无用！,你……胜一筹[doge]"
"无心Caster","男","浙江","22268364","6","初音未来13周年","10000","6","","原来是官方动画？！之前看过了，没想到崩崩崩也有内鬼）"
"bili_52172785356","保密","海南","480634901","5","","10000","8","","天穹夜行录     （×）,赛博朋克2017（）"
"薛定谔的小花","男","浙江","572127110","5","","10000","8","","要大电影！[崩坏3_哭哭哭][崩坏3_哭哭哭]"
"鸭梨-事多得","保密","江苏","480501584","5","","10000","8","","刀剑流砍翻荒坂塔[doge]"
"桃茧","保密","山东","3493086281861254","3","","10000","7","","来报喽[脱单doge]"
"安逸的蛇","男","江西","287287625","6","原神","10000","7","","赛博朋克既视感好重，让我想起了悲伤的事"
"ir゜","保密","广东","284020468","5","","10000","7","","cool[热词系列_知识增加]"
"幕末天剑丶","男","黑龙江","196305245","6","明日方舟","10000","5","","五百年前五百年后，两次试剑，两种不同的心境"
"超时空禁卫军","保密","山东","34741671","6","","10000","5","","神州再不更新我看主线就要给他补全了"
"蓝兮鹤","女","辽宁","1076242876","5","崩坏：星穹铁道","10000","5","","我还以为又是二创[请吃红小豆吧！_吃包]爱酱和飞鱼丸不行[doge]"
"抹茶超级喜欢喝","保密","广东","283875242","6","泠鸢yousa登门喜鹊","10000","5","","好怕他突然来一句，This is 抛瓦[热词系列_咕咕]"
"zxc129017","男","北京","70116385","6","泠鸢yousa登门喜鹊","10000","5","","素裳你带我走吧，素裳没有呢我怎么活啊！（撕心裂肺）"
"暗中观察组天津代表","保密","天津","3313553","6","原神","10000","5","","梅姬斯图斯卿，这才是你的完全体吗（考[原神_警觉]）"
"布里咕姆","保密","广东","23660780","6","崩坏3·天穹流星","10000","5","7","怎么能把吼姆丢地上，鸭厨狂怒[崩坏3·光辉矢愿_彩虹水枪]"
"绯色的夜瞳","女","广西","152181777","6","","10000","5","","本姑娘的本事可不小，来抓娃娃[崩坏3_糖葫芦]"
"烟火散落漫天","保密","四川","91373552","6","明日方舟音律系列","10000","5","","那神州折剑录呢[热]"
"北有洛水","男","河南","162599661","5","hanser","10000","5","6","大人，时代还没变[脱单doge]"
"小苦不怕苦","保密","山东","399435632","6","","10000","6","","啊啊啊啊啊我要折剑皮里的那套皮"
"薇儿丹蒂官方认证男友","保密","河北","285304464","6","","10000","8","","啧，13万水无所畏惧，我的名字已经说明一切了[doge]"
"硝华流煙","保密","山东","317790010","5","","10000","11","","何止是五张卡的事，抽十返五，七折扩充，一共损失都算不清"
"霖哒～","男","江苏","27600145","6","","10000","7","","视频情报就是这个。。。"
"星暮烁烁","女","辽宁","345670091","5","","10000","4","","强尼爷手[脱单doge]"
"愿与君共赏皎月","保密","广东","1421462331","4","原神","10000","4","","因为上学没看崩三直播，有没有哪位大佬告诉我直播人气最高达到多少"
"KorkoSAMA","保密","广东","23355957","6","","10000","4","","主页左边福利萌新回归大佬填下110231476有水晶拿～[妙啊]"
"珑语一小怨种","保密","浙江","1675428301","5","异常生物","10000","4","","爱酱～崩坏三什么时候可以和奶茶店联动呀：，"
"彤云天","男","湖北","486302002","6","崩坏3·天穹流星","10000","4","11","话说，素裳也能活到后崩时期吧，期待之后后崩能看到[崩坏3·光辉矢愿_回眸]"
"废尼特","男","山西","21267746","6","梦塔·雪谜城","10000","4","","科技：时代变了！崩坏：时代又变回来了，哈哈！"
"2l4te","保密","天津","3113323","6","","10000","4","","[脱单doge]我差点以为素裳冻醒了会来一句：war never changes"
"琪亚娜的单推人shalu","男","四川","621478820","5","三周年恋曲","10000","4","11","我今天才把崩坏三新的间章打完，我以前一直不知道，原来你全名是爱衣·休伯利安[崩坏3_差不多得了]"
"爱的战士白兰地","保密","四川","4633157","6","","10000","4","","剑气纵横三万里，一剑光寒十九洲。[doge]"
"AwesoEKs","保密","湖北","33069368","6","","10000","4","","好看是好看，但是完全不够嘛[脱单doge]"
"丽塔酱我是你的粉丝啊","男","山东","382142659","5","崩坏3·天穹流星","10000","4","","没人？崩坏三凉了[保卫萝卜_哭哭][保卫萝卜_哭哭]（双关[脱单doge]）"
