"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"土里一条小泥鳅","保密","无IP","108596651","5","","10000","808","","当时艰难的Boss，现在一炮就解决了"
"沐天双","男","无IP","3408922","6","花园Serena第二弹","10000","532","","以前的琪亚娜是个变态吧,听听她补血的时候说的话是什么[蛆音娘_滑稽],至于好不好听，我觉得还行，觉得难听的多半是听惯现在的，听不惯这种版本的。"
"崩坏3第一偶像爱酱","女","无IP","27534330","6","崩坏3·天穹流星","10000","652","","咦？被晚餐辣到的爱酱不耐烦地丢出一个军功兑换码【d3600e19】"
"东寒-寂雪","保密","无IP","383741452","6","灵笼","10000","345","8","19年来考古，琪亚娜的声音……醉了"
"烧啊烧啊fire","保密","无IP","32070342","6","横扫全场","10000","257","","偷电狂魔名不虚传( _ゝ｀)"
"AeSh御灵","男","无IP","346367904","5","","10000","220","","两只温蒂，两只温蒂，飞得快，飞得快~,一只飞到这边，一只飞到那边，聚不了怪，聚不了怪~"
"我希望明天会更好","男","无IP","828649","6","","10000","92","","话说这个版本的配音非常平稳舒服啊，琪亚娜和芽衣"
"夜行性像素猫","保密","无IP","11309622","6","","10000","45","","诶，16年玩的时候好像也不是这声音啊…时间太久远记错了？"
"风雅直人","男","无IP","444936","6","","10000","81","10","挖坟～原来琪亚娜换过配音呀～才知道"
"向日葵与草莓","保密","无IP","8573429","6","HINA","10000","74","","我要喝芽衣的妹汁这句话真的很久很久没听到了啊"
"敌敌畏_DDVP","男","无IP","382267565","6","","10000","68","","干点正事吧，巴巴托斯[tv_doge]"
"abcde-aiueo","保密","无IP","200277169","5","","10000","43","","崩坏三一直没有变，变的只有越来越恶劣的玩家群体和被搅浑的社区环境"
"宫下游-ex","保密","无IP","406587466","6","","10000","47","","蒙 德 风 神 早 期 作 品"
"MDCLuyi","保密","无IP","84771300","5","至尊戒","10000","36","","当时打的贼难，现在黑希一个大解决[滑稽]"
"芬达丶Fanta","保密","无IP","32485435","6","","10000","58","","武器是氪金的  等级至少30级上下  圣痕一套估计满级  白练血量1300+  绯红1200+  自个看看自家女武神是咋滴的吧……"
"彩色洛玲酱","保密","无IP","179714485","6","雪未来","10000","35","","tmd还玫瑰玫瑰的，nm这时候玫瑰实装了吗？"
"bili_36881163","男","无IP","36881163","5","","10000","29","","梦开始的地方（mhy限定）,梦开始的地方（玩家限定）,梦开始的地方（温蒂限定）"
"符华-班长","保密","无IP","35800511","6","","10000","21","","温蒂....那个时候真的有这么肉吗？"
"元初135","保密","无IP","1268525722","5","","10000","17","","干点正事吧巴巴托斯[原神_欸嘿]"
"折扇是最可爱的","保密","无IP","696076277","4","","10000","21","","2021前来看巴巴托斯[脱单doge]"
"Raptort","男","无IP","698491990","4","","10000","6","","巴巴托斯早期作品"
"乌拉尔银狼QWQ","男","无IP","342856841","5","","10000","14","","愿风神忽悠你[doge]"
"misaki时枭","保密","无IP","34812583","6","","10000","6","2","挺感慨的，那时候慢慢磨[大哭]"
"龙卷羊","男","无IP","178519497","6","","10000","19","","我也想上舰[2233娘_大哭][2233娘_大哭]"
"朦珑","保密","无IP","155549381","6","","10000","12","","原来琪亚娜的声音是御姐的[惊讶]"
"Helios星火","男","无IP","20556056","5","2020拜年祭（鼠）","10000","6","","这声优换了啊"
"不要留着眼泪说再见","保密","无IP","183447310","6","","10000","14","","其实这个版本的琪亚娜cv很好听啊，原来我在官网听到的就是远古版本的"
"无面木偶","保密","无IP","29331268","6","","10000","6","","已通关的玩家怀念温蒂。"
"空灵之光-","男","无IP","290817083","5","","10000","18","","特斯拉，你怎么来的琪安娜的台词本呢？,（2019前来考古）"
"math-bookier","保密","无IP","755145","6","","10000","6","","听习惯了 还是喜欢现在的。。。"
"VJDFS","保密","无IP","3328046","6","","10000","6","","个人意见 这测kiana的cv不如三测好听"
"白夜凛音容宛在","保密","无IP","13481855","6","","10000","15","","新cv好不习惯啊,,,,"
"缇丰的花园","保密","无IP","59890031","6","","10000","5","","现在温蒂在蹦蹦都能灭世了"
"琪亚娜-芽衣-姬子","保密","无IP","24113192","6","崩坏3·天穹流星","10000","5","","温蒂的高光史册打了三个律者。"
"abcde-aiueo","保密","无IP","200277169","5","","10000","9","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"房东那吃花椒的猫","保密","无IP","203457535","6","","10000","8","2","干点正事吧巴巴托斯[滑稽]"
"炖牛柚好吃","男","无IP","13131273","6","","10000","5","","绿狛枝"
"咕咕咕了xn","女","无IP","319109427","5","崩坏3·天穹流星","10000","5","7","20年来考古，才发现草履虫的cv换过"
"最古之网骗梅林","男","无IP","88001472","6","","10000","9","","这个影响很深。。。为了三星不知道打了多少次"
