"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"亚斯兰诺特","女","无IP","4105859","6","","10000","4662","","阿波卡利斯爷孙二人过于可爱，awsl，一人血书求电台常规化"
"雪萌初音","男","无IP","33309179","6","","10000","14446","2","奥托：我想听见你们的声音,舰长：我喜欢德莉莎,奥托：你说什么,舰长：我想娶德莉莎,电台关闭，准备轰炸休伯利安"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","8274","","这可真是有趣啊"
"云外鹤","保密","无IP","10470838","6","","10000","3787","","那个 我想看东方狐狸和主教主持节目 能不能满足我这个热心听众的愿望[洛天依_滑稽]"
"下地浴霸","女","无IP","21157128","6","","10000","2831","","虽然我知道奥托剧情里怎么坏怎么疯但他长得又好看说话又好听还为teriri做饭穿过女装心动了(=ω=)"
"上班族的奇妙boki","保密","无IP","290477786","5","","10000","3968","","众所周知，主线任务只是一堆演员在表演，支线任务和周边活动才是她们的生活(=ω=)"
"靠脸吃饭喵某人","保密","无IP","350290233","4","","10000","7367","","奥托大人，今天也要加油啊（自动变绿）"
"囖丽塔","男","无IP","2640986","6","2020拜年祭（鼠）","10000","3321","","啊是绿托WSL[小电视_太太喜欢]"
"PiccabooQWQ","保密","无IP","23002064","6","灵笼","10000","3769","2","[小电视_赞]是绿托"
"奈何桥断三世缘","保密","无IP","93890276","6","","10000","1343","","看来 只有我一个人是奥托粉啊( _ゝ｀)就是感觉奥托有时候还是蛮温柔的 装成圣诞老人给德丽莎送礼物 女装帮助怪盗卡莲引开守卫 遇到怪盗卡莲泣不成声 还有想念卡莲500年……"
"摸鱼大队温迪","保密","江苏","1632060047","5","","10000","82","","无所谓，我会抽满命[doge][原神_喝茶]"
"鸽子画酱咕咕咕","女","无IP","22588318","6","湊-阿库娅","10000","1667","","崩坏三也要走崩坏2的路吗？？那么？？？,,,恭喜985策划去崩坏4，贺喜大伟哥接管崩坏3！！！！！"
