"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"初级菜鸟一个","保密","四川","455293368","5","","10000","4671","","倘若「律者」不再意味着「永别」，倘若每一位律者都有拾回「人性」的可能……,,人们便不必再面对如此艰难的抉择。人类……就会有寻获「希望」的机会。,,对于我们，它远比「胜利」更加珍贵。,,所以，如果「人性」就是我的权能，如果人类的美丽之物就是构成「爱莉希雅」的全部。,,那就在故事的最后，让我带着它们回到我诞生的「地方」吧。,,然后，在干枯的大地上撒下花种……,,我相信，既然是人类的文明抚育了我，那我也一定能让它再次……,,……绽放无瑕而永恒的花。"
"真宫sang","保密","广东","344777866","6","","10000","24034","","泛式简述：我以为最后是芽衣一刀捅死爱莉，然后这一刀要玩家一直按,我：是什么把你变成这样的"
"吃货の辰","保密","江西","85122925","6","EveOneCat2","10000","1104","","芽衣:人类一定会战胜崩坏"
"摇曳风铃","女","湖北","376234632","6","良辰美景·不问天","10000","5252","11","单抽出真理律者的人数和概率[来古-震撼][来古-震撼][来古-震撼],↓"
"弈轩若华","保密","福建","287199184","5","","10000","11","","十三英桀yyds，再见了前文明的各位英雄们，愿今世之人类能战胜终焉战胜崩坏，实现他们至死不渝终生追求的夙愿，抵达他们未竟的终点，因为所有人都坚信着此世之绚烂永续将会如你们所愿。"
"知觉沸腾","保密","重庆","36943177","6","乐正绫五周年生日","10000","301","","pv剧情信息总结来了！[乐正绫_黑恶势力],这次的信息非常非常少[乐正绫_吃土],下一阶段的剧情，叙述重心终于来到了梅身上，这个瘦弱纤细的女性为两个文明铺好所有的路。既然“代表着希望的火种计划”已经失败，“一定能成功的圣痕计划”又会如何展开？,而在pv最后，圣痕的意识空间内，两位凯文开始对峙。天空中的凯文很明显是开启崩落后的姿态，展现出了奇美拉计划独有的融合特征。这些特征分别是：,头上的双角以及身后的尾巴，末法级崩坏兽毗湿奴（科斯魔）,左肩开始延伸的翅膀，不明等级的崩坏兽迦楼罗（华）,右手的火焰痕迹，帝王级崩坏兽非天/阿修罗（千劫）,背后的“礼服”，不明等级的崩坏兽密多罗（阿波尼亚）"
"这次一定要中奖","保密","云南","1178236694","4","","10000","82","","其实玩笑归玩笑,每个人都在骂编剧写刀子时的没良心,但其实爱莉这个角色本身,如果没有经过如此坎坷的一生,没有为人类做出最后的牺牲,那么她就会在玩家心里永远是那个初见时觉得是坏女人的形象,所有人都会对她有顾忌,自然不会让我们产生共情,同理，其他英桀如果不在乐土狼人杀中一种种方式一一牺牲,那么他们的集体意识，对爱莉的内疚，就不会像真是发生一样感动着我们,正是因为我们走了这么多，所以乐土的大家，逐火十三英桀在最后结局时我们能够在屏幕前再一次哭出来,（所以泛鸽鸽对于编剧的袒护也没有必要骂，然后请那些玩也没有玩过崩崩崩的人，不要再玩家玩梗时乱踩一脚！）"
"木秋喲","男","陕西","491187430","5","","10000","70","","对最后那个崩落凯文三个猜测：,1.可能是圣痕空间诞生的？（,2.可能是崩坏意识出手了,3.虚空万藏变的（可能性不大）"
"观察你の眼珠子","保密","浙江","301844962","5","","10000","88","","人类有三大对抗崩坏的组织，天命，逆熵，世界蛇，而在这三大组织当中，因为世界蛇是最能满足人类生存需求的组织，所以，满足人类生存的行为，在这三者中，优先性是第一位的。如果能在对抗崩坏的过程中，击败了强大的律者，也能使人类无比愉快，而在现实生活中，存在着对于这种快感执着追求的人，我们通常把这种人称之为救世者，而本组织（指世界蛇），则专门为那些厌倦世间常见律者的人，量体裁衣，提供符合他们身份的力量"
"爱睡觉的小魔王","保密","浙江","8229773","6","","10000","6","","乐土剧情好在，认真看了剧情的，过乐土剧情之前都知道里面大部分人都已经死了5w年了，里面的人不是真的本体。虽然本来就知道本体结局，但还是能收到二次创伤"
"zhzhah","保密","北京","12408134","6","","10000","9","","原神玩家昨天看到新短片之后决定入坑崩三，今天一口气干完前四章,所以下个限定池是人律嘛，啥时候更新，有没有可能干完所有剧情嫖到呢，急"
"里见Y","男","辽宁","456838247","5","崩坏3·天穹流星","10000","9","10","还记得科斯魔提到过的话吗，英桀的崩落态也是有不同状态的，常态凯文，业魔凯文，以及理论上能达到的救世凯文。,该不会最后和凯文对峙的那个“凯文”就是…,[崩坏3_七][崩坏3_十][崩坏3_米][崩坏3_长][崩坏3_刀]"
"巡猎星神-岚","男","上海","651588815","5","","10000","1477","","虽然崩三直播峰值988万人，原神2032万人，但有芽衣在就有一百个人的力量，崩三就有9亿8千万人，同时今天的舰长转化为了千人律者，所以还要乘以1000,最终的人数是9800亿对2032万，薄纱原神[滑稽]"
"奥托的墓","男","江西","569664824","5","","10000","9","","最后那个凯文是业魔还是救世形态啊（感觉是救世），就是不知道是否全盛时期，如果全盛的话要开打，那现在的非巅峰凯文难赢啊"
"白玉楼的厨师真辛苦","男","广东","2655675","6","","10000","7","","我真的有点听腻了中间的转音，但是后来帕朵出现爱莉回眸，全员在场，那段可，什么时候能再整一个薪火那种能“听”出剧情的pv就好了"
"林逃山","保密","江苏","24787866","6","新科娘","10000","21","","“我曾到来，我曾看见，那在奋战时闪闪发光的人们；那值得被铭记的每一个瞬息。所以我也会深爱，这因人类交织而成的「真我」”,这段话在这个人均躺平摆烂，交流时起手就是阴阳怪气地图炮的年代，更让人触动和珍惜啊。真诚和热情，好像已经被抛弃了很久很久。"
"哦豁喔呕","保密","海南","496618299","5","","10000","31","","现在我最关心的是凯文，当初玩崩坏三是先看漫画，凯文和梅，塞西利亚和齐格飞，奥托和卡莲。这三队的故事吸引我入坑，差不多都寄了，现在特别担心凯文，根据天火大剑的传统，感觉大家都是女方先为男方付出，男方再为女方付出，然后双双迎接壮烈的悲剧，emm,我有点想念贝纳勒斯和西琳了[崩坏3_哭哭]"
"天养丶","男","浙江","67613393","6","雪未来","10000","6","","最后一幕在天空中的是终焉律者吗"
"普通的苏-27-UBk","男","河南","543983284","5","初音未来13周年","10000","66","","快更新，这2.8(划掉)，这6.0什么时候更新啊[doge]"
"想变成祖国人","保密","江西","20713664","5","墨清弦2nd生日纪念","10000","32","","看弹幕有人说最后彩蛋那里 直播间有说不是英杰不是凯文 那我大胆猜一下是齐格飞"
"群主以退群","保密","辽宁","399925014","5","","10000","64","","爱莉希雅走了，然后琪亚娜也走了，所有深爱芽衣的人都走了，芽衣[大哭][大哭],………………,什么，芽衣还有父亲？哦，别当回事，那只是设定"
