"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"果蝇轰","男","未知","8469526","6","","10000","19934","11","啊？[崩坏3_乆]"
"心渊一剑","保密","四川","241352232","6","","10000","4206","","还有没有记得最开始希儿她们只是来调查零件失踪的事件的[微笑]"
"爆爆果","男","河南","2544825","6","","10000","2447","","不愧是坏事做尽米哈游。。主线看完，以为你要刀黑希。看了新装甲，白希的。黑希没戏份。。玩家一通威胁寄刀片。结果好么。原来你刀白希。。,白希甩开黑希，深坠量子之海，成为量子海律者。。黑希自己返回主世界。然后还要假扮成白希，谁也没发现希儿换人了。。刀了。没完全刀。本身又是一种新刀"
"空鱼鱼头","保密","广东","1406945868","4","","10000","333","","原版海的女儿结局是小美人鱼获得了一个不灭的灵魂，原本小美人鱼就是为了获得不灭的灵魂去了人类世界，而获得的方法好像是获得凡人的真爱?但其实主要是勇气，小美人鱼没有把刀刺向王子，选择了自己的死亡，直面自己选择的勇敢，所以她拥有了不灭的灵魂，变成了天空的女儿，所以白希没死！两个都活着！"
"误入中年的甲戌人","保密","福建","1647795","6","","10000","2462","","[doge]崩三双重人格现状：,琪亚娜：杀了,芽衣：融了,符华：骗了,希尔：分了"
"改-放","男","广东","32187114","6","","10000","4630","24","假的！希儿一定没事！一定是欲盖弥彰！[崩坏3·终焉归始_窒息]"
"灵溪法师lx","女","辽宁","522358180","5","","10000","588","10","隔壁的绀海组鸭子成留守儿童了，崩崩崩的绀海组鸭子现在也要成留守儿童了[崩坏3·终焉归始_窒息]对比一看崩铁的鸭子是真的幸福[崩坏3·终焉归始_自闭]"
"瘟疫蜂房之主泰丰斯","男","辽宁","94859665","6","","10000","585","","又是门，姬子的巧克力门，爱莉希雅的门，然后这回又到希儿的门了！我又不是门之巨人！！！！也不是门之律者！！！！"
"魈少仙","男","未知","1889486242","4","","10000","3240","","注意看这里书的名字Littlemermaid，翻译过来就是《海的女儿》,书中小美人鱼最终的结局是肉身变成了泡沫，高洁的灵魂飞上了天空,这里不会……（再注意..."
"五条悟236","女","天津","671611039","5","hanser","10000","4","","世界上只有两种人，喜欢希儿的人和没看过希儿剧情的了"
"禁闭可莉爱炸鱼","男","山东","11639808","6","","10000","14","","大概率是诈骗[doge]。,两人悲伤的原因，大概可能是不再共有一个身体。希儿化身生死之律者，把黑希给排出体外。但和识律的存在方式不同，是由世界泡包裹的方式，也就是说黑希是海的女儿，白希也是海的女儿。"
"AI视频小助理","保密","未知","1141159409","4","","10000","5","","本视频讲述了一个关于童话的故事，虽然结局早已注定，但这是属于我们两个人的童话。作者用最喜欢的故事来为它画上句号。--本内容基于视频内容由模型生成，仅供参考，由@泪中轻语 召唤发送"
"天空岛的愚者","男","北京","173323339","6","原神","10000","843","","海的女儿啊，童话故事的最后小美人鱼成为了天空的女儿，只需要等待就可以拥有永恒的灵魂，然后升入天国，达成梦想。,我的意思是黑希她们可能要守活寡很长时间，但希儿会回来的，就像琪亚娜，还有之后的老杨。[崩坏3·终焉归始_咀嚼],大家的故事结局，怎么有点异曲同工的感觉呢。"
"理想的面具","保密","未知","363721827","4","","10000","431","","来说说我不成熟的看法：,黑希一直以来认为自己只是圣痕意识，被希儿认同后将守护希儿作为自己生命的意义，甚至做好了自己为她消失的准备。表面上看起来很从容实则内..."
"月神文明","女","四川","415580657","5","","10000","1446","","444.4万粉，终极数之一。量子的女儿，化身海的童话，晋跃星途。"
"貉貉怪兽","保密","河南","2133848315","5","","10000","9","","看来是白希沉入海底，黑希变成泡沫浮上海绵，重返现实独立一人了"
"见习光系法师","保密","北京","366026920","5","","10000","7","","现在的人情商都很高，比如把“不写代码”称作“低代码”，把“不奢侈的商品”称作“轻奢侈品”，把“没有创新的视频”称作“低创视频”,当然，也会把“”称为“轻喜剧”"
"账号已注销","保密","江苏","696072827","0","","5000","66","","若希儿留在量子之海，那最好的方式就是那个漂泊在量子之海的不归人，像接纳八重霞和观星一样，对希儿伸出手，给予她别样的温暖与希望，这个美好的故事因他而生，而他终将要与故事产生交集，给这个故事留下属于自己的轮廓。"
"问肯局长是不是基","保密","北京","23618219","6","崩坏：星穹铁道","10000","276","25","你好，我叫海，[doge][doge][妙啊]"
"诺拉Nora_Heitis","女","浙江","650663945","6","仲夏幻想","10000","172","","No————[洛天依_……]不————"
"炼天大爱仙尊","男","湖南","384018278","4","","10000","122","","看这个视频，意思感觉是白希变成律者，把黑希放走了？[思考]"
"Wendy-wind","保密","安徽","1484956333","4","hanser","10000","35","","忽然发现的以前的一个小伏笔：,宿舍里，次生银翼只和希儿里的魇夜星渊有对话，内容是：,希：嗯？这人看着好像有点眼熟？,鸭：啊，希儿……,希：这声音……姐姐大，布洛妮娅姐姐？,鸭：嗯，是我。,希：（喔真有意思，不知道这是哪一个世界泡的姐姐大人，正想让希儿也见一见~）"
"AvramLiu","男","河南","485764190","4","","10000","2","","明天我正好去学校 [崩坏3_lay了][崩坏3_哭哭哭]服了呀 [崩坏3_lay了]"
"美妙的旋律心","男","陕西","347798224","5","","10000","87","","舰桥的语音，我现在明白了，她们现在已经成为最终的律者，死之律者，白希儿代替黑希儿成长，完成真正的生死，让死亡的另外一半代替意识，代替黑希儿，让死去的意识，传达给外面，也就是说白希儿，成为意识的代言人，黑希儿代表的死亡，就有了意识，这样就成了真正的律者，没想到找到了方法，是这样的，真不愧是希儿，不要用一方去死亡，点个大大的赞"
"绀海遗梦","男","未知","1753476390","5","","10000","4211","","原来早在彼岸双生的时候你们就想好了希儿的结局吗？"
"掉线狂魔☆火星","保密","上海","520492","6","","10000","6798","10","[崩坏3·终焉归始_燃起来了]是泡泡？西——撒——！"
"墨有排面","保密","未知","388380529","5","","10000","3539","","未来的考古学家:“德丽莎时期的天命有多强？”,“不知道，只知道律者在她们那儿只能干实习。”,言归正传,鸭鸭七炮轰开量子之海（动作指导希儿）,鸭鸭：想从我..."
"一只芽衣厨","男","河南","549754464","5","","10000","2313","","01:32 [崩坏3_？][崩坏3_？][崩坏3_？],米忽悠你想干什么？[崩坏3·终焉归始_指点]"
"-莫塔里安-","男","未知","413175521","6","","10000","1880","9","什么情况？黑希刀了？"
"瑭泠-lovely","保密","四川","1286688640","4","","10000","1599","","没了…没了…我的希儿没了…不会的不会的…我的希儿怎么可能会离开我呢…哈哈哈…她一定是在和我玩躲猫猫…等我去找她…哈哈哈…"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","2160","5","快快快把新活动白希喂黑希吃蛋糕的动态壁纸放出来，我要天天看双希狠狠贴贴"
"谜羊爱吃草","男","未知","525146500","4","","10000","812","","黑希的锁消失时是彼岸双生,瘫坐在地上时是魇夜星渊"
"bili_42190243521","保密","山东","651268250","5","初音未来13周年","10000","597","","[热词系列_知识增加]好家伙，预言成真了，官方这四个4的粉丝数也跟契合pv主题"
"云山梦唐","保密","广东","3493077589166137","4","","10000","438","","我相信你不会让这种事情再次发生的对吧[脱单doge]"
"不是路","保密","广东","3433786","6","","10000","418","10","请分析白棋推倒黑棋这一幕的含义（6分）[墨镜]"
"純愛无敌","保密","海南","2044018160","4","","10000","593","","她们一开始只是要抓小偷阿，谁家抓小偷抓个一死一伤的[辣眼睛]"
"风与清雨","男","山东","523872997","5","","10000","280","","看完了，DIY了下自己的头像[妙啊]"
"平易近人的符华上仙","保密","江西","362554721","6","","10000","344","","你别暗示黑希 最后要化成泡泡消散吧"
"天华SRSH_","男","山东","1113890768","6","少女前线","10000","208","","老婆"
"假面愚者-千律","保密","河南","3494359783704645","2","","10000","86","","此时爱酱的粉丝数，和律者名字很契合[笑哭]"
"言默哒哒哒啦哒","男","安徽","158136725","6","","10000","88","","00:32 这里黑希拿的是被海里救起的王子，白希拿的是化成泡沫的人鱼, 00:46 黑希拿着白希的手用白子替换黑子，站在了黑格子, 00:53 泡沫被雨水冲破了, 01:12 人鱼（泡沫）代替王子进入了风雨雨里,无啦，nmmd，糖里放刀子黏尖刺"
"__琪亚娜_卡斯兰娜_","保密","浙江","516983572","5","崩坏：星穹铁道","10000","143","","说了多少次了，不要让编剧喝苦瓜汁啊，你看看他在干嘛啊！！！！！！！"
"空之律者白井黑子","女","湖北","477063317","5","神楽Mea","10000","138","","希儿，宛如玉雕冰塑，似梦似幻，娇艳绝伦，貌如西子胜三分，清丽绝俗，冰清玉洁，有如画中天仙，灿若明霞，宝润如玉，恍如神妃仙子，气质美如兰，才华馥比仙，令人见之忘俗，丰润嫩白，樱桃小口，眉目含情，仿佛太真重临，鲜艳妩媚，袅娜风流，柔媚姣俏，粉光脂艳，鬓若刀裁，眉如墨画，面如桃瓣，目若秋波，凤眼柳眉，粉面含春，丹唇贝齿，转盼多情，眉目如画，肌肤胜雪，真可谓闭月羞花，娇若春花，媚如秋月，真的能沉鱼落雁，闲静如姣花照水，行动似弱柳扶风，体态万千，娇小玲珑，宛如飞燕再世，楚楚动人，鸭蛋秀脸，俊眼修眉，黑发如瀑，风情万种，削肩细腰，身材苗条，娇媚动人，顾盼神飞，粉嫩白至，如芍药笼烟，雾里看花，腮凝新荔，目若秋水，千娇百媚，鲜艳妍媚，肌肤莹透，引人遐思，巧笑嫣然，宛约可人，如梨花带露，清新秀丽，风姿楚楚，明丽动人，肌肤微丰，雅淡温宛，清新可人，落雁沉鱼，兰质蕙心，明眸皓齿，曲眉丰颊，宛转蛾眉，霞光万道，小家碧玉，杏脸桃腮，煦色韶光，杏腮桃脸，雄伟壮观，杏雨梨云，涎玉沫珠，妍蚩好恶，鱼沉雁落，宜嗔宜喜，旖旎风光，远山芙蓉，艳色绝世，余霞成绮，宜喜宜嗔，瘗玉埋香，艳紫妖红，朱唇皓齿，左家娇女，章台杨柳，阿娇金屋，闭月羞花，逞娇呈美，春暖花香，春深似海，彩云易散，姹紫嫣红，斗美夸丽，尽态极妍，斗艳争辉，蛾眉皓齿，飞阁流丹，国色天香，胡天胡帝，花颜月貌，绝色佳人，天生丽质，慧质兰心，秀外慧中，暗香盈袖，倾国倾城，温婉娴淑，千娇百媚，仪态万千，美艳绝世，国色天香，花容月貌，明目皓齿，淡扫峨眉，清艳脱俗，香肌玉肤，清丽绝俗，仪态万端，婉风流转，美撼凡尘，聘婷秀雅，娥娜翩跹，俏丽多姿，如花似月，风姿卓越，顾盼流转，清丝纠缠，举步轻摇，美若天仙，美愈天人，清秀高雅，艳冠群芳，剪水双瞳，美艳绝伦，神仙玉骨，楚楚动人，貌赛西施，姿容绝代，如花似玉，窈窕淑女，气质高雅，美丽四射，樱桃小口，静若处子，动若脱兔，小鸟宜人，善解人意，明眸善睐，娇艳妩媚，玲珑剔透，玉指如葱，肤如凝脂，眉如新月，秋波流转，樱桃小口，粉妆玉琢，桃腮杏脸，亭亭玉立，楚楚动人，贤良淑德，秀色可餐，水灵秀气，小家碧玉，完美无暇，娇羞可爱，婀娜多姿，美丽动人，人面桃花，柳眉杏眼，正所谓：“北方有佳人。绝世而**。,一顾倾人城。再顾倾人国。宁不知倾城与倾国。佳人难再得到。”"
"陶典典","女","山东","370910889","6","星座系列：水瓶座","10000","67","6","01:15  01:15 清希剧[吃瓜]"
"浮生万物_合光同尘","男","浙江","329829001","5","","10000","122","","快进到鸭鸭劈海救爱[热词系列_肥肠自信]"
"君非醉","保密","广东","444149020","6","","10000","157","","CANRQB9JF86K"
"黑铱BlackIris","女","上海","477783","6","","10000","117","","啊？？"
"鳕鱼d豆腐","保密","河北","400909427","5","","10000","115","","444.4万粉丝是要干什么啊[辣眼睛]"
"醉梦云泽","保密","广东","426444657","5","","10000","42","","隔壁的希儿已经……"
