"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"天文館の猫","保密","无IP","20777036","6","灵笼","10000","4906","","没想到刚刚那条居然上热评了，给xdm科普下吧，皂基洗面奶价格低，清洁力很强，不过咱们不需要清洁力这么强的，会伤害到我们皮肤的角质层，从而引发各种皮肤健康问题，而且有的皂基还有致豆风险，例如肉豆蔻酸，我们平时洗脸用氨基酸洗面奶洗就可以了，一天一到两次，如果是干皮，早上都可以直接清水洗，如果你是大油皮，你可以一天两次就ok，夏天晚上的话，你可以偶尔用一下皂基洗面奶，洗一下面部的t区，注意是偶尔啊，如果你问我有什么推荐的话，30左右的话就曼秀雷敦乐肤洁，50多就至本，或者肌活，小百来块就芙丽芳丝，个人建议至本和芙丽芳丝，真的很温和，而且清洁力也不错[OK][OK][OK]看到的兄弟帮我顶一下哈[呲牙][呲牙][呲牙]"
"听说改用喵容易中奖","男","无IP","1904706","5","","10000","2752","","来来来，这么烂的产品都敢联动，我扒一下。其他的不说我们先说价格，套餐1就是那个270ML套装，京东官方169，再加一个水能氨基酸也才256.相比一下联动的价格，诸位细品，欢迎为爱买单！！！[捂脸]说完价格我们再说一下性能吧，毕竟我们男人就是喜欢性价比，首先说一下套餐1的那个水能双效，这个啊，这个是米桑觉得自己太黑了，普通的洗面奶洗不掉，就拿了一个大皂基来洗地，顺带一体米桑就没有把你们当人，说一下为啥，水能双效ph10.4，肉豆蔻酸，硬脂酸，棕榈酸，月桂酸，氢氧化钾，以上成分就是一个经典的皂基洗面奶成分，还含有香精。敢拿这样子的高碱性的皂基洗面奶来洗脸，XZ的勇气可嘉。第二个产品我原本是不怎么知道的，因为我氨基酸的洗面奶没有用欧莱雅的，然后就去京东找客服死皮烂缠的问了一下成分表，然后看到的是的确是一款氨基酸洗面奶但是问题却来了，这并不是一款纯氨基酸洗面奶，应该是一款氨基酸复合皂基的洗面奶，然后我们再看一下排在前面的几个成分，两个氨基酸活性，然后治痘性的氯化钠，作为柔顺剂和荧光剂的乙二醇硬脂酸酯，两个作为皂基成分的脂肪酸，调理皮肤的葡萄酸镁，防腐剂的苯氧乙醇，国际规定用量不能超过百分之一，防腐剂幸甘醇。柠檬酸作为去角质和ph中和剂使用，然后整体洗面奶的ph好像看人测过是6，最后一个就是辣薄荷，这个就是男士洗面奶都喜欢加的玩意，洗完让你很清爽的东西。整体来讲作为氨基酸皂基复合洗面奶来说还可以，但是主打的三大招牌，氨基酸活性还行，玻尿酸就。。。[捂脸][捂脸][捂脸]透明质酸钠的成分很靠后靠后，然后法国高山泉水也没有明确写在成分里面。总体而言，联动的两个套餐，1套餐不把玩家当人看，你们皮糙肉厚不配用好的洗面奶[doge][doge][doge]，2套餐呢，因为是欧莱雅的新品目前还没有太大的雷反馈，但是你一分析成分表就只能说一句好家伙，属于用了没有啥大问题但是应该也没有啥效果的东西，中规中矩反正就是噶韭菜[doge][doge][doge]。以上均来自于一个辛苦查资料的MZR，如果有错指出也不接受。你游删了我继续发"
"丨雪含丨","保密","无IP","523505300","5","","10000","2322","","以前：不管付出什么代价，我们一定会战胜崩坏。,现在：不管付出什么代价，我们一定会战胜崩坏。"
"八ク","男","无IP","220124859","6","","10000","2303","","有一说一哦，看看崩坏三的评论区，已经成每日任务了,评论区的大家，口才又好，说话又好听，每天来看一圈都乐得合不拢嘴，我宣布崩坏三已经成了我每日快乐源了哦[吃瓜]"
"龙QwQ龙","男","无IP","100202998","6","","10000","1900","","简中维护300水，外网维护360水。,简中服维护给600水，外网积极跟上。,简中直播250水，外网直播350水。,不是这次冲得太厉害也不知道会不会提升350水，也不知道这250是不是骂人的。,总结就是对外积极，对简装死，区别对待,,4.7和4.8都是需要给国际服和台服做周年的版本，所以牺牲国服玩家的体验把版本拉的又臭又长。4.7整个元宝硬拖，把三年前的年夜饭搬出来给国服玩家吃；4.8偶像活动咸鱼扫荡拿不完奖励，禁限超越搬完商店还有20多天才结束，没有玩家炎上怕是连那个消拼图的活动都没有，整个后半版本只有一个新主线，这次连年夜饭类似的敷衍都没有，空出的档期原本就是为了给台服塞个周年庆吧。4.9不用再考虑其他服务器的特供档期问题了，转入正常无压力的运营阶段，这时候就出来画饼，把原本的正常版本运营包装成你们听取改动的结果，然后继续不回应节奏，毕竟不承认就等于没有过。你们运营真的以为玩家都是傻子看不懂你们的操作吗，你们的运营真的是既蠢又坏。,,发生这个事反倒还推出了比之前还要重的氪金活动，当中国玩家是什么？这个不用我说mhy已经回答了吧，区别和歧视中国崩坏3的玩家已经是根本性问题了，联动原神，是为了开展国外的市场而不是国内的，我相信国外很快也会上架的，他知道他跪舔的态度，让国外很满意，对标国外他才有胆子联动的，毕竟国内都这么烂了，在崩3玩家70%80%流水的贡献容易下推出了原神，国外的成功让它有理由去区别对待中国玩家,这个到现在没有任何改变，这是福利上的差别，更是态度上的差别，全世界没有哪一款游戏会如此的差别对待的本国内的玩家，特别是贡献了最高流水的玩家群体。"
"听说改用喵容易中奖","男","无IP","1904706","5","","10000","1395","","来来来，这么烂的产品都敢联动，我扒一下。其他的不说我们先说价格，套餐1就是那个270ML套装，京东官方169，再加一个水能氨基酸也才256.相比一下联动的价格，诸位细品，欢迎为爱买单！！！[捂脸]说完价格我们再说一下性能吧，毕竟我们男人就是喜欢性价比，首先说一下套餐1的那个水能双效，这个啊，这个是米桑觉得自己太黑了，普通的洗面奶洗不掉，就拿了一个大皂基来洗地，顺带一体米桑就没有把你们当人，说一下为啥，水能双效ph10.4，肉豆蔻酸，硬脂酸，棕榈酸，月桂酸，氢氧化钾，以上成分就是一个经典的皂基洗面奶成分，还含有香精。敢拿这样子的高碱性的皂基洗面奶来洗脸，XZ的勇气可嘉。第二个产品我原本是不怎么知道的，因为我氨基酸的洗面奶没有用欧莱雅的，然后就去京东找客服死皮烂缠的问了一下成分表，然后看到的是的确是一款氨基酸洗面奶但是问题却来了，这并不是一款纯氨基酸洗面奶，应该是一款氨基酸复合皂基的洗面奶，然后我们再看一下排在前面的几个成分，两个氨基酸活性，然后致痘性的氯化钠，作为柔顺剂和荧光剂的乙二醇硬脂酸酯，两个作为皂基成分的脂肪酸，调理皮肤的葡萄酸镁，防腐剂的苯氧乙醇，国际规定用量不能超过百分之一，防腐剂幸甘醇。柠檬酸作为去角质和ph中和剂使用，然后整体洗面奶的ph好像看人测过是6，最后一个就是辣薄荷，这个就是男士洗面奶都喜欢加的玩意，洗完让你很清爽的东西。整体来讲作为氨基酸皂基复合洗面奶来说还可以，但是主打的三大招牌，氨基酸活性还行，玻尿酸就。。。[捂脸][捂脸][捂脸]透明质酸钠的成分很靠后靠后，然后法国高山泉水也没有明确写在成分里面。总体而言，联动的两个套餐，1套餐不把玩家当人看，你们皮糙肉厚不配用好的洗面奶[doge][doge][doge]，2套餐呢，因为是欧莱雅的新品目前还没有太大的雷反馈，但是你一分析成分表就只能说一句好家伙，属于用了没有啥大问题但是应该也没有啥效果的东西，中规中矩反正就是噶韭菜[doge][doge][doge]。以上均来自于一个辛苦查资料的MZR，如果有错指出也不接受。你游删了我继续发"
"AYNMRein","保密","无IP","92668110","6","","10000","1301","","拉人下水堪比桐生可可,圈外风评堪比肖战,服务态度堪比特斯拉,道歉速度堪比东电,您说您还剩什么？[吃瓜]"
"花香说与你听","保密","无IP","40951682","6","","10000","1295","","我能玩三年多也能冲三年多懂吗？,什么是用户黏性啊(后仰)"
"造孽兮兮的","保密","无IP","58440685","5","明日方舟音律系列","10000","1294","","虚假的mzr：在崩坏三官方拆家，目标明确，融号冲孝子,真正的mzr：引战其他游戏，开盒二创，除了腾讯水军什么都不知道"
"黑信555","男","无IP","471068320","5","","10000","1262","","二次元：二次元最重要的就是人设了,米哈游：你放屁[doge]"
"蚌埠侍郎","男","无IP","479964248","5","","10000","1219","","爷的热评是跑到阴间了吗？？？有人给我点赞就是看不到在哪？？？"
"神之子首","女","无IP","314390822","6","","10000","1207","","这波是欧莱雅花钱挨骂[doge]"
"2333乄","男","无IP","213707247","6","","10000","1205","","崩坏三是唯一一款我越玩越恶心  退坑了还时不时来看他什么时候死的游戏  挺神奇的[辣眼睛]  别喷我  我说实话  当年我也是忠实的mwb"
"缎带焰","保密","无IP","6441374","6","","10000","1204","","笑出了声，欧莱雅的置顶消息撤了，他们高层估计得重新评估这次联动了[doge]"
"bili_07210721","男","无IP","271268545","6","神乐七奈","10000","1120","","很喜欢一个只存在16s的热评:,miHoYo仅花了三个月时间追上了鹅厂猪场十几年的名声[呲牙][呲牙]"
"观星大人tri","保密","无IP","507030457","5","","10000","1040","","兔女郎事件到今天的两个月内米桑把所有花嫁复刻了一遍，就问你细不细，鼓掌"
"一层一层黑白配","保密","无IP","87450595","6","","10000","1011","","欧兰雅啥的男士专用一般最好别买，贵不说还用这个噱头以为只要是男的就可以用，结果你的皮肤不适合用那个结果越洗越差，真想用啥就看看自己皮肤咋样，然后叫你姐姐给你买，就算弄不清楚就用自己妈妈姐姐的的，他们皮肤比你娇嫩多了你个糙老爷们不可能用不了，我也不喷米哈游，单纯就是被各种啥的男士专用火山岩骗的够呛，希望各位好好选择产品，如果真的想要联动产品又不适合自己皮肤，就买来放在那里不要用[OK]"
"账号已注销","保密","无IP","620450745","0","","5000","1001","","ch你别遮遮掩掩的啊，光炎律怎么够啊，上纪元八重姐妹不得拿出来？上纪元月球终焉之战融合战士怎么死的只剩下两个不得水个十章啊？死掉的一人一个S为爱买单不过分吧？"
"蚌埠侍郎","男","无IP","479964248","5","","10000","992","","谨防mhy打姬子牌[doge]"
"木糖酿成醇","保密","无IP","272485960","5","","10000","986","2","渡尘的时候，，，我们还会喊着“干翻原神，崩坏永存！”。。。。,我们可以凹分一般的，把渡尘刷到第一。。,我们曾经调侃，60氵无事发生，300氵反向洗地，但现在3000氵都没用了。。。。,米哈游，这盛世，可如你所愿？,心碎，难受，咽不下去，看着米哈游那高高在上的态度，搞冷处理，外服活动结束就发个不痛不痒虚情假意的公告（甚至连置顶都没有)，这就是为什么我们冲了一个多月的理由,让你们看看，曾经的“黑暗骑士”吧[无语][无语]"
"天痕的虚空","保密","无IP","7306628","6","","10000","985","","1500+登录2w氪，我为自己发声他们管我叫魔怔人[微笑]"
"辣椒酱辣吗","保密","无IP","50025776","6","魔法学院","10000","962","","说真的，欧莱雅男士碱性太强，容易对肌肤造成刺激和伤害，想买或者现在还在用的各位建议咬咬牙买点更好的，像是珂润和芙丽芳丝都不错，对自己稍微好一点，晚安。[给心心]"
"六彩白云","男","无IP","176666740","5","","10000","946","2","关于道歉,重要的不是道歉当时，时间？原因？都是次要的，重点在于是否真诚，而真诚与否的唯一判定标准是道歉之后的行为。上次道歉距今已经快一个月了，更加关心玩家在游戏各方面的体验，重视与玩家沟通？做不到的承诺就只是欺骗，而你们甚至不愿去做。"
"30AA4","保密","无IP","31319767","6","崩坏3·天穹流星","10000","908","6","有点冲累了，就跟各位分享一下我的动力吧:,刚开始节奏爆发的时候，评论区还有老哥开玩笑说“tnl其实是小员工自己做的，刘蔡都气疯了，马上把员工开除了。。。。你看眼熟不，我现编的。”当时我笑[笑哭]的可开心了，我心想mhy不会傻到用那这么假的理由敷衍我们吧。,我没想到它真是一点不把我们放在眼里，连敷衍都不肯装装样子，不要跟我提那个鬼信[呲牙]，连个公章都没有要我怎么相信它？就光冲它这么高傲的态度就足够让我天天打卡冲死它[微笑]。"
"季妳太美","保密","无IP","673367037","5","原神","10000","896","","我私信和这个十神说你想辟谣应该把兔女郎视频对话舞蹈都放进去，不需要掺杂自己的观念，这样反而没有起到辟谣的效果，应该把跳舞前争议最大，最毁人设的地方也讲一下，毁不毁人设玩家自己去判断，毕竟每个人接受程度都不一样。,我就觉得跳舞前女武神的几段对话是最毁人设的。,结果他直接说“接受不了就滚，不要打扰正常玩家，干着水军的事还好意思私信。”,你觉得就这种观念如此偏激的人，上来就扣帽子，然后把认为人设没崩的人说成正常玩家，直接否认掉一方人，强行站队。啧啧，就这种人还理性辟谣个屁的的视频，连最起码的中立都做不到，和他口中的魔怔人有什么区别。,真是气人，拉黑了都不解气。[原神_给我走开]"
"天文館の猫","保密","无IP","20777036","6","灵笼","10000","896","","游戏我都懒得说了，不过xdm，这种皂基洗面奶不要用，买氨基酸洗面奶好一些[OK]"
"账号已注销","保密","无IP","620450745","0","","5000","888","","专门挑跳过舞的复刻花嫁，细！"
"妮蔻奈绪ddfg","保密","无IP","498253291","5","","10000","886","","这里说下，原神玩家们，你们要退坑和冲米哈游都无所谓，但别扯我们崩四，我们崩四怎么样不用你们操心，各有各的路，大家相安无事，但如果要把崩四拖下去，那不好意思了，哪怕我们崩四玩家敬重以前的旅行者，也会跟你们拼命的，我把话放在这，人与人之间互相尊重[傲娇][傲娇][傲娇]"
"蚌埠侍郎","男","无IP","479964248","5","","10000","878","","现在到底是是谁在拐其他游戏，谁在冲二创？本mzr看不懂[呲牙]"
"梓喵的儿童内裤","女","无IP","336481059","6","EveOneCat2","10000","875","","深渊泪卷,黑渊白花,人设崩坏,冷处理,外服特供,道歉敷衍,限制改名,扯多了容易假，就这几点米哈游你给答复了吗？[抱拳]"
"剑云卸甲","保密","无IP","517276","6","绽放收藏集头像框","10000","866","","[tv_白眼]鱼大佐置顶动态说我们分不清资本和资本家，我泪目了，原来他能分清"
"雨晴羽之殇","保密","无IP","150064865","5","","10000","858","","当初那些融号大佬的视频，哪个不是不是几万的播放，几万的投币量，现在一个都看不到了,反正这个计划，呵呵，就差把黑哨写在文案上了,反正已经有人收录了这么多果断弃坑的大佬还有几十个骑脸嘲讽假融号的憨批，这些，这笔账 ，米哈游你迟早得一点一点的还"
"MIKU冰心小荷","保密","无IP","149097","6","初音未来13周年","10000","838","11","评论区收获了不少护肤知识，也知道了不少国产好牌子好产品，这波，这波是大赚啊。"
"霴麚觹纔奰","保密","无IP","159485061","6","至尊戒","10000","834","","认真听取玩家意见，然后联动欧莱雅创造简中服特供,加强与玩家互动，然后利用五帝兽拉动玩家积极讨论,加强玩家游戏体验，然后拉动原批来异世相遇,做出更好的游戏内容，然后测试服贞仪t0雷伤c辅圣痕,米桑对我们这么好，我们还哪敢不夸啊[傲娇]"
"amslEK","保密","无IP","36756059","6","","10000","832","7","我tm直奔评论区[吃瓜]"
"观星大人tri","保密","无IP","507030457","5","","10000","827","","欧莱雅触发亡者遗言，带走了咱们两千条评论，这波血亏[doge]"
"samystery","保密","无IP","19138344","6","","10000","825","6","【欧莱雅男士洁面-哔哩哔哩】https://b23.tv/SLJ1ts  ph超过10，您这是洗脸还是刷锅啊？"
"跳脱出去","保密","无IP","66545801","6","","10000","805","","你能教教我怎么养狗吗？"
"浅间幽悠","保密","无IP","204138013","5","","10000","787","2","我是一个小公司的老板[抓狂]要是我的员工能像米孝子一样爱岗敬业的话，我的公司早就榨它们到省十强了[大哭]"
"丨佛了丨","男","无IP","315261603","6","","10000","724","","居然有xz认为官方这块高地是他们“让”给咱的，我只能说感谢这些xz每天给我提供笑料了"
"pary_C","保密","无IP","103595541","5","湊-阿库娅","10000","723","","笑死，还有MXZ说MZR成业界肖战了，真的没点自知之明吗"
"季妳太美","保密","无IP","673367037","5","原神","10000","715","","玩家冲崩坏三，说到底还是想崩坏三改变态度，对游戏内外都重视起来，比如你兔女郎道歉了，那么就好好做到道歉信的话，删除兔女郎挂件和兔女郎圣痕，以及积极删除兔女郎一切相关视频的传播。然后增加待遇，优化深渊，延缓装备以及角色更替性。就是这么简单。结果玩家都在盯着的情况下，他卖皮肤，推二创，搞联动，卖联动护肤品广告。真让人失望，结果还出线什么辟谣up，打着辟谣的名义辟重就轻，找些极端言论去分化玩家，一般人看到极端点的言论都会选择无视掉，结果倒好，人家辟谣up还专门给你找出来在带带节奏，生怕玩家不吵起来。真不知道什么才是他口中的mzr和水军。就现在这种情况如果没人冲米哈游，那么就只能说这游戏是真没人玩了。"
"虾饭菌不下饭","男","无IP","21168796","6","","10000","711","","有一说一，不建议买男士护肤产品，对皮肤刺激性太强。男生买女生或者儿童用的护肤品都行。最重要的还是注意休息和饮食。"
"账号已注销","保密","无IP","620450745","0","","5000","709","","这节目效果不比游戏剧情好多了"
"第一酱","保密","无IP","43576143","2","","10000","701","","对于不公平对待我能骂txwy，为什么我不能骂mhy？[疑惑]"
"寻梦辉煌","保密","无IP","13891761","6","公主连结凯露","10000","698","","这个月都出多少皮肤了，应该是有点扛不住了。符华花嫁都复刻，我寻思着兔♀郎节奏伤的最厉害的角色厨是谁啊？想测一下还有多少为爱买单的玩家是吧？接下来应该是炎律牌，打完应该是真没什么牌了，加油，我们离曙光不远了"
"可算让我找到你了","男","无IP","352060655","5","","10000","697","","不懂就问，水大佐是不是真魔怔了啊,收集一堆聊天记录截图，不会截屏，还放到移动硬盘里边，冲到现在我真不清楚到底哪边魔怔了，一提女武神配个黄豆xz直接破防"
"介稳态","保密","无IP","19478765","6","嘉然今天吃什么","10000","694","","米哈游：一个为了外服流水可以自毁角色形象的公司，一个可以国内冷处理国外献殷勤的公司，一个把简中服当做付费测试服给外服排雷的公司，一个不停出外服特拱的公司，一个把外服玩剩下的内容放到简中当福利甚至要氪金的公司，一个拥有大量xz，提纯技术强大的公司，一个吃里扒外立场不明在特殊时期给日服独占活动的株式会社，一个喊着为爱买单在国内做大却能无视国内玩家感情的虚伪丑陋的公司。"
"剑云卸甲","保密","无IP","517276","6","绽放收藏集头像框","10000","683","","不会有mzr给这视频投币吧？所以投币数=沉默的大多数！[给心心]"
"自砸招牌的战地记者","女","无IP","494909474","5","","10000","678","9","网络暴力真可怕真怕米桑你挺不过去[保佑][保佑][保佑]"
"青柠-沫夏","保密","无IP","437358554","5","","10000","670","","反向增加用户粘度[给心心]玩游戏2年多，新玩法终于开发出来了，不比深渊战场好玩？[给心心][给心心]"
"和可爱鬼柚柚是一对","男","无IP","354630547","5","仲夏幻想","10000","667","","：哎这群小鬼咋没动静呢？,丽塔你去催催，,丽塔：舰长～出门记得用欧莱雅男士哦，听说………。话一出，场面沸腾他们各个争先恐后嘴里说着：欧莱雅好呀，高呼着老婆，老婆，我买了，我买了，老婆[打call],：好了随便给点语音他们还不是像狗狗一样听话就去买了，哪些噪音就随他去吧，成不了气候的"
"为太阳的光","保密","无IP","964782","6","","10000","664","","今日爆笑 官方宣传不解释女武神 反而默认了转去使用角色了 你也知道你立不起来了？"
"QWQ芯","保密","无IP","73636586","6","战双帕弥什","10000","660","","如何看待十神大佐说mzr线下打砸展会，结果一张图都拿不出来，自称照片都删了?,知识产权大律师，也开始凭空造谣了?"
"醉语梦卿颜","男","无IP","30654000","5","","10000","658","","难道我们指望的是爆率很高，福利很好，深渊一打就过。一骂策划就会送皮肤，还送两个。不会吧？[呲牙]"
