"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"天御之狐","保密","无IP","18539015","6","2233·群星闪耀时·双子座头像框","10000","5790","","大伟哥家的别墅又变大了(；ω；`)"
"葉月華","保密","无IP","13592255","6","","10000","3324","","请大家多多支持崩坏3rd，bug什么的，60水晶大家当无事发生"
"月下我的老婆","保密","无IP","15765317","6","","10000","2681","","姬子第一版的跑步动作  有人说抄袭尼尔的我服了"
"昔年似风","保密","无IP","24086423","4","","10000","1605","","1.1姬子才不到2w播放量，1.4八重樱版本现在快到10w了( _ゝ｀)"
"野中周处","保密","无IP","422652268","6","三周年恋曲","10000","1329","11","哎，看看以前pv的播放量，可能还有不少考古最近加上去的，现在pv都能100w了，想想真是唏嘘。开服玩家，只退过两次，一次手机问题，一次学校问题，3年多了，我还未放弃，以后也不会，除非崩3关服[微笑]"
"terraik","男","无IP","305860703","5","","10000","1167","","姬子，您好 ，您当年的学生现在全是律者了。您对此有何感想？[妙啊]"
"愿你健康平安","保密","无IP","161272098","6","崩坏3·天穹流星","10000","867","11","说个题外话，考古队们能不能在评论区考古？弹幕多了后会把以前的弹幕给顶替了，而且满屏的考古也着实影响观感[撇嘴]或许大家只是想表示自己热爱着这个游戏（其实对我而言三崩子不仅仅只是个游戏），但这种「爱」带来的破坏也不小噢！[tv_流汗],虽然我这么一条评论作不了太大改变，但我还是希望后来的观众们能稍稍留意下，给弹幕一个好的环境，而且大量无意义弹幕也是占用资源[拥抱]"
"哩鲤狸理","男","无IP","100885745","6","","10000","1022","7","什么姬轩辕，明明是姬麟"
"とある中二の乙女","女","无IP","20658683","6","阴阳师海国之境","10000","66","","谁当时能想到 米哈游编剧藏了多少刀呢[藏狐][藏狐][藏狐]"
"我才是xxxx","保密","无IP","26411822","5","","10000","187","","挖坟，这个时代的疾风强无敌啊啊啊啊啊( _ゝ｀)"
"苏玛_","男","无IP","6071259","6","","10000","421","","这游戏真垃圾 谁充钱谁是狗 汪"
"颖龙玉","保密","无IP","18919542","6","","10000","297","6","这就我们老玩家开始的地方，当年80万老玩家现在还剩下多少。"
"东方_丈助","男","无IP","55780716","6","崩坏3·天穹流星","10000","236","","3年过去了，一个能打的都没有，就连侧滑都能吊打友商"
"绯红の樱幻","男","无IP","35047805","6","良辰美景·不问天","10000","135","5","为薪炎之律者诞生前来考古[大哭][大哭]"
"犹美利卡","男","无IP","76410565","6","","10000","113","","版本初都是红发大剑，快进到四年后卢老爷弟中弟[doge]"
"异世界魔法太落后","保密","无IP","66024558","6","","10000","57","","1.0入坑，中间几番进退，还是留了下来"
"Mikamikari","女","无IP","28455198","6","","10000","32","","姬子温柔地注视着你，不再言语。"
"咱就是传说的说","保密","无IP","12491579","6","初音未来13周年","10000","72","10","以此烈火，斩无不断。生生不息，薪火相传！！！[大哭][大哭][大哭]"
"东方烨澪","女","无IP","66956936","6","","10000","68","","忽然怀念起最初玩崩3的自己，可以泡在舰团探索一整天，在八重村把每一处都探索遍，白练绯红一样玩的很开心，没有战场排名困扰不用烦心深渊保级，从来不在乎角色强度也不去刻意搭配装备阵容。,无论怎样，那样的日子总归是一去不复返了。"
"野生凶恶归归子","保密","湖南","406498014","5","","10000","51","","“当一个故事要结束的时候，我们总会想起它的开始”[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]"
"幽飘飘","女","山东","351187525","5","大王不高兴","10000","16","4","23年前来了，姬子阿姐你的学生们都已经成为了优秀的人，虽然策划和美工拉胯，但这并不影响你们的生辉。"
"请叫我se影师","保密","无IP","349664806","6","崩坏3·天穹流星","10000","62","3","好家伙5.9版本pv下面推荐1.1[笑哭]"
"Sangmi_不可食用","男","河南","386462452","6","原神","10000","24","","“当一个故事要结束的时候，我们总会想起它的开始”"
"请问是警察吗","男","无IP","23810539","6","","10000","53","","突然刷到这个，有点感慨,以前就傻傻的拿着几个角色简简单单的玩，不去管强度，更不用管ch，很快乐,现在已经找不到入坑那段时间的感觉了,唉 :-("
"折纸的小猫猫","男","无IP","353750813","5","","10000","25","5","我不出薪炎之律者没关系，但是给我点赞的必须一发出[doge][吃瓜]"
"万俟sauce","保密","无IP","123322731","6","星座系列：天蝎座","10000","40","","识律时代前来考古"
"此生只爱八重樱","女","无IP","413120114","5","崩坏3·天穹流星","10000","41","","愿薪火相传，美德不灭！,为世界所有美好而战！,我很喜欢崩坏三！,我爱这个故事！,我是舰长！,我确定！,[崩坏3_干杯][崩坏3_干杯][崩坏3_干杯]"
"寒冬的花","保密","无IP","57645445","6","星座系列：白羊座","10000","18","6","蚩尤关了，回来看看( _ゝ｀)"
"laiciffo奈七楽神","男","河北","275676274","5","希萝Hiiro","10000","18","","偷箱子时代前来考古"
"惠えりこ理子","保密","无IP","50993059","6","初音未来13周年","10000","33","7","来剧透:奥托成功救下了卡莲，和卡莲过上了幸福快乐的生活。阿姐兑现了和琪亚娜的诺言，天命最强女武神是琪亚娜"
"潇澜_非气大爆发ver","保密","黑龙江","149062265","5","RO姬头像挂件","10000","23","9","爱酱的预告下面为什么会有这个[崩坏3·光辉矢愿_彩虹水枪]"
"赛尔寄划","男","无IP","289097561","5","不思议之旅","10000","45","","呆鹅是真琪时代考古[doge]"
"童心Ace","保密","无IP","37520577","6","","10000","17","","5年过去了，薪火传承！"
"Abao秦白玖","保密","无IP","284108374","6","崩坏：星穹铁道","10000","19","","好家伙突然推送了这个[笑哭]"
"abcde-aiueo","保密","无IP","200277169","5","","10000","23","","崩坏三一直没有变，变的只有越来越恶劣的玩家群体和被搅浑的社区环境"
"坡坡上的汤圆七七","男","重庆","362804812","5","我是江小白","10000","27","","爱酱下面为什么会是这个宣传pv[脱单doge]"
"abcde-aiueo","保密","无IP","200277169","5","","10000","25","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"森林一天长不出","女","无IP","8079689","6","","10000","21","","这游戏的前期剧情是怎么穿起来的啊，我是原神玩家，单纯的看薪火相传看哭了T﹏T想来找我之前的pv……但是我发现看不太懂[笑哭]"
"O7FE0","保密","无IP","80694310","6","","10000","16","3","考古，外传已关（￣へ￣）"
"我好喜欢涩涩啊","男","湖南","512409755","5","","10000","26","","我能坚持玩下去不是因为这个b游戏，是那个叫琪亚娜卡斯兰娜的女孩，她们的故事吸引着我"
"蜂蜜鱼籽酱","保密","无IP","32808557","5","干物妹！小埋","10000","20","","突然出现在推荐里"
"远星_star","女","无IP","442170235","5","","10000","24","","有没有刷薪炎然后进来的[doge]"
"神勇の豪","男","广西","35916898","6","2233幻星集","10000","19","3","为什么要打开按时间排序[doge]"
"在下永远喜欢Elysia","保密","湖北","629496303","5","春原庄的管理人小姐","10000","24","9","emmm从宇宙弔人大爱衣过来，吃我洛阳铲[hanser动物套装_打压]"
"痴爱小祈","男","无IP","503053507","5","","10000","19","","那时候，天真的舰长们还不知道崩三的刀有多狠"
"Die-Walkvre","男","无IP","353272054","5","原神","10000","15","","你们都在喊姬子，有谁还记得被丢在蚩尤那里的杏"
"说得好但是","保密","无IP","27163940","5","","10000","10","","考古，有些英桀已经寄了"
"想和芽衣队长谈恋爱","女","无IP","208697611","6","","10000","15","","给我推了这个，进来看看[崩坏3_七][崩坏3_刀]"
"蛋蛋满堂0_o","保密","无IP","2319500","6","究极缝合乙女奇美拉","10000","14","","说好实话，姬子压根打不到人←_←"
"Mmmm曼曼","保密","无IP","15883204","6","","10000","21","","姬子:我的大刀早已饥渴难耐了。"
"Akie熙言","保密","无IP","38287161","6","原神","10000","13","11","以此烈火，斩无不断！"
"成分复杂的批发商","保密","无IP","76859084","5","","10000","13","","薪火相传，生生不息"
"kkoo2012","男","无IP","12034841","6","hanser","10000","13","9","以此烈火，斩无不断！"
"可以ヽ不必","保密","无IP","13178985","6","","10000","13","2","是谁把这个帖子挖上了首页啊"
"议月","保密","无IP","33808372","6","刀说异数","10000","19","","给策划烧元宝"
"雪碧兑果粒橙","男","无IP","110870109","6","hanser","10000","19","1","原神：哥，咱家有钱了,[大哭]当年的播放量  这么少嘛"
"将一切鏖杀殆尽","保密","广东","531215762","5","","10000","19","","“当一个故事要结束的时候，我们总会想起它的开始”[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭][酸了][酸了][酸了][酸了][酸了]"
"皇天伏羲","男","重庆","433579674","6","星座系列：巨蟹座","10000","13","","为什么b站最近老是推送崩三的远古视频啊"
"飞翼FlyWing","男","无IP","6397805","6","","10000","13","","姬子，大家还在休伯利安上，等着你的回归。那时候，你还要给琪亚娜继续上课啊"
"红绳锁","男","无IP","363334548","5","","10000","19","","玩蹦三那会儿真的很纯粹，玩了原神才知道有个东西叫限定池，有种超值叫月卡。那会一个水精灵二能让我高兴好一会，长刀（能召唤出英魂战斗，在神之键中可以找到，好像是地藏御魂？）我每天上线必看十分钟，幻想着得到所有神之键，八重村可以让我跑过一遍又一遍。白练，绯红靠着商店升到s，找不到交流的人，却也玩的很开心"
"Liyuu王","保密","无IP","295005580","6","","10000","19","5","克利希娜时期考古"
"已经没有丝之歌了","保密","江苏","292020284","5","崩坏：星穹铁道","10000","16","","为什么在结局底下给我推这个啊，这下结尾和开始连起来了[委屈]"
"爱莉的小喇叭","男","江苏","1026691178","5","崩坏3·天穹流星","10000","16","","你为什么点开时间排序？是故意的还是不小心？[崩坏3·终焉归始_指点]"
"空離sama","男","无IP","42813768","6","三周年恋曲","10000","16","","为什么要在视频下面推远古视频，还是姬子的，刀我是不是？[辣眼睛]"
"mika小天使","男","无IP","39323318","6","","10000","16","","为啥会出现在我的首页[热词系列_知识增加]"
"断桥亦有雪","保密","江苏","167876565","6","","10000","15","","她曾经是个好游戏"
"给我掰点儿","男","无IP","81470211","6","崩坏3·天穹流星","10000","12","5","再见了，姬子老师[大哭]"
"四季初夏丶","男","无IP","491046036","5","崩坏3·天穹流星","10000","12","7","以此烈火，斩无不断！！"
