"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小柠丶","男","无IP","6736655","6","","10000","3228","","大伟哥你直播的样子虽然有些狼狈，但你发水晶的样子真的好靓仔.jpg[小电视_笑]"
"你是不是在哪里见过我","保密","无IP","241902456","6","","10000","1878","","大伟哥直播的时候像个宅男，被采访的时候就像个成功人士Σ( ￣□￣||)"
"欧阳溯千","保密","无IP","37959676","6","原神","10000","1302","","昨天刚分手，结果把崩坏三直播忘掉了←_←，再也不找女票了，女票哪里有崩坏三好玩→_→"
"夏风月澄","男","无IP","85636815","6","","10000","980","","还有心思发这些东西，芽衣的语音有bug。一点老是在说：诶？怎么了？。赶快去找技术猛男修修。[小电视_好怒啊]我要听老婆说话，快点 (皿)"
"004江苏号","保密","无IP","110964488","5","","10000","704","","修仙一时爽，一直修仙一直爽【手动滑稽】"
"-纳兹咩--","男","无IP","25990035","6","赛博朋克挂件","10000","55","6","强烈建议聊天场景增加棋牌室，点击进入匹配其他玩家，然后以金币为赌注[小电视_害羞]当然最好还有水晶场"
"白咕咕是我的","保密","无IP","171973179","5","","10000","51","","空之律者=律化娜=氯化钠=NaCl=盐巴=炎八=真炎幸魂。空之律者＝真炎辛魂。哈哈哈！我有女王了！我有女王了！大伟你放开我！我没疯！我真的没疯！"
"风雅直人","男","无IP","444936","6","","10000","31","10","大伟：好，请我们的导播滚动起来（￣▽￣）,,导播：Σ( ￣□￣||)"
"高ping战士参上","男","无IP","23042576","6","","10000","27","","大伟哥白头越来越多了呢，希望大伟哥能少白一点头发，大伟哥世界第一可爱+年轻！"
"暗鸣","男","无IP","206786","6","原神","10000","22","15","大伟哥还是在崩3直播间玩得开心，在崩2和妹子只能尬聊[小电视_汗]"
"那个严肃","男","无IP","2344635","6","EveOneCat2","10000","20","","才能平平崩坏美术[芮小凸小凹_超棒]"
"博尔一笑","男","无IP","40117041","6","星座系列：白羊座","10000","20","","今天我主演的《2019》开机，我将继续扮演一个混吃等死的废物，传播负能量，文体两凋零，请多多关注"
"芯荡丶","保密","无IP","97748369","6","","10000","18","","说到崩，就让人想起了明年下半年崩崩崩崩，大伟哥将继续发放福利，崩原俩开花，希望大家多多关注。"
"一只胖仔b","男","无IP","13343621","6","","10000","18","","我只想知道，2.9啥时候上线啊[小电视_嘟嘴]，我想要维护时能记忆消除的亮晶晶[小电视_害羞]"
"暗晨Dveil","保密","无IP","150103922","6","初音未来13周年","10000","17","","放心吧！无论崩三有多少势力，出的女武神依旧是天命的人"
"倾世豪","保密","无IP","282129878","3","","10000","17","","能把米游社改成软件吗"
"咱就是传说的说","保密","无IP","12491579","6","初音未来13周年","10000","16","10","别的不说 我会一直陪伴崩坏3下去的"
"子润Rain","保密","无IP","7345734","6","EveOneCat2","10000","16","","米游员工天天秀，只有策划在挨揍。╮(￣▽￣)╭"
"猫虫月轮の月轮菌","男","无IP","311698319","5","","10000","15","","我想凭名字和头像上热评阔以吗？"
"瓦尔特-杨","保密","无IP","40389376","6","嘉然今天吃什么","10000","13","6","一人血书求实装女武神刘易斯"
"小岩井游茶","保密","无IP","80910428","6","","10000","13","1","直播水晶码没领到的怕不是只有我一个( _ゝ｀)"
"随便逛逛XD","保密","无IP","35847971","6","","10000","12","","其实并不是三方势力，而是天命总部，天命极东支部（反叛天命，最弱势力，最近和逆商处于结盟状态），逆商，再加上最近才有点眉目的世界蛇，应该是四方势力。什么时候再来个势力来个五军之战啊(｀ω)"
"HSS也不造呢","保密","无IP","41181242","5","阿梓从小就很可爱","10000","12","","别人在年会，而大伟还得直播自己并不管的崩崩崩，哭了"
"高ping战士参上","男","无IP","23042576","6","","10000","11","","不错，大伟哥跟最左都是舰长，结果这人就一口一个玩家，这可是态度问题，阴阳师大人，fgo御主。怎么会用玩家的？"
"100岁的童年","保密","无IP","1373699","6","崩坏3·天穹流星","10000","11","10","标配补给-吼姆，武器补给-吼喔，精准补给-吼美，扩充补给-吼喱，扩充装备补给-吼咪，火力补给-吼辣，"
"豆丁兽使用了电光一闪","男","无IP","14652476","6","","10000","11","","我的新年愿望是在今年看崩坏三的动画，大伟哥能实现一下我的愿望吗？[小电视_笑]"
"小木屋华","男","无IP","35559897","5","","10000","10","","直播内容提高不少，很有意思。不像以前那么尬聊，希望以后越来越好"
"ブローニャ-","保密","无IP","147017550","6","崩坏3·天穹流星","10000","10","10","宿舍里，就是那个sp训练机，什么时候能出一个在里面就能看女武神技能点的功能，每次训练之前都得跑出去看看剩余技能点，好麻烦的说[小电视_发愁][小电视_发愁]"
"一_一透明物","男","无IP","31958221","6","明日方舟-愚夜密函","10000","10","","你们真正关心的东西,GVYP5ECW7P,YMUR5ACP9F,EUU9DASN57"
"残羽坠兮君不弃","保密","无IP","32548788","6","","10000","9","","[小电视_笑]我一进来就看到粉白策划被暗杀，，，"
"艾特玄学","男","无IP","341060568","6","崩坏3·天穹流星","10000","9","6","怎么那么多没看过漫画和视觉小说就在那云剧情的人？nyw"
"pm无毒","保密","无IP","163866676","5","","10000","9","","美工文案都在秀，只有策划在挨揍"
"序列2旅法师","保密","无IP","23027430","6","","10000","9","","hhhh，把某些人脸都打肿了，还说文案外包，佛了"
"呐呐呐大白牙","男","无IP","32785059","6","","10000","9","8","今天4级了，我觉得我有资格对你们说，我不是针对谁，我是想对在坐的所有人说,,,其实你们都,挺帅的(=ω=)"
"Akane39","保密","无IP","18427825","6","公主连结可可萝","10000","8","","崩3不敢说多优秀 但我找不到同类型画面人设音乐更优秀的手游 开服到现在装了卸卸了装（真香）希望氪金体验能好点 几百进去提升几乎为零 体验好了 自然愿意多氪 抽不到的东西 画得再好看也只是在池子和欧皇手里的卡片"
"老DD骑士人了","男","无IP","163772798","6","","10000","8","","YMUR5ACP9F"
"没有丶你的四月","保密","无IP","31729721","6","","10000","8","","老是有人叫错希儿的名字"
"百川酒造","保密","无IP","7786250","6","","10000","8","","直播开头佐贺梗笑死[2233娘_大笑]"
"玲风入千","男","无IP","321502717","6","","10000","7","","有谁和我一样想让大伟女装的?(°°)"
"言灵童话","男","无IP","6568581","6","少女前线","10000","7","","辞旧迎新至，玄衣素裹裳。锦绣画春霞，天火映银花。"
"空之律者-律化娜","保密","无IP","183787390","6","原神","10000","7","","就我一个人看到了弹幕里有个苍骑士·井空吗……"
"Mochizukiあきな","女","无IP","108373650","6","","10000","7","","印象最深的还是夏日活动，大姨妈，八重樱，姬子阿姐的皮肤感觉肝了好久一样"
"一只路过的咕咕喵","保密","无IP","169432551","6","","10000","7","","今年下半年崩坏四全新版本，我将继续扮演这个舰长角色(｀ω)"
"pleasant233","男","无IP","177324496","6","雪未来","10000","7","3","年番更新是认真的吗[小电视_发愁]"
"白音梦见子","保密","无IP","16362825","6","异常生物","10000","7","","才发现爱酱93W粉丝了，百万警告(=ω=)"
"在下小菜","保密","无IP","22929595","6","星座系列：双鱼座","10000","7","","快百万粉丝了，是不是该有个某伟哥的某装福利啊！！"
"散仙道人","保密","无IP","72451397","6","","10000","6","","那个聊天室是什么鬼，就去就出不来了，不管做什么都是网络不稳定，感觉像被断了网。"
"不忘-研-D_Decker","男","无IP","37526548","6","乙女音","10000","6","","新人想入坑崩坏3，问下，是下官方服好还是b服好啊[小电视_笑]"
"三司绫濑呦","男","无IP","34483332","6","","10000","6","","那个，问一个各位，2月1号年番是什么！。"
"xubin31905","女","无IP","6937752","6","琉绮Ruki","10000","6","2","大伟哥你直播的样子虽然有些狼狈，但你发水晶的样子真的好靓仔.jpg【小电视_笑】"
"式斯贞无挂B","保密","无IP","99528802","6","三周年恋曲","10000","6","","靠，我现在冥界和艾蕾过圣诞忙不过来什么办"
"猫猫头不淋雨","男","无IP","8318123","6","钟晨瑶·关于心动","10000","6","","GVYP5ECW7P,YMUR5ACP9F ,euu9dasn57"
"ひどい牙败","保密","无IP","360665785","4","","10000","6","","其实我是觉得大伟哥的直播越来越有趣了"
"bili_213883436","保密","无IP","213883436","5","","10000","5","","今天下午我好像接到芽衣的祝福电话了！！！！妈耶"
"明朝首富Cc","保密","无IP","56712307","6","","10000","5","","米忽悠不给员工放春节假吗？这么压榨员工的吗"
"灵灵Ringing","保密","无IP","9207930","6","","10000","5","","我要做人群之中最闪亮的那颗光头"
"丹朱炖丹朱","男","无IP","255787660","6","","10000","5","","求求米忽悠把商店的购买优化一下吧qwq（可以一次购买多个）一个个点我的手机屏都换了俩了QAQ"
"嵩c","保密","无IP","17476781","6","公主连结佩可莉姆","10000","5","","夏日的bgm真的不错"
"VorinD","保密","无IP","3563912","6","","10000","5","","丽塔快使用你无敌的白银之月来想想办法！！！"
"Nefelibata--L","男","无IP","291132423","6","","10000","5","","姬子都没了，策划为什么还活着！→_→"
"漓雨呦","男","无IP","172508434","5","2233幻星集","10000","5","","快住手，你只是个手游"
"monaka橙子","男","无IP","110919303","6","星尘","10000","5","","重置我也不会氪的！三个糟老头子！！！"
"苏明鸢","男","无IP","5900294","6","","10000","5","6","佐贺？先给三连"
"AbgrundKirche","保密","无IP","67942185","6","","10000","5","","直播起码比以前好，但是你自家的吼喔吼咪你都不认识[蛆音娘_吃瓜群众]这不只是策划不玩游戏了吧"
"CC语言大佬","男","无IP","39388019","6","2021拜年纪活动专属","10000","5","","唉，希望直播能用心一点吧，每次就是尬聊，游戏直播就好好做游戏，自己做的游戏都不会玩，如果说没有兑换码和水军，你觉得会有多少人看"
"长野原焰火","男","无IP","8265274","6","","10000","5","10","这期直播很有趣[小电视_笑]"
"守护者BWBW","男","无IP","27993285","6","","10000","5","","直播吹逼功力显著提高"
"探枫","男","无IP","85726340","6","","10000","5","","护肝养肝崩坏三！"
"一本正经的奉太郎","男","无IP","39738757","6","星座系列：白羊座","10000","5","","崩三末年分三国？"
"UNSC无限号","男","无IP","14893650","6","","10000","4","","大伟哥老了"
"八云灆","男","无IP","33485338","6","","10000","4","","看来策划也有自知之明"
"兰斯Official","保密","无IP","134104","6","","10000","4","19","策划依然不会打出强袭闪避追击。。。"
"冬眠一ing","男","无IP","96522633","6","","10000","4","","有一个重点被大家忽略了，就是年番啊！"
"卜希琼","男","无IP","15666324","6","","10000","4","","三位基佬。。。没欲望看下去，可否添加萌妹子[小A和小B_无语]"
"难预料的搬砖人","保密","无IP","111359344","6","想去海边·头像框","10000","4","","什么时候把开放世界里的原罪碎片任务刷新几率调高啊。。。。 (￣△￣)"
"山海精yia","保密","无IP","8099740","6","","10000","4","","[小电视_害羞]懒得肝，又特想要活动奖励的咸鱼有点发愁"
"--Rorschach-_-","男","无IP","21396789","6","","10000","4","","养肝护肝崩坏三！(｀ω)"
"susu86x","保密","无IP","51471257","6","","10000","4","","日服舰长投来了羡慕的眼光"
"我名叫幻影","男","无IP","241362306","6","","10000","4","7","希儿3.0警告  崩2玩家的高兴"
"迷途的枕头","保密","无IP","262393798","6","","10000","4","","劳资要希儿！(▔□▔)/"
"夜是水下月","男","无IP","111695767","6","","10000","4","","“年番”预告指路av39238416"
"蒙古上单今犹在__","保密","无IP","96483947","6","","10000","4","","我不要养肝，我要爆肝"
"金齣比翼鸟-鸟宝","保密","无IP","66023034","6","","10000","4","3","祝崩坏三越来越好"
"马服铭渊","男","无IP","183173114","4","","10000","4","","昨天打崩坏学园团本忘记了直播（/TДT)/，巨款，我的巨款"
"艾莉安太太","男","无IP","30522664","6","崩坏3·天穹流星","10000","4","6","2月1号的年番!?崩崩崩要出番了?还是年番?!哇!![小电视_吃惊][小电视_吃惊][小电视_吃惊][小电视_吃惊][小电视_吃惊][小电视_吃惊]"
"Oberon-Vortigern","保密","无IP","38230386","6","","10000","4","","妈耶睡着了250水没了()"
"-星桐-","保密","无IP","23994286","6","2233幻星集","10000","4","","王者美工被青铜策划耽误了( _ゝ｀)"
"No16暮七桑","男","无IP","33905144","6","明日方舟","10000","4","","谁解释一下最后说的年番是指什么"
"abcde-aiueo","保密","无IP","200277169","5","","10000","3","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"冻夏_","女","无IP","225568474","6","","10000","3","","不知道你们还记不记得芽衣心脏上有炸弹的设定( _ゝ｀)"
"LeichterSchnee","保密","无IP","4638071","6","","10000","3","","策划:“我感觉增幅强袭的强度几乎可以媲美现在的天命战神，白夜了”笑了(;_)"
"血-煞九天","保密","无IP","346421780","5","崩坏3·天穹流星","10000","3","","增幅核心为什么没法开？我的紫电核心都30多个了"
"洋葱猫猫头","保密","无IP","351692984","6","花园Serena第二弹","10000","3","","新出的月魂一发中，终于偷渡到欧洲脱离非洲了\^O^/"
"丶白井黑子丶","女","无IP","157679656","6","拜年祭粉丝专鼠","10000","3","","真希望每个星期一，三，五系统优化，二，四，六修复bug，星期天收氵(｀ω)"
"天天天天天启w","保密","无IP","165116709","6","不吉波普不笑","10000","3","","兑换码：EUU9DASN57"
"古明地沟油","男","无IP","278071294","6","","10000","3","","大伟哥天下第一可爱！"
"诗萱ww","保密","无IP","92900243","6","雪未来","10000","3","","那么希儿什么时候出"
"神威CLANNAD","男","无IP","11940054","6","国民老公带回家","10000","3","","兑换码还能用吗(▔□▔)/"
"帝丶染血流年","保密","无IP","207281620","5","2020拜年祭（鼠）","10000","3","","1000水？？！！全体都有！全体失忆！"
"129の鲁比","男","无IP","201751600","6","","10000","3","","完了，才知道昨晚有直播，水晶码啊啊"
"我将带脚冲锋","女","无IP","19085857","6","","10000","3","","啥时候来男武神啊"
"钱是王道","男","无IP","5161973","5","","10000","3","","护肝养肝 崩坏3"
"风流倜傥叮当猫","男","无IP","17052332","6","","10000","3","","大伟哥头发都白了一块，真辛苦啊"
"明朝首富Cc","保密","无IP","56712307","6","","10000","3","","青燕化羽什么时候返场啊，去年没得现在还在伤心"
"碳水嗯造2023","男","无IP","122719390","6","","10000","3","2","现在的直播感觉真的比以前有意思多了"
"昵称自己听的都尴尬","保密","无IP","25840607","6","","10000","3","","gvyp5ecw7p"
"我名叫幻影","男","无IP","241362306","6","","10000","3","7","求个兄弟能帮忙肝1下【IOS】，我的苹果5已经带不动了.【有应酬】"
"宫廷玉液酒呀","保密","无IP","12789196","6","","10000","3","","720太难受了能不能1080p+啊我要看帅气的大伟哥（⌒▽⌒）"
"黑炎-断章","保密","无IP","196252829","5","","10000","3","","这次的直播很好看啊，感觉很快乐。不怎么尬了"
"温缇娜","保密","无IP","130788590","5","实验品家庭","10000","3","","可不可以兑换码兑换时间改为一天，不要直播后就兑换不了啊……(  ω )"
"幼稚的风和日落","保密","无IP","77464844","6","","10000","3","","死神：死神与灭却师对抗顺便打一下虚,崩坏三：天命与逆熵对抗顺便打一下崩坏兽,[蛆音娘_滑稽][蛆音娘_滑稽]"
"Kikdr_","保密","无IP","35644449","6","仲夏幻想","10000","3","","av39238416,年番警告"
"你的一回忆","男","无IP","30232496","6","小主安康","10000","3","8","策划你看看我手上的开过刃的苗刀，我问你个问题，我姬子大姐什么时候给我写活，告诉你啊～最多3个版本要是没有——后果你知道的(▼皿▼#)"
"冥-阿克蒙德","保密","无IP","82667544","6","","10000","3","","辛苦大伟哥了，直播时头上都有白发了。。。"
"萩风渡","男","无IP","10091152","6","","10000","3","","这次的直播挺好看的"
"村口卖辣条的金鱼佬","男","无IP","16910620","6","","10000","3","","抓住策划，往死里打[小电视_好怒啊]"
"时弈ovo","女","无IP","7514474","6","泠鸢yousa","10000","3","","你这画质座机录的吗(°°)"
"洛摩","保密","无IP","136121940","6","","10000","3","","300水晶全服失忆[小电视_赞]"
"我们终将谢幕","保密","无IP","86495815","5","","10000","3","","大伟哥我要是抽中了锦鲤我就献身给你了[小电视_害羞]"
"晓琼","保密","无IP","9107725","6","","10000","3","3","潮流发型编剧就是烧鸡？？？打死打死"
"青见青见青","女","无IP","38103145","6","","10000","3","","说，你们是不是偷看了fgo2.2的剧本[蛆音娘_滑稽]"
"多重人格TAJINKU","男","无IP","24632108","6","洛天依9th生日纪念","10000","3","","他们俩是编剧，大家知道该怎么做了吧"
"十连保底真君","男","无IP","34683594","6","刀说异数","10000","3","4","护肝养肝崩坏三！"
"樱陌蝶","保密","无IP","48133947","6","湊-阿库娅","10000","3","5","带着琪亚娜的头饰，用着希尔的武器，你好sao啊[小电视_笑]"
"淅曦","保密","无IP","28077083","6","","10000","3","","刚考试完就直播完了？( _ゝ｀)离寒假开始还有8天。。"
"啊匿记","男","无IP","445506","6","","10000","3","","想看策划表演唱歌，唱我感动天感动地怎么感动不了你"
"比穹还穷","保密","无IP","32795527","6","","10000","3","","我的250水晶没领"
"没错我就是蕙蕙","女","无IP","3985986","6","神楽Mea","10000","3","","沙雕直播码，玩昨天23点下班就不能用了mmp"
"调查兵团二营长","男","无IP","25668763","6","","10000","3","","放假在家无聊?可以兼职做复读机，跟我一样只需要手机就可以做，复制粘贴即可，每天收入0元，我身边的朋友都在做。"
"想之懵","男","无IP","83850657","5","碧蓝之海","10000","3","","大伟哥是不是手上拿了块砖233"
"氚渐斑驳","男","无IP","202144912","6","提摩西小队","10000","3","","不是20吃翔"
"庫夫林_オルタ","男","无IP","7726254","6","崩坏：星穹铁道","10000","3","","嚯嚯嚯"
"速冻发菜","保密","无IP","2037617462","4","","10000","2","","想当年为了白夜这个皮用水晶买加速卡。。现在白送了"
"abcde-aiueo","保密","无IP","200277169","5","","10000","2","","崩坏三一直没有变，变的只有扩大的玩家群体和被搅浑的社区环境"
"葎絲飠","保密","无IP","166635436","5","","10000","2","6","游戏厅的能不能选房进入，不然进房再选聊天区加载失败1~50人太多啦！"
"爱莉希雅123","保密","无IP","29929364","5","","10000","2","","然而我手机依然玩崩坏3闪退，只能期待我有一台电脑了"
"DHY-KEVIN","男","无IP","93248104","6","","10000","2","","找不到增幅核心的开启啊"
"春暖花开黄高兴","保密","无IP","32712092","5","","10000","2","","我也接到芽衣的电话了！！！"
"粘液块_Sdark","男","无IP","13868425","6","","10000","2","1","把你们都杀了！"
"粉丝最爱吃粉丝","女","无IP","23961170","6","","10000","2","","米卫兵（春节限定）"
"落樱ツ赤瞳","男","无IP","237876631","5","","10000","2","","问下下大佬2.9好久更新呀"
"陈皮檀香","男","无IP","85728329","6","","10000","2","","养肝护肝崩坏3,老子信你个鬼。。。。。,,看到锦鲤。。。。抽爆！！！！"
"一般正常向","保密","无IP","145429","6","","10000","2","","开头的玩梗笑出猪叫"
"Gouku77","保密","无IP","87455166","6","干物妹！小埋","10000","2","","我觉得，策划女装有望"
"鹿眠苔","男","无IP","14453048","6","白神遥","10000","2","","嗯？你们这群清洁工围在这里干嘛？"
"都昌平","男","无IP","240768982","6","","10000","2","","强袭真强"
"摸鱼罓","保密","无IP","20763464","6","","10000","2","","这个人是希尔厨，非常危险233"
"月薇-洛丝薇瑟","男","无IP","314264792","5","","10000","2","","2.9版本什么时候出呀？"
"老DD骑士人了","男","无IP","163772798","6","","10000","2","","YMUR5cp9F"
"鼠鼠再封我一次","男","无IP","93829318","6","","10000","2","","扩充（1/100）保底月魂预定"
"三月的烟霞","保密","无IP","198289821","6","星尘","10000","2","","过年是不会抽的，过年我还想开心点。"
"大吉岭的红茶不会洒","男","无IP","29614774","6","三周年恋曲","10000","2","","领了水晶抽到神恩来还愿"
"dar湿球","保密","无IP","32854862","5","","10000","2","","开头夏日bgm让我想起德莉莎的一个mod，会跳舞那个，跟bgm很配"
"大吉大利苹果派","男","无IP","65707563","6","三周年恋曲","10000","2","","恭喜大伟哥别墅再次遭殃(￣▽￣)"
"卡塞尔学院校长","男","无IP","71195756","6","","10000","2","","伤肝，坏肝，崩坏三。"
"Carol-v","女","无IP","73448261","6","","10000","2","","嗯，直播的水晶出了月光，谢谢大伟哥(°°)"
"老挂科的康某","男","无IP","8180245","6","","10000","2","","血书跪求花嫁复刻"
"我6级了还没中过大奖","保密","无IP","4463467","6","","10000","2","","昨晚的兑换码今天竟然就用不了了？"
"monaka橙子","男","无IP","110919303","6","星尘","10000","2","","新年也有上电视直播那多好，一定很热闹"
"雪菜suki","保密","无IP","11661770","6","","10000","2","","直播录像，那不就是可以翻兑换码了？"
"zyyci","男","无IP","4395300","6","贝拉kira","10000","2","","大伟哥：丽塔天下第一...我哭辣，人家都是活不出测试服，冰塔是在测试服就没活过(苦笑)"
"YuZesy","保密","无IP","332828868","6","","10000","2","","这。。。。"
"你老婆是女武神","保密","无IP","247162866","5","","10000","2","","开局那个bgm是什么"
"ProjectX7297","男","无IP","336623944","5","","10000","2","","养肝护肝崩坏三(｀ω)"
"帕door菲利斯V_V","男","无IP","71358480","6","星座系列：水瓶座","10000","2","","龙骑士-尹志平，苍骑士-丽塔"
"黯夜丶时光","保密","无IP","351160416","5","","10000","2","7","宿舍一个房间容量有这个聊天室的一半就好了"
"背景板b","男","无IP","144939495","6","","10000","2","4","老家没网wsl"
"Iris_NE","保密","无IP","18714938","6","citrus","10000","2","4","2.1啥年番？[小电视_困惑]"
"幽莫_Destiny","保密","无IP","33729304","5","","10000","2","","现在女王毕业了，神恩适合新深渊吗？要不要扩充强出？或者等下一个版本之子？求解答(°°)"
"莫失未来","男","无IP","37632446","6","崩坏3·天穹流星","10000","2","","大伟哥说，期待3.0重大版本见！！！"
"林语玥_Official","女","无IP","123918867","6","","10000","2","","养肝护肝崩坏三"
"郭家阳少","男","无IP","73892079","6","","10000","2","","！！"
"落小小天","保密","无IP","80940484","6","崩坏3·天穹流星","10000","2","11","许愿月魂，出必还愿"
"-枫小澜-","保密","无IP","347014888","6","原神","10000","2","5","养肝护肝，卸载崩3(｀ω)"
"世不纯看不清","男","无IP","13512280","6","雫るる","10000","2","","大伟哥世界第一可爱[2233娘_卖萌]"
"揸揸火箭","男","无IP","123268897","6","","10000","2","","Euu9dasn"
"神算子苍小玄","男","无IP","111048123","6","星座系列：白羊座","10000","2","","没有粉白策划看我要死了"
"すずきてんご天语","保密","无IP","31307741","6","","10000","2","","有没有策划，杀了祭天[小电视_嘟嘴]"
"新堂ayane","男","无IP","7973952","6","","10000","2","","试一下三玖装扮"
"麪包不加糖","保密","无IP","46282611","5","","10000","2","","求求你做个人吧，直播福利能特么改成邮件么？？？？？"
