"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"hanser","女","无IP","11073","6","hanser","10000","46225","9","帅得一批 没摩托有腿一样帅给你看 [2233娘_耶]"
"爱洗冷水澡的V","保密","无IP","12608317","6","","10000","19916","","“我赌你的枪里  没有子弹”,“对哦  我用炮的”,“？？？”"
"赛博神棍","保密","无IP","1526704","6","","10000","6995","3","板鸭是真的当上米忽悠老总了√"
"孤竹林风","男","无IP","2560064","6","星座系列：双鱼座","10000","13916","","[2233娘_喝水]只有池子凉了的人才有时间在这里看动画"
"初卡鸢汐","男","无IP","49941109","6","泠鸢yousa登门喜鹊","10000","10845","","希儿池子沉了，60张卡，别给我点赞"
"夏なつ蝉せみ","女","无IP","89502448","5","","10000","4074","","？？？？突然出现[doge]"
"好快的车车mua","男","无IP","52111696","6","hanser","10000","7177","1","↓希儿沉船的集合"
"归茫苍修","保密","无IP","243812497","6","","10000","3947","9","我0.5倍速仔细看了看开头，发现子弹其实打中板鸭了，但只产生了火花，所以这个板鸭是开了护盾的，别吐槽小兵描边枪法了[画风突变][画风突变]。我布洛妮娅没有开挂[画风突变][画风突变]"
"南宫巡音_official","男","无IP","12743525","6","hanser","10000","2353","","米忽悠欠芽衣一个动画短片，我替芽衣记下了"
"青春野狼不做兔女郎学姐的梦","男","无IP","29145040","6","崩坏：星穹铁道","10000","2260","5","可能有些人不知道吾立方 我来介绍一下吾立方曾制作 眷思量 梦塔.雪迷城等高质量国产3d动画 但是因为周转不当18年9月欠薪 11月破产 这时候那个男人出现了 尼古拉斯.,大伟旗下子公司上海吼美科技有限公司出资入股吾立方救吾立方与水火之中让他得以生存。促进了后期各方面深入合作相信吾立方和米哈游会带给我们更多更好的作品"
"游戏彩笔","男","无IP","1320581","6","","10000","3208","25","啊？两开花？什么时候谢罪？我先点赞收藏保留证据！[小电视_太太喜欢]"
"无畏绅士","保密","无IP","16893394","6","","10000","1135","","你们单知道人体描边和夕阳红枪法，你们不知道布洛妮娅身后飘着一只处在隐身状态的重装小兔在给她上护盾，没用重装小兔一炮轰过去……是因为乌拉尔银狼最近游戏打多了，所以亲自下场锻炼身体而已(认真)。"
"神风影之歌","保密","无IP","5247492","6","","10000","2010","","突然出动画？？"
"初卡鸢汐","男","无IP","49941109","6","泠鸢yousa登门喜鹊","10000","1524","","明明是鸭子的动画，都在许愿希儿，你们只考虑你们自己"
"丶亮哥","保密","无IP","6545394","6","","10000","1886","","所以银狼要改？改成大招近战格斗顺带满回避？[蛆音娘_吃惊]"
"天罗地区","男","无IP","100923565","5","","10000","937","","顺便提一下，姐姐大人在崩崩是里希儿的对布洛妮娅的称呼，表希儿则叫布洛妮娅姐姐，在点在崩3应该也一样，也就是说最后出场的是里希儿[2233娘_耶]"
"Yishower","保密","无IP","2808098","6","","10000","690","4","仔细看，不是子弹打不中，是子弹被银狼盾挡了。银狼的盾挡物理实锤[滑稽]"
"一战功成舍我其谁","男","无IP","17052144","6","","10000","675","5","希儿生日放布洛妮娅动画短片，官方操作太6了，谁说我cp没结婚的？！"
"系风","保密","无IP","191184767","6","想去海边·头像框","10000","523","","我知道了，接下来还会有《琪亚娜》、《芽衣》、《德丽莎》、《符华》、《丽塔》、《阿琳》、《卡莲》、《八重樱》、《奥托》等等[滑稽]"
"档案Archivare","女","无IP","19334905","6","","10000","486","","看来希儿又被掳走了......"
"菖蒲的球根","保密","无IP","57290111","6","崩坏3·天穹流星","10000","63","11","我是真的感动，我做视频永远找不到琪亚娜，芽衣，布洛尼亚的帅气场面（琪亚娜勉强在游戏才出的时候有一个场景）帅气的都是其他人或者空之律者，理之律者，天穹游侠这些觉醒觉色，御三家真的可怜，多看见就会发现除了受挫还是受挫"
"黑暗草莓圣代","男","无IP","5687511","6","","10000","293","10","都说彼岸双生的动画缺了打斗，好了，你们要的战斗场面来了[doge],话说这动画是单纯的炫技吗一点剧情都没有啊"
"缺失动力源","男","无IP","161967973","6","崩坏3·天穹流星","10000","45","11","总会有人说出来的，舰长们还在等什么？！24小时内让我们在首页榜首看见这个视频[微笑]"
"门文_请赐教","保密","无IP","241337303","6","","10000","355","7","因为希尔已经从量子之海里救出来了，所以这次动画没办法看出和目前剧情的关联性。所以很有可能和《Reburn》一样的试水（吾立方）加剧情预告，可能需要一段时间观众回头再看时才能有恍然大悟的感觉。此次登场的是乌拉尔银狼在雪原地带的地方基地里大杀四方。地点雪原可能还是西伯利亚，目的估计是解救希儿（很可能是为研究圣痕抓走了，你怎么又进去了？），时间肯定是X10实验之后，敌人很可能是蛇，因为敌人不是天命女武神。而且为何没用理之律者的形态。所有的疑问估计等到琪亚娜主线三大章之后揭晓了。超期待"
