"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"渺青菓","男","无IP","8292634","6","","10000","690","","让我感觉最生草的就是我本来以为策划会一顿qte大招打的华丽点，谁知道直接提米朵闪a出分了[笑哭]，和昨天lpl solo赛阿bin出魔抗三件套有一拼"
"诺克萨斯断头台","男","无IP","8993374","6","","10000","2925","8","别再说设计师不玩游戏了，这动作设计师凹了个顶分出来抢了我200氵[笑哭]"
"我是陈某人丶","保密","无IP","269363759","6","碧蓝航线","10000","2692","","现在是凌晨1：10，3k人一起看[疑惑]"
"無宙","保密","无IP","44549048","6","","10000","14","","萌新问下这次是首次真正直播吗？,直播的时候看着好尬，这个好像剪了一下就没那么尬了"
"木上烟云","男","无IP","50048587","5","","10000","22","","想当初上一次实机演示的时候，还是在1.5版本大伟哥操作德丽莎打关卡的时候。当时还新出了圣痕爱因斯坦乐队。,我记得很清楚，当时旁边就有人说这圣痕是像大伟哥这样的手残党专用。这一晃，都5.4版本了。[笑哭][笑哭][笑哭],ps很长时间没看直播了。但从每次时长上来判断，应该是没有再像那次一似的实机演示了好久。如果有的话，请当我没说……[笑哭][笑哭][笑哭]"
"ー只小团雀","保密","无IP","38832798","6","星座特典","10000","885","4","奥托：犹大的第零额定功率不分敌我，只要在结界内就都会受到影响。普通人会直接死亡。用崩坏能作战的女武神身体机能会发生混乱，失去行动能力。尤其是你德莉傻。你的身体内有崩坏兽的DNA，在犹大的结界中你会受到更多的伤害。就算是我，也没法在结界中行动自如。所以我一直没有教你犹大的第零额定功率。使用这种力量会害死你。"
"孤山-冷月","保密","湖南","498429164","5","","10000","42","","别什么akt了，大鸭鸭工作服是来源于这里的"
"胡吃一桃的旅长","男","无IP","89561774","6","原神","10000","5","","讲真的，看了视频，直接去游戏看了一下另一个追寻第二小队。,也许，算是我先入为主，我后崩坏书，刚刚30级，入坑崩坏三差不多4、50天了。,因为适应了暗黑色，所以有点适应不了晴明色。,其次，真的不是引战，就感觉有点好玩。,我真的，后崩坏书是一个文明世界，只不过一个城市被毁灭了，然后天命去调查。,但是，阳光色彩的场景，飞钩，滑索，一片废墟，以及科技感爆棚的角色，挺炫目的打斗。,我是真的想到了幻塔，就感觉，挺有意思，但说不明白。[doge][笑哭]"
"幻想杀手ss","男","无IP","38500510","6","","10000","41","","曾经的天命，西方抗崩坏大型组织。,五百年前的天命，家族权力垄断的大型组织。,奥托旗下的新天命，为对抗崩坏不择手段的国际大型组织。,德丽莎旗下的天命，国际慈善组织。"
"问肯局长是不是基","保密","无IP","23618219","6","崩坏：星穹铁道","10000","822","25","DBNLDYF68EM3,3T65CHWPRELF,yysy，我还以为开发组都是社畜呢，[藏狐]，就算有准备那也不容易了。换我就是打apex，啊，今天又是没成为捍卫者的一天，捍卫者捍不动了。"
"愿此行终抵群星_","女","无IP","320858533","5","","10000","2545","","200水晶：3T65CHWPRELF,400水晶：DBNLDYF68EM3,体力：vap4vshz25hb,60水晶：2021bh3,xdm点个赞[tv_大哭] "
"喜多海川","男","无IP","1161365542","4","","10000","1875","","xdm这次就是直播效果 官方在想办法让直播变得有趣 这挺好的 就是别被一些 别有用心的人带节奏 而且这次直播给的水比上次多啊。"
"千華雪葉彡","保密","无IP","216925613","6","hanser","10000","874","","歪？有没有没睡的舰长，来踩一下我[doge]"
"赢讯科技","男","无IP","58241234","5","崩坏：星穹铁道","10000","231","","[微笑]想玩后崩了"
"以星空为凛","保密","无IP","5886105","5","","10000","230","","讲真，肉鸽游戏玩的比较少，有记忆的肉鸽只有元气骑士。,单论这款游戏，跟乐土的最大区别就是计时器，元气骑士不限制时间你可以慢慢磨boss，但乐土限时。,但是你说角色体验？他也是氪金角色比普通的要厉害得多啊（虽然我记得好像氪金角色也能肝就对了）。他的buff也很随机，你说他好吧，坏的时候恶心到你吐血，好的时候拿着跟法杖全图弹弹乐气死boss。（但我还是喜欢双持加特林突突突不是你死就是我亡的感觉）,归根结底还是乐土“计时”的问题，没计时想怎么玩就怎么玩，计时限制了你要在危险中输出最大化[嗑瓜子]"
"綠野仙蹤か","男","无IP","172239046","6","天谕","10000","117","","DBNLDYF68EM3,,3T65CHWPRELF,,VAP4VSHZ25HB"
"千寻梦落","男","无IP","47144239","5","","10000","2306","","省流助手：,1.识之律者女士万岁（识宝修改了我的意识，现在她是我老婆[害羞]）,2.车流量不减,3.《世界名画:芽衣还在世界蛇》,4.灵感来源于生活.jpg,5.音乐组发挥正常,6.啧,7.月之环属性挨炮狂喜,8. 3T65CHWPRELF     DBNLDYF68EM3,9.帝君这么做一定有他的道理,10.严查赫萝彩笔"
"Una丶灯丝","女","广东","284094980","5","","10000","2","","皮肤要出了，特地前来回顾，突然发现开场那个提问的记者的声音好像崩铁的希露瓦呀，她俩是不是同一个cv呀？[来古-注意]（无恶意，纯好奇，父母健在，ky删）"
"小光焰","女","无IP","325323162","6","还有醒着的么","10000","23","","晚上的兄弟们太强了，我这一大早看录播基本都没猴了，简直了，这就是铁血米卫兵吗？"
