"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"宴宁ccccc","女","无IP","14897804","6","花园花玲头像框","10000","16075","","宝！"
"触网弹起的吉良双叶","保密","无IP","10961256","6","","10000","5449","","三蹦子你看，联动原神，我们送了一个弓箭角色小艾咪，那么等原神联动三蹦子，你们是不是应该也送一个弓箭角色作为回礼[doge]"
"三玖是我da","保密","无IP","508518703","5","","10000","6182","","为啥都在说传承不够换爱莉希雅，我寻思你们都能一发就中为啥还要用传承换?[妙啊]"
"最终幻想17981","保密","无IP","269189361","6","","10000","2550","","新角色是用天空弓吧？[doge]"
"姬华通","保密","无IP","1955535659","4","","10000","1793","","祝大家,抽卡前：为世上的美好而战,抽卡后：我就是崩坏的化身"
"尹翛然","保密","无IP","306246064","6","","10000","900","","以后万一原神里戴茵进卡池了是不是他的拾枝杂谈也是这样的[妙啊]"
"锦依卫-首席长官","女","无IP","473988016","6","","10000","133","5","各位，不要抽爱莉希雅扩充角色及装备。抽活动补给！（活动补给只保底爱莉希雅武器）先说，我只抽了30发活动补给，出了爱莉希雅专武、爱莉希雅（中）和爱莉希雅（下）一次没歪，为什么先抽活动补给呢？因为最重要的是武器，其次是圣痕，终极区深渊必须要超限武器弓！超限！超限！超限！圣痕无论如何都可以拼凑，但爱莉希雅专属武器必须要，否则你用幽夜？不可能，更不可能是戴鸭这种普通武器。官方这波骗氪很明显，因为终极区深渊战场武器除了专武，没有一件适合爱莉希雅，高级区还可以凑合，但终极区别想了。如果你有条件，先别抽扩充，因为角色可以肝，不要抽，肝就是了。武器圣痕先抽活动，把武器搞到手一切都好说。最后，如果你只有5000不到水晶，那就别碰这个坑，补给只有15天，你万一抽不到武器直接gg。对自己欧气不信心的也不要抽，这几个版本T0物理C即使没有爱莉希雅也有识律，黑希，呆鹅，不会特别需求爱莉希雅的。这是作为一个零氪党的发言，水晶我攒了一个月30抽（因为活动多，水晶也多，只用一个月，我不是月卡党，每个月平均5000水晶，这个月活动多攒了8000）,虽然我一次没歪，但不代表你可以，一定不要突然又有信心，但无氪党或者月卡党先抽活动补给武器是一定赚的，水晶没有5000的真的别抽，装备补给次数不继承的。15天你没有那个时间"
"昭阳Zero","男","无IP","75771387","6","","10000","117","","夫妻肺片没夫妻！,鱼香肉丝里没鱼！,舰长室里没舰长！,奥托课堂没奥托！,绝了！！！[捂脸]"
"凃冥山鬼","女","无IP","336605295","6","碧蓝航线2020","10000","12","","为什么要为了毁灭而毁灭，悲剧不应该是让人在毁灭后看到希望吗？"
"滢暮","女","无IP","85953475","6","2233幻星集","10000","6","11","mhy编剧,听我说谢谢你因为有你温暖了四季谢谢你感谢有你世界更美丽我要谢谢你因为有你爱常在心底谢谢你 感谢有你♂♂♂把幸福传递"
"初墨九尘","男","无IP","388572958","5","","10000","5","","《奥托讲堂》（）,《自说自话》（）"
"八爪小喵","男","无IP","85766614","6","2233十一周年纪念","10000","4","","为啥整个乐土就没有人发现芽衣和梅博士不但长的贼像，而且还同名[崩坏3_危险]"
"淡漠慕雅","男","无IP","454346473","6","","10000","13","","当一个人真正想改变世界的时候,才会发现一个人的力量,是多么渺小,爱莉为大家付出了一切,可换来的却是爱莉的离开和编剧的刀子,世界如此混沌,它极不公平也不合理,它迫害英雄滋养恶类,丑陋遍地美好不存,呵…世界的恶意,就由舰长来斩断吧,这是她和明天的距离,这是世界对她的无情反扑,但她的信徒（舰长）绝不会因此放弃,人一旦魂飞魄散,就无法再起死回生,世界允许意识匹配新的容器,却不允许容器收集消散的意识,想要拯救唯一的他,我只能再过去创造出新的可能,啊…这另一个未来,属于她的时空,爱莉 活 下 去"
"秋枫霜降","保密","无IP","368101036","5","","10000","138","7","第一次听见包包这种声线[笑哭][笑哭]"
"_EhViewer_","女","无IP","325360684","6","崩坏3·天穹流星","10000","14","","舰长你又在点“按时间”找猴哦，休息一下好不好[doge]"
"向岁月吊唁-","男","无IP","357059622","5","","10000","62","","为什么材料活动送了那么多水晶[doge]"
"轻轻巧巧亲","保密","无IP","401398739","5","","10000","8","","救世的真我，携带雕刻戒律的黄金，在这命运的螺旋中鏖灭，领悟天慧的刹那，名为希望的旭光自无限繁星中显现，到头来却发现，那只是浮生一世的一场空梦罢了"
