"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"枫言w","男","无IP","1872628","6","","10000","586","21","前排沙发！"
"天狐-裂痕","保密","无IP","38376338","6","拜年祭粉丝专鼠","10000","515","","谁账号里还像我一样收藏那种东西当纪念，比如说从琪亚娜的礼物到奥托主教的绿帽子那些礼物一套？（10000金币那些）"
"账号名字分不清の奇奇","男","无IP","140489364","6","泠鸢yousa","10000","214","","9分钟100评论？因此可见你游玩家都是一堆什么秃紫！！(▔□▔)/"
"须川百分百","保密","无IP","131381430","6","EveOneCat2","10000","74","","好可爱的偷电狂魔包菜头啊(=ω=),有人承包吗？(=ω=),没人吗.....,没人的话。。。,,,我就替三蹦子掐死了啊( _ゝ｀)"
"ReaKiwi","男","无IP","10983089","5","","10000","48","","这两天的码虽然大家都领过了但是我还想骗几个赞,YLUYHAKN9X,GMUG9AKJ3X,WUYW8AKSKF,EVUW8E5N9P,EVYW4YTS7F,YVYE9AMJK7,YUUEGEKTMX,WUE69REJTH,ELYG9UCXMF,WVYY8EKSR7"
"咏-罪","保密","无IP","19571346","5","","10000","40","","大伟：彩笔队队长是零氪,龙：收到"
"喵吱吱嗷","女","无IP","8097359","6","工作细胞","10000","27","","我我我我第一次知道崩三居然有线下赛(▔□▔)/"
"水粼波","保密","无IP","6771671","6","","10000","19","","这次的线下赛可以说是卡莲和炽翎的专场了（可怜的月轮ban了多少次了），就套路而言相比于前几次线下赛并没有那么令人大开眼界的感觉，但是依旧有许多操作是非常的优秀，论观赏性并不会差。,不过事先说明，冰卡炽翎的广泛应用是必然现象，因为作为第一次没有联机的线下赛，无论是复数数量的boss导致的混乱现场还是怪极高的血量，都极大的要求使用角色的容错率、aoe与持久的输出，而拥有大量无敌的冰卡和在场下也能对敌人造成伤害的炽翎这两个aoe很强的角色自然而然便是不二之选。这也侧面反应了冰卡有多无脑（叹）"
"Flerovium","保密","无IP","20589047","6","EveOneCat2","10000","16","","谁是250[蛆音娘_滑稽]"
"裁决员","保密","无IP","225080329","4","","10000","14","","金币有上限，那水晶呢[蛆音娘_滑稽]"
"异常十分特别优秀","男","无IP","181796915","5","","10000","11","","我感觉我也能去，准备女武神是官方提供吗，我技术还行（谦虚而已，其实我老牛逼了，嘿嘿）。"
"不会劈叉的垃圾舰长","保密","无IP","273299683","3","","10000","11","","点我赞的人出氯化钠(=ω=)"
"-新月玫瑰-","男","无IP","27203232","6","","10000","9","5","爱酱，我勿忘还差2碎片，9个罐子开了一个碎片，刁难我吗？"
"汤之花-幽奈","保密","无IP","29489144","6","","10000","8","6","月轮：等我出场了，我就打爆在场的各位"
"M1nerva-","男","无IP","5275700","6","","10000","7","","我全压的嘤嘤屋，来个人安慰我一下"
"林离A","保密","无IP","26282526","6","公主连结凯露","10000","7","","说实话。感觉米哈游这没牌面。解说都结巴了。。。←_←"
"艺术君子whj","保密","无IP","28610125","5","","10000","6","","应援反向买，水晶像大海！"
"Zankoku丶","保密","无IP","6612051","6","","10000","6","","第四场，最短的一场(暗示(滑稽"
"夜丶萤","保密","无IP","22098753","6","","10000","6","10","膜拜大神们，，"
"Amigo丶D","男","无IP","8161802","6","","10000","6","","3点了，我终于肝完了"
"单机人尘栖","男","无IP","98627142","6","","10000","6","","15评论，0播放0弹幕，你们都在干什么？( _ゝ｀)"
"丶等待戈多","保密","无IP","4540496","5","","10000","5","","彩笔长得最好看"
"狠想吃肉","保密","无IP","17241254","6","","10000","5","","彩笔颜值略高"
"为了我世界","男","无IP","21387785","5","","10000","5","","如果以后记忆战场多一个分区加一个只有80级打的，这区变成了双boss，那是不是要凹去世啊。"
"想信狸猫吧","保密","无IP","40747369","6","","10000","4","","爱酱不偷电了差评"
"琉璃妖不会受伤","女","无IP","57168140","6","","10000","4","","想爆言言子ass，送我上去！[2233娘_卖萌]"
"虚掷的青春已黄昏","男","无IP","51788290","5","","10000","3","","那么问题来了，冠军奖励是什么呢？没看"
"滑稽不可以饿","男","无IP","88689432","5","","10000","3","","131536677  vivo服请帮助我的布洛妮娅换衣服(=ω=)"
"遗忘的梧桐树","男","无IP","13658926","6","","10000","3","","之前不是发过公告说2.4取消暴怒深渊的吗？"
"全部木大sara","男","无IP","8593781","6","EveOneCat2","10000","3","","压神选者，最后差一分，难受[2233娘_大哭]"
"克诺克諾","男","无IP","169407878","6","","10000","3","","我说爱酱啊，我领东西的时候你们那边AI酱会划水呀()，要不要考虑整治一下()()"
"卡路维亚","男","无IP","748161","6","","10000","3","","精准补给从没精准过啊  圣遗物十字架出了俩索尔...犹大出雷切我真的是[小电视_发愁]再也不想氪金...老实月卡屯屯鼠吧..."
"芳华散尽谁人知","女","无IP","26149682","6","","10000","3","","我摇摇乐今天就是要吃串串烧"
"剑影破寒岚","男","无IP","6503946","6","","10000","3","","爱酱辛苦了。希望有满意的加班费"
"凩舞","男","无IP","213286547","6","","10000","3","","再过三分钟就接着肝[小电视_嘟嘴]"
"Mei汁衣想要光辉mm抱抱","保密","无IP","87451559","6","公主连结可可萝","10000","3","","fa♂国赢了，彩笔颂歌却输了[蛆音娘_扶额]"
"李白桃紅馭鳳驂鶴","男","无IP","16249114","6","","10000","3","","绝了，你们都不睡的吗？"
"狗牙狼人","男","无IP","32355888","6","三周年恋曲","10000","3","","第一"
"董小凤SAMA","保密","无IP","213944235","5","","10000","3","","导播一如既往瞎特么切系列"
"枫天血","保密","无IP","271004020","5","","10000","2","","624"
"胡桃的胡呀","保密","无IP","19847916","6","","10000","2","","土豪间的比赛[小电视_笑]"
"Rcil","保密","无IP","5103673","6","","10000","2","","可不可以求个封面(▔□▔)/"
"好怪的车车","男","无IP","291154551","5","","10000","2","","萌新求教：,开放世界采集怎么才能做满？,是要加上天守阁的东西吗？,本人35     第三轮回,天守阁没开放"
"sth-blue","女","无IP","20398611","6","","10000","2","","跪求米忽悠下次弄点造型师，虽说都是打游戏的技术为主，但好歹几十万人****，这一个个的服装造型真的……唉……←_←"
"芦笋狐萝卜","男","无IP","253534","6","","10000","2","","话说崩崩崩的比赛都是BOSSrush来的吗"
"S9S仙人板板","男","无IP","290920411","5","碧蓝之海","10000","2","","（￣▽￣）"
"失去的记忆曾经的回忆","男","无IP","261648887","5","","10000","2","","想看奥托本人啊"
"先行者真-宣教士","保密","无IP","67896774","6","","10000","2","","不知道有比赛，星期六的三个码知道的时候已经上限了(；ω；`)"
"某手残的萌新小璐","女","无IP","5053981","6","","10000","2","3","看我发现了什么，一只修仙的爱酱！[小电视_害羞]"
"katsukori","男","无IP","170577179","6","刺客伍六七","10000","2","","说，投票的水啥时候给我们，我还指望拿水来抽祈愿呢，70了就一个初S( _ゝ｀)"
"风见幽稥","女","无IP","94295693","6","","10000","2","","大伟哥送的礼物是不是黄旭东的“你出的女武神全是S”"
"老司机SD","保密","无IP","12165246","6","十年大会员","10000","2","","先收藏录播"
"平凡人不凡的心","保密","无IP","244148752","5","","10000","2","","我刚起床，你们……怕不是还没睡吧？(=ω=)"
"漫无止境的一月","男","无IP","26494155","5","","10000","2","","比赛反着压，老婆抱回家[蛆音娘_机智]"
"一定是在追寻着什么","男","无IP","13262047","6","","10000","2","","果然崩崩崩玩家都是秃子"
"月Yuki","保密","无IP","5355982","6","","10000","2","","偷偷把爱酱按在怀里"
