"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"秋羽saya","男","无IP","23328855","6","早稻叽","10000","3656","","原神：崩崩崩，你想干什么？！！,崩崩崩：时代变了，我们不用做其他角色，可以做自己了......对，真正的自己——过去的我……经历失败，受过背叛，失去所有，而现在……呵呵呵呵……我将掌控一切……这就是完全的短片，完全的崩坏，完全的……我！,,我将，扭转万象！！！！！！[doge]"
"一只可愛的MEMZ","男","无IP","492699341","5","原神","10000","133","","给大家发个糖。, 。,。,。,。,。,。,。, 。,。,。,。,。,。,。,。,。,。,。,你一直都是这样琪亚娜，,你一直都是这样。,明明已经遍体鳞伤，,却还要勉强自己笑着,你拯救了我拯救了大家,却要独自去承担所有的痛苦,甚至付出生命，,（芽衣，这是我的使命）,拯救世界是我们的大道理。,我也懂，,但是你让我如何忍受这一切，,我只知道比起世界，,你更重要。如果拯救你是一种罪，,那就由我来当这个罪人。"
"绮风过_远花火","男","无IP","101263436","6","崩坏3·天穹流星","10000","39666","8","此时官方进场拍扁了所有二创[藏狐]"
"文七传个火","男","无IP","123895","6","","10000","8","","最近看鹅虫同框的画面特别容易绷不住...老年人觉得触动的点，真的有点莫名"
"热馊馊","保密","无IP","2505015","6","萌宠小狗","10000","53","","阿这.....看完觉得压力好大[惊讶][惊讶]"
"渺青菓","男","无IP","8292634","6","","10000","10654","","[脱单doge]有，有没有一种可能，就是其实崩坏三是一部长期连续剧，里面的角色都是女演员，主线里的刀都没有发生过，她们平时就会像视频结尾这样一起出去玩。。。哈哈哈，哈哈哈哈哈哈哈，好甜"
"待兼清言","保密","无IP","353442565","6","希萝Hiiro","10000","6422","","不得不说，这个动画短片的琪亚娜真的是让我惊艳。她是那么的高贵脱俗，一尘不染，新生的薪炎褪去了以往的浮躁，她孤傲的起舞着，像一位炽烈的雪国公主。冰雪在她周围起舞着，而她心中却燃烧着永不熄灭的薪炎"
"一笑奈何dx","男","无IP","106174813","6","","10000","11","","在官方承担了太多的压力之后，官方动了动小拇指进场拍扁了所有二创"
"圆桌骑土","男","无IP","291615315","6","","10000","2294","","帅的一"
"果蝇轰","男","无IP","8469526","6","","10000","15314","11","突然丢个大的，又大又美又炫了这下!"
"喵☆酱","保密","无IP","1677445","6","2233幻星集","10000","28795","","也！太！帅！了！吧！！！[打call][打call][打call]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","18353","","太厉害了！！！！！"
"木萧鸽鸽","男","无IP","36392806","6","","10000","61","3","妈耶"
