"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"抹布0","男","无IP","298547785","5","","10000","3034","","崩肝国际（）,白嫖皮肤国际（）"
"白夜白夜白夜夜","保密","无IP","16030151","6","崩坏3·天穹流星","10000","2262","11","[响指]符华国的集合一下"
"八雲緋龍","男","无IP","15736071","6","","10000","2246","9","十年前因为打开了潘多拉box的原因,我国被分裂为三部分『东都』『西都』『北都』,（错乱。。。）"
"月卡萌新赫箩酱","保密","无IP","192532392","5","","10000","2052","","去年福神组,今年符神组[洛天依_看透一切]"
"萱宝团子","保密","无IP","159503288","6","","10000","1433","","那些嘴上说挺姬子的暗地里跑到别的阵营的人像极了cxk[2233娘_卖萌]略略略"
"芋子゜","保密","无IP","216735246","6","","10000","808","","又到了拯救老婆的季节了。"
"光盘巨头西卡罗","男","无IP","130804664","6","","10000","686","","没猜错的话，各位大学生都在补周四的课吧[小电视_害羞]"
"风之雲雾","女","无IP","4311457","6","","10000","552","","丽塔：你说我欧洲清洁工，怎么就成为东方圣贤王了呢？,符华：你说我神州守护者，怎么就成为西方英雄王了呢？,姬子：没圣痕、没皮肤，无所谓，管酒就行。"
"海丿洋","保密","无IP","22224554","6","","10000","393","","有的人表明下喜欢姬子。背地里支持符华,结果就为了50水晶，就随机到了丽塔[滑稽][滑稽][滑稽][滑稽]"
"王小明すごい","男","无IP","32622471","6","","10000","307","","1111"
"钟情人生","保密","无IP","26746880","5","","10000","238","","250"
"孤枕Solitary","男","无IP","53737393","6","hanser","10000","65","","煌军托我来给你们带个话，只要打天命，乃子和女仆大大地有"
"别把帕奇斯惹毛了","保密","无IP","615388","6","12周年夏日狂欢","10000","54","","提前恭喜煌国,还原一下煌国的操作吧：第一天放点攒票，然后在各种社交平台带节奏，第一天故意血崩，引入百万阴兵（我几个朋友是下午开始打活动，阵营全是煌）。,第二天，通过投票诱导散人收复失地，继续带节奏，和海盗联盟（言论大部分是“第一我们让给海盗了就是要打天命报仇”“反正我们是第三要拉一个下水”），主力继续攒票。,第三天，节奏效果明显，天命放金打深，和海盗在下路僵持，煌国轻松拿下金，其余兵力开始压制海盗据点，海盗腹背受敌，煌国轻松拿下天命海盗各一个大据点。,而这时我们看一看煌有什么--比其他两势力更多的人和票。看今天吃鸡岛，煌国领先，其实海盗人才是最少的，这也就解释了为啥海盗打不下乙和银。煌通过节奏带师们获得了很多人。那第一天为什么惨败？就是因为攒了票。现在煌兵强马壮粮草充足，而所谓的“肯定拿不了第一”其实只比第一少了21分，理论上每天追7分分差就够，可以算算今天他们能追多少分。,而活动机制也决定了，接下来甲乙不会被攻，因为走不到，今天煌莫名其妙打了右下海盗的岛，就是为了开路，能走的地方越多，人和票的优势就越明显。,驱虎吞狼，真是精彩。,这是步好棋，我认输[大笑][大笑][大笑]"
"不透露姓名的爆破专家","男","无IP","294880956","6","明日方舟","10000","48","","同志们，煌帝虽大，但我们的身后就是首都，就是丽塔，不要惧怕我们的敌人，为了你们的老婆，我们不能萎缩，腐败的天命不会击垮我们，邪恶的海盗无法攻破我们的防线，就算我们失败了，但我们都为了自己的国家奋斗过，努力过，爆肝过，但我们并不后悔，因为我们是伟大的煌帝人，我们的意识是连在一起的，我们不要惧怕敌人，我们会一直守护着边塞，就算只有最后一个团，最后一个连，最后一个班，我们也不能放弃，全体上刺刀，我们和那些天命鬼子们拼个你死我活，冲啊！！！[那兔_找事儿][那兔_找事儿][那兔_找事儿][那兔_找事儿][那兔_找事儿][那兔_找事儿][那兔_找事儿][那兔_找事儿]"
"新版加菲猫","保密","无IP","168747877","6","","10000","44","","策划你TM坑我们煌！！！,天命：煌离的近，打他！,海盗：煌离的近，打他！,煌：？？？？？"
"卡涅利安_Official","保密","无IP","299083492","6","嘉然今天吃什么","10000","37","","煌的人来集合，我想统计一下有多少人和我一样惨(；ω；`)"
"綿雪の夢","保密","无IP","16933548","6","","10000","33","7","只要你去符华组，我们就是异父异母的亲兄弟#"
"StellaOrion","保密","无IP","161230232","6","","10000","31","","不说了，就冲着阿符没一个皮肤坑钱，老子就爱阿符。更不要说我这个号就是符华养起来的。,符神组冲鸭～～,打开游戏……,海盗组(_),姬子阿姐牛逼！！"
"初音master","保密","无IP","43035576","6","","10000","31","","(｀ω)快来一些大佬救救煌帝国吧，被两面打，自己家的人还沉迷恰鸡小游戏....."
