"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Dr-心骛","女","山西","632739432","5","","10000","7537","","始源那个劈队友要不别修了，已经砍死好几个队友了，挺好玩的（）"
"月影心殇","保密","广东","503382801","5","","10000","2600","","众所周知，奥托讲堂没有奥托"
"无事发声","保密","河北","432222809","5","","10000","372","","终焉舰桥语音还行，战斗语音有的真的不行，移动瞬间武器消失，停止移动武器又瞬间出现，太突兀了[藏狐]"
"-183-","男","辽宁","37930190","6","崩坏3·天穹流星","10000","113","7","其实上手玩了之后，感觉始源和终焉都还不错（）"
"攻略薄绿组","男","江苏","99477459","6","琉晶之礼","10000","201","","大招骑士踢不觉得很突兀吗"
"账号已注销","保密","江苏","696072827","0","","5000","173","","我奶一下，属于琪亚娜的故事和女武神们伟大的故事暂时结束了，属于见证者的我们的故事可能在第二部开始，彼时的我们应该能堂堂正正的在主线里装逼而不是透明摄像头（以上纯属个人猜测）"
"岚夜Prodorman","保密","山西","282866329","6","","10000","78","","说给某些人————,你们说终焉不符合“琪亚娜”，说敷衍、崩坏、失望。但是给出的论据全是自顾自的想当然，这样的论述背后没有琪亚娜这六年成长经历作支撑，你们越过了玩家的线，妄想代替游戏设计师设计角色。,擅自期待擅自想象又擅自失望，游戏怎么可能一切都满足你的想法，说到底玩家只是观众，观众就别成天想着站上舞台表演了。思考并尝试理解设计者的想法才是应该做的。提出改进意见可以，但不是现在这样对着游戏本身的设计指手画脚瞎指挥，更不是拿游戏角色游戏故事当做宣泄情绪的工具。某些人是巴不得这游戏提早关服。,“终焉”应该是个什么感觉我不关心，只是我知道，无论“终焉”到底如何，这些都不是“琪亚娜”应该成为的模样。她过去背负、经历太多了，该放下来放松地绽放笑容与活力了，永远坚强面对困难，永远能够发自内心的笑出来，将阳光和乐观传递给他人，不被身份和环境限制拘束前进的脚步。这，才是“琪亚娜”啊,,来，欢迎喷，结晶也好mxz也罢，都行。我就是单纯看三小只面对那些嘲讽、辱骂、诋毁不爽不舒服，不管是对人还是对衣服还是对形象设计，我没资格对别人的喜好评价，但是陈述不满请不要带上角色，谢谢。"
"木匠雪饼","保密","湖北","407582665","5","","10000","47","6","y1s1我觉得大招还是挺帅的，当然可能也可以做的更好，但是是那些失去荔枝硬黑的人还是多少有点……我也看过一点特摄。（平成的除了月骑和555都看过）当时看到终焉大招之后也很激动但没想到争议这么大，确实每个人的口味都不一样，但是现在的大招绝对不像一些人一样黑的一文不值。我入坑崩三的时候就是看到当时白练的体术特别帅才下载了，个人感觉终焉的大招也有往琪亚娜最初时的体术回归。,还有就是类似于“都成终焉了还用脚踢”这种言论,你有其他想法可以直接说，比如我看到一个弹幕说“我感觉在月球上来一枪会更帅”这种就很好啊，但是你这样说很意义不明什么叫“都成终焉了还用脚踢”难道识之律者要做椅子上用精神攻击才行吗？你怎么不说“都成识之律者了还用武器”呢？我个人感觉用体术更具有表现张力。,以上都是我的个人想法（没有教大家做事的意思），大家理性讨论，这个游戏毕竟也陪我5年了，这也是我第一次写这么长的评论，用词可能有点犀利，大家攻击性小点（哦里改），如果吵到你的眼睛了，对不起。[崩坏3·光辉矢愿_安详]"
"往生堂丿胡桃","保密","辽宁","393003732","6","新月冰冰","10000","5","","May you, the beauty of this world, always shine."
"无味的幻想","保密","湖南","281359605","5","","10000","52","","终焉的台词认真的吗，没几句能体现她的成长，薪炎真的是终焉的上一个装甲吗，这是一个人吗"
"小白狐YAY","男","广东","95753684","5","","10000","6","","为什么终焉有翅膀,因为她是那只鸟,为什么凯文只有一边,因为他是坠落的鸟"
"孤夜勇航","保密","江苏","181854704","5","","10000","17","","有一说一，我一直认可凯文＞认可琪亚娜那帮人，我不理解很多人会去赞同主角团，前文明的努力，凯文五万年的背负，逐火十三英杰的牺牲，前文明shi体的堆砌，我认为凯文的觉悟和思想远远大于现文明，因为很多人说现文明的人多惨琪亚娜经历了多少，姬子什么都死了。我只觉得可笑，不是说这不是成长，我只是觉得为什么这能和前文明付出相比，琪亚娜变成空律看着姬子死在面前，凯文呢？一时心软导致死律杀疯，为了杀约束亲手送走了无数自己的同伴。主角团的觉悟在我看来就像是现在的一些年轻人，拿着现在的武器觉得可以乱杀鬼子，却根本不知道当初抗日的惨烈，难道你觉得现代人的思想觉悟高于当初为国捐躯的，活到现在的先辈先烈吗。至于说凯文选择重置文明，留下文明抛弃人类，然后一堆人在反对，我只能说把人类在这个世界上想的过重了，没有文明哪里进化的出人类，但是没有人类，其他生物一样可以用时间创造文明。还要爱莉的离去，那我这么说，现在我们根本不知道能不能打败终焉，我们只知道前文明人类打终焉团灭，人类都没了的那种，那么在死亡面前，你是选择直面死亡的到来看着世界毁灭还是选择圣痕计划在美梦中默默结束自己的生命。你们支持主角团是因为你们觉得主角团能赢，那里面的人呢，他们不知道啊通灵，明天世界要毁灭了，那么你是选择看着世界没了还是在为你量身定做的美梦中默默死去我肯定更愿意去选择后者，所以，凯文加油啊"
"Loeat","男","福建","233675411","6","","10000","9","12","最后一幕独行月球……[囧]"
"遗墓季","保密","广东","71610823","6","","10000","18","10","看完剧情回来，她在终焉之前，先是琪安娜，没有所谓律者的威亚，因为她代表的是人类的温柔，乐观和希望"
"三月七我好喜欢你","女","湖北","1659799500","5","崩坏：星穹铁道","10000","66","8","好喜欢始源的结算动画，谁懂啊，特别是头发摇曳的那一下，好戳我啊谁懂啊（不要骂我）"
"阴冷潮湿酱","男","河北","34661267","6","#EveOneCat","10000","10","","我建议始源的圣痕改叫琪亚娜上中下，终焉的改叫芽衣上中下，这样更加有cp的感觉，当然只是建议"
"你们聊贵宾","保密","河南","1395919027","4","","10000","15","","所以那个倒挂飞踢到底什么鬼？[微笑]"
"英特尔四核石头人","男","山东","481153622","5","","10000","40","","那个，终焉律者的试用关有bug，在队伍搭配试用关里，真理之律者放完大之后应该切终焉输出，结果一直在用真理输出。"
"本气白丽鬼祸灵梦","保密","江西","353981516","6","","10000","17","","作为一个每次只是来看看角色的云路人，我觉得除了那个骑士踢确实有点不太合适外，都还行。台词及相关剧情不做评价，我只是来看mhy的美术设计。"
"平法镇英灭俄亡美","男","陕西","1096759427","5","","10000","4","","全新虚数属性火焰元素伤害S级律者角色「终焉之律者」降临！,面对终焉的无尽轮回，人类终究要跨越童年，为此，他们需要一位属于自己的「神明」。,但倘若亲身面对那一存在，她的自我介绍却会截然相反——,「不，无论什么时候，我还是那个琪亚娜。」,,今天，就有请天命大主教德丽莎·阿波卡利斯，来为大家介绍她的作战技巧吧！,,配音演员：,德丽莎·阿波卡利斯——花玲"
"Zejaro","男","四川","350894074","5","","10000","104","8","你谁啊？真不熟 7万氵 没毕业 精准连吃3个50保底 甚至没有多的许愿"
"你敲可耐的爹地","保密","陕西","414095365","5","","10000","70","","你把琪亚娜做成这样你好意思吧？"
