"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"希德卡盖诺暗影","女","无IP","491729604","5","2021拜年纪","10000","3404","","维尔薇的剧情真的比奥托给我的震撼还要大，奥托我是一开始就知道他要救卡莲，所以最后为卡莲而死我虽然震撼，但毕竟是知道他的愿望就是这。,维尔薇我是真没想到，本来以为她是狼，结果后来以为她真是狼，最后才知道她居然是白。,甚至连极恶维尔薇其实也是为了对抗崩坏欺骗了侵蚀律者，其实凯文和猫猫都能复活[大哭][大哭][大哭]"
"知觉沸腾","保密","无IP","36943177","6","乐正绫五周年生日","10000","3718","","新剧情信息总结与猜测来了[乐正绫_黑恶势力],首先是关于29~31章标题的想法，大家可以前往这里观看,https://b23.tv/TacpRqQ,https://b23.tv/6dLME9e,https://b23.tv/shBJk2H,在本次pv的前半部分，都是对29~30章的总结，直到结尾才抛出了极为重磅的消息——,“我们告别的那一天，好像也是这样一个月夜呢。”这句我们本以为是爱莉对樱说出的话，竟然是对侵蚀律者说出的。由于信息有限，这句话相当难以猜测走向——所谓“告别”到底是指的什么时候？,①如果是樱决定叛逃的那一晚，爱莉的告别对象除了樱便只有铃了。这位前文明的侵蚀律者素体会与本纪元有关系吗？如果这个猜想成真，那么樱色轮回相关的剧情是否会重写？,②如果是爱莉「成为律者前」的某个时刻，那么爱莉是不是在成为第十三律者的瞬间，于“崩坏意志”面前见到了这位未来的侵蚀律者？倘若如此，那么律者权能是否为一种可存储的兵力？,总之，一切信息等待各位开发与猜测了，我们7月29日见[乐正绫_黑恶势力]"
"白幼泠乃","保密","无IP","519849127","5","","10000","308","","这一次，他们携起手来，为生前的不甘而战，为当今世代的人类而战，为爱莉希雅而战。,爱莉最后的遗愿终将实现，人类都会团结起来 ，对抗崩坏，完成上世代人类无法做成的事,十三英桀的落幕会以侵蚀之律者的陨落而告终，他们无愧于英桀之名，他们的名号终将被全人类所承认，所铭记，所歌颂[打call][打call]"
"黎明前兆","男","无IP","21939609","6","","10000","1624","10","其实最让我感动的是像凯文、千劫、维尔薇他们从来没有怀疑过英桀，没有怀疑过曾经并肩战斗的同伴，这份对于战友的信任，这份甘愿付出自我来补全甚至配合计划的行为，正是人类们得以存续至今的原因。“想要相信”的心理本身，比相信和不信的行为更加真实和深刻，对于你想信任的人来说，就已经足够了。"
"枫丹前执政-芙宁娜","保密","无IP","496920391","5","崩坏：星穹铁道","10000","1442","","我看见有人说崩坏3这款游戏无聊逼氪，劝人退坑“放松身心”，这实在太过分了。在我看来，崩坏3这款游戏最大的问题是长草期以及开锁之后终极区的折磨，而她的新手期还是充满了乐趣与新鲜的。同时，最近的新手福利大大改版，这是最好的薅米厂羊毛的机会，所以我建议大家，特别是81级以上的舰长，开个新手号玩一个版本，重新找到初心。,啊，你问我？我待在终极区给你们看看情况。[doge]"
"连横之魂","保密","无IP","95912903","6","碧蓝之海","10000","365","","克莱因，支棱起来呀！备份呢？u盘备份呐，克莱因，加油啊！[大哭][大哭][大哭][大哭]"
"Sennyuki风早千雪","男","无IP","23938690","6","异常生物","10000","25","12","“你在写这些的时候你会难受吗？”,《肯定会啊》[崩坏3_乆]"
"啊咧咧咧lie","女","广西","44248172","6","","10000","35","8","姐，你的声线更适合隔壁水神，结果配了夏洛特[崩坏3_乆]"
"情苑","保密","无IP","354334495","5","","10000","7","","是第一阶段就有四个小时，还是总共四个小时呀？我感觉是第一阶段就有四个小时，因为总共四个小时的话，我会觉得，也没多长呀……[崩坏3_疑惑]"
"圣帝琪亚娜","男","无IP","1286572107","5","崩坏：星穹铁道","10000","10","11","梦回逐火千秋月，霜刃万载犹自寒。,魂绕飞蛾万年殇，志化长虹照汗青！,往世乐桃源乡，英桀往事皆浮现。,昔日把酒自言欢，桃李春风等闲渡。,今朝有酒空对月，江湖夜雨万年灯。,救世英雄心如铁，爱莉希雅笑靥胧。,黄金歌者悼前尘，天慧菩提渡世间。,千劫心火鏖难灭，刹那绯樱绽芳华。,命运既定戒律舛，阿波尼亚锲不舍。,螺旋轮转维尔薇，八窗玲珑夺天工。,旭光余辉破天穹，沉默千言心底藏。,繁星倒映携画笔，空梦黄昏月中销。,梅比乌斯铸无限，浮生万象赤鸢翔。,腰间长剑未佩妥，太虚剑寒十四州。,死生契阔说与谁？惟恐丹心啼碧血。,遗世独立东风又，崩坏未灭志未酬。,生死胜负无定数，万古情仇在此中！"
"拿弓子的波塞东","保密","无IP","504090336","6","","10000","41","","真心赞！"
"抚子是真的可爱","男","四川","226159814","5","","10000","10","","请各位朋友注意，在此处看到乱刷的，乱带节奏的一律视作反串黑处理，举报就对了，谢谢各位，我们不会伤害到其他任何人，也无意诋毁其他人，但是鱼龙混杂什么污渍都有，跟大家说声对不起了"
"来者可是观星先生","男","无IP","393879438","6","崩坏：星穹铁道","10000","323","12","知道为什么今晚直播间这么卡嘛？因为第三十一章主线中乐土里还活着的芽衣阿波尼亚伊甸苏樱科斯魔格蕾修阿华全部都陨落在侵蚀之律者的手下 并最后导致侵律从乐土中逃出并影响了我们今晚现实中的直播间[doge]"
"晚风渐息丶","保密","无IP","386349220","6","崩坏3·天穹流星","10000","358","12","关于下版本的原画集，如果你没有抢到，后续还想要的话一定一定一定要从官方旗舰店购买呀！为什么呢？因为前阵子我在评论区已经有看见一些去年节奏退坑的人回来了，说是要搞到手后买给xz，到时候肯定又来评论区跳脸了，所以还是不要贪便宜，支持一下官方的吧！最后祝大家下版本都能拿到喜欢的周边！[打call]"
"某爱美琴的白井黑子","保密","无IP","480231977","5","星座系列：双鱼座","10000","7","","怎么都在讲原画集啊，原画集是周年庆送，然后夏活开始卖首刷的，总共40w份，昨天直播大伙是没看清楚？下版本开始回归任务改版，估计周年庆回归舰长拿到概率更高[doge]"
"筱原かな_Official","女","无IP","20282764","6","言和7th生日纪念","10000","16","","各位大佬，新版本有没有累消，有累消我就冲个月卡，没有我就接着等周年庆"
"浮世兿语","男","河南","24882007","5","","10000","25","","为什么阮从青老师配的不是隔壁水神啊，我真的觉得很适合啊[大哭]"
"艾丝妲_Official","保密","无IP","691484434","5","国民老公带回家","10000","4","","音乐啥时候上传网易云？？"
"哄钟","保密","无IP","96470607","6","EveOneCat2","10000","6","","爱莉希雅肯定没死，和凯文一样是被数据删除了，不过对凯文武装型号六六六作用是删除整个乐土的话，可能最后所有英杰都会死吧。"
"若得青叶飞","保密","无IP","16827643","6","2021拜年纪","10000","10","3","[害羞]我猜爱莉还是要寄。,[害羞]乐土炸了后现实13律者就要来了"
"喵都Y","保密","无IP","159243750","6","向晚大魔王","10000","2849","","b站直播是真卡，5.9大概有这些,兑换码 HB66T9MU2ARK,v2v，31章新剧情（听完全语音至少3小时，最长篇章）,网页夏日活动,崩三夏活（送爱丽皮）,登录七天送八重樱皮,蛇蛇皮，猫猫皮（盛夏小偷姐（（不是）,原画集（内含美工自己都忘得设定）,千人律者环节（太尬了没看不想看卡牌魔术）,好想好想和果子哥贴贴"
"认清现实的王","男","无IP","498399849","5","崩坏3·天穹流星","10000","37","","其实我还是喜欢老角色,所以,请更新月下活动！"
