"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"萧艾艾哎哎","保密","无IP","8067024","6","Kizuna AI","10000","5424","","为了庆祝两周年在活动期间把体力恢复加快怎么样？[小电视_笑]"
"辉夜葉","保密","无IP","2359039","6","HIME","10000","2922","","这个视频告诉了我们 ''当我们拥有了一切的时候，全部都会被回收''"
"月沁园","保密","无IP","161184973","5","","10000","1525","","封面上的你只有一半（魔鬼的低吟）[蛆音娘_滑稽]"
"0nis","男","无IP","67166922","6","名侦探柯南","10000","908","","请在活动结束后回收装备的时候，把我们消耗的体力返还回来，不然就加点实质的奖励，比如高级技能材料，紫材什么的。实在不行的话，请你们把友情点出技能材料的池子给开起来"
"Sakura丶CYX","保密","无IP","40022070","6","CHE","10000","70","","这个二周年我们可以得到什么?,6000体力换的600水晶,一件压根用不上的下水道角色的花嫁皮肤,用来打发小孩的玩具摇摇飞机*3,只能用来舔的三个低配圣痕,从策划脑子里抠出来的三分之二个结晶,二周年记念勋章：恭喜你,你是这次蛇皮活动的见证者,吼姆雕像：证明你被策划当猴耍的金/银/铜猴子雕像,5星勋章：代练者之证,4星勋章：你已经很努力了至少你没有找代练,联机勋章和玉：和一群睿智队友打联机还真是辛苦你了呢,家具：策划***骨灰盒,红包：对不起，我们做了一一个辣鸡周年庆,为此，我们特意准备了一堆红包以表达歉意 。,大概就为这事了"
"一些男同学","男","无IP","131334871","6","","10000","56","","我不是吹，体力要是不限制，这个活动一天就完结了。老子DNF都放下了，一个崩坏我还搞不定。"
"从零开始的白学家","男","无IP","16550484","6","","10000","56","","体力高消耗，首通不给水，你们在抠门的方面还真的是不忘初心，这不是玩家的二周年，是策划的二周年[小电视_差评]"
"坏掉的黑道","保密","无IP","326830","6","","10000","50","","6000体力，换3个圣痕1个月下皮肤+600水，你不烦么。还有周年活动一堆bug，补偿都不是“60水当无事发生”而是“30体当无事发生”。,2.5版本引导的任务水晶被砍了，2.6版本引导任务本身都被砍没了。,当初那个傻 X策划又返聘回来了么"
"烟柳画桥゜","保密","无IP","11223996","6","","10000","42","","这活动独立为什么不把体力也独立？"
"Ace_Monster","男","无IP","2427780","6","","10000","38","","他一到店，所有的人便都看着他笑，有的叫道，“大佬，你的头发又变少了！”他不回答，对柜里说，“补给卡，要标配补给。”便排出280水晶。他们又故意的高声嚷道，“新活动你一定又肝了几天几夜！”他睁大眼睛说，“你怎么这样凭空污人清白……”“什么清白？我前天亲眼见你在榜上第二名，分数差了人家土豪一半多，吊着打。”他便涨红了脸，额上的青筋条条绽出，争辩道，“做任务不能算肝……任务！……每天都有的东西，能算肝么？”接连便是难懂的话，什么“君子固穷”，什么“不充钱也能变强”之类，引得众人都哄笑起来：店内外充满了快活的空气。"
