"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"千泷live","男","无IP","159380158","6","","10000","2079","","没出月魂的右上角"
"靠脸吃饭喵某人","保密","无IP","350290233","4","","10000","1484","","什么时候出希儿"
"Flerovium","保密","无IP","20589047","6","EveOneCat2","10000","503","","你被绿的样子虽然有些狼狈，但是你中二起来的样子真的好靓仔啊，奥托大人[芮小凸小凹_哼]"
"至夢Heavenly5","保密","无IP","8169833","6","","10000","654","","丽塔 苍骑士·月魂,替身：白银之月,破坏力：B,速度：A,距离：D,持续力：B,精密性：A,成长性：B,(｀ω)"
"宮笠涼","保密","无IP","24565012","6","","10000","340","","我没出月魂，所以不看视频,这个是现实存在的命题,那么，它的逆否命题就为,我看了视频，就会出月魂,,,emmm说得我自己都快信了[蛆音娘_吃瓜群众]"
"青空サーチライト","保密","无IP","121963064","6","","10000","219","","有没有来这里求加强月魂的铁汁们啊？不是要婊，我80级舰长玩了两年从开始的轩辕蚩尤篇肝硬化到后来毕业装强袭，巫女，冰八退环境都没说过话。后来氪了赤翎，冰卡，真红以及现在的冰塔。唯独没有氪神恩和女王。这样的决定让我这个氪金2w＋在现在连大多数萌新玩家都人手一个的女王玩家面前像个弟弟一样。。。不是要婊女王，虽然女王经历了弱鸡，婊，天花板的过程。。但我不是版本之子biss那种。就比如我一直挺理解月轮的强度。卧槽扯远了，说回冰塔。这回脑抽抽了她又不能抽女王了。。。我想说的是策划警惕女王事件重演可以理解，但是适当增强冰塔一定不会造成之前的强度崩坏现象。首先现情况元素队的上线是比物理队低的，这点深渊玩家多少了解。其次深渊策划能通过各种方法削弱特定的角色（天气系统和精英怪）。其实女王也能这样削弱，只不过当时没控制好状况，在女王氪金量第一的情况下，加强过头了也不敢削弱。这回策划只要别这么睿智，觉得暴躁老哥们也不会大规模出动。冰塔作为定位为元素c的角色，目前的状况是既没有伤害也没有功能性。伤害能有0.9月轮或者真红也行，然而实际上毕业冰塔深渊，记忆战场，甚至舰团boss，开放世界伤害都对不起自己的s级，跟莉塔的其他两个a级比起来都垃圾的一逼。我氪金了得到的不是快乐你告诉我是教智商税。。难道氪女王的648是人民币，氪冰塔的就是泰国铢？而且如果只看中冰塔的那点队友加成，直接拿个辅助银狼赤翎什么的不行么。冰塔可是在冰元素加成环境下打大盾比不过冰卡。伤害不够，辅助不行，没有无敌帧，输出环境差，冰冻时间太短控制的时间对不起自己打两轮印记的时间。这样的定位完全没有角色特点和改变目前主力环境的作用。我挖矿用鬼铠有感情了也用不着这个，何况冰塔还不如鬼铠牛逼过，落地就凉凉。有的铁汁们说出个元素辅助就好了，可是如果出了元素辅助，玩家们下的应该也是月轮冰卡甚至真红之类的，毕竟强度手感功能性什么的摆在那里。所以我觉得冰塔要是不想成为新年策划智障的代表事件还是要自身加强。比如增加基础或者倍率伤害，不要天花板，有0.8月轮也行（卑微）。或者让召唤物吃圣痕加成，增加冰牢时间，降低大招sp什么的。伤害和功能性最起码一方面是要顾及的吧。冰塔造型动作设计的这么用心但是没一点使用价值和愉悦感的话也一定会今后被诟病深远降低许多玩家对游戏的信任感。写了这么多一样官方别删铁汁们交流一下看法，毕竟新的一年别这么早开始新的寒心。"
"Misaki-鳴","保密","无IP","36779293","6","","10000","160","","冰塔:我是冰箱的主人!,冰卡:我是冰八的老公!,冰八:我是冰...算了，我有棒棒冰(仿灵刀)，你们要吃刨冰吗？[蛆音娘_滑稽]"
"茶猞与梦","保密","无IP","324301330","6","崩坏3·天穹流星","10000","99","7","冰卡:一起买菜！,冰姬:冰棒龙卷！,冰塔:苏醒吧，冰箱的主人~,看来宿舍要添多几个冰箱了..."
"白魔法师伊涅斯塔","男","无IP","259895873","6","","10000","74","","苏醒吧，冰箱的主人！,2000,2000,3000,3000,5000,5000……,泰坦变得更光亮了呢"
"血洛sama","男","无IP","39011173","6","希萝Hiiro","10000","74","","扩充十连出了个卡莲哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我没疯哈哈哈哈哈哈哈哈哈哈哈哈"
"都市腰穿仙人","男","无IP","86723752","6","","10000","72","","请大家慎抽，这个角色目前并不能像女王神恩那样为你的游戏体验带来质变。女王：花里胡哨，不如我一个响指。"
"止様","男","无IP","2420409","5","斩兽之刃","10000","55","","不能出一个训练场的功能吗，可以练习连招的那种"
"埃琉德尼尔biu","男","无IP","314589805","6","崩坏3·天穹流星","10000","53","8","阿面阿前一个真红池，阿月阿月魂才刚建模。舰长拿着张单薄的月卡，一点一点的攒水晶。,,阿浅阿海一只大海豹，阿嘻阿嘻嘻哈哈在笑他。月魂实装还早滴很呐，现在仓鼠干什么？,,阿海阿豹你可不要笑，等我攒够她就实装了。,,（本人真实写照）"
"残饷狂三","保密","无IP","87721272","5","","10000","37","","玩b站的都是猪,,,年能找到对象的朋友们(=ω=)"
"MuG_木更","男","无IP","1503046","6","","10000","33","","好弱啊，你也配姓月？"
"灼眼の阿开","男","无IP","23182853","6","言和7th生日纪念","10000","24","","看完新的漫画，我寻思奥托亮血条我这个清洁工可能打不过(;_)"
"素和今天不想上班","女","无IP","12525453","6","不思议之旅","10000","7","","对被迫念这些羞耻台词的奥托产生了一丝同情……"
"还是好的","保密","无IP","14285953","6","阿梓从小就很可爱","10000","26","","先不说伤害问题，冰塔的特效搞得连有几层冰蚀都看不清，能不能优化一下啊"
"小鳥惠柔","保密","无IP","23425953","6","","10000","32","","我一顿操作抽到了另外两个丽塔。。。( _ゝ｀)"
"江清影月","保密","无IP","95663365","6","嘉然今天吃什么","10000","20","","""在这极寒的地狱中，万物都将静止，唯有丽塔，仿佛沉默的死神，她那幽灵般的人形随着锋刃在黯淡月光下起舞，为敌人的尸体，覆上无情的白霜。"""
"黑檀木or白象牙","保密","无IP","8330192","6","","10000","24","","替身名：白银之月,替身使者：丽塔·洛斯威瑟"
"StormCCC","保密","无IP","35551701","6","","10000","21","","/   ￣￣￣＼　 ,|　ー　ー  \　 ／￣￣￣￣￣￣￣￣＼,|　 　  |　/                                      \                   |    垃圾屋      /                                         \, \  　 　 / ∠  爱老板，猫乐呢？         /         ,  ＼    　 イ　   \     都tm几个版本了? /,／　　　＼　    \____________________/,/　|　　   \ \　,|　|　　　  | |     ,|    |              | |"
"灰灰灰海","男","无IP","23292254","6","原神","10000","6","","4周年从0直接白嫖ss，白嫖安娜套。冰镰刀超限直接毕业[OK]"
"祝大家事业有成","保密","无IP","1595523","6","","10000","15","","奥拓的配音可是赵路啊……弹幕竟然还有说这个声音恶心的( _ゝ｀)你们舰长要求这么高的吗………………"
"虚拟果壳","男","无IP","38136291","6","","10000","6","","大家别心急，大部分人都没出，没出的都沉默了，只有那些单抽就出的才出来秀（￣▽￣）。幸存者偏差嘛"
"干枯之地的火花","男","无IP","17324711","6","","10000","6","","我方不断增加攻击手段，敌方不断增加血条长度[小电视_害羞]"
"lreams","男","无IP","94872143","5","","10000","6","","什么时候出齐格飞啊？"
"用牌玩掵","保密","无IP","128683170","6","2233白色情人节","10000","18","1","两个皮肤8万，一套烟火7.5万，米氏数量真的牛b，本来就是复刻给晚来玩家的福利活动，这数量玩你m呢？,这游戏为什么流不进新血液，策划没有点13数？米忽悠当人人都是仓鼠？"
"奇巧泡芙","保密","无IP","10955208","5","","10000","17","","米忽悠还是那个米忽悠，都快过年了，还能恶心人，服了，还给这个不可思议的星石数量洗地的就是蠢"
"EvanMD","男","无IP","12631017","5","EveOneCat2","10000","6","","就这强度只会让玩家失望哦"
"翞朤朤","保密","无IP","360461404","6","","10000","13","","学援长前两天还说没钱发工资，2.9刚更新就花钱做了自己的海豹（报）贴在电梯上,,,丽塔快用你那无敌的白银之月想想办法啊！"
"非正经网友","保密","无IP","181023388","6","Kizuna AI","10000","6","","先告诉我,聊天室卡成狗怎么说？,不给个解释我顺着网线抄你公司去,(￣△￣),逐渐起了杀心,发个表情从8：30然后上个厕所8：45,图片刚发出来,(╯°口°)╯(┴—┴,然后点了退出,9：00返回房间,(_`)我……,tm……"
"Reze00","保密","无IP","255563264","6","","10000","11","","绿托小讲堂开课辣~,深渊 狄拉克老打不上去 该怎么办呢？, 新推出的试做型第四代弑神装甲 带你体验你从没玩过的船新版本！,爷爷再也不用担心我变成红莲苦痛升降机啦~(°°)"
"光のある所が良い","保密","无IP","52683373","6","","10000","11","","我问一下，没有女仆装的丽塔还是丽塔吗？"
"kizuner_AI","保密","无IP","9850388","6","","10000","8","","所以这个人性幻影白银之月到底是个什么来头(▔□▔)"
"艾尔莉特_忒伊茜斯","男","无IP","196503185","6","雪未来","10000","10","","这个新年，不仅米卫兵没了，还多了一堆 热血青年 ( _ゝ｀)"
"苏沉言","女","无IP","305204020","6","","10000","5","","我缺的是这个教学视频吗？我缺的是这个人"
"开个酱油铺","保密","无IP","37588576","5","","10000","5","","一年多了，月魂的bug什么时候修啊"
"小秦Crow","女","无IP","107672671","6","","10000","10","","看教程：懂了，真简单,实战：我被揍了，我是弟弟"
"瓦尔特-杨","保密","无IP","40389376","6","嘉然今天吃什么","10000","7","6","苍天在上，厚土在下，我已奥托主教头上的∞顶帽子为祭品保佑我出月魂，出必还愿"
"Saki不是sakiko","保密","无IP","124353728","6","帕里","10000","8","","昨天才玩崩崩崩，今天就中了"
"希望小高永远开心","保密","无IP","38273941","6","","10000","11","","服了 想起月魂就来气 我TMD住校生 去学校不带手机  自从上次出**扩充就没出过s  一直抽到28次  TMD当时真的崩心态  然后一天肝了两个小时剧情才凑够900 加上之前的1900   一单十连出了月魂和强袭 想想辛辛苦苦也值了  肝完我感觉自己眼睛都迷糊了  这就不是 为了自己的老婆值了然后我把截图发空间  当下我另一个朋友就评论发了一张一发出的截图  哎我***当时就特别来气   反正每次  运气都是出在他那边  很气。 神恩 黑鸭  还有月轮 都是一发出 很无语  每次LOL的幸运召唤师次次有他 我就没有过 我们一起玩的lol   这种事发生不是一次两次了 上次我的三樱刷剧情结束的时候正好站一起 我就截了一张图  说了一句一家人就要整整齐齐  然后他当时就发了一张 神恩 黑鸭还有月轮  啥的图  说的什么我忘了  反正我这个人心眼小 就很气  什么人  嘚瑟去别的地方好吧   别人辛辛苦苦肝出来的你一发出自己高兴就好了   非要发出来气气别人？  长点情商好吧  不多说 b战朋友共勉   望这种人长点心好吧  自己码的  心累"
"野猫先辈Token衍生物","保密","无IP","396378184","6","","10000","7","","两件衣服八万，三件圣痕七万五，合计十五万五千星石，现在有十万+星石的不知道需不需要这些"
"HYPERION艦長","保密","无IP","27447694","6","格兰芬多","10000","8","","当水晶 撒在补给卡上 ,我想我就快成了欧皇,,有一种人品叫做非洲运气,遇上能有神奇的力量,,闭上眼 看见保底 ,这是我 激动的地方,,我没有成功躲开非洲黑脸,抽到碎片换出了忧伤,,为了你 我肝记忆战场 ,为了你 氪金出疯狂,为了你 我跑进无尽深渊 ,为了你 肝爆内伤,,我们还能不能再见面 ,我在补给箱里求了几千年,愿意用十连补给换五星装备 希望可以感动上天,我们还能不能能不能再见面,我在补给箱里求了几千年 ,当我在期待唯一一次保底之前 ,希望能出S级女武神"
"往生堂满命胡桃","保密","无IP","15770083","6","","10000","8","","求求你们加强冰塔吧，过年的首充都给你们了结果毕业套打的憋屈的要死，别说跟女王比了加了50%冰冻易伤伤害才高月轮一点点，要是这样的话那我还是当个白嫖玩家了氪了金也是零提升[洛天依_无言以对]"
"坚果包扎术","保密","无IP","11340889","6","","10000","5","","奥托这期有丶棒读啊，卡莲那几期多有情感的声音(￣△￣)"
"烁地","男","无IP","121950258","5","","10000","5","","丽塔，快用你无敌的白银之月想想办法啊！"
"狐狸球er","男","无IP","11814074","6","大理寺日志","10000","5","","月魂太弱了，伤害感人输出环境贼难受(_)大过年的就不该碰月魂，给自己添堵"
"不花心的里昂","保密","无IP","916170","6","明日方舟音律系列","10000","10","1","95发，有从0到保底出的弟弟安慰下我嘛[2233娘_喝水]"
"某个有缘人","男","无IP","11620890","6","崩坏：星穹铁道","10000","5","","能不能单独出个白银之月啊"
"浅暮的木","保密","无IP","393898934","6","","10000","5","","制作型第四代弑神装甲，「苍骑士·月魂」，象征着补给令人恐惧的那一面，它以覆灭一切非酋的寒冷，如吼美般洒遍大地，为舰长带去沉默和绝望(￣_￣ ),15000水抽完依旧少一把武器一个皮上"
"千夜初雪","保密","无IP","35104714","6","良辰美景·不问天","10000","5","","好厉害，然而，关我非洲舰长什么事呢？"
"九炎想去妖怪山上转转","男","无IP","73430459","6","","10000","7","3","这是替身攻击！无敌的白银之月，快用你的丽塔想想办法啊！,但是我拒绝，我白银之月，最喜欢对想要我帮他的人说不！我真是high到不行了！"
"Racstar","女","无IP","13942892","6","想去海边·头像框","10000","5","","学会了，那么月魂在哪领？[蛆音娘_滑稽]"
"别问问就是萌新35","男","无IP","31482513","6","湊-阿库娅","10000","5","","冰箱的主人她来了"
"无名的结局","男","无IP","89663598","5","","10000","7","","一年半过去了，我还是没有月魂，我连月魄都抽出来了还是没有月魂，我哭得好大声，眼泪流成量子之海[笑哭]"
"平平凡凡比企谷","男","无IP","348966614","5","","10000","9","","崩坏三爱将每次的视频封面我总感觉是一张脸。。。。。。"
"天音莉莉-","女","无IP","19401975","5","","10000","7","","抗七层流血砍深渊，不愧是你月魂"
"夜泠淅","男","无IP","32778870","6","仲夏幻想","10000","6","3","一样一样，我也有个朋友，还是我带他玩的，她抽到了女王，整天就在我面前嘚瑟，还总是吹她女王强度怎样怎样，我没抽到，也不想去抽，（内心反感女王=_=）虽然确实高强度，每次这时我都不是很想理他，心里很气。自己带起来的人，玩游戏却不是志同道合。就像你说的，希望长点儿情商吧。"
"去追风吧","保密","无IP","209442930","6","约战：精灵再临","10000","7","","没想到，居然抽出来了.我还差十次保底.本来感觉肯定抽不出来，把保底留给真红，抽到99停下来，然而冰塔，在99次的时候重置了我的保底，明明还差一把呀，而且最后一发是留给过年的时候真红的"
"幻象波普星_","女","无IP","36963227","5","","10000","4","","害，萌新表示想要丽塔，能不能出点活动啊[笑哭]"
"无极震波震震","男","无IP","9185970","6","初音未来13周年","10000","4","6","冰镰刀超限是真的香"
"菩提无树何染尘埃","保密","无IP","16949003","6","三周年恋曲","10000","4","","白银之月，白金之星。。。。整个角色都在致敬JOJO（￣▽￣）"
"网抑云带象","保密","无IP","8902760","6","","10000","4","","白银之月！快用你无敌的丽塔想想办法啊！"
"我有烧鸡","保密","无IP","100398844","5","","10000","4","","那啥，谁是跟我一样点教学视频进入B站的[洛天依_滑稽]"
"永夜明","男","无IP","8976547","6","","10000","4","","冰箱的主人[蛆音娘_卖萌]"
"YHAIJJ","男","无IP","36292535","5","","10000","4","","最近我在b站看到一个很不好的现象，强袭管符华叫华华，符华管强袭叫袭袭，黑白不分，是非颠倒，你们还在笑，我是笑不出来，我的眼泪全在肚子里，我们天命总部几千年来不缺少可歌可泣的故事，麻烦给奥托留下一片情感的净土"
"清泉流晌","男","无IP","23032324","6","","10000","4","","一发入魂，但是没镰刀没圣痕，偶尔的欧并不能改变我咸鱼的本质[蛆音娘_die]"
"圣三一_浮士德酱","保密","无IP","237699909","6","Kizuna AI","10000","4","","就是这玩意把我留着抽女王的保底给毁了"
"梦已被遗忘","保密","无IP","275170214","5","","10000","4","","请你们的策划在2号树领取自己的亲，谢谢合作"
"戴单片眼镜の坐忘道","男","无IP","21588175","6","大理寺日志","10000","4","","我发现崩坏三和阴阳师还有fgo不能一起玩，可能会猝死[蛆音娘_吐血][蛆音娘_吐血][蛆音娘_吐血]"
"沙家浜的忧郁","保密","无IP","171870575","6","","10000","4","","冰塔:银狼你的替身最没用啦！[2233娘_大笑]（doge保命）"
"秋茗佳语","保密","无IP","27064916","6","绽放收藏集头像框","10000","4","","JOJO,这个白银之月和你的白金之星是什么关系[冷兔_掀桌]"
"尼特路人","保密","无IP","42488926","6","","10000","4","","试作型第四代弑神装甲『苍骑士·月魂』，象征着月亮令人恐惧的那一面。它以覆灭一切生机的寒冷，如月光般洒遍大地，为万物带去沉默和绝望。接下来，月亮将要展露出她那冷酷的笑容，以凛冽的寒冰，赐予敌人无痛的死亡。所有的一切都陷入静滞，唯有银白的骑士能阔步其中。让【白银之月】升起新月状的锋刃，对众生降下裁决吧！在这极寒的地狱中，万物都将静止，唯有丽塔，仿佛沉默的死神。她那幽灵般的人形随着锋刃在黯淡月光下起舞，为敌人的尸体，覆上无情的白霜。"
"出井祭李","保密","无IP","238366138","6","RNG战队","10000","4","4","白银之月，白金之星，233"
"走咯ovi","保密","无IP","110033742","6","良辰美景·不问天","10000","4","","四个十连出了6个强袭[2233娘_大哭]丽塔连碎片都没几个"
"DeShuaiZhang","男","无IP","27710662","6","","10000","4","","迪拉克有个bug，打怪的时候放弃战斗会直接报错希望快点解决挺烦的"
"小铁GG","男","无IP","22764736","6","","10000","4","2","av41646673绿塔被暗削石锤视频，你忽悠就这本事？[小电视_差评]"
"华夏c","保密","无IP","160104055","6","#EveOneCat","10000","4","","为所有爱执着的氪,为所有恨执着的肝,我已分不清塔与卡,就只能苟这样！,水和金在一起滑落！,我的船破碎沉默！,颤抖的手却无法停止！,继续～抽卡～(￣△￣)"
"E花缭乱","男","无IP","2439975","6","","10000","4","","2万水晶七个碎片来抱怨一下。 ⊙ω⊙"
"幻梦雨雪","保密","无IP","35677520","6","崩坏3·天穹流星","10000","4","","18次补给出了三次强袭。。。想了想。。。用3w星石换了99个强袭碎片，然后再用a级碎片自选石换了5个强袭把强袭升到sss(=ω=)(=ω=)(=ω=)"
"风的归路","男","无IP","1508948830","5","","10000","4","","第七抽家园出了，可是这咋玩儿啊？[热]"
"梦已被遗忘","保密","无IP","275170214","5","","10000","5","","复刻皮肤4万星石，圣痕2.5万星石，我吹给你们的策划的亲愉悦的送走"
"星之风声","男","无IP","244903328","5","","10000","3","","周年选了月魂，因为要在万象虚镜给理鸭刷安娜套，而好多人都用理鸭，所以紧急拉了月魂混分[崩坏3_糖葫芦],现在来看看教学视频[崩坏3_糖葫芦]"
"物语与雨","保密","无IP","32979771","6","","10000","3","4","乐土选了冰箱，来看一眼教学…"
"呆鹅最美","男","无IP","413620191","5","","10000","3","10","等个月魂，现在100碎片，镰刀安娜都有了[害羞]"
"愚蠢至极的愚蠢","保密","无IP","392601764","5","","10000","3","3","我想问一下我有月魂的武器，但我想要理律我应该抽哪个？是月魂还是理律。"
"懒-得想名字","保密","无IP","114389514","6","","10000","3","8","限流我是真的服"
"哼哼哼-介是啥呀","保密","无IP","6441959","6","琉晶之礼","10000","3","","月魂开爆发攻击变成纯冰伤，一开始玩的时候没法现，打元素免疫怪的时候发现不对开爆发反而没伤害了[蛆音娘_吐血]，技能说明也不写清楚[蛆音娘_die]白银之月的伤害率也不清楚"
"芹菜炒豆干炒鸡蛋","保密","无IP","30861018","6","","10000","3","","就没有我月魂冻不住的人"
"江子鹏","保密","无IP","15772283","6","碧蓝航线","10000","3","","不应该叫苍骑士.井空吗[蛆音娘_滑稽]"
"赤红色小羽毛","女","无IP","87867548","5","星尘","10000","3","","有人能科普一下“丽塔的家园舱室属性加成为满级”这一加成吗，是不是因为基地里没有加成镰刀属性的，所以给的补偿啊，之后会不会直接出相应的舱室取消这个加成啊"
"小杨不知道起什么名字","男","无IP","12542668","6","","10000","3","","反正老萌新我现在就靠丽塔撑门户了。。。。。"
"朔夜行歌","女","无IP","233489487","5","","10000","3","","把语音改回来吧球球了[小电视_哭泣]"
"月魔文明","女","无IP","256269417","3","","10000","3","","我这辈子就欧了这一次【S苍骑士·月魂】"
"妖性的飞船","男","无IP","31402369","6","","10000","3","","我那天抽了11发，三次影铁。。。愣是把影铁弄成SS"
"燭鳶麒冥旧号","男","无IP","385373754","4","","10000","3","","可不可以把全部的女武神教学视频做出来啊，奥托大人。"
"青衫踏湖","男","无IP","76652700","5","","10000","3","","这声音不是韩非那小兔崽子么。？[一人之下_哎？]"
"_林品如_","男","无IP","281350701","6","EveOneCat2","10000","3","","输出基本上全靠打出冰牢后的几下和开大后到关大招之前时打的伤害( _ゝ｀)该加强了鸭(°°)"
"2NaHCO3","保密","无IP","314091934","6","","10000","3","","出不了啊！！，！！马上时间就到了，"
"嘉晩饭","男","无IP","34675869","6","","10000","3","","叠最厚的冰川护甲，挨最毒的打"
"花若子兮","女","无IP","110548770","5","神乐七奈","10000","3","","回归单抽出冰镰，然后，就没有然后了"
"誓语靡微R","男","无IP","14011387","6","","10000","3","","以此类推符华月轮也可以觉醒啊，也带个替身什么的，欧拉欧拉的时候也可以使用替身攻击[蛆音娘_滑稽]"
"晓夜い","男","无IP","14781820","6","","10000","3","","冰箱的主人"
"cock-king","保密","无IP","24507181","6","","10000","3","","弹幕人均欧皇水平"
"朴实无华路人甲","保密","无IP","392467237","5","","10000","3","","苍天在上，厚土在下，我已奥托主教头上的∞顶帽子为祭品保佑我出月魂，出必还愿"
"修罗雨泽","保密","无IP","31942628","6","","10000","3","","fgo开服玩家现在兼职空中劈叉（￣▽￣）话说“流水的输出，铁打的辅助；强度是一时的，卡面是一世的”这两句fgo至理名言在崩坏三适用吗？"
"AbgrundKirche","保密","无IP","67942185","6","","10000","3","","今天抽到了，嗯。苏醒吧，冰霜的弟弟[蛆音娘_滑稽]"
"刘小皮是真的皮","保密","无IP","200263482","6","","10000","3","","贼她喵的难用，没有大招就是个弟弟，不过丽塔老婆真好看"
"Crowsky_","保密","无IP","30036818","6","","10000","3","","为什么破晓没有角色介绍？[蛆音娘_滑稽],天命的主（lv）教（tuo）去解读逆熵的东西？[蛆音娘_滑稽],所以破晓的介绍是不是该由我们最最敬爱的特斯拉博士解说呢[蛆音娘_滑稽]"
"愿群星璀璨","保密","无IP","288205911","6","","10000","3","","刚看了舰长周报，上周金币收入220万，支出234万[2233娘_吃惊]怎么还赤字了[2233娘_困惑]"
"404_HK-416","男","无IP","15696059","6","","10000","3","","你们接到芽衣的电话了吗"
"透明的小丑","男","无IP","8176973","5","","10000","3","","我有的话还需要你教吗？←_←"
"游城汐云","男","无IP","29014702","6","七濑胡桃","10000","3","","开启必杀，让白银之月升起新月状的锋刃，对众生降下裁决吧！在这极寒的地狱中，万物都将静止，唯有丽塔，仿佛沉默的死神，她那幽灵般的人形随着锋刃在黯淡月光下起舞，为敌人的尸体覆上无情的白霜。"
"智商加载ing","保密","无IP","152355116","6","","10000","3","","丽塔你在干什么啊，快用你那无敌的白银之月想想办法啊"
"emk画鲸","保密","无IP","327214749","6","明日方舟-愚夜密函","10000","3","","然而月亮的另一面好像已经被中国拍到了......"
"璃醨","女","无IP","352885602","5","良辰美景·不问天","10000","3","","苍骑士·井空(｀ω)"
"17岁的大叔叔","男","无IP","32694257","6","","10000","3","","冰丽塔：这就是我的替身！silver moon！！！！"
"EternalRider","男","无IP","5575165","6","","10000","3","","文案、美工、程序、音乐、配音，米哈游人才济济啊"
"GYFe1","女","无IP","296289721","6","","10000","3","","相信在座的各位点开视频的目的都是和我一样想听奥托的骚话的吧"
"那年夏日未闻花名","保密","无IP","16513137","6","琉晶之礼","10000","3","8","我最喜欢的节目关注爱酱就为了这个奥托大人天下第一"
"春天秋天夏天","保密","无IP","74031018","5","","10000","3","","奥托大人嫁我，坚定"
"ナイアラトラテプ","女","无IP","37013762","5","","10000","3","","刚刚有电话唉！！！你们有嘛"
"靡道人_official","保密","无IP","2922744","6","","10000","3","","花了两单还没毕业"
"_凌笑_","男","无IP","216683092","6","","10000","3","","苏醒吧！冰箱的主人[蛆音娘_滑稽],那么冰箱里该放点啥呢？,不如我们把这只包菜…[蛆音娘_滑稽]"
"白咲花花花花花","男","无IP","241589118","6","贝拉kira","10000","3","","在？为什么把吼姆的血量设置成114514？"
"一木哲子","保密","无IP","31230247","6","","10000","3","","谁还记得姬子的也是弑神装甲"
"跳过新手教程的萌新","保密","无IP","17669737","6","","10000","3","","买老婆 送游戏"
"千年游戏宅","保密","无IP","35903289","6","","10000","3","","不敢要，不想要。毕不了业基本就等于我现在的冰卡，迪拉克减百分之50冰伤头都要打掉了( ○ Д ○)"
"怪猎CC","女","无IP","50642507","6","","10000","3","","在食堂用加速卡的时候老是会出现一句英文，还没用掉"
