"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"の尼桑","男","无IP","39788079","6","","10000","667","13","Ⅲ—未知—,Ⅴ—未知—,【崩坏四银河】,,Ⅸ—未知—,Xl —未知—,【崩坏五】.....[doge]"
"章鱼鸽白猊","保密","无IP","21131082","6","鹿乃","10000","12872","10","十三位战士。,十三把刀。,我本来以为原神出了后，崩3会慢慢下滑，没想到崩3团队是真的在用心在做这个ip。,逐火之蛾，前文明那没有生还者去纪念的英雄。,庆贺吧！,原神和崩3的道路还在不断延续。,原神崩3双厨狂喜"
"我是践行者","男","无IP","295010538","5","","10000","11665","","兄弟们，相信我，原神和崩坏会合到一起，我就是预言家，错了我女装十天（上千评论无所畏惧[doge]）"
"猫塚_ヒビキ","男","无IP","487104401","5","碧蓝航线","10000","12","","希望各位不要忘记，往逝乐土里大多数人已经寄了的事实[呆]"
"不是时常","保密","无IP","344375918","6","崩坏3·天穹流星","10000","16167","","Ⅰ「救世」凯文,Ⅱ「■■」爱丽希雅,Ⅲ—未知—,Ⅳ「黄金」伊甸,Ⅴ—未知—,Ⅵ「鏖灭」千劫（鏖 áo）,Ⅶ「天慧」苏,Ⅷ「刹那」樱,Ⅸ—未知—,Ⅹ「无限」梅比乌斯,Xl —未知—,Xll「浮生」华,以上共计12位，其中4人未知>,前文明共计13位融合战士，因此还有1位未出现在这个排列中，至于是0还是Xlll就不知道了，但没出现这位地位肯定很特殊——0是高于凯文地位的领袖级别人物；Xlll对应13，犹大的数字。,对未知4人的主观猜测，仅供参考：空、荧、苍玄、丹朱（其实我不太确定这两算不算，她俩不能长生不死但身上有非人的改造），其中空和荧位Ⅲ和Ⅴ，执行方舟计划"
"一般路过工程师","保密","无IP","18103539","6","","10000","34","","我从来没有因为崩三的角色这么难受过，姬子老师、第二次崩坏、樱、梅比乌斯的刀我都挺过来了甚至还能开开心心去怅别人，但唯独这次爱莉，我连再看一次最后的那段cg，那些追忆和物品的勇气都没有了，越想越破防越看越难受，真有你的啊米哈游"
"改名就中奖信我","保密","无IP","455197977","5","","10000","1295","","共13位逐火成员，8位已知，5位未知：,Ⅰ「救世」凯文,Ⅱ「■■」爱丽希雅,Ⅲ—未知—,Ⅳ「黄金」伊甸,Ⅴ—未知—,Ⅵ「鏖灭」千劫,Ⅶ「天慧」苏,Ⅷ「刹那」樱,Ⅸ—未知—,Ⅹ「无限」梅比乌斯,Xl —未知—,Xll「浮生」华,Xlll—未知—"
"Mesugu-Kamino","保密","无IP","359027383","5","","10000","4161","","我宣布大型连续剧《等爱莉希雅》正式开播[doge][doge][doge]"
"WL_Ikarus","保密","无IP","309051497","6","","10000","19","","誓要救世的真我，依循永恒的戒律，在黄金的螺旋中逐渐鏖灭，虽因天慧得见刹那的旭光，但无限的繁星已然揭晓，所谓历历浮生，不过空梦一场。"
"账号已注销","保密","无IP","1225069344","0","","5000","5677","","我看了这么多人在讨论小识的皮肤，无论是那边，我都提醒你们一句话：,。,。,。,。,。,。,你有小识吗？[滑稽][滑稽][脱单doge]"
"木之本樱-Sakura","男","无IP","77593115","6","","10000","25","4","往世乐土的剧情能做得和崩2的逐火之蛾一样引人入胜，这是我一开始没想到的。,虽然很多让人难受的剧情，但这也是故事深度和感人的必然导向。崩2的逐火之蛾里，姬子没了，犹大碎了，希儿被打到濒死，一样让人揪心。,但崩坏的故事本就是在不美好中寻找美好。,总之，希望往世乐土后面能出个动画短片吧。"
"白屑屑","男","无IP","692302744","5","","10000","500","","樱以前可是13融合战士之一啊，能把凯文冻住的那种,我的机（械属性的）八（重樱）为什么不行啊,哦，对，崩坏三没有能挂水的辅助[热词系列_知识增加],还有，这个梅比乌斯怎么这么像女士[热词系列_知识增加]"
"一生之敌傅里叶","保密","无IP","226600568","6","citrus","10000","1988","","看完直播，想说几句,1，米哈游这么卷么？跟原神比着当内鬼呢是吧？[doge] 不过能看出来，这次应该是上边的人让制作组给大家多通通气。感觉真的很好！！[脱单doge],2，识律皮肤不算贵。加300RMB，凑9600+300才叫贵[傲娇]  有些弹幕真离谱，完事儿 有些反驳离谱弹幕的弹幕也够离谱的.....[辣眼睛],3，小胖美工很可爱，喘气的声音也挺可爱[脱单doge],4，好家伙 编剧是真狠呐，你娃把配音演员都刀哭了，——《陶典已经绷不住了》《比我预想得还要快》，彭导如是说。,5，沐霏姐姐太强啦[哈哈] 最后说一句，立本 减负 ，米哈游(游戏内) 两大真神！！[打call][打call] 美工组YYDS[打call][打call]"
"在蓝色的世界","保密","广东","18125960","6","","10000","27","","现在重新翻看2021年7月10日的弹幕，再看看现在的弹幕，这差距是真的大[笑哭]，编剧大大真的是牛逼，仅用一年时间就把人们对角色的印象扭转至此，太强了[笑哭]"
"孤辰Null","男","无IP","283059370","6","星尘","10000","217","","有无课代表，剧情党急切的想知道这是在说啥。"
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","65","12","当一个游戏制作组能以没有彩排的闲聊形式和玩家公开分享一直以来的一些心路历程，就会让我感到，他们是真的用心在做游戏，他们真的爱着自己笔下的一个个鲜活的生命，这样的一群可爱的人，难道不值得玩家喜欢吗？"
"名非名","男","无IP","38727543","5","","10000","3103","","1、送一个列文虎克自选箱,2、活动奖励理律晋升印章12个，3600水晶，加速卷,3、暂时常驻活动往世乐土后续，有额外水晶奖励,4、夏日减负,5、a希皮肤活动获取、实体周边抽奖（只有10w）琪亚娜皮肤签到获得。丽塔是累消水晶及补给卡。小识9600（9600是坏文明，但是有个s自选箱）,6、往世乐土伴随大量新角色，应该不是实机角色。,7、彼岸双生进入家园补给。,8、88级零食箱"
"为V咣咣撞大墙","保密","无IP","286434636","5","","10000","51","","su！帅拉了！我就喜欢这种世界观庞大的故事，看漫画时当即脑了一波大戏：su和未知的高位神明下棋，以世界泡为子，量子之海为盘，进退围劫中筛选出世界泡对抗崩坏，其中就有舰长（老子）的足迹，舰长通过特殊方式联系上su，表明自己愿意为其所用，然后穿梭世界泡，招揽人才（泡妹），扰乱世界泡发展轨迹，棋盘被掀，输赢不定，su就有理由和神明叫板，神明觉得有趣就与其进行第二轮较量，然后su就遇见了卡关的mei，而舰长因为搅局被神明背刺，驾照没收，和老婆们流落到提瓦特大陆，遇见兄妹。。。"
"渺青菓","男","无IP","8292634","6","","10000","17","","“你才是真正的大人物，杰克”——《赛博朋克2077》,你才是真正“高洁而纯真的灵魂”，爱莉希雅——《破防舰长2022》[大哭]"
"三界元修","男","无IP","472226645","5","崩坏3·天穹流星","10000","27","12","过完剧情再回来看这段PV，尤其是在最后爱莉位次刻印显现时，压轴出场的地位和史诗般宏大的BGM，结合背景变红和主线剧情情况，真的忍不住抹眼泪,31章，希望真正的爱莉能够荣耀归来"
