"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"cookie-NANA","女","未知","30751170","6","","10000","12689","","爱莉！！！太好看了！好想要动态壁纸！好急！呜呜呜呜怎么这么好看！！！[保卫萝卜_哭哭]"
"INnoVationn_","男","山东","486679284","5","一起看电竞","10000","9523","8","为啥最后的剧情让我久久不能平静，我觉得就像寻梦环游记里面说的那样，真正的死亡是被别人忘记[大哭]。英杰们的故事不再更新了我们对他们的印象会渐渐地变少，这才是对于现实世界中的我们来说的英杰们的逝去~[抓狂]真的不想人们遗忘他们呀，可是无情的时间永远都会无情地冲刷着人们的记忆，爱莉可爱的脸蛋，甜美的声音还有她所做的所有所有都会在我的记忆里越来越模糊，我也无法停下追赶生活的脚步，与爱莉渐行渐远。但是我始终相信，在我生活最谷底的那一天，爱莉会成为天使降临人间，让我重新找到去码头整点薯条的勇气。不过我还是希望以后在别的活动中让十三英杰再出席吧，好像再看到他们每一个人啊，我觉得半年后我再看到爱莉的脸我会哇的一下哭出来[保卫萝卜_哭哭]"
"VsAz","男","湖南","389417680","5","碧蓝航线","10000","1065","","我要创造一个有爱莉的世界[大哭][大哭][大哭]"
"顾问呀","男","贵州","1279470","6","初音未来13周年","10000","35","9","[微笑][微笑][微笑],“帕朵的尾巴烧焦了”，对应猫猫在最后被烧焦了。,“爱莉下一次化妆”，就是盛装赴死。,“伊甸想乘坐鲸鱼遨游”，然后自己变成了鲸鱼。,[微笑][微笑][微笑],QTE是吧。"
"铭昌","保密","山东","348887816","6","","10000","44","","我真的觉得爱莉希雅和伊甸的友情太浪漫了…尤其是崩落后和爱莉希雅外出，太太太奇幻了(*°▽°*)八(*°▽°*)"
"写不出文章的喵千岁","保密","山东","345308215","5","快把我哥带走","10000","111","","谢谢爱莉谢谢崩三，今天是我的生日[给心心]"
"空梦-帕朵菲利斯","女","山东","198411807","6","崩坏3·天穹流星","10000","109","6","爱莉希雅，我将坠入乐土，换你回到现实[崩坏3_送你一朵花]"
"喜欢艾露露的画魂","男","浙江","8281503","6","小希","10000","130","8","突然稍微理解了点奥托！虽然不会像他那样不择手段，但如果舰长有能哪怕只有那千万分之一的可能，也会想尽办法斩断那不完美过去，创造那充满希望的未来！,只希望编剧能高抬贵手，在最后的最后让舰长真的做到改写历史战胜崩坏给所有逝去之人一个美好未来的结局！哪怕是一段引人无限遐想的留白......"
"血影zero","男","浙江","199541661","6","雪未来","10000","228","","又有那个男孩子可以拒绝爱莉呢[脱单doge]"
"阿赖耶识系统终端","男","河北","675614994","5","","10000","51","","我将带着十二勇士再冲一遍虚数之树，换回那13位未能成为英雄之人"
"Iricyn艾辛","女","河南","15711403","6","星座系列：处女座","10000","50","","快出十三英桀的餐桌[大哭][大哭][大哭][大哭][大哭]出个动画吧[大哭][大哭][大哭]不想这个故事就这样结束"
"南极的北瓜","男","广西","35223356","6","","10000","200","","希望能出十三英桀的日常番，就算是幻想的世界我也想看看她们"
"KSCN不想接触酸","女","辽宁","396835778","6","","10000","6","","兄弟们，今晚八点，我在虚数之树等你[doge],我的爱莉希雅！我的十三英桀！主教大人，再带大家冲一次虚数之树吧！[大哭]"
"空想家-亚当","保密","山东","2102095036","5","","10000","104","","苏·摇滚（上）,科斯魔·魔术（中）,千劫·手术助手（下）,可集成整活者套装，让被刀的舰长笑出来"
"是kiana宝","男","广东","353817296","6","异常生物","10000","105","9","早上化妆课堂，下午看爱莉下午茶[乃琳Queen_MUA!]"
"爱莉希雅的分身","保密","广东","1611199458","4","","10000","49","","让那最强大的，遭受救世的孤独。【救世】,让那最真挚的，覆上背叛的面具。【真我】,让那最悲悯的，受到命运的操弄。【戒律】,让那最优雅的，抹去傲慢的资本。【黄金】,让那最复杂的，无法于演台起舞。【螺旋】,让那最疯狂的，丢弃生存的意义。【鏖灭】,让那最觉悟的，陷入我执的困扰。【天慧】,让那最牵挂的，失去唯一的系念。【刹那】,让那最向往的，打碎过去的理想。【旭光】,让那最好学的，因生死陷落无限。【无限】"
"咕哒official","保密","广东","99711621","6","2233幻星集","10000","4","","最开始大家聊到凯文：无敌老祖,后来大家聊到凯文：嗦面人,现在大家聊到凯文：……cool"
"帅气的多肉君","男","浙江","59693513","6","神乐七奈","10000","182","6","中饭不吃，我直接和爱莉吃下午茶，兄弟们我做的对吗[大笑]"
