"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Loeat","男","无IP","233675411","6","","10000","2416","12","yysy，每次看到后崩的3人小队总能想到迪加：,复合型，男主；空中形，芽衣；力量型，卡罗尔,[doge]"
"郡千景-","女","无IP","318659199","5","崩坏3·天穹流星","10000","131","","还是觉得卡萝尔上舰离谱，毕竟是后崩的嘛，主线都没结束就加到里面，好奇怪啊，每每看到都会想到琪亚娜不在了[委屈]"
"半夕苦旅","男","无IP","6252415","6","崩坏3·天穹流星","10000","327","","突然想到既然是崩坏消失之后，那所有律者的能力应该也都消失了吧，不然第一章结尾芽衣也不会这么拉了"
"Sennyuki风早千雪","男","无IP","23938690","6","异常生物","10000","1465","12","能体验体验鸭鸭！好耶！！！"
"夜兰yorumokuren","男","无IP","29664348","6","","10000","716","","39秒处桌子上面三张卡分别是宵星之机神 丁吉尔苏，星杯战士 宁吉尔苏，宵星之骑士 吉尔苏[doge]"
"f-shock","男","无IP","40311164","5","","10000","1793","","总觉得三蹦子出角色越来越自由了，现在就算元旦出个三月七我都不觉得奇怪了。[妙啊]"
"守护型自律作战单位A1","男","无IP","16505448","6","一周年纪念装扮","10000","4991","","卧槽！卡萝尔八成是拳套角色,专属武器圣痕有极大可能是加物理攻击或者暴击的,也就是说……,白夜：我将！重回巅峰！听话，让我康康你的专属拳套还要圣痕！,也不排除武器主动是投技，只能卡萝尔触发，加的都是投技伤害,如果拳套角色都能触发……,白夜:我将！扭转万象！"
"老板娘雷电芽衣","男","无IP","321984851","5","","10000","1","","卡罗尔:哎嘿[原神_欸嘿],礼貌杏:你吗[tv_冷漠]"
"の尼桑","男","无IP","39788079","6","","10000","2102","13","5.3（「后崩坏书」序章、主线第二十七章「愚者的黄昏」、「崩坏国记·零」和「星与你消失之日」）,[热词系列_知识增加]:我都不敢想象5.4你们要做什么！"
"雷光NEXUS","保密","无IP","312587434","5","","10000","2807","","好消息：,1.下版本送理之律者角色卡,2.识之律者加入乐土,3.活动星星消失之日复刻,4.可以提前体验后崩板鸭,5.乐土一个角色装甲等级达到5，10，15分别可领取水晶，一个角色最多可领200，全角色都有预计可领3000水晶,若还有最新消息欢迎补充"
"乔老板的退休生活","男","无IP","497749570","5","崩坏3·天穹流星","10000","21","11","鸭鸭眼睛没有高光，危 希儿 危 [灵魂出窍]"
"叫我雨洛就好了","保密","无IP","67782385","6","崩坏3·天穹流星","10000","487","","真的是新sp角色卡罗尔，有个预言家说中了[藏狐]"
"情苑","保密","无IP","354334495","5","","10000","4","","我宣布我下版本就是bvb（直到搞阴间活），理鸭白送（虽然我有，但有晋升印章不亏）还不是周年庆和过年！现在看来5.4版本必是后崩2了，这5.2，我是一秒待不下去了[打call]"
"账号已注销","保密","无IP","640689921","0","","5000","646","","把消息放出来！5.3理律白送！！,mvb续费两个月[妙啊]"
"海阔-凭于跃","男","无IP","396625503","5","","10000","319","","根据上一次后崩坏书专辑的经验，我决定将后崩2新PV主题曲Oracle倒过来理解，那就是Elcaro。,随后，我通过搜索，找到了这份资料：,胡安·塞巴斯蒂安·埃尔卡诺(西班牙语:Juan Sebastián Elcano，1475年-1526年)，文艺复兴时期欧洲航海家。麦哲伦五艘船队中的一艘船的船长，麦哲伦被杀后他继任船队指挥。,同样将Oracle的单词进行排序你就会发现它也能是卡萝尔/Carole这个单词，不得不说，米忽悠藏得真细。"
"鹅是个姜丝","保密","无IP","382006337","5","","10000","322","","这波是史诗级削弱[笑哭]又一个被崩坏封印双腿的可怜人[doge]"
"真我之印爱莉希雅","男","无IP","415301712","5","","10000","44","","后崩坏书的布洛妮娅是用的弓箭，而不是贯穿了整个崩坏三的重装小兔。漫画里重装小兔是希儿的权能造出来给布洛妮娅的。。。大概米哈游是准备好一把大刀了，黑希为白希，希儿为布洛妮娅[大哭]"
"不是时常","保密","无IP","344375918","6","崩坏3·天穹流星","10000","1","","下版本复刻星与你消失之日？！！,天哪，编剧你们想干嘛（,盲猜崩坏奇谭传和光锁迷城应该也会复刻……,如果这两个也复刻的话，舰长线可能要进入新的剧情阶段了（刀刀刀刀刀刀）"
