"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"艰苦干枯","保密","无IP","9341138","6","","10000","6856","","先前云墨已沉船，,月轮皮肤再保底。,如今又出鹅骑士，,不知得剩水几何？"
"一个保熟的瓜","男","无IP","262024290","5","星座系列：水瓶座","10000","11328","","煮饭婆啥时候能站起来[doge]"
"软趴趴的小谷菌","男","无IP","19284155","6","绯赤艾莉欧","10000","4170","","凯文:华，你变了,符华:或许吧，大幻梦森罗万象狂气断罪眼！,凯文:？？？"
"无畏绅士","保密","无IP","16893394","6","","10000","4878","","3.9  暴雨将至,4.0  乌云密布,4.1  电闪雷鸣,,也就是说芽衣在雷律觉醒前，也许还能再吃两次瘪……芽衣，吃瘪滴神!"
"LRSaikai","女","无IP","153203852","6","","10000","2994","10","贝贝龙出现前和出现的那几帧。,在地上移动的视角和往天空看贝贝龙的视角是模拟蛇的吧。,你游这细节，顶。,[doge][doge][doge]"
"叔_君","保密","无IP","290424739","6","","10000","2396","","是我的错觉吗？感觉这个cg的bgm跟以往的不太一样，没有给我热血的感觉，反而品出了悲壮、一往无前的味道[思考]"
"juezhanjsby","男","无IP","35025662","5","崩坏3·天穹流星","10000","1292","","s呆鹅来了，机械属性，我愿称她为机鹅[崩坏3_糖葫芦]"
"死破烂","保密","无IP","108399131","5","","10000","1586","","趁许愿大军还没到先洗洗眼睛"
"绵绵弹豆芽","保密","无IP","30246021","6","","10000","1339","","雅诗兰黛她来了"
"月纤HDK","保密","无IP","252433820","5","","10000","1863","","第一个MA7UEB7UYXUY第二个JA6CEB7CYEU2赞一下谢谢[保佑]"
"雪丸Maruko","保密","无IP","25403062","6","鹿乃","10000","1500","","JA6CEB7CYEU2"
"青灰与白","女","无IP","34230406","6","异常生物","10000","971","","强烈预感，下个s级就应该是我饭之律者了。芽衣，从1.0版本穿到现在的4套装甲。从女王降临到呆鹅出世，一路挨操。固然我老婆人设上脾气温柔，但再温柔的人也该生气了。实在不行给个围裙也好呀，说好的御三家两个都换了新衣服原地升天了（尤其是某位俄罗斯鸭姓少女，连黑化加摩托都7套装甲了），怎么说也得给我老婆个翅膀飞一飞了吧，这要求不过分吧，对吧，对吧？（疯狂暗示）[热词系列_知识增加]"
"崩坏3第一偶像姬子","男","无IP","282232030","6","向晚大魔王","10000","975","10","这直播风气真的很不好，开场一堆人催水晶，刚过了一个又催，给两千星石又说小气，我真服了"
"顾影裴回","女","无IP","33293263","6","","10000","585","","所以她前胸的两块布是怎么固定的[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]"
"青秋月夜","保密","无IP","454060809","5","","10000","535","","就问一句，大电影什么时候出？(集合了集合了↓)"
"Angolless","保密","无IP","176266619","6","","10000","444","10","“The people I love, the people they love, and every single individual,aware of their existence,,are the ones who made me who am.”,“为了我所喜欢的人，为了这些人所喜欢的更多的人，为了所有让“人”能够称之为“人”的人——他们曾经使我获得了感动，而我也愿意献上自己的一切来守护他们。”,————比安卡·阿塔吉娜（12岁）"
"蓝天的蓝wd","男","无IP","118402244","6","崩坏：星穹铁道","10000","640","2","有紫苑就不用抽呆鹅了[妙啊]"
