"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"云喵喵嗷","女","无IP","52914908","6","良辰美景·不问天","10000","16249","","“比起这个世界，你更重要”所以老婆别管什么为美好世界而战了，回家做饭吧[tv_难过]"
"爆裂菊是也","女","无IP","920713","6","","10000","87338","","[大哭][大哭][大哭][大哭][大哭][大哭]"
"笨笨笂_彭博","男","无IP","28021954","6","","10000","21780","7","求放过我们这些做声音的人吧[tv_doge]"
"名字不好听随便取名字","保密","无IP","132948916","5","","10000","33004","","御三家的动画，我算是有点明白了,布洛妮娅是拯救，拯救希儿，同时摆脱自己内心深处的迷茫，拯救自己。,琪亚娜是救赎，对自己犯下的罪孽(自认为)的救赎，同时维持着自己的本心，不惜自己的生命，守护着自己的同伴，守护着这个自己深爱的而又不美好的世界。我想说，哪怕她只是克隆体，也无愧于那卡斯兰娜家族之名。,芽衣代表着守护，她想守护的人只有一个，那就是琪亚娜，为此不惜与她分道扬镳，哪怕前方的道路是深渊，她也要咬牙走下去，只为与琪亚娜一起扛上她肩上那沉重的责任。"
"太平洋の老船長","保密","无IP","28302695","6","","10000","46840","","芽衣·公主（上）,芽衣·花嫁（中）,芽衣·生日（下）"
"亚索の疾风剑豪","保密","无IP","143516409","6","良辰美景·不问天","10000","20625","","我看着下手都有点重了。让我用白练打律者，这是人干的吗[doge]"
"shinano信浓","男","无IP","3095471","6","原神","10000","37237","","曾经的芽衣选择逃避命运：她害怕自己再次被崩坏支配而伤害其他人，更害怕琪亚娜在履行承诺的过程中牺牲。所以她唯一的愿望就是将琪亚娜带回休伯利安，回到以前的和平生活。,现在的芽衣选择接受命运：她知道律者身份是挽救琪亚娜的必要条件，更知道琪亚娜生存的唯一动力就是承诺。所以她唯一的目标就是替琪亚娜承担这个风险，就算代价是坠入黑暗。,,即使远离身边，即使不被理解，即使兵刃相向，她也不会后悔。,神父奥托说：“人的第三次成长，是在明白有些事没有对错之后，依然坚定地去做自己相信的事，并为之负起责任。”,,为了让琪亚娜活下来，芽衣不惜变成助纣为虐的罪人。,雷光斩断回忆和幻想，这场战斗是她献给过去的挽歌。"
"果蝇轰","男","无IP","8469526","6","","10000","25375","11","最近活动的小剧场，对芽衣的内心世界和过去又做了一些补完。,我们能够更刻骨的感受到，芽衣内心的寂寞和不甘。这个女孩从前因为父亲的光芒而享受着“温暖”，但变故之后，仅剩她一人。,而这个时候，只有琪亚娜真心接纳了她，支撑起了女孩支离破碎的内心，变成光明照射进来。,或许是有些扭曲的支配欲，或许也只是芽衣的不甘和无力，但看着给她温暖的女孩渐行渐远，走向毁灭，她知道她的确该做些什么，即便现在就是分离，即便现在开始就是无边的孤独，但过去，是这个女孩拯救了她。,所以现在，就让自己来堕入黑暗，换她回到光明吧！,-----------,所以说，老果头的思念已经传达出来了！！希望大家也能和我一样喜欢煮饭…芽衣！喜欢雷律！,赏评什么的在写了！"
"偶哈迪斯","保密","无IP","44998725","6","明日方舟音律系列","10000","39987","","万人血书崩坏3出大电影,[热词系列_知识增加][热词系列_可以],↓"
"梅初丶","男","无IP","259922702","6","","10000","26486","","崩三剧情现状：,编剧：你们觉得琪亚娜怎么样？,玩家：可爱，元气娘，跟芽衣快结婚,编剧：好，给我变律者,玩家：..,编剧：你们觉得芽衣怎么样？,玩家：好温柔好贤惠老婆快喂我,编剧：好，先让她啥也做不到再变律者,玩家：..,编剧：你们觉得板鸭怎么样？,玩家：请让她和希儿来我卧室一趟,编剧：哈哈没想到她莫得感情。不够，送到量子之海变律者再给我变回来,玩家：...,编剧：你们觉得姬子怎么样？,玩家：请务必让她做我老师,编剧：好，让她跟她最亲爱的学生打一架，扬了,玩家：？？,编剧：你们觉得符华怎么样？,玩家：神州有一仙，寸劲可开天,编剧：好，把她身边亲人先灭了，再给我变成羽渡尘,玩家：..,编剧：你们感觉月下怎么样,玩家：官配cp永远的神!,编剧：好，先亲手把她姐姐撒了，每年夏天分别一次,玩家：...,编剧：你们觉得丽塔怎么样？,玩家：别杀了!丽塔快点做我老婆吧55,编剧：好，死。复活后和观星永远分开,玩家：...,编剧：你们觉得观星怎么样？,玩家：...,编剧：都给我分开,玩家：.........,编剧：你们觉得小八怎么样？,玩家：这个应该没事..,编剧：把她妹妹当她面扬了，封在圣痕空间别出来了现在的我：杀吧杀吧，已经没有什么好怕的了"
