"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"情是回忆","男","无IP","85844187","6","碧蓝航线2020","10000","2148","","这是？"
"小黑家的猫爱吃香菜","保密","无IP","399606271","5","","10000","1758","","害以为更新了[doge][doge]"
"陈拾玖nineteen","保密","无IP","19803587","6","","10000","1342","","没什么好说的，那就祝大家每次深渊顺利保级吧[doge]"
"白渊Ab-grund","保密","湖南","50113986","6","","10000","65","","这歌越来越像是唱的舰长和月下。,,[辣眼睛]要是这次活动最后放这个我称其为绝杀"
"北之舰娘","女","无IP","281636330","3","","10000","12","","看似唯美的歌曲里藏着nm的青龙偃月刀,歌词和18夏活联系起来的话，,“你的话语”指的是舰长告诉月下做为人的意义,最美的回忆不就是和月下共舞吗,约定和愿望不就是一起去吼姆乐园吗,吼姆乐园是什么地方，熟悉崩坏系列的都知道，不是大糖就是大刀，从崩3仲夏幻夜到崩2逐火之蛾,不说了,我枯了"
"塔奇克马二号机","保密","无IP","141066423","5","#EveOneCat","10000","13","","来自官方7月24日发布的动态：,★爱酱小贴士：因内容优化原因，《女武神的餐桌》第三话将于8月14日18:00播出，敬请期待！,我是老实人（bushi"
"万劫须臾","保密","无IP","179326462","6","","10000","1190","11","★爱酱小贴士：因内容优化原因，《女武神的餐桌》第三话将于8月14日18:00播出，敬请期待！[崩坏3_糖葫芦]"
"万华凑","保密","无IP","525535430","5","","10000","363","","我要赵路老师唱[doge]"
"Emiya轩","男","无IP","12206319","6","","10000","188","","懂了，煮饭婆因为看了一眼安娜想起了虫，又吃了一嘴的狗粮，导致没心情做饭了[doge]"
"德丽莎LunaKindred","保密","河南","177657042","5","","10000","1","","我记得五点天台的约定（去吼姆乐园，吃冰淇淋）,你眼里倒映着银河系（你就是我的全部我的宇宙）,风吹过一起回家的小路,和你约定过将来的梦（穿着花嫁许下未来必会再见的约定）,你的话语在,我的心回响,记忆是盛开的魔法,想好好的说声再见（再也实现不了的约定，连再见也说不出口）,在那一天来之前,和你一起许下愿望,这光芒温暖你的颜,我永远不会忘记,从黄昏起最美的回忆(一切变成了我独自的回忆)"
"不会取名真痛苦","男","无IP","178430461","5","","10000","1","","上次是谁来了一个预言家[笑哭][笑哭]因为婷跟传了个op，评论区就有人说，下一次官方不会穿着ed糊弄我们吧？我严重怀疑官方是看到那个人的评[笑哭][笑哭][笑哭]预言家给爷跳出来！[笑哭][笑哭][笑哭]"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","70","6","开。。没饭了！[大哭][大哭]"
"倾媚バ狐儿ズ","保密","无IP","35326194","6","","10000","28","","不好意思啊。这歌词里边儿写的都不是你我。,而是舰长...,月下初拥...,与时间相处的约定,到那一天，不知是什么时候。,观星千万次的尝试。,只为能把她带出这个因果。,千年前许下的愿望，以及期待那未来相遇的某一天。"
"阿比盖尔哒","男","无IP","564841071","5","","10000","6","","[崩坏3_特效][崩坏3_唢呐][崩坏3_琵琶][崩坏3_二胡][崩坏3_笛子][崩坏3_镲],[崩坏3_糖葫芦][崩坏3_路过][崩坏3_魔法少女][崩坏3_糖葫芦][崩坏3_路过][崩坏3_魔法少女],[崩坏3_吃瓜][崩坏3_吃瓜][崩坏3_吃瓜][崩坏3_吃瓜][崩坏3_吃瓜][崩坏3_吃瓜]"
