"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"無量塔-姫子","女","无IP","29247635","6","","10000","30132","","寻人启事,姓名:无量塔 姬子,性别:女,年龄:29,身高:167CM,容貌特征:红发金瞳,2018年12月14日，只身与空之律者展开决战，惨胜之后坠入虚空，生死下落不明，失踪时身穿弑神铠甲真红月蚀，外观为红黑色。,望广大群众提供消息，重金酬谢,联系人:休伯利安清洁工 ,             雷电芽衣,             德丽莎 阿波卡利斯,             符华,             布洛尼亚 扎伊切克"
"休伯利安舰長","男","无IP","33294981","5","2021拜年纪活动专属","10000","15209","","姬子舍命一击攻破了女王的防线，最终成功将血清打入琪亚娜体内，律者的力量正慢慢从琪亚娜体内分崩离析……,而耗尽所有能量陷入昏迷的姬子，此刻坠入了随着律者力量的消失正在瓦解的虚数空间内，而就在姬子生命垂危之时，仙人符化曾留给姬子的一根上古神兽凤凰的炙翎之羽发出了光芒，它涅槃重生的功能开始发动，并伴随着由燃烧宝石所制成的真红骑士铠甲残留的最后一点能量，一团不灭之火包裹起姬子全身，不断衍射出生命的光辉……,随着虚数空间的完全崩塌，一团火光照亮了整个场景……,光芒散去，周遭的景色是破损不堪的休伯利安甲板上，姬子缓缓的睁开了双眼，眼前是倒在甲板上的白发少女，最后一丝崩坏能正从她身上消散开来，她的脸上是那么的平静，仿佛什么都没发生过一样，她就像睡着了一样，而身后传来一连串急促的脚步声，和一个个熟悉的声音正在呼喊着姬子的名字……,姬子微微闭上双眼，嘴角轻轻的上扬……,""我回来了…"""
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","8234","12","在所有的女武神中，只有姬子的闪避是默认向前的,转自网易云音乐@Dcrow"
"威武雄壮的扥扥","男","无IP","6101858","6","","10000","4211","","不知道算不算彩蛋，,宿舍里姬子会对着简约照片墙自言自语,“我的学生们，看起来还是非常优秀的嘛”,“可恶，突然发现……”,“我和琪亚娜她们还没有合照”,“学生的毕业照，”,“老师也会出镜吧？”,“希望我还能等到那一天……”"
"阿尔兹帝","保密","无IP","89618742","6","","10000","3451","10","歌名《nightglow》名为“夜气辉”，是一种光学现象，气辉这种光学现象导致背向太阳的夜空即使排除了星光和散射的阳光，也不会完全黑暗                  “姬子，你就是那照亮黑暗的光！”来自网易云音乐用户评论"
"没人关注的科普球","男","无IP","18627595","5","","10000","7850","","蔡健雅,蔡健雅，1975年1月28日出生于新加坡，新加坡歌手、音乐制作人。1997年，在新加坡发行英语专辑《Bored》而正式出道。1999年，推出首张同名专辑《蔡健雅》。2003年，发行专辑《陌生人》。2006年，凭借《双栖动物》获得台湾第17届金曲奖最佳国语女演唱人奖。2008年，凭借专辑《My Space》获台湾第19届金曲奖最佳专辑制作人，最佳国语女歌手奖。2012年，获第23届金曲奖最佳国语女歌手奖。2013年，发行专辑《天使与魔鬼的对话》，入围第25届台湾金曲奖最佳国语女演唱人奖。2014年，作为导师参加综艺节目《中国好歌曲》。2018年4月15日，获第二十二届宝声音乐全球华语榜中榜暨亚洲影响力大典Channel V亚洲音乐风尚大奖、亚洲影响力最受欢迎女歌手奖。12月7日，发行单曲《遗书》。"
"冰洢","保密","无IP","22082428","6","","10000","6305","","还是那句老话，请蔡健雅有我的一份力（qian）[小电视_嘟嘴]"
"又三郎等夏归","保密","无IP","37531140","5","2233幻星集","10000","2820","","姬子阿姨，你是迷路了吗？真的是，都是老阿姨了，还像个小孩子那样。这样的话可是找不到好男人的哦。,真的是，不负责任可是会被开除的。,圣芙蕾雅学院的学生还在等你上课呢.身为少校，可不能输给我们这群后辈啊。,宿舍里新换了沙发，茶几和书桌。,你一定会喜欢的。,训练室里的设施也更新了。不会再像刚开始来休伯利安时那样拥挤了。,很期待姬子阿姨在训练场上精彩的表现呢。,哦，对了，姬子阿姨。说起来，很快就是圣诞了吧，晶莹剔透的雪花洋洋洒洒地从半空中掉落，,一定很美吧。今年的冬天我们要在那里过好呢？今年也会在休伯利安一起赏雪吗？,哈哈哈，说是问你的意见，其实我果然还是想我们几个，你，琪亚娜，芽衣，班长，布洛尼娅，德丽莎一起过啊。,    我真希望我们还能像以前一样啊。(沉默),        今年的雪也下的非常大呢，你说是吗？姬子阿姨？,   ,,,某奥托于12.15日,捡到的来自,,休伯利安清洁工的一封没寄出去的信。"
"真义之","男","无IP","14062571","6","崩坏3·天穹流星","10000","2679","","看成兑换码的我还有救吗[小电视_哭泣]"
"麻辣香郭不加辣","男","无IP","11639459","6","","10000","2379","","这个节奏这个背景色调姬子怕是凉了"
"只音尼胎没","保密","浙江","1073667795","5","","10000","349","","尽管无量塔姬子早已消散，但是"
"Yuking-","保密","无IP","13931256","6","","10000","351","","「Nightglow」译为夜辉光，如同姬子一般黑夜中闪耀的光辉，只有姬子才能散发出的热能，在节奏上并没有「Befall」那般气势宏博，崩坏降临的末世感，更多的是描写姬子对拯救琪亚娜的信念和坚持，对命运的顽强抗争。,        曲调一开始的娓娓道来到高潮的命运高歌，像极了姬子的人生，没有与生俱来的力量，没有幸福的人生，只是这样一个平凡的女孩，踏上了寻找真相的路，成为女武神，与自身崩坏以及这个世界的对抗。在pv的最后一帧一帧的画面上是自己的同伴，羁绊与牵挂，让人不紧潸然泪下。,        「所以请勇敢，活下去」,          不仅是姬子，也是所有与崩坏抗争的人们。"
"雨の夜明け","保密","无IP","176553815","6","星座系列：白羊座","10000","216","","不知道大家发现没有，整个游戏里，只有姬子的闪避是往前的"
"伊月俊_official","保密","无IP","2016114","6","梦100","10000","1685","5","求点赞，别让歌词在掉下去,Nightglow（崩坏3印象曲）,Music by HOYO-MiX,演唱：蔡健雅,作曲：蔡近翰Zoe,作词：尹纯青Eyn,编曲：宫奇Gon/Luna Safari,混音：宫奇Gon,制作人：蔡近翰Zoe,,The way I go through with red roses burn my eyes,道途之上，赤玫瑰灼烧我的双目,Cold rain starts pouring hard, I'm being called upon,冷雨如注，我于此只为一声召唤,Never let you go, it's why I did them all,绝不放弃你，是我做这一切的原因,For a chance at least, to live in your way,至少这一次，以自己的方式活吧,Love of you is my most cherished thing,予你的爱是我最珍惜的事物,So stay alive, bravely,所以请勇敢，活下去,,I wish I could wake from the dream each time I dream,我希望从夙夜梦寐中苏醒,There's a long night coming soon, I'd shine as the last shine,很快长夜将至，我愿化作最后的光芒,Never let you go, it's why I did them all,绝不放弃你，是我做这一切的原因,For a chance at least, to live in your way,至少这一次，以自己的方式活吧,Love of you is my most cherished thing,予你的爱是我最珍惜的事物,So stay alive, bravely,所以请勇敢，活下去,,Never let you go, it's why I did them all,绝不放弃你，是我做这一切的原因,For a chance at least, to live in your way,至少这一次，以自己的方式活吧,Love of you is my most cherished thing,予你的爱是我最珍惜的事物,So stay alive, bravely,所以请勇敢，活下去"
"松露松针","保密","无IP","12111252","6","","10000","1195","","在所有女武神之中，只有姬子的闪避是默认向前的。姬子作为普通的凡人，最终只有死亡这一个结果在等着她。无论是因为人工圣痕的侵蚀，还是战死沙场，对于姬子来说都是一样的。姬子心里面明白她无法改变这个结果，因此她深刻地意识到自己没有退路，只能不断地向前走。以凡人之躯挥动弑神之剑，在姬子穿上真红装甲的时候她已经做出了自己的选择，也战胜了自己内心的恐惧。即便闪避前方的攻击，也绝不能后退，必须前进，才有可能触碰到希望。无量塔姬子，名副其实的伟人，英雄，下课了，请休息吧。,无论结果如何，谢谢你，姬子，谢谢你，米哈游。"
"葱油饼干P","保密","无IP","493975","5","","10000","1967","","草履虫是律者素体,牙医是第三律者,阿符是上级元的超级战士,大姨妈是融合崩坏兽核心的合成人,只有姬子阿姨才是这场战争中唯一真正的人类,“以凡人之躯，向天举起叛逆之刃”，从此极东支部再无王牌"
"深秋执念","保密","无IP","3159232","6","","10000","897","","抛开别的不谈，这部动画确实是崩坏系列的剧情高峰了，悲剧总是容易写真情，而且也能写的好，剧情的冲击力极其震撼，姬子本身作为一个悲情英雄来说，死在战场上的结局，可能令人无法接受，但是偏偏是这种剧情，在剧本构成上，最合适姬子，死在战场上的英雄，反而给人一种伊卡洛斯之翼的隐喻，其实大多数悲剧写的完美都是不能考虑读者的心绪的，因为每个人在心里都向往着完整的美好，这样写就无法构成一个完全悲剧式的结尾（参照龙族三，如果小巫女不死，就无法达到一个很好的悲剧高度，后期提起也不会引人共鸣），而且作为姬子的性格来说（通过玩逐火之蛾她对自己的评价来看），姬子是个宁肯战死沙场，也不肯苟活于世的人，我喜欢把她描写成悲剧英雄的样子，而不是个柔弱的女生。,虽然在我的心里，我仍然想站在她前面，为她挡住一次律者的冲击。"
"幽梦灬岚心","男","无IP","6966213","6","","10000","711","","各位亲爱的舰长，由于空之律者在最新的剧情中由于与无量塔·姬子对抗而被注射抗体变回白练，制作组临时决定回收各位舰长的空之律者角色和专属装备，并补偿各位舰长60水晶和30白练碎片，希望大家在今后的战斗中一如既往的支持崩坏3。[2233娘_耶]"
"小明有任意门","男","无IP","26964727","6","EveOneCat2","10000","674","","无量塔姬子，崩坏三背景最浅的女武神，她的身上没有很深的谜团，也没有被封印的强大力量。但每一次把重要的责任交给她的时候，当身边的人陷入危机的时候，她比任何人都要坚强，她总是冲锋陷阵的那一个，不是因为她有无可匹敌的力量，而是她那份强大的温柔"
