"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"ISZM","男","无IP","11948411","6","","10000","12626","","最后奥拓的那些话（发现最后也拯救不了这位骑士…）我就知道了，编剧已经杀疯了…刀，是刀，满天的刀[2233娘_大哭][2233娘_大哭]"
"嘣叮咣咚呱","男","无IP","15441947","6","","10000","6122","","雷律啊，我十连就出了，拿着长枪，还能把怪戳起来，我就...就挺高兴的，从来没这么欧过，就是雷律什么时候背着我烫了个金色大波浪啊[doge][doge]"
"北山山茶","男","无IP","38020056","6","","10000","10531","","沉船集合[大哭][大哭][大哭]"
"の尼桑","男","无IP","39788079","6","","10000","4766","13","在？雷律池子为什么只有呆鹅？这是不是bgm[doge] 修复一下吧！补偿就和以前一样5张扩充卡 就行啦，凑个整数吧 10张[doge]"
"C站警告","男","无IP","37700986","6","实验品家庭","10000","3133","","是时候猎杀评论区的欧皇了。我先来一刀[滑稽]"
"IRAS17514-1555","保密","无IP","66863394","6","","10000","2678","","擦，后面那个绿托说的我超在意，也就是说芽衣变律者后，发现还是没啥用，这不更绝望，禁止乳牙[无语]"
"我永远喜欢过气女团","女","无IP","23096526","6","hanser","10000","2282","10","都不让我氪金"
"卡萝尔佩铂","保密","无IP","103073295","5","","10000","1183","3","雷律我10连就抽到了，可惜不能打地藏和卡莲，但是优秀的是她那量子属性，还可以把敌人叉到天上，造成高额的火焰元素伤害[doge][doge]"
"蒾纞·","保密","无IP","11630201","6","","10000","929","","那个......萌新现在有5张卡和2000水，要怎么抽啊？唉，真的很难抉择，,要么5张卡先抽个s毕业雷律用着，水留着抽姬子，或者就直接水晶和卡一起抽个sss雷律，但这样就没法毕业了，,唉，不知道sss雷律和s毕业雷律选哪个好,[蛆音娘_滑稽]"
"一刃一心一刀斩情","保密","无IP","152252356","6","星座系列：双子座","10000","942","","没出货的非酋集合[大哭]"
"混亂TP","男","无IP","285858310","6","异常生物","10000","970","8","1.8w沉了[无语]"
"老瓦从不瓦","男","无IP","98845679","6","崩坏3·天穹流星","10000","655","10","雷律补给日志,抽之前:32348氵+10张扩充补给卡+10张精准补给卡,抽之后:剩余48氵,获得:,角色卡：雷律*1， 幽兰黛尔*1，誓约*2，深红*5，八重樱*4,装备：天極之匙，贝纳勒斯下，贝多芬上，石川上、下，睡美人，古斯塔夫上[崩坏3_危险][崩坏3_危险]"
"找人的莉莉娅","保密","无IP","454003524","5","","10000","837","4","献祭自己沉，大家都第一发必出！（煮饭婆加油呀）[打call][打call][打call]"
"污东面","男","无IP","8407799","6","","10000","1032","","3w水我沉了"
"没抽过奖但还是改名了","男","无IP","356293583","5","","10000","375","","出货的都在玩，沉船的才有时间来看[doge]"
"回复请回车","男","无IP","13380113","6","","10000","331","","米忽悠又压中大事了，今年正好是几十年来暴雨预警持续最长的一年。老天都在暗示雷律[滑稽]"
"我比汤圆还要圆","男","无IP","86354339","6","三周年恋曲","10000","434","","别被说池子歪的带跑了 直接毕业的不会在这炫耀 而没抽出来的或者歪的会来诉苦 所以显得池子很差劲一样"
"赤诚shiori","男","无IP","5591985","6","","10000","190","8","我的雷律呢？水晶没了，氪金也不行，两份痛苦叠加在一起，心情异常低落。没有五张扩充好不了。[大哭]"
"名为小苏","男","无IP","413404498","5","","10000","422","3","狗托集合[偷笑]"
"雪辰沙","保密","无IP","352751792","5","","10000","145","","现在统计一下天台有多少人在排队[吃瓜]"
"Ultraman-LEGEND","男","无IP","4087341","6","","10000","46","7","什么时候让绿托亮血条啊？我现在很想鲨了他[生气]"
"英国首相鲍里斯约翰逊","男","无IP","106633210","6","","10000","162","","伟大的奥托啊，什么时候能给我们讲讲卡莲和八重樱的故事呢？[doge]"
"没钱让我头皮发麻","保密","无IP","104554117","6","","10000","115","","草，不断攻击施加“鸣神”状态，加上原神新版本“不动鸣神”，真就芽衣在世哇[笑哭]"
"常盘台的大小姐_","保密","无IP","350488167","5","","10000","39","","可曾听过，奶香的一刀"
"BiKing567","男","无IP","434571339","6","星座系列：白羊座","10000","39","","20连把我荣光升了s，我TMD是不是血赚[笑哭][笑哭][笑哭][笑哭]"
"爱打游戏的御坂美琴","保密","无IP","34709144","6","战双帕弥什","10000","119","","帅帅帅！！！！"
"AceCool丶","男","无IP","8866362","6","原神","10000","38","","奶沟鞘[doge]"
"白色DEMON","保密","无IP","205144718","5","","10000","116","","我本人在此郑重声明，没有参与过任何形式的迫害芽衣女士的行为。,本人从未参与过任何迫害行为，对于各种行为也予以了强烈谴责。,希望各位群友能以我为鉴，三省自身。,也希望能与群友们，做到互相监督，共同进步。共同守护我们的芽衣天使"
"红信か","保密","无IP","375548523","5","拜年祭粉丝专鼠","10000","34","","今天为什么不能氪金？为什么不能氪金？为什么不能氪金？我就不能早点拿到我的煮饭婆吗？什么鬼游戏。,  ,  ,啊？什么？300氵？其实晚点看到煮饭婆也好，我相信等待的这份激动一定不会忘掉，三崩子可真是为玩家着想的好游戏"
"小鳥遊_六花-","女","无IP","702193145","5","","10000","93","","他问：“可曾听说过五香的一刀？”,我说：“孜然”,那一刀只有雷神下厨之时才可得见,那一刀是雷电将军厨艺的极致,是最香的象征,我将堕入厨房，换你一顿饱饭"
"宫廷丶土豆泥","男","无IP","4964221","6","2020拜年祭（鼠）","10000","50","","不说了90发沉了，游戏已卸载，从此粉转路"
"启子今天不吃饭","保密","无IP","20231773","6","崩坏：星穹铁道","10000","110","12","70连没中，血压飙升！！！！！"
"holidaysyndrome","男","无IP","382406917","5","","10000","38","","2021年7月9日直播的雷电将军是你吗？还是雷神？"
"御坂-20002","保密","无IP","135105978","6","","10000","99","","编剧疯了。,,看律者档案很有趣，胡狼真就是个疯女人。渡鸦姐姐还是那样。很担心芽衣见到孩子们还会是曾经那个温柔的大姐姐么？,琥珀也是s级，或者还有哪个s级？奥托本身就有超越sss的实力。,,世界蛇有好日子了，毕竟伙食绝对没问题[doge][doge][doge][doge][doge][doge]"
"诡丨策","保密","无IP","347650660","5","","10000","28","","旅长，原神好玩吗？[doge]"
"秋水梦兮","保密","无IP","6049647","6","至尊戒","10000","28","","80发沉船，芽芽男孩真的站不起来了吗！气冷抖[tv_笑哭]"
"丿纨绔彡","保密","无IP","37018993","6","","10000","59","","这波啊，这波是  荣光于我同在（a级荣光）"
"渎羽","男","无IP","3010002","6","","10000","66","","这照片是你吗（拿出雷电将军的照片）"
"ttttittttt","保密","无IP","4919534","6","","10000","27","","米哈游著名女演员"
"井上咲月","保密","无IP","178398099","6","","10000","612","","点赞都能毕业雷律"
"狄帕斯","男","无IP","286760719","5","","10000","26","","你们抽雷神关我雷律什么事？[doge]"
"美味的哈瓦玛玛兹","男","无IP","426894739","5","","10000","62","","看什么看这是芽衣，玩你的原神去[doge]"
"Milkitar","保密","无IP","13032351","6","圣诞节快乐","10000","25","","看看这充能辅助效果加上大招降下雷电一刀，坚定不移的性格，更不用提长相，如果最后雷神跟芽衣没点什么关系我是不信的[藏狐]"
"沐繇","女","无IP","259334774","6","碧蓝航线","10000","25","","我说一个数，隔壁雷神要是有雷律一半好看我就抽！"
"哎哟哎嚛","保密","无IP","4647390","6","崩坏3·天穹流星","10000","53","","氪金都不让我氪 我裂开了"
"比安卡-骑芽娜","保密","无IP","336739713","5","","10000","56","","可曾听说过无想的一刀？"
