"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"翰墨子时","保密","无IP","389253516","5","","10000","4333","","前天晚间广播站放了，好激动，一群韩语歌里听到这个我都激动死了"
"遇见更多美好","保密","无IP","495653954","4","","10000","3902","","我左手一只姬，右手一只鸭，身上还背着一个琪亚娜呀一芽衣呀哟！[滑稽][妙啊]"
"小林未郁miccabose","女","无IP","507505343","6","","10000","45983","","[tv_害羞][tv_点赞]"
"空心结衣","女","无IP","5681915","6","","10000","7750","10","琪亚娜：你知道吗芽衣，最终坠入黑暗的还是我。我已经去隔壁片场兼职了羡慕吗妹妹[doge]"
"游戏彩笔","男","无IP","1320581","6","","10000","19804","25","从崩2听到现在了，很熟悉，但每个不同版本，听起来都有不同的感觉[小电视_哭泣]"
"命运之涡","保密","无IP","230346442","6","","10000","10444","","祝大家都能出雷律，不出我帮你们担着"
"冰雨交加GaMing","男","无IP","6687136","6","崩坏3·天穹流星","10000","4542","10","居然有人不懂 她们为什么打起来[笑哭]      ,,  起因：琪亚娜经过“天穹流星”的她已经生命垂危[热词系列_危]，但是她义无反顾冲去阻止长空市的崩坏~,, 1.芽衣为了救琪亚娜命，决定变成真正的雷律加入世界蛇。, ,,2.琪亚娜不同意芽衣加入世界蛇，决定用武力阻止。然后开打~,  ,, 3.琪亚娜用白练（自己原本的力量）打不过已经律者化的芽衣，决定也要用空律的力量。, ,, 4.芽衣不想琪亚娜用律者的力量（琪亚娜已经非常虚弱，再使用律者的力量会让情况恶化），就下狠手打断她。最后无奈打晕_变成律化娜的虫虫。,,  芽衣：“我只知道，比起这个世界，你更重要！”"
"光墟","保密","无IP","33126631","5","星座系列：双子座","10000","5433","","雷光斩断过去    你我踏上歧路,Lightning tore our past asunder，and our paths were rent and split,当雷鸣散尽    暴雨停歇,Once the thunders lose voice，the storms are wept dry,我将坠入黑暗    换你回到光明,I will enter the darkness and return you to  bliss"
"N鱼丶丸N","保密","无IP","2407905","6","星座系列：天秤座","10000","4577","","是糖是糖哈哈哈哈哈哈哈"
"六枫RLS","保密","无IP","249156857","6","","10000","8081","","当你数年后被人翻出中二时期的黑历史.jpg,,卡萝尔:队长，可以再表演一下那个吗?,,亚当:我将坠入黑暗，换你重回光明。,,卡萝尔:“狂风，臣服于我!""”,,小乔:“一刀，了断!”,,老杨:“咆哮吧，俱利伽罗!”,,芽衣: ....."
"米游姬","保密","无IP","510189715","6","","10000","3723","","再听n遍！"
"星宫六喰___","男","无IP","35159124","6","星座系列：天蝎座","10000","3422","","凯文：雷电芽衣，世界蛇有一个很重要的职位非常需要你,芽衣：（激动得眼泪在眼眶打转）,凯文：世界蛇交不起电费了，过来发电,芽衣:     ……,凯文：还有一件事,芽衣：(再次喜极而泣),凯文：到厨房来一下，世界蛇需要改善伙食,芽衣:   wdnmd"
