"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"龙炽","保密","江西","2458921","6","","10000","9930","","时雨绮罗似乎还不知道，她那好友幽兰黛尔居然是自己的偶像塞西莉娅的女儿[滑稽]"
"穿人字拖去上班","男","海南","148239866","6","","10000","4566","4","他们甚至特意请一个 唱歌跑过调的CV[吃瓜]"
"问肯局长是不是基","保密","北京","23618219","6","崩坏：星穹铁道","10000","647","25","意料之内了[崩坏3·终焉归始_咕蛹者][崩坏3·终焉归始_咕蛹者][崩坏3·终焉归始_咕蛹者]"
"鼠鼠我啞","保密","山东","38756932","6","2021拜年纪活动专属","10000","831","","省流：sp机械冰辅"
"Azathoth0019","保密","云南","3493081542297678","3","","10000","735","","别问爱之宝石是啥，幽兰黛尔视觉小说自己看去，剧情好，有100水，而且还有不少糖[tv_doge]"
"M迭","保密","河南","186851857","6","","10000","129","10","以后可以这个小姐姐主持前瞻嘛，声音好好听哇[崩坏3·终焉归始_cool][崩坏3·终焉归始_优雅][崩坏3·光辉矢愿_大佬喝可乐]"
"天才游戏玩家Sirin","女","湖南","272762677","5","hanser","10000","1649","","枪……旋转……冰辅sp……懂了！是骇兔！"
"风马圭","男","河北","513210558","5","","10000","403","","多思考一下，在猫猫和素裳出来以后，骇兔的就业空间并没有完全丧失感觉还有大概1/4（纯感觉），所以时雨绮罗的出现，是要将骇兔的空间彻底挤占，而不是替换李猫，骇兔毕竟这么长时间了。"
"白沉rua","保密","山东","48113030","6","","10000","270","","“正因历经困苦，才企盼见到星光；,正因并非坦途，才确信值得付出。,没错，这就是「时雨绮罗」如今坚定走向的道路——,「我想成为，指引所有人的偶像——绮罗星！」”,,全新SP角色时雨绮罗「糖露星霜」即将于6.7版本与舰长相会，今天就请舰长跟随本视频，对这位新角色进行初步的探索吧！,,配音演员：,时雨绮罗——宋媛媛"
"-向阳四叶草-","保密","江苏","1336993561","4","","10000","6590","","芭芭拉穿越到崩三反而变得五音不全，大家有什么头绪吗[doge]"
"改-放","男","广东","32187114","6","","10000","4695","24","雨！抱起来狠狠地亲！[崩坏3·终焉归始_电力充足]"
"憨鸟三缘","男","浙江","86511609","6","崩坏：星穹铁道","10000","80","10","省流：五音不全[doge]"
"天华SRSH_","男","未知","1113890768","6","少女前线","10000","132","","你的下一个莱尔，又何必是莱尔[脱单doge]"
"魔城白衣","保密","福建","1854272","6","","10000","21","","羽兔：家人们，谁懂啊，今天去别的世界泡居然被人拿着狙砍了。,,所以，啊，时雨绮罗，一个憧憬塞西莉亚，干架风格却是双枪+大剑/大狙的角色。,……你怎么变成了你情敌的模样.jpg"
"果蝇轰","男","上海","8469526","6","","10000","274","11","时雨，唱歌，好听，单推捏[崩坏3·光辉矢愿_比心]"
"爱花姐的零","男","广东","17612403","6","EveOneCat2","10000","8","","省流：机械冰辅，踢猫"
"书焦恩俊","男","黑龙江","1114090211","5","","10000","6","","不要再自我欺骗踢骇兔了。这个就是用来替代非刚需冰冻积蓄槽boss的猫的。猫加伤时间和数值早就不够看了。就跟格雷修出来后大幅挤压卡罗尔的出场率一样，只能在破盾天用甚至有时还被格雷修在破盾天骑脸。"
"账号已注销","保密","天津","3461576510147287","0","总之就是非常可爱","5000","7","","所以是新的sp冰辅,啊啊啊啊，大德，超变华，大希怎么还没上啊"
"黛尔心上人","保密","湖北","2306292","6","","10000","31","","sp角色啊？好耶省钱了"
"一里の星歌","男","广东","20213905","6","崩坏：星穹铁道","10000","8","","老家伙下版本衣装做好点，不然会爆金币哦，虽然sp版本而且虚三家刚自选扩充过一次，爆金币是板上钉钉的事情了[笑哭]"
"WULA_HANA","女","四川","480035189","5","原神","10000","7","","冰辅！？冰队这么卷了，我该踢谁[藏狐]"
"ロ不会o做饭ロ","保密","江苏","268612529","6","快把我哥带走","10000","4","12","我先来，小姐姐声音太甜啦[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_燃起来了]"
"相见两无言","男","浙江","348586288","5","hanser","10000","44","","讲个鬼故事，在崩二里她是个每周要打的boss[大哭][大哭][大哭]"
"滑稽脸的折纸","保密","天津","353534652","5","","10000","1377","","双枪，大狙，明白了，是诗乃[崩坏3_刀]"
"磁爆步兵54","男","浙江","3443416","6","","10000","38","","好耶，是猫猫琪宝！"
"上古饿龙","男","福建","346768473","5","","10000","1212","","专武找到了"
"欧阳泺","男","山东","53648987","6","","10000","46","","我推的绮罗"
