"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"三月く雨","保密","无IP","18071770","6","","10000","330","","这是回音你懂吗？,是回音你懂吗？,回音你懂吗？,音你懂吗？,你懂吗？,懂吗？,吗？"
"蒂姆森-","保密","无IP","85440850","6","","10000","148","","第一"
"风流倜傥叮当猫","男","无IP","17052332","6","","10000","32","","下个版本我就熟悉米忽悠的内部结构了，策划你们小心点"
"灰灰灰海","男","无IP","23292254","6","原神","10000","28","","你一票，我一票，爱酱迟早能出道。,你不投，我不投，爱酱何时能出头。,你也忍，我也忍，爱酱皇冠戴的稳。,你不搞，我不搞。爱酱就会被打倒。,你放弃，我放弃，爱酱上街演杂技。,╮(￣▽￣)╭╮(￣▽￣)╭╮(￣▽￣)╭╮(￣▽￣)╭"
"季月とおか","男","无IP","89208082","6","","10000","26","","符合社会主义核心价值观的泳装[2233娘_喝水]"
"可可祭","男","无IP","17796246","6","","10000","18","","给三蹦子提个意见，可以在加载界面或者其他地方多加一下福利绘图吗？"
"笨兔子z","男","无IP","141486268","6","","10000","16","","零食箱我师傅送给我了，他找我要我的地址信息填上了我的(；ω；`)师傅真好"
"竿龌","保密","无IP","31814455","6","","10000","14","","我发现山吹恶魔皮肤的改动并没有公布到更新通知中. 角色衣服的腹部位置可以明显看出,拉链被拉上到肚脐的位置并在拉链边缘增加了灰色的贴图,肚子露出的面积减少了. 也许是崩坏3团队迫于政策原因做出了以上改动,但是请官方可以把这一改动通知给全体舰长. 恶魔皮肤是用水晶换的,即一部分舰长是通过充值购买的.. 通过购买得到皮肤的舰长都是消费者,所以我认为官方团队至少应该对产品(皮肤)的改动作出合理的解释,以为维护我们消费者与你们团队的良好关系,即是对消费者负责,非常感谢."
"式波明日香-","保密","无IP","14671544","6","","10000","9","","我觉得可以整治一下要水晶看留言党了，不知道多少贪水晶的被盗了号然后继续发"
"AbgrundKirche","保密","无IP","67942185","6","","10000","8","","从开始让策划直播大伟不播的时候，大伟的工作重心就搬回崩二了吧→_→敷衍的直播，不如以前尬聊怒X大伟，还有抽卡送水晶，不知不觉就给吃了(￣△￣)"
"KanoMirai","女","无IP","35801767","6","仲夏幻想","10000","8","","大伟哥现身了！,大伟哥开始了他的假动作！,粉白策划把球断了！,大伟哥被换下场了！,粉白策划红牌罚下了！,大伟哥又上场了！,啊啊啊大伟哥头球破门！,大伟哥:为什么头球我的后脑勺好痛(*ˉ︶ˉ*),haha~"
"十月的寒流","男","无IP","600592","6","异常生物","10000","7","","开头大伟哥尬聊的片段已经被剪掉了[小电视_无语]"
"高天上圣大天尊高上帝","男","无IP","26063068","4","","10000","7","","这欺诈消费者啊，压根就没有视频里的这些(;_)"
"怎么什么名字都被注册","男","无IP","34185183","6","hanser","10000","7","5","越来越短的直播，永远不变的尬聊，但是我喜欢(°°)"
"克鲁鲁ツェペシ","男","无IP","6639930","6","初音未来13周年","10000","6","3","零食我送朋友了希望他开心[2233娘_大笑]崩坏3能送我零食的时候我已经很开心了"
"czm009-173","保密","无IP","21215875","6","HINA","10000","6","","我又忘记拿直播的水晶了（/TДT)/"
"雾海幻梦境","男","无IP","3624521","6","新科娘","10000","6","","爱酱半夜偷电[蛆音娘_吃瓜群众]"
"两个孤单的影子","男","无IP","8206926","6","罗小黑战记","10000","5","","2.4会加qte开关吗？会加洗点吗？会加女武神萃取吗？"
"Fine-Asian","男","无IP","107926314","6","崩坏3·天穹流星","10000","5","","誓约皮肤通用吧 表示否则氪金皮只能变成收藏品啊"
"Win视窗","保密","无IP","10281250","6","","10000","5","","突然发现自己的账号还关注着这游戏。回坑，不可能的。╮(￣▽￣)╭"
"Emprtset","男","无IP","66777705","6","崩坏3·天穹流星","10000","5","","好想把右边卡莲裤子上的拉链拉开啊(=ω=)"
"茶发丸子","男","无IP","41392862","6","","10000","5","","我只想知道粉白策划被大伟哥打死没(｀ω)"
"海水有盐","男","无IP","12297642","6","","10000","5","","让姬子进入主流玩家视野………,一个小时前，刚刚用3s牛鬼切 轩辕套疾风打原罪18层的炽热闪电，清了杂兵单挑，砍了足足两分钟愣是没砍死。,然后又过了两层，用 巴鲁蒙格。沙比上 泳装中 特斯拉乐队 的sss深红打暴走泰坦，也是小怪清掉单挑。完美连击基本全触发了，旋转光刃也打了，最后还开了一会儿大。打了一分多钟我深红在6级流血下流血过多死了，暴走泰坦还有两格血。,唉……想说又不知道说什么，说不出话"
"划水中的滑稽","男","无IP","65365595","6","","10000","4","","12点up结束，11点维护，鬼才策划啊，蛤蛤蛤，呵呵呵"
"深山月坠浅池星","保密","无IP","107783023","4","","10000","4","","有哪位大佬退游吗，我会善待你的号的,（=￣ω￣=）"
"提瓦特幼儿园园长","男","无IP","17499520","6","","10000","4","4","虽然因为种种原因很久没玩，但还会经常看看崩三的视频，依旧觉得崩三仍然是最好的手游之一，质量完爆其他，就是太肝，以至于我这万氪预登录崩二崩三加起来玩了三年的死忠都弃坑"
"大汪和胖虎","保密","无IP","19422019","6","","10000","4","","刚发现浮华cg没有拿全"
"晚饭还没有好吗","女","无IP","14163901","6","","10000","4","","当我吃完晚饭回来打开直播，便听到了那句，今天的直播到这里就结束了，"
"假模","男","无IP","93341382","6","","10000","3","","千万别喷我.公司其实不是大厦,其实是一座和居民楼差不多大,别问我怎么知道的,求大佬别喷我"
"默雨以歌","保密","无IP","33122105","5","Kizuna AI","10000","3","","小闪电回来了！爱酱要开始偷电了！准备抓爱酱防止泰坦拳没电！！"
"火考鱼鱼鱼鱼鱼","保密","无IP","14955465","6","","10000","3","","跟金钱作对的人不会有好下场jpg"
"匚个嘚","保密","无IP","16108528","6","春原庄的管理人小姐","10000","3","4","真心希望2.4垃圾屋可以加入莫奈,关于驱魔里四星技能升级材料的问题，个人感觉木头4金叶4比较多，对于平民玩家要换火八碎片又要换技能材料的话严重金树叶不足，一个星期大概也就13个金树叶左右那么就是说一个星期3个碎片1个技能材料，我觉得这样比较不友好，个人认为可以把技能材料改成用白石头换，因为白石头真不知道应该怎么用，或者可以改成1个木头1个金叶，然后每次驱魔刷新只能换两个或一个星期5个这样，"
