"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"一只糯米滋","保密","无IP","35130865","6","","10000","6446","","我翻开视频  屏幕上写满了氪金"
"黯小玥Jeremy","保密","无IP","31043009","5","","10000","2974","","最后一句错了，应该是：终有一日，这颗天星的辉光将沦为下水道"
"IEIUM","女","无IP","346847962","6","","10000","2197","","在《崩坏3》后续的更新中，制作组将竭尽全力去避免直接改动已经存在的装备,角色，游戏机制等游戏内容。如果必须调整改动，制作组将经过内部讨论确定调整和处理方案，测试服.上线测试，测试服反馈收集，后续处理措施和意见征集的流程，直到准备好合理的后续处理措施才会决定将对应调整.上线。否则，绝不随意改动已有的游戏内容。,,新年伊始，制作组将以最高的要求和最大的努力做出更多更好的游戏内容。,,努力成为舰长喜欢的样子，才是《崩坏3》的最终目标。希望舰长能够一直 陪伴着我们。"
"鸟巢の咖啡师","男","无IP","143498127","6","时空穿越头像框","10000","1492","3","崩坏三[doge]"
"三颗星的彩色冒险","男","无IP","145982808","6","","10000","877","","求求你们了，既然呆鹅是个凤傲天，就别再包装她是什么靠努力当上的S级的人设了，努力我是没见着，各种爽文一样的挂和各种对她的蜜汁描写我倒是见够了，这就跟大家都是背负着苦大仇深的努力，还只能各种事情无能为力，到你这就是各种挂加身，吊打一群人，还天天嚷嚷着自己有多努力似的，跟富豪小姐看着贫民还嚷嚷着自己的日子有多苦似的，求求你们了，把她的人设摆正一点吧"
"风灵孤","男","无IP","29117185","6","","10000","720","5","请米哈游把崩坏3rd的app头像改成幽兰黛尔，琪亚娜这个角色是你们公司的开始，当然不可能成为结束，现在该在崩坏三这里停止，不是吗？我希望最后的结局是幽兰黛尔消灭崩坏拯救世界，然后主角团死的死，残的残，我没有看过幽兰黛尔的视觉小说，我也不想看，因为游戏主线对我而言是主要的，当然崩坏三的漫画跟游戏主线大相径庭我也无话可说，我对幽兰黛尔丽塔这对cp毫无感觉，我对卡莲八重樱这对cp印象深刻，以前是角色服务剧情，现在是剧情服务角色，各种空降，插队，不想说什么了，之前的主线写的还不如强推角色的活动文案，主角团不配，幽兰黛尔才配，编剧真有你的，数值策划，你想削弱牛下的欲望能不能掩盖一下？"
"天降老王","男","无IP","378370365","5","","10000","419","","不想说啥，没氵的兄die集合[难过]"
"洛杺","保密","无IP","178544491","6","梅提拉","10000","485","","今天ios畅销榜崩坏三都超原神了，骂归骂，最后还不是真香[无语]"
"流量大付","保密","无IP","29198170","6","","10000","432","","罗志祥暗改，ch爬"
"果蝇轰","男","无IP","8469526","6","","10000","423","11","我的中二升华又有参考了[滑稽]"
