"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"某科学の白井黑子","女","无IP","289169440","6","","10000","17351","","米哈游招聘:,策划要求:,无需学历，立即入职,美工要求:,美术学院毕业，拥有丰富经验者优先[doge]"
"命运扬帆起航","保密","无IP","1115415795","5","","10000","9405","","好消息:崩坏给高考考生送祝福了，不带货的那种。,坏消息:其实是崩坏学园2发的"
"酷喵喵尔","保密","无IP","209031607","6","星座系列：天秤座","10000","7577","","原神分级：12+,崩坏3分级：18+"
"魔法少鹅","保密","无IP","650730845","5","","10000","3247","","感谢米忽悠，让我在视频放出五个小时后看到15分钟前的评论[doge]"
"aisiterualan","保密","无IP","30944535","6","三周年恋曲","10000","2626","","这波弹幕和评论配合的不是很好[呲牙]"
"帶帝","女","无IP","492936606","5","","10000","3864","","我花了648回家给爸妈买了些礼物还一起吃了顿饭，大家伙请问我做的对吗？"
"幻想天际线","男","无IP","3364459","6","","10000","5412","","米哈游做的游戏很好，剧情很棒，人物也很好,路人们不要听评论区说的，赶紧下载吧，然后玩上一段时间，你就会加入我。。。。。。一起来骂米哈游,笑死，不喜欢这游戏的谁特么花这么大功夫当米黑,游戏很好，剧情很好，人物很好，但是全部木大,做的越好，毁掉的时候就越让人痛心,不知道这条评论能活多久，之前一刷新一堆高赞的全没了"
"泠妖妖","保密","无IP","696553481","5","泠鸢yousa登门喜鹊","10000","2533","","一天，崩坏三掉水里了,崩坏：救救我,原神：二哥拉住我的手我来救你,崩坏：下来吧，傻逼，早看你不顺眼了[doge]"
"灯泡量了","男","无IP","12554489","5","","10000","2370","2","米哈游做的游戏很好，剧情很棒，人物也很好,路人们不要听评论区说的，赶紧下载吧，然后玩上一段时间，你就会加入我。。。。。。一起来骂米哈游,笑死，不喜欢这游戏的谁特么花这么大功夫当米黑,游戏很好，剧情很好，人物很好，但是全部木大,做的越好，毁掉的时候就越让人痛心,不知道这条评论能活多久，之前一刷新一堆高赞的全没了"
"倏忽一梦中","保密","无IP","436556452","5","","10000","2993","6","“当我们真正开始创业做二次元游戏的时候，我们还遇到了一个难题，商业模式探索的难题。当时市面上的国产游戏，尤其是赚钱的国产游戏，都是大R付费模式游戏，就是游戏的主要收入都是靠大R付费用户贡献的，一个服务器排名前几名的用户可能能够充值几十万，甚至上百万。这些主流游戏的收入因PK仇恨而来，来源于玩家之间的竞争，我要比别人更强大，我要排名服务器第一；但是我们自己就不是这类用户啊，我们几个学生，玩游戏最多也就花几百块，哪里能够体会大R玩家充值几十万的心理啊，所以当时非常痛苦，真的不能理解。我们自己不玩这样的游戏，自己也觉得自己做不了这样的游戏。但是创业要赚钱啊，怎么赚钱呢？我们又回到了探索我们自身的需求，我们自己为什么喜欢二次元，因为我们喜欢沉浸在二次元的虚拟世界；我们自己为什么会付费呢？因为热爱啊，我爱这个角色，所以愿意为她付费。而这种付费冲动，跟当时主流的游戏正好相反，主流游戏都是强PK，因仇恨付费；而我们自己做的二次元游戏，就是要做为爱买单。”,——刘伟<米哈游联合创始人兼CTO，总裁>"
"穹廬","保密","无IP","179798252","6","泠鸢yousa","10000","1561","","我是隔壁过来的，这，看了前面都还挺和谐的，都说美术音乐带猪跑，跑了好几年了，这猪飘了，飞了俩月不下来了，这mhy是养了什么鬼才ch啊，[神乐七奈_疑惑][神乐七奈_疑惑][神乐七奈_疑惑]"
