"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"雪零沙","保密","无IP","65420041","5","","10000","816","","八重樱，嘤嘤嘤秘术：舰长补给全保底，舰长副本零掉落 ,在此祝各位舰长单抽出黑希，十连全毕业，蟹蟹[吃瓜]"
"天心蛇聿","男","无IP","12191769","6","","10000","573","","错过兑换码的集合[大哭]"
"夜灵的主人","男","无IP","285964189","6","","10000","409","4","82年体力药水，一瓶提升醒脑，两瓶用不疲劳，三瓶长生不"
"MAmian9527","男","无IP","8979420","6","碧蓝航线","10000","312","","宣传视频和游戏内容体验一样。请以手机性能为准。"
"小表弟扶他皮","保密","无IP","171248669","6","","10000","259","","参加完直播就直接飞非洲吗？[滑稽]"
"用来装笔的笔袋","保密","无IP","219658193","6","湊-阿库娅","10000","242","","跨～服～整～合～包～（怨气满满）"
"清零_Skywalker","女","无IP","5664935","6","星座系列：水瓶座","10000","160","","“奥托大人你不该出现在这里，你应该出现在《未定事件簿》里”（？？？）"
"这是可以说的","男","无IP","66295379","6","碧蓝之海","10000","142","","我比较在意的是补全舰长的设定"
"留留子","保密","无IP","416117266","6","","10000","139","5","想不出话（⌒▽⌒）{\__/} ,(  . ),/ >←希儿的爱,舰长你想要它吗?,,{\__/} ,(  - ) ,< \ ,先说琪亚娜天下第一"
"东皇鋈渊","保密","无IP","23401240","6","","10000","95","2","听说有玲车漂移，放送事故，然鹅我并不知道发生了啥…[大哭]"
"究极无敌可爱的刻晴","男","无IP","35617186","6","星座特典","10000","84","","忘了直播，错过一个亿。。。"
"Unknown引信","保密","无IP","95739573","5","星座特典","10000","77","","这晚的对口相声，效果不错呀[doge]"
"纯白恶魔_","女","无IP","34199793","6","","10000","70","9","在？姬子逝世出来解释一下？"
"卖咸鱼的泠鬏","保密","无IP","263050374","6","","10000","47","","我可怜的逆熵，原本咱们只需要锤奥托，现在还要锤世界蛇。。。。你们放过盟主吧( _ゝ｀)"
"账号已注销","保密","无IP","51960973","0","","5000","43","","策划说姬子逝世的部分在哪儿？没看直播，听群里人说的"
"hanser的大宝贝","保密","无IP","101681007","6","hanser","10000","36","11","爱酱我爱你～,,在我口中咀嚼的味道"
"Hiragi","男","无IP","255174088","6","","10000","36","","我打赌肯定会有人说点赞出黑希侠，我要是没抽到就锤爆你们狗头啊[doge][doge][doge]"
"书剧喜看莫路人","男","无IP","2781148","6","明日方舟","10000","28","","（第一次看崩三子直播）这两主播是相声学院毕业的？"
"黑曜石境","男","无IP","157348885","6","","10000","22","11","修仙党的胜利（×）,b站有房（√）"
"雨流流流","保密","无IP","9330267","6","","10000","19","","刚才隐约听到这两位说……姬子老师……逝世？？？"
"绫华宝贝_","女","无IP","207862346","5","崩坏：星穹铁道","10000","17","5","许愿出彼岸双生希儿！黑化什么最爱了啊啊啊啊啊！"
"白鸢狱渊Fugaxi","保密","无IP","171140092","5","神楽Mea","10000","15","","“上仙”瞩目[2233娘_大笑][2233娘_大笑]"
"是骰子不是筛子","保密","无IP","449148540","5","","10000","14","","不给我出女王给我出个希儿吧[2233娘_大哭]"
"悲风-而泣","男","无IP","12207977","6","进击的冰糖","10000","12","","伏特加男孩太草"
"张丶少爷","男","无IP","8610577","6","明日方舟音律系列","10000","9","","俺只想求求右边大哥扶下眼睛[小电视_发愁]"
"艾特玄学","男","无IP","341060568","6","崩坏3·天穹流星","10000","8","6","早安各位，今天又是一个适合爆肝的一天呢[吃瓜]"
"账号已注销","保密","无IP","316529702","0","","5000","7","","什么时候把生八也增幅一下吧，机制真的太难受了，和辅助契合度在所有c位里可以倒数了。希望策划大大能看到。[2233娘_卖萌]"
"柠檬缤纷果","保密","无IP","238248161","6","","10000","7","","3.5更新情报（X）,策划的枯燥生活（√）"
"还是这个名8","保密","无IP","7782893","6","","10000","6","","社会编剧是不是壮了，甚至有点帅( _ゝ｀)"
"带胶布311","男","无IP","95888104","6","星座系列：双鱼座","10000","6","","下一个增幅能不能是姬子？"
"丿倾城灬流逝","女","无IP","11698829","6","琉晶之礼","10000","6","","没啥好说的，那就祝在座各位舰长一发入魂出……符华碎片吧。"
"重装小兔423k","男","无IP","288979298","6","","10000","5","4","为什么看直播是，那么多人刷1和拉低中奖率，弹幕有抽奖吗？那个抽楼层不是米游社的楼层吗？"
"彩虹上的旅人","保密","无IP","4169780","6","","10000","5","10","可恶的包菜难道连舰长休息的时间都要压榨吗[doge]"
"黄豆der","男","无IP","66644963","6","喂，看见耳朵啦","10000","5","","大家千万不要在熬夜了，看到这里就睡了吧，不然就会犭"
"一张伍角钱","男","无IP","170700171","5","","10000","4","","原来是一个轮回啊，希儿生日开始，也从希儿生日结束，刚好到今年希儿生日，生日CG没了"
"土星泡芙","保密","无IP","58925145","6","天谕","10000","4","","这次手机是真的要去世了。。,也能看出来米忽悠听挺重视希儿这个角色啊"
"我果然还是喜欢短发","保密","无IP","17436050","6","","10000","4","","昨晚看lol比赛忘了崩崩崩直播血亏[2233娘_大笑]"
"柒澤原","保密","无IP","9548397","6","初音未来13周年","10000","4","","？有崩2的温泉刺激么？[蛆音娘_疑问]"
"绫华宝贝_","女","无IP","207862346","5","崩坏：星穹铁道","10000","4","5","这么晚了米忽悠还在工作吗？辛苦了鸭！"
"千鹤の开发日记","男","无IP","161816185","6","赏樱大会欧皇","10000","3","","3.5版本多会上线？"
"___Humble_","男","无IP","50588673","5","","10000","3","","熬夜一时爽，一直熬夜一"
"绫鈊lonelyday","保密","无IP","20061904","6","三周年恋曲","10000","3","","我现在就要决战至"
"咕咕咕鸥","男","无IP","35186034","6","","10000","3","6","来了来了"
"Star3Lyris","女","无IP","10421232","6","","10000","2","","以诸君欧气换我出S希儿，如果我出了米哈游我给米不间断充钱，如果失败了再也不充钱"
"璨灵圣光","保密","无IP","85893766","6","citrus","10000","2","","神州折剑录终于快出来了"
"泧","保密","无IP","390193353","5","","10000","2","","250水过期了没换血亏啊[2233娘_大哭]"
"-喧嚣之风-","男","无IP","30673706","6","","10000","2","","左边应该再配一个二胡"
"天羽の魂","男","无IP","49494937","6","","10000","2","3","姬子什么时候回归!芽衣什么时候觉醒律者[滑稽]"
"木之本樱-Sakura","男","无IP","77593115","6","","10000","2","4","布洛妮娅的彩蛋到底是什么?新动画还是新电影?"
"上课睡觉的幽幽子","保密","无IP","291308754","6","良辰美景·不问天","10000","2","","熬夜什么的真的没亻"
"雪飒丶","保密","无IP","397426774","6","","10000","2","","许愿双生，出必还愿[大哭]"
"刚好有硬币我就改了个名","男","无IP","22891122","6","","10000","2","","大佬们 求个水晶码？"
"苍白之悼","保密","无IP","244350841","6","","10000","2","","开什么玩笑，区区两点多绝对没问题的口[2233娘_耶][2233娘_怒]"
"灬vons灬","男","无IP","32473528","6","","10000","2","","都住B站的？[doge]"
"小表弟扶他皮","保密","无IP","171248669","6","","10000","2","","崩三第一秃头偶像。[妙啊]"
"梦寻梦丶","男","无IP","86507638","5","请吃红小豆","10000","2","","嘿嘿嘿嘿嘿"
"龗旎蒽","保密","无IP","384721027","6","hanser","10000","1","","[呲牙]崩坏国记再临，回来考考古"
"章鱼鸽白猊","保密","无IP","21131082","6","鹿乃","10000","1","10","我中挂画了！（加入被暗杀名单"
"兎神君","保密","无IP","16191994","6","","10000","1","","当初对抗崩坏的那三个女孩如今逐渐变成了崩坏律者！！！"
"我在非洲等你n","保密","无IP","20817256","6","","10000","1","","讲真，我希望舰长是女武神，然后开个百合后宫[画风突变]"
"_叶天-","男","无IP","27009426","6","","10000","1","6","我觉得吧，希儿现在觉醒了圣痕的力量，已经变得很强，那现芽衣衣呢？[傲娇]没有了宝石，在各种开挂的现在也许是没有用处了，但是我仔细想了想，猛然想起来，芽衣其实也是有圣痕的[惊讶]"
"一笑冻千秋","男","无IP","158565550","6","","10000","1","6","版本更新之后训练室没升满的，属性加成怎么算"
"冬虫言焱","男","无IP","45971392","5","","10000","1","","[doge]A8这耳朵，是不是等会儿还能看到她起飞"
"叛逆的欧尼酱","男","无IP","3977851","6","中野五月","10000","1","","我一直有个疑问，为什么奥托要和极东支部作对？极东支部的女武神不是律者就是上仙，你有什么把握能打的过？"
"议月","保密","无IP","33808372","6","刀说异数","10000","1","","希望只是说错了，如果是真的，那就准备去编剧家送温暖吧"
"四起尘烟","女","无IP","351245859","5","阴阳师海国之境","10000","1","","3.5版本什么时候上啊( _ゝ｀)"
"李奶奶挑大梁","保密","无IP","16505560","6","良辰美景·不问天","10000","1","","有丽塔我就爱"
"账号已注销","保密","无IP","407770044","0","","5000","1","","请问，两位是策划吗？如果是能把地址给我吗，我给你们送温暖[滑稽][滑稽][滑稽]"
"饭圈粉都是唐门子弟","保密","无IP","39994","6","","10000","1","5","太虚剑气这个体系什么时候登场？按照崩坏教室里的介绍，太虚剑气在崩坏3的世界观里是至关重要的东西啊。"
"托摩耶X托摩悠","保密","无IP","305209633","5","","10000","1","","道理我都懂，但你们12章结尾cg的bgm是崩崩大姨妈角色歌是咋回事捏？[doge]"
"晨风Chen","保密","无IP","261501713","6","","10000","1","","搞不懂为什么赶时间升级基地，下版本不是100%返还消耗的材料吗？也没有多返还啊。这版本升级用多少材料，下版本也就相比没升级之前多返还多少啊_(:3」∠)_而且金币是不返还的吧"
"KioSiPu","保密","无IP","279595817","5","","10000","1","","pv里的符华有手啊  谁说断臂的，站出来"
"千羽亦倾城","保密","无IP","19261473","6","洛天依9th生日纪念","10000","1","","美好没有永恒，当日常跌落正轨，她在量子之中流浪。,富丽堂皇的世界化为泡沫，幽兰的王冠也将成为漆黑的荆棘。,失去了亲族，远离了故土，在无数世界中不停流浪着的她，似乎被整个世界抛弃了一般。,“反正像我这样的人，也没人会期待吧？”,总是用阴沉的表情说着自暴自弃的话，那么今天的希儿会遇见那个让她打开心扉的人吗？,繁星点点的夜空，承载着梦想希望；愿去追寻去努力，追逐内心的光芒。,曾经的约定历历在目，懦弱的我却总是拖累你的脚步，这一次姐姐由我来守护。,诞生与终末、明光与暗影、永恒与瞬间……黑与白的灵魂，绽放双重的光彩！,希儿·芙乐艾，身化量子、铭刻圣痕、此时此刻，正乃彼岸双生之时！,而当她振臂高举，我愿身作长风，常绕战镰！"
"永恒的单身贵族","男","无IP","16040665","6","三周年恋曲","10000","1","","尼玛，越来越不需要手了"
"Mei汁衣想要光辉mm抱抱","保密","无IP","87451559","6","公主连结可可萝","10000","1","","这次直播开场的bgm……[吃瓜]"
"被窝里真的炒鸡幸福","女","无IP","20989711","6","","10000","1","2","放送事故的补偿什么的有在考虑吗（60氵暗示）"
"账号已注销","保密","无IP","407770044","0","","5000","1","","我想问一下别人一把中。我全保底。我们来谈谈[[微笑]"
"鹿鹿目目圆圆香香","保密","无IP","107651161","6","","10000","1","","原来就是你连响指都不会打"
"小粟良平","保密","无IP","32140608","5","","10000","1","","兑换码虽然重要，但你们的人物讲解也很详细"
"冥樱月","保密","无IP","46080707","6","","10000","1","","黑希为律者核心的产物，作为第二人格她并不会去害主人格，并且可以说是一种代玩。对了，如果黑希出来了，那么有一样重要东西也该出来了。顺带一提，在原历史中姬子还活着，不过也变成了律者。至于米哈游会怎么做我就不知道了，毕竟如果没出意外的话，“他”并不会出现。至少我目前为止就没有找到过“他”的存在。"
"_芽衣的大宝剑","女","无IP","293469349","6","","10000","1","","浮华上仙，寸劲开天"
"SSS比安卡","保密","无IP","92453600","6","原神","10000","1","7","！与希儿同一天生日。耶"
"让窝栞栞w","保密","无IP","441871190","5","呜米","10000","1","","早起的粥好烫，一刻钟了还没能大口喝Σ(д;)"
"陌鴻灬","男","无IP","80307252","5","","10000","1","","我才不会猝歹"
"放不下乃琳","保密","无IP","37050555","6","贝拉kira","10000","1","","夜晚才刚刚开女"
"心灰意冷的麻雀","保密","无IP","383420294","6","","10000","1","","只有弱者才需要睡觉[妙啊][doge]"
"天国之歌_Official","男","无IP","8474818","6","","10000","1","3","史莱姆是不会犭"
"Crystal-Sound","女","无IP","89358410","6","崩坏3·天穹流星","10000","1","3","855可否再战5个版本"
"是若粼的快乐水","保密","无IP","73317184","6","三周年恋曲","10000","1","7","欸。。。"
"UnreaL丨星空","男","无IP","27576361","6","崩坏3·天穹流星","10000","1","","熬夜党的大胜禾"
"独角鲸d","保密","无IP","402377655","5","","10000","1","","我才不会犭"
"菅野樹梨","保密","无IP","300017939","6","hanser","10000","1","","你现在才发？"
"知恩图抱_","保密","无IP","110926014","5","","10000","1","","24分钟前"
"迷途鹿茸茸","保密","无IP","87372639","6","","10000","1","","熟悉的面孔...有进步，加油啊[大笑]"
"雨墨兮YoMo","保密","无IP","320753381","5","明日方舟音律系列","10000","1","","米哈游万岁"
"琪亚娜家的猫","保密","无IP","41868240","5","崩坏3·天穹流星","10000","1","10","我才不会犭"
"虫虫是个英短懒猫","男","无IP","91230700","6","","10000","1","","猝死?[微笑]"
"一觉睡到月高起","保密","无IP","243832329","5","良辰美景·不问天","10000","1","","希尔我的，前排抱走[滑稽]"
"尘世彼岸花","保密","无IP","108851973","6","","10000","1","8","福利[吃瓜]"
"魔神机动侠","保密","无IP","22591731","5","","10000","1","","我才不会猝歹"
"wa我我","男","无IP","46699874","6","","10000","1","2","熬夜党的集合！"
"木知夕","保密","无IP","228157481","6","罗小黑战记","10000","1","","熬夜党的胜利"
"隐风youka","保密","无IP","143558716","6","登乐V计划","10000","1","7","都是没睡的"
"直升机摧毁停车厂","保密","无IP","170914801","5","2021拜年纪","10000","1","","啊？"
"ご病名灬为爱ぃ","男","无IP","170182525","6","横扫全场","10000","1","","深夜放毒[滑稽][滑稽]"
"楈i驆趨i","男","无IP","50401194","6","","10000","1","","wdnmd深夜福利"
"茉莉绿茶少糖","保密","无IP","5214277","6","","10000","1","","直播码已经过期了"
"账号已注销","保密","无IP","237563960","0","","5000","1","","http://www.bilibili.com/blackboard/x/moefes2019-m/share?share_id=237563960可以帮我点一下助力吗？"
"逆熵AI","保密","无IP","6365772","6","#EveOneCat","10000","1","8","看比赛呢突然给推送了"
"似のMisonoMika","保密","无IP","21412900","6","","10000","1","","大晚上放直播回放可还行[doge]"
"华天大门","男","湖北","351419949","5","最强蜗牛","10000","1","","前来考古"
