"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"八雲緋龍","男","无IP","15736071","6","","10000","6472","9","我能在这个活动里忘掉一切烦恼打奥托吗"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","4842","","万人血书暴打奥托周年庆活动（1/99999）"
"游戏彩笔","男","无IP","1320581","6","","10000","2632","25","热线是多少啊？[小电视_好怒啊]"
"小吉祥草王纳西妲","保密","无IP","132502614","6","","10000","1981","","我想要最后那张图，无字高清版的"
"无量塔姬子真红的凯旋","保密","无IP","33427674","6","","10000","1776","7","在一片凉凉声中，崩崩崩又开始了一个周年"
"Ly_寻星","保密","无IP","40548674","6","","10000","1186","","你将会收获惊喜，美食，欢乐，以及世界第一可爱的，，，，50岁大妈hhh[抠鼻]"
"星爵啦啦啦啦","男","无IP","92209828","6","","10000","882","","奥托这个老不羞，又在秀孙女[2233娘_喝水][2233娘_喝水]"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","617","6","德丽莎世界第一可爱！biubiu！[蛆音娘_卖萌][蛆音娘_卖萌]"
"幻与星尘","保密","无IP","73489641","6","原神","10000","429","9","学院长的热线电话麻烦交一下，谢谢[doge]"
"怠惰的黑猫","女","无IP","151306471","6","","10000","371","8","你将获得材料若干，水晶若干，皮肤若干，一个报废的肝"
"傲娇女仆丽塔酱","男","无IP","109475571","6","","10000","338","9","主教大人，拔刀吧 ,德丽莎大人是我的[蛆音娘_机智]"
"魔术王-所罗门","保密","无IP","8272734","6","","10000","322","","早上做梦一发出理律，醒来后一看真的有！原来是我半睡半醒时候抽了一发，然后睡着了[笑哭]"
"白樱兮沫","保密","无IP","85112503","6","#EveOneCat","10000","278","","绿托:在这里你需要做的是！爆肝！继续爆肝！忘掉所有工作来爆肝 圣芙蕾雅嘉年华 等候您的到来"
"淡紫色河豚","保密","无IP","24234560","6","","10000","142","","建议用开放世界地图做个PVP[doge]玩家分别操作开放世界的boss和三个女武神，boss每个技能cd比较长确保不能一直连招，然后boss满地图找女武神杀，女武神跟boss打游击战，a几下就去找血包找sp[妙啊][妙啊]"
"游城7十代","男","无IP","124799","6","碧蓝航线","10000","132","","放松完了之后就是12章后续剧情[doge],我觉得不太行"
"殇晓璃","女","无IP","37875603","5","","10000","113","","米卫兵报道（1/N）…"
"Dark萎割","男","无IP","113328225","6","崩坏3·天穹流星","10000","79","7","你游TapTap1000w下载了，是不是应该发点亮晶晶的东西庆祝一下[画风突变]"
"笙亦未凉","保密","无IP","233695780","6","咩栗","10000","77","","欢迎来到圣芙蕾雅嘉年华，在这里你将收获肝硬化，钱包空，三星武器与圣痕，祝各位水晶消费愉快，我们的口号是：玄不改命氪不改非[2233娘_耶][2233娘_大笑]"
"v1唯翼","保密","无IP","24543444","6","","10000","69","","爱酱爱酱  这个封面有高清原图吗"
"极乐鸟x天堂鸟","男","无IP","32067456","6","","10000","55","","网易云音乐，搜电台达贡之神力，第247个就是本视频的bgm"
"怠惰的黑猫","女","无IP","151306471","6","","10000","50","8","请问我能打死旁白吗"
"灰人","保密","无IP","562239","6","明日方舟","10000","29","6","要上了！舰长们，水晶和肝脏的储备还足够吗！"
"某科学の时崎琉璃","男","无IP","257372495","6","汉化日记","10000","27","","https://i2.hdslb.com/bfs/archive/5aaf51c198fef3a2f127cd0cc34e9a25ee548de4.jpg要个赞不过分吧[吃瓜][滑稽]"
"未完待续h","男","无IP","27463291","6","星座系列：天蝎座","10000","18","","求壁纸"
"利利卡因","男","无IP","30720378","6","崩坏：星穹铁道","10000","16","","你游在自己家三周年穿的一个比一个正式，在别人家穿的一个比一个暴露"
"曦梦紫星","保密","无IP","12054795","6","","10000","13","","bgm真好听什么时候单独放出来[小电视_太太喜欢]"
"柳洞弦","保密","无IP","12427151","6","","10000","12","","又是这种操蛋的大富翁地图，玩起来不烦吗走的又慢，战斗的时间还没走路的时间多"
"雲岚と夜","男","无IP","220156571","6","hanser","10000","12","","小兔人生赢家，一手抱俩[小电视_嘟嘴]"
"这里是小熊那","保密","无IP","107628842","5","","10000","11","","又被屑站限流，干得漂亮[小电视_差评][小电视_差评][小电视_差评]"
"哎哟哎嚛","保密","无IP","4647390","6","崩坏3·天穹流星","10000","9","","biu biu biu@花园花玲"
"冷静23333","男","无IP","141300837","5","神乐七奈","10000","9","","我要这个封面[微笑]"
"白彦少佐","保密","无IP","59496061","6","登乐V计划","10000","8","9","在这个周年庆活动里 你将会收获你肝来的东西（直接概括不就好了[笑哭]）"
"一杯清茶Whale","保密","无IP","6571253","6","巅峰荣耀","10000","7","","本视频对一切活动概不负责可还行[呆]奥托biss"
"账号已注销","保密","无IP","156701015","0","BML2020暗黑版","5000","6","","希望伤口有愈合的一天，虽然疤不会消失但也该让你长点记性。还有在背后搞这次事的垄断资本，将来你们一定会被净化掉"
"诺尔坦","男","无IP","109310354","6","","10000","6","","4周年会出什么好玩的呢"
"papaw炮炮","保密","无IP","228887391","5","良辰美景·不问天","10000","6","","求bgm"
"教父究极体","男","无IP","49083578","6","三周年恋曲","10000","5","","考古，看着寒心"
"夜灵的主人","男","无IP","285964189","6","","10000","5","4","在这里，你需要做的是忘掉所有烦恼，享受肝与氪带来的极致体验"
"秦氏沉默风","男","上海","446732955","5","双生视界·花嫁","10000","5","23","一晃而过，六年了啊，不过还是这首三周年的歌好听"
"Vandals破晓晨星","男","无IP","7341155","6","","10000","4","","这年我还是氪的最多的，寒心"
"明非灬小怪兽","保密","无IP","326050956","6","泠鸢yousa登门喜鹊","10000","4","10","求bgm"
"沐雅游荡","男","无IP","76063698","6","异常生物","10000","4","","奥托:本视频对活动内容概不负责，详情请咨询圣芙蕾雅学院学院长热线。,(一下出戏[笑哭])"
"-诸葛孔明-","男","无IP","180493067","6","","10000","4","1","什么时候才能和主教大人谈恋爱!"
"星嘤嘤尘","男","无IP","86160049","6","","10000","4","2","人生赢家重装小兔[妙啊]"
"东寒-寂雪","保密","无IP","383741452","6","灵笼","10000","4","8","血书，老娘的乔伊斯，约阿希姆，塞西莉亚全tn的让绿帽王奥托整死，结果还整死老娘的姬子，组团玩一奥N吃，有人没?（1/∞）"
"八重樱第一阔爱","男","云南","39538648","5","崩坏3·天穹流星","10000","4","","三周年永远的神，我最喜欢这首bgm！"
"欧派派蒙","男","无IP","85718811","6","","10000","3","","4周年应该会有吧？"
"Sakuralove1314-_","保密","无IP","86705668","6","雪未来","10000","3","","三年前把我带上船，本以为很体面，没想到成了清洁工，这期间遇上了她们，人妻满满的芽衣，呆萌可爱的德丽莎，傻里傻气的期亚娜，语气冷淡的布洛尼亚，永远帅气的姬子，我与她们一起欢笑一起吐槽，一起悲伤，我与她们一起成长了，休伯利安号上的所有人我爱你们，崩坏三我爱你，等你回家姬子."
"风言规","男","无IP","33554761","6","","10000","3","","那你热线电话呢!你倒是给老子留电话啊，电话线都给你打爆咯!"
"-三丘丘采药四丘丘嗷","保密","无IP","381083262","6","嘉然今天吃什么","10000","3","","这BGM我爱了(=ω=)"
"伊西多尔_R","女","无IP","17883170","6","EveOneCat2","10000","3","","if we keep kiana out"
"被瓦二特舔过的香蕉","保密","无IP","124067950","6","原神","10000","3","9","重装小兔 左拥右抱 人生赢家（酸）"
"一之上调和","男","无IP","15530459","6","","10000","3","","欢迎来到圣芙蕾雅嘉年华！，在这里，你所需要做的，就是氪金，还有爆肝，当然，你还能品味到来自排行榜上各位大佬的美味嘲讽，我是说，以及世界第一ZZ的德丽莎。（每次出活动你文案都削我德丽莎的智商，今年该削爱酱的了）"
"恶魔小熊亚种栖夜栖夜","保密","无IP","275667701","6","星座系列：天秤座","10000","3","","来了来了"
"隐形巫医的金剑","男","未知","351903587","6","崩坏3·天穹流星","10000","3","8","真泪目了，那个无忧无虑的暑假[大哭]"
"星辰象限","男","无IP","14458740","6","","10000","2","","[大哭]除了这个表情我还能说什么……"
"是七海海呀","保密","无IP","400124324","5","崩坏3·天穹流星","10000","2","10","不知不觉快四周年了，虽然可能最近发生了许多不好的事情，但我永远喜欢崩3，因为快要开学了，所以提前祝崩崩崩4周年快乐吧[打call][打call][打call]"
"Baili阿柒","男","无IP","221495770","5","","10000","2","","快4 周年了[OK]"
