"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"今天值九块二毛九","保密","无IP","35734906","6","罗小黑战记","10000","44967","","“rubia已经投稿三天了”,“她知错了吗”,“她上热门了”"
"海棠qvq","保密","无IP","350006579","5","","10000","24460","","是外星人听了都要放地球一命的歌声[热词系列_爱了爱了]"
"琴错刀","女","无IP","411297865","6","","10000","23216","","看到飘评的第一第二天,————[鼓掌]嗯，大家都很热情,看到飘评的第三第四天，,————[妙啊]，大家文采真好,看到飘评的第五天,————[思考]，或许他们只是话痨[doge][doge][doge]"
"抱走深深崽崽快跑","保密","无IP","426197950","5","","10000","23740","","为什么说你们我遇到过最温柔的一群游戏玩家，因为即使是在问性别，你们也充满善意"
"窓付きです","女","无IP","525506097","5","星座系列：处女座","10000","15395","3","“你已经要睡了吗？”,“是的，我要睡了，请不要打扰我。”,“Life blooms like a flower,far away or by the road.”,睁眼，泪目，原地飞升"
"sakataAI","男","无IP","7997765","6","Kizuna AI","10000","17278","","“我们完成一次成功的时空旅行”,“可这是哪一年呢？”,“我们问一下那边的路人吧！”,“请问饭圈和游戏圈怎么样了？”,“和谐”,“看来我们穿越到了异闻带了”"
"丽斯艾尔星荧荧","女","无IP","167132545","5","","10000","10324","","路转粉了[热词系列_知识增加],周深的粉丝是我见过最乖最好的，评论区好和谐，好可爱哦,[热词系列_三连]值得！"
"小杜书生","保密","无IP","73319955","6","","10000","12597","","如果这个视频有幸能被收录到每周必看，理由我给想好了，“被天使歌唱融化的甜蜜评论区”[doge]"
"帕朵菲莉丝ゑ","女","无IP","375502444","5","","10000","7197","","四年老清洁工再来感慨一下，这评论区简直是我这辈子遇到的最和睦的评论区了，周深大天使和他的小天使们真的好温柔，这里就是天堂啊简直[拥抱][拥抱]"
"lokij","保密","无IP","7806914","6","","10000","13123","","前几天和我朋友聊天，她问：你觉得周深和你们的粉圈关系，像饭圈文化吗,我说：不像，说实在话，我也一直没觉得周深是什么娱乐圈明星。。。,我姐妹：那会不会你们之间的关系更像二次元爱好者交流群[捂脸]他就是群主[捂脸],我：有点[热词系列_知识增加]就是内个味[热词系列_知识增加]（醍醐灌顶）"
"憨憨卡密","保密","无IP","5963443","6","","10000","9260","","如果唱OST算恰饭的话，周深就创造了音乐区一个月七个商单的奇迹[doge][doge][doge]"
"星龙九霄","保密","无IP","100769886","6","崩坏：星穹铁道","10000","8539","9","啊，那么友好的评论区，真是令人享受。歌手粉和游戏粉好好相处[doge]"
"北涯宸光","女","无IP","765457","6","","10000","7038","","你能在任何地方看到周深发歌 除了……[捂脸]"
"LYH阿怪","保密","无IP","32763020","6","","10000","5102","","哈哈哈笑死我了一群人 “芜湖起飞”“恭喜您安全抵达”“祝您旅途愉快”,笑死我了粉丝随正主，话唠哈哈哈哈嗝 唠嗑式评论 哈哈哈嗝"
"会溺水的猫","保密","无IP","3972713","6","","10000","3215","","毕业多年了，我好像终于弄懂了老师当年说的头腔共鸣了[热词系列_知识增加]"
"魚皮花深","女","无IP","14636308","5","EveOneCat2","10000","5167","","评论区翻到底都是一片和谐和感动[tv_流泪]像这首歌的感觉一样被净化被治愈了，崩3玩家真是我见过最温柔的玩家群体了[拥抱]阿B就是家[热词系列_泪目]"
"Maxine-Chou","女","无IP","548155422","5","呜米","10000","2632","","就是这个声音，我上次手术完全麻就是过不去，护士一会又来一会又来的喊我，怕我睡过去..我妈直接拿起手机放了一首周深的亲爱的旅人啊，我立马醒来叫她扶我起床了..[大哭][大哭]"
