"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"_ZROE_","男","无IP","52970712","6","崩坏3·天穹流星","10000","6926","","点赞的都出希儿！[doge]当然是s还是a我就不负责了"
"环宇丶","男","无IP","17795158","6","","10000","2706","","此时 一发出希儿的舰长点了个赞[微笑]"
"Tangprance","女","无IP","26776461","6","","10000","1452","","为什么要净化黑暗？我觉得黑暗挺好的[阴险]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","1117","","表人格：你……你是谁,里人格：我就是你心中的迪亚波罗（恶魔）啊，我终于可以占据你的身体了,@@@：你刚才 确实说了“迪亚波罗”是吧 木大木大木大木大木大木大木大木大！"
"黎明夏晓","保密","无IP","237681824","6","","10000","627","","祝各位舰长出黑希侠"
"北极的光亮","男","无IP","237809315","6","雪未来","10000","330","5","我有机会吗"
"bilbil樱灵","保密","无IP","24196474","5","","10000","308","","点赞出希儿，没出我女装[蛆音娘_机智]"
"SAOノ桐人","男","无IP","131585476","6","C酱です","10000","117","","不知道是不是我的错觉，今天更新后，感觉玩的掉帧，之前开高画质毫无压力的"
"Ranzt","男","无IP","337104574","6","hanser","10000","100","","祝大家都能抽到黑希侠"
"提拉米苏特仑苏Official","保密","无IP","28136989","6","三周年恋曲","10000","79","","绑着挺好看的，为啥要解开[蛆音娘_滑稽]"
"克莱莫特","保密","无IP","161040939","6","","10000","68","3","合力净化黑暗（×）,努力摆脱非气（）"
"那位网友","男","无IP","168675682","6","救赎","10000","64","","我说啊！这都是三年前出的游戏了，pv和活动宣传能不能别再做这么炫酷了，别用实际内容做宣传了，能不能让被的同类游戏活了，隔壁战双才刚起步[滑稽][吃瓜][滑稽][吃瓜]"
"尘封千年泪","男","无IP","35642832","5","","10000","53","","没水的这里集合.·`(>▂<)`·."
"米筋玄师","男","无IP","4595380","6","黑白无双","10000","45","","里人格:我们遇到什么困难，也不要怕，微笑着面对他，消除恐惧的最好办法就是面对恐惧，坚持才是胜利，加油，奥利给！[画风突变]"
"折折折折纸_","保密","无IP","300862558","6","艾尔莎收藏集头像框","10000","30","","明天正好是我的生日，希望能抽到希儿"
"真夜才人","保密","无IP","12506311","6","崩坏3·天穹流星","10000","30","","我发现这游戏新出的角色攻击范围越来越大了.[笑哭]"
"丽塔的爱宠","女","河北","437460298","5","星座系列：水瓶座","10000","28","","叔叔奇怪的推送[doge]"
